artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Alice Russell,A Fly in the Hand - Radio Mix,5QxwC8AfgCxl7j9gpOwUNW,0,2011,trip-hop,0.959,0.207,4,-10.998,0,0.0957,0.025,0.000169,0.154,0.738,103.977,248493,4
Leftfield,Full Way Round,4SX7FKYrQ5vOSpcj2JnkIy,36,2022,trip-hop,0.586,0.96,7,-5.608,1,0.0549,0.00181,0.000737,0.596,0.821,128.021,338828,4
GusGus,Dance You Down - Live In Washington DC,7njNMH9eB9VjwYexDaiJO6,0,2002,trip-hop,0.694,0.935,1,-9.69,1,0.0395,0.033,0.898,0.606,0.658,125.017,469000,4
Squarepusher,Delta-V,1QtL5BU5DceJ47BisCNYlL,6,2008,trip-hop,0.409,0.94,2,-7.528,1,0.0679,0.00432,0.921,0.193,0.657,92.509,248053,4
DJ Cam,Show Your Love,2s8SzxTOJM6qUrxKmou4BK,8,2010,trip-hop,0.645,0.601,5,-8.153,0,0.0517,0.0583,0.0166,0.221,0.43,94.027,251373,4
Emancipator,Blueberry Meringue,5YxVL89aMjGhXdUjMOtnfs,16,2021,trip-hop,0.404,0.415,4,-9.425,0,0.0733,0.313,0.139,0.312,0.31,81.017,136515,4
noonday underground,The Good Old Summer Time - Bonus Track,1d3D4nM2IThSZxkqLelRGv,4,2000,trip-hop,0.49,0.689,2,-7.58,1,0.0281,0.00551,0.988,0.243,0.69,107.811,93360,3
DJ Shadow,Our Pathetic Age,5VGFFGYTAgiFtXpp7YlKdW,7,2019,trip-hop,0.719,0.499,2,-7.155,1,0.0323,0.000514,0.106,0.385,0.293,107.002,277933,4
DJ Nu-Mark,Break Ya Neck,3s59RmZodBLONwK3t4Hbci,9,2021,trip-hop,0.88,0.769,9,-7.256,0,0.412,0.384,0.000438,0.0448,0.975,165.988,225289,4
Ancient Astronauts,All of the Things You Do (D&B Riddim),1i8aOpDiATVWXhgdOjq62s,1,2015,trip-hop,0.629,0.901,5,-5.299,0,0.161,0.00516,0.0,0.655,0.805,180.012,188175,4
Vadim,Welfare,3wj8zTcrtY7ucyPsq1b6lA,0,2020,trip-hop,0.606,0.839,5,-5.508,0,0.043,0.148,0.936,0.175,0.706,120.011,303022,4
Terranova,Skin & Bones - Karl Friedrich Mix,2UKjAmJhABNJE61akNTqUn,0,2018,trip-hop,0.775,0.777,0,-9.183,1,0.039,2.46e-05,0.833,0.176,0.375,122.994,510323,4
Jazzanova,I Can See - Dima Studitsky Remix,6yLi0cC1tHe26ZDYPmvA6f,0,2011,trip-hop,0.797,0.439,4,-8.028,1,0.061,0.000855,0.148,0.0798,0.465,120.0,427507,3
