#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC,song_frequency
7,Bertaut,Nadin Amizah,119,2B,13,2025-08-17,05:15,82,"indonesian indie, indonesian pop",Selamat Ulang Tahun,2020-05-28,47,93,0,12,0,10,-13,F#/G♭ Major,3,630DpnzdfjdVqv2yLfPbAX,FR59R2049829,1
8,December,Neck Deep,145,10B,44,2025-08-17,03:38,70,"pop punk, punk, emo",Life's Not Out To Get You,2015-08-14,54,63,0,47,0,10,-8,D Major,4,4oVdhvxZrKQTM9ZsUIZa3S,USHR21579009,1
13,Sparkle - Original Version,RADWIMPS,124,1B,51,2025-08-17,06:50,59,"anime, j-pop, j-rock",Human Bloom,2016-11-23,63,73,0,24,0,10,-6,B Major,4,1HNvADmPBGAExeyIHkcJtd,JPPO01621596,1
23,anything,Adrianne Lenker,84,5B,29,2025-08-17,03:22,80,,songs,2020-10-23,39,77,0,51,0,0,-13,D#/E♭ Major,4,4PwWESSlTwzvw9B7bmtTLS,GBAFL2000252,1
30,Beranjak Dewasa,Nadin Amizah,115,8B,33,2025-08-17,04:57,73,"indonesian indie, indonesian pop",Selamat Ulang Tahun,2020-05-28,56,45,0,8,0,10,-8,C Major,4,3FPlY1uqTe1oFfIgI0BnoA,FR59R2049828,1
31,Sorai,Nadin Amizah,144,8B,24,2025-08-17,04:38,78,"indonesian indie, indonesian pop",Sorai,2019-01-01,56,95,0,16,0,10,-12,C Major,4,3ymuBMTviroWLuf1jMsMVf,FRX201847528,1
32,Rumah Ke Rumah,Hindia,116,1B,79,2025-08-17,04:37,84,"indonesian indie, indonesian pop",Menari Dengan Bayangan,2019-11-29,72,46,62,49,0,10,-7,B Major,4,2wAiFWjRupWmnDkQcu91MF,FR96X1970882,1
41,Can't Help Falling,Gustixa,80,12A,48,2025-08-18,02:39,57,,The Fellings I Couldn't Tell,2021-12-06,69,75,12,35,0,10,-10,C♯/D♭ Minor,4,3KYfOFjfB10nkFl0CMjP6s,QZRP42199574,1
43,Fallen Kingdom,Gustixa,95,8B,13,2025-08-18,03:05,0,,Fallen Kingdom,2022-04-10,61,99,93,44,0,40,-20,C Major,4,4Wz7kkG8DRVl56cqJHj92l,QZHN42217581,1
44,Lemon Tree,Gustixa,122,8B,48,2025-08-18,02:38,65,,Lemon Tree,2020-10-18,78,82,90,28,0,50,-9,C Major,4,44BxdUlHaXPGW8MoZr4soo,ZZOPM2003577,1
