mbti,function_pair,playlist_name,playlist_id,track_count,danceability_mean,danceability_stdev,energy_mean,energy_stdev,loudness_mean,loudness_stdev,mode_mean,mode_stdev,speechiness_mean,speechiness_stdev,acousticness_mean,acousticness_stdev,liveness_mean,liveness_stdev,valence_mean,valence_stdev,tempo_mean,tempo_stdev,instrumentalness_mean,instrumentalness_stdev,Cminor_count,CMajor_count,C#/Dbminor_count,C#/DbMajor_count,Dminor_count,DMajor_count,D#_EbMajor_count,Eminor_count,EMajor_count,Fminor_count,FMajor_count,F#/Gbminor_count,F#/GbMajor_count,GMajor_count,G#/AbMajor_count,Aminor_count,AMajor_count,A#/Bbminor_count,Bminor_count,BMajor_count,D#_Ebminor_count,Gminor_count,G#/Abminor_count,A#/BbMajor_count
ENFP,NF,enfp 😍,5J3tDgBRt4BkebL1N9ykZU,50,0.58632,0.145763639,0.61646,0.193119209,-7.43508,3.021200152,0.6,0.494871659,0.07302,0.08000127,0.25526,0.274641212,0.18211,0.12197074,0.495926,0.206788121,117.58624,27.94411792,0.06404888,0.180580397,3,4,3,2,1,5,2,2,2,2,6,5,1,3,1,2,2,1,1,2,0,0,0,0
ENFP,NF,enfp vibes!!!,25b2GhcsggUdKaSiUH3jiC,50,0.5819,0.153130097,0.72062,0.15066003,-6.24298,2.361534415,0.72,0.453557368,0.056998,0.054509514,0.189903592,0.214067117,0.19865,0.136148906,0.562512,0.194353531,129.12242,29.69198785,0.056722562,0.172054264,1,5,1,7,0,1,1,2,3,0,2,3,1,1,3,1,9,2,0,1,1,2,1,2
ENFP,NF,This Is Enphamus,37i9dQZF1DZ06evO17ef7O,28,0.82025,0.088587527,0.509357143,0.119804227,-9.723321429,2.285100987,0.75,0.440958552,0.418614286,0.14099431,0.127904321,0.164224001,0.136814286,0.101837378,0.456642857,0.198318153,135.7489286,28.44425886,2.41E-05,7.83E-05,0,1,0,9,0,3,0,0,1,1,0,3,1,1,3,0,1,2,0,1,0,0,1,0
ENFP,NF,ENFP songs,7rcEnzK6DANSoBhf7GMwSi,50,0.64458,0.132423423,0.67822,0.157999133,-6.03776,2.111319401,0.44,0.501426536,0.069694,0.046941185,0.16768651,0.199366068,0.19277,0.146866376,0.551194,0.216080777,120.46232,30.39929969,0.003086732,0.013910307,1,5,0,3,1,3,0,3,3,2,0,7,0,3,2,0,1,4,6,1,1,2,1,1
ENFP,NF,This Is Enfabeats,37i9dQZF1DZ06evO3uf5g4,50,0.73066,0.129053163,0.73486,0.162104654,-5.02178,2.163623249,0.52,0.50467205,0.146378,0.190405343,0.08391315,0.209471237,0.175508,0.163476378,0.75182,0.18163573,114.71498,38.15305325,0.670099,0.321084433,2,1,0,6,1,4,1,1,1,2,0,1,0,6,0,6,3,2,5,3,1,1,2,1
ENFP,NF,ENFP // the campaigner,2x8KG8G46YaQFBflfLWtnD,50,0.66476,0.149663099,0.70868,0.169564682,-6.23618,2.130732658,0.72,0.453557368,0.084624,0.0878133,0.20775832,0.220582919,0.204228,0.161770629,0.68388,0.210283738,128.82076,25.99470945,0.050303011,0.163066853,2,6,1,5,2,1,3,1,1,0,0,0,3,6,3,2,7,1,4,0,0,1,0,1
ENFP,NF,Pov: You're an ENFP ,758jPdwPa3EdtXgrpx5URY,50,0.60476,0.129328653,0.70934,0.168621858,-5.63036,2.709489686,0.64,0.484873221,0.071888,0.072106267,0.217800678,0.247875356,0.180432,0.16013098,0.55316,0.201493947,124.30666,29.57108622,0.012696826,0.079974132,1,6,1,3,0,2,1,2,1,1,5,3,2,2,4,1,3,1,4,0,2,1,1,3
ENFP,NF,for the enfp,7sQvAGeF4ZRWjO9CzVkno4,50,0.56768,0.125320884,0.63026,0.186667205,-7.53554,2.604831243,0.8,0.404061018,0.046244,0.016706594,0.305609,0.298412795,0.1749,0.135441109,0.49924,0.220336622,123.03854,24.38508902,0.122015114,0.255550166,1,4,2,2,1,8,1,3,4,0,3,0,0,5,0,2,3,0,1,6,0,0,0,4
ENFP,NF,Enfp and Entp songs because their chaotic.,7GBXbU8o60Lu6OYlhOq7K4,50,0.5741,0.156652514,0.65088,0.207251069,-8.00416,3.316678873,0.62,0.490314351,0.085052,0.095525392,0.217279608,0.268274564,0.197424,0.167560167,0.54564,0.208809918,126.9598,30.93499777,0.07509258,0.19740973,0,6,3,4,1,1,1,3,1,3,2,2,1,5,2,3,3,1,2,2,0,0,1,3
ENFP,NF,ENFP x INTJ Playlist,3w7ZOeuhRkHqZiz2nQD8T2,22,0.527045455,0.150334065,0.6575,0.183229949,-6.376454545,3.06133153,0.681818182,0.476731295,0.041786364,0.019371316,0.222686291,0.295260996,0.180281818,0.113772252,0.448863636,0.223928836,131.5937727,30.51314579,0.093514864,0.241727274,1,2,1,1,0,0,1,2,2,0,1,1,0,1,1,1,4,0,1,1,0,0,0,1
ENFP,NF,enfp vibes,3xtpyEG4IAR6oZd3nA2YIM,50,0.5659,0.148903372,0.69264,0.190020918,-7.68944,3.077227172,0.62,0.490314351,0.090388,0.092689752,0.217472708,0.229978969,0.169092,0.099934278,0.544436,0.228179849,125.12014,32.92243445,0.311322425,0.387512753,1,1,2,2,0,3,1,1,1,1,2,1,2,8,4,5,5,2,2,2,0,2,2,0
ENFP,NF,enfp villain,0WgZ5aP0YN64da5q6fStJI,50,0.5993,0.136545462,0.76068,0.151025399,-5.59052,2.646121877,0.66,0.478518121,0.090344,0.088095901,0.118015154,0.172664006,0.195116,0.1770964,0.597644,0.215125787,128.8264,29.64617787,0.064607327,0.184188514,1,2,3,5,0,2,1,1,3,3,2,0,2,5,4,2,3,2,3,1,0,2,0,3
ENFP,NF,ENFPolicleto,3CSMhsOGExokOru8aAa7dy,50,0.55912,0.133492741,0.590106,0.23681345,-8.0308,4.135211388,0.56,0.501426536,0.040468,0.018027003,0.273579058,0.312503397,0.147396,0.102979865,0.442588,0.22587997,115.54936,25.72621205,0.0672077,0.173795651,0,4,2,2,0,2,1,1,2,0,3,3,0,5,2,6,2,1,5,3,0,3,1,2
ENFP,NF,ENFP's Playlist,3MPuy9cikzpUBWIkAAeS9T,50,0.58844,0.132667939,0.55074,0.234856518,-8.99932,3.955857251,0.76,0.431419111,0.049978,0.031292721,0.27393132,0.308522988,0.190924,0.142219894,0.432394,0.205250575,126.43768,27.69215638,0.030930967,0.084806548,1,5,0,5,1,3,2,5,2,0,4,3,3,7,2,0,1,0,1,1,0,0,1,3
ENFP,NF,ENFP vibes 🌈✨,2EPUeFjR4afjgGsCdfaqM7,50,0.6127,0.138613874,0.63484,0.203425999,-6.90626,3.424025008,0.78,0.418451958,0.056788,0.048380257,0.239833982,0.307251907,0.159714,0.109890602,0.51146,0.186464004,121.61588,25.73690494,0.026059192,0.110494008,0,5,2,3,1,5,2,1,3,0,4,2,3,5,5,0,3,0,1,1,1,2,1,0
ENFP,NF,✨ENFP Vibes✨,145EaQXaEXXWFsJQZKUl8c,50,0.6019,0.115636173,0.71866,0.172539804,-6.14124,2.895281189,0.48,0.50467205,0.055052,0.048375501,0.121460472,0.204796901,0.16239,0.102581868,0.45187,0.223515119,121.36058,20.97663217,0.018890909,0.101721788,1,1,3,6,1,7,1,3,0,3,1,4,3,3,0,1,0,3,4,1,1,0,2,1
ENFP,NF,enfp 💿♓️,5IYxczg9DfWawWszRuE9og,50,0.61526,0.136852492,0.69242,0.181239619,-7.33084,2.852239667,0.56,0.501426536,0.055418,0.045682595,0.160303468,0.226708996,0.189738,0.161537161,0.39914,0.234574322,121.3308,23.44749875,0.295894007,0.341962727,0,6,1,3,0,6,0,2,1,2,2,5,1,4,2,4,1,1,3,1,0,2,2,1
ENFP,NF,my ENFP personality ;),4aYD6ncZorcuQxVrVk66v0,50,0.62584,0.155428356,0.67104,0.146656333,-6.70466,2.082782064,0.76,0.431419111,0.058312,0.047990091,0.24387411,0.243618245,0.180176,0.166360793,0.559798,0.228726865,120.71924,24.20713903,0.073173793,0.220358806,1,5,3,5,1,3,1,0,2,1,1,0,8,3,3,3,6,1,1,1,1,0,0,0
ENFP,NF,enfp ☆ kpop ,6koBhftyVc41PwsvstpYpn,50,0.70048,0.108846501,0.85468,0.066714573,-3.47578,1.185031323,0.56,0.501426536,0.105046,0.06753123,0.12145134,0.124166714,0.254678,0.183062569,0.69884,0.151806988,123.12536,26.28549757,8.76E-05,0.000555529,0,4,2,6,0,1,1,3,1,3,1,1,3,5,3,2,2,3,2,1,2,2,2,0
ENFP,NF,Bpd Enfp 2w3 💗,4KW9rurVo5HuS6jTj5xY2C,50,0.53724,0.12614319,0.61526,0.211434827,-8.1634,3.588775256,0.54,0.503457434,0.053448,0.059596333,0.270877949,0.304489457,0.173264,0.113950424,0.391032,0.225476516,127.5663,29.49274441,0.221446235,0.323632484,4,2,1,2,1,0,2,3,2,3,1,2,3,5,2,0,2,3,1,2,0,2,3,4
ENFP,NF,ENFP (PDB),4poHaK2XQtrQzJsCHupury,50,0.61694,0.125018596,0.6779,0.199331152,-6.09436,3.050194452,0.6,0.494871659,0.071486,0.054988214,0.22294008,0.263956561,0.2043,0.193621232,0.510298,0.220290335,122.78318,29.92430547,0.001223269,0.006703481,1,7,1,2,0,1,1,1,2,1,5,2,0,4,4,1,3,3,4,1,1,4,1,0
ENFP,NF,Enfp! 🦋,6QnNx3a34TJ2aYe7BUiWRp,50,0.65636,0.119135964,0.70298,0.163346069,-4.93804,2.591096088,0.48,0.50467205,0.089822,0.0749477,0.2205812,0.229050971,0.170716,0.14351074,0.527206,0.202965064,122.6856,29.924598,0.000274878,0.001237969,1,5,4,2,1,4,0,2,0,0,2,2,0,6,2,1,2,3,5,1,1,4,2,0
ENFP,NF,enfp // the individualist ,5GQ1YxFYw0pxC9LmAVcCXZ,35,0.511742857,0.174259331,0.5722,0.235058214,-8.563514286,4.760879215,0.828571429,0.38238526,0.051931429,0.031196067,0.295160714,0.335567301,0.168791429,0.112160466,0.398808571,0.201749656,132.9408571,30.98669941,0.057639504,0.136179024,1,1,0,0,0,3,0,1,3,0,2,0,3,6,2,3,4,0,0,1,0,0,1,4
ENFP,NF,ENFP kpop songs <3,3DeRbbD6HFUMLQB7hcZAQE,50,0.68024,0.113089374,0.85312,0.07762538,-3.20094,1.102823175,0.64,0.484873221,0.100926,0.071908286,0.06604106,0.081711753,0.196248,0.1476692,0.64188,0.158950851,131.04244,23.53758757,0.000805653,0.005526942,0,5,2,3,0,1,1,0,1,3,5,1,1,2,6,2,5,1,4,1,2,3,0,1
ENFP,NF,enfp 7w8,78CP37XhtfFBdduZbuD9iD,50,0.56844,0.132642863,0.64944,0.197678894,-7.30652,3.267843546,0.8,0.404061018,0.053674,0.031230197,0.224912368,0.286111678,0.176986,0.132746479,0.44339,0.226120426,129.97894,26.48128832,0.077239625,0.194223718,1,6,0,4,0,5,2,1,4,0,3,1,3,3,2,3,6,2,1,0,0,0,1,2
ENFP,NF,ENFP playlist,6GC8iEHsqoFTt0LJ5JqnIZ,50,0.65882,0.155492987,0.72674,0.151048284,-6.21708,2.708161752,0.66,0.478518121,0.094524,0.089463126,0.17098006,0.209500075,0.181406,0.126335198,0.56515,0.208875763,125.23552,28.09119315,0.116360983,0.254439042,1,0,1,6,0,5,4,2,1,1,2,1,4,6,1,2,2,0,5,2,2,0,2,0
ENFP,NF,cancer enfp,1GwDlFXjJ5Erj0hpAniXiC,50,0.6452,0.139168669,0.79636,0.166307161,-4.84818,3.130210208,0.56,0.501426536,0.083676,0.05596494,0.178290728,0.218244839,0.170114,0.133380507,0.580796,0.213635978,118.2328,27.34590881,0.070022966,0.199222583,2,4,4,5,2,2,0,2,1,2,0,1,2,7,2,1,2,2,4,1,1,0,1,2
ENFP,NF,❝ENFP❞,4DuErA4JEsS7xMwqYmGqYQ,50,0.56918,0.140582852,0.67672,0.165659602,-6.32602,2.81972081,0.62,0.490314351,0.082792,0.097891278,0.2007784,0.227207463,0.1851,0.123100788,0.485356,0.221380625,125.87036,30.79947076,0.048480074,0.17280926,1,2,2,3,2,1,2,3,4,2,5,2,2,4,2,3,2,2,0,1,0,1,1,3
ENFP,NF,Enfp,346LHyeCihkjjmG4oHkcR1,50,0.61294,0.099166817,0.64864,0.181828553,-5.53068,1.895827582,0.86,0.350509833,0.042702,0.020406986,0.2058726,0.263934898,0.154486,0.108693133,0.48506,0.218920581,124.55464,24.92968251,5.10E-05,0.000291151,0,9,0,2,1,6,2,0,2,1,6,2,0,4,6,1,4,1,0,1,0,0,1,1
ENFP,NF,Lofi for ENFPs 🍇,5aF8bXcftr8R19cuSBWcdv,43,0.649511628,0.102869166,0.263484651,0.141790525,-14.79995349,5.953480203,0.581395349,0.499168744,0.070230233,0.065405397,0.743202326,0.236383976,0.155316279,0.137323216,0.273595349,0.170127318,104.3962093,32.66623646,0.814744186,0.189209394,1,3,1,1,2,2,0,2,0,1,3,1,2,5,3,1,3,1,4,2,1,1,2,1
