mbti,function_pair,playlist_name,playlist_id,track_count,danceability_mean,danceability_stdev,energy_mean,energy_stdev,loudness_mean,loudness_stdev,mode_mean,mode_stdev,speechiness_mean,speechiness_stdev,acousticness_mean,acousticness_stdev,liveness_mean,liveness_stdev,valence_mean,valence_stdev,tempo_mean,tempo_stdev,instrumentalness_mean,instrumentalness_stdev,Cminor_count,CMajor_count,C#/Dbminor_count,C#/DbMajor_count,Dminor_count,DMajor_count,D#_Ebminor_count,D#_EbMajor_count,Eminor_count,EMajor_count,FMajor_count,F#/Gbminor_count,Gminor_count,GMajor_count,G#/Abminor_count,G#/AbMajor_count,Aminor_count,AMajor_count,A#/BbMajor_count,BMajor_count,Fminor_count,F#/GbMajor_count,A#/Bbminor_count,Bminor_count
ENFJ,NF,Enfj 😇,4AE4DBt4YjJJ8v4Hk9myWl,41,0.580512195,0.124324801,0.595731707,0.222704291,-7.736634146,2.529298349,0.658536585,0.480091455,0.076931707,0.097605816,0.28811439,0.310560494,0.153236585,0.145832561,0.420295122,0.22860732,122.5407073,30.15295537,0.025698009,0.097146594,1,6,1,1,1,3,2,4,3,2,4,3,1,2,1,1,1,1,2,1,0,0,0,0
ENFJ,NF,enfj // the protagonist ,6th4JW4Dky7UjeEhHuQeQd,38,0.550947368,0.156753024,0.679018421,0.193395246,-7.649368421,4.253545258,0.736842105,0.44625835,0.05945,0.049780197,0.231753579,0.296424892,0.175884211,0.107492641,0.506328947,0.268323779,124.5194474,30.78700964,0.110220114,0.235320934,2,5,0,2,0,1,0,2,2,4,0,2,1,2,0,1,1,6,3,1,2,1,0,0
ENFJ,NF,enfj songs according to personality database,4g2AYw35pR37u2QpwpSryq,50,0.56468,0.11681425,0.60764,0.204799031,-7.75768,3.261324286,0.66,0.478518121,0.059076,0.052857902,0.27037828,0.316042005,0.136674,0.089209601,0.433126,0.209328192,123.76112,26.07306329,0.060110227,0.164728556,2,3,1,2,2,6,0,0,2,3,3,0,2,5,0,1,2,6,2,1,2,1,1,3
ENFJ,NF,ENFJ vibes‼️,1eVgLeDoHD123LB6VldjGY,50,0.5352,0.12258558,0.59896,0.177414879,-7.00594,2.626759223,0.56,0.501426536,0.058274,0.04969709,0.22802602,0.261826536,0.160472,0.098221649,0.37634,0.220887997,132.29302,30.34884956,0.024067625,0.114590786,1,2,0,2,0,0,0,2,4,1,1,2,3,6,1,4,6,2,4,2,0,2,2,3
ENFJ,NF,[ENFJ],49BWXniDb2gtfI1e4Z3ILr,50,0.5267,0.123801561,0.80894,0.10365709,-5.1835,1.59679695,0.7,0.46291005,0.053892,0.031047014,0.030816016,0.051125424,0.182778,0.152291657,0.51256,0.223140311,130.17276,22.31729848,0.06729022,0.189292383,0,5,2,2,0,4,0,2,1,1,4,4,1,3,0,6,0,2,5,1,0,0,1,6
ENFJ,NF,ENFJ anthems 🦋,6IDELtu3l7994CPmsyhlUN,50,0.5864,0.164821487,0.664,0.178840597,-6.81156,3.014653249,0.68,0.471212071,0.065654,0.064221823,0.19485078,0.269898306,0.199958,0.107055662,0.545338,0.251711217,128.26846,31.11702536,0.112834191,0.253820081,1,6,0,2,0,4,1,1,1,4,3,3,2,1,2,2,2,9,1,1,2,0,1,1
ENFJ,NF,ENFJ main character moment,3U8PZDhXaOVdeqXp9xfjIs,50,0.64346,0.145857662,0.5783,0.161094123,-6.9361,2.440345327,0.54,0.503457434,0.096928,0.101638652,0.244883,0.270528448,0.149292,0.095607119,0.517898,0.238089509,129.47698,32.62726249,0.00529277,0.019126821,2,6,1,4,0,2,1,0,4,1,4,4,1,1,1,0,0,4,2,1,3,2,3,3
ENFJ,NF,ENFJ (PDB),7yXX8iWVhHPeZ6CPXkdvRg,50,0.59738,0.110021499,0.6571,0.152133702,-6.05944,2.05274888,0.72,0.453557368,0.068928,0.067695043,0.20832676,0.265819733,0.148704,0.088685337,0.496994,0.2133579,123.9977,28.0272044,0.019768369,0.08318949,0,3,4,4,1,4,0,2,1,3,5,0,2,4,0,6,3,2,1,2,0,0,0,3
ENFJ,NF,enfj,237uKEMCwMaeqdHTaVdNAH,22,0.572863636,0.117522154,0.583363636,0.142982032,-7.249772727,1.798673875,0.818181818,0.394771017,0.053281818,0.032244108,0.285697727,0.235213111,0.154072727,0.116118003,0.396763636,0.155339121,119.8250909,24.04401671,0.048436913,0.172721921,1,2,0,0,1,2,0,1,0,5,2,1,0,2,0,1,0,1,0,0,0,2,0,1
ENFJ,NF,for the enfj,6IYbjtqjOOVeq9hjyll0R2,40,0.6644,0.139310353,0.65425,0.140985133,-6.693425,1.71152472,0.725,0.452202587,0.07563,0.061910267,0.1685601,0.170346738,0.22907,0.16845594,0.60975,0.202717784,115.72855,28.02044754,0.030503492,0.152035981,0,4,1,1,1,2,0,2,0,2,4,1,1,3,0,4,2,5,0,2,2,0,1,2
