mbti,function_pair,playlist_name,playlist_id,track_count,danceability_mean,danceability_stdev,energy_mean,energy_stdev,loudness_mean,loudness_stdev,mode_mean,mode_stdev,speechiness_mean,speechiness_stdev,acousticness_mean,acousticness_stdev,liveness_mean,liveness_stdev,valence_mean,valence_stdev,tempo_mean,tempo_stdev,instrumentalness_mean,instrumentalness_stdev,Cminor_count,CMajor_count,C#/Dbminor_count,C#/DbMajor_count,DMajor_count,Eminor_count,EMajor_count,Fminor_count,FMajor_count,F#/Gbminor_count,F#/GbMajor_count,GMajor_count,G#/Abminor_count,G#/AbMajor_count,Aminor_count,AMajor_count,A#/Bbminor_count,A#/BbMajor_count,Bminor_count,BMajor_count,Dminor_count,D#_EbMajor_count,Gminor_count,D#_Ebminor_count
ENTJ,NT,ENTJ 8w7 secret playlist for  world domination ,0cAx8PldSZYJFfJzLeaohV,50,0.67616,0.15673393,0.64974,0.1625031,-6.73516,2.569807794,0.54,0.503457434,0.146628,0.129724735,0.14975758,0.175284777,0.17096,0.115773972,0.55496,0.25037115,127.39678,27.80541616,0.021933782,0.120165153,2,4,1,5,4,2,2,4,1,2,3,4,5,1,2,1,1,1,4,1,0,0,0,0
ENTJ,NT,ENTJ vibes.,2sMGWHpGRVt6z8BsMfGbHd,50,0.61336,0.134155676,0.70376,0.151674404,-6.1435,2.423110383,0.56,0.501426536,0.069372,0.06646867,0.12958893,0.175321145,0.189498,0.139058872,0.490844,0.223026787,117.34024,25.54561715,0.038033425,0.103586279,3,5,1,6,1,2,0,2,2,2,1,4,3,2,5,1,0,2,1,1,2,3,1,0
ENTJ,NT,entj vibes ;),4H7bxHuT4Zu54oj03w3AVB,50,0.63884,0.13536924,0.6903,0.159572803,-6.42064,2.878085891,0.46,0.503457434,0.086628,0.090101211,0.13334892,0.165490604,0.21906,0.161956836,0.489698,0.257011012,120.71926,23.26261357,0.071070171,0.186705665,4,2,2,3,3,3,0,6,1,1,1,2,0,4,4,3,3,2,1,1,1,1,2,0
ENTJ,NT,im an ENTJ,3i2sBpBI7VKznMsvl7UH6j,50,0.63678,0.131382024,0.60217,0.174425869,-7.22602,2.695678988,0.64,0.484873221,0.130628,0.132779255,0.14407268,0.195315602,0.18552,0.113536814,0.365632,0.20016916,121.17912,28.25771332,0.090394451,0.227330967,3,5,1,4,5,2,2,2,1,3,1,8,0,3,1,1,2,2,2,0,0,0,2,0
ENTJ,NT,entj playlist,7jmnBH2b8DFCEayotoAgAd,50,0.55088,0.150382457,0.6634,0.164272173,-6.6518,2.132604664,0.48,0.50467205,0.066818,0.070107881,0.123442408,0.142688422,0.159684,0.10791686,0.420924,0.201322917,123.70438,31.32699693,0.102110393,0.220790257,1,3,1,1,3,5,1,2,1,0,2,3,3,2,4,2,1,3,5,2,1,1,3,0
ENTJ,NT,ENTJ,4t4SoQaylBIlKjx2eCqPc9,50,0.63548,0.172052465,0.650184,0.196655243,-6.712,3.368133608,0.42,0.498569382,0.126962,0.110726913,0.198464192,0.209282357,0.17634,0.130454815,0.487966,0.225189567,126.13078,29.82520996,0.031676322,0.084624892,7,3,2,3,2,5,1,4,1,0,2,2,1,2,1,4,3,0,3,1,3,0,0,0
ENTJ,NT,ENTJ songs,2MiqxSFSTyJFBMBXnBHYH4,50,0.62776,0.136237122,0.69662,0.142103425,-6.1067,2.129563645,0.46,0.503457434,0.080328,0.064117316,0.21369814,0.219535447,0.16594,0.107661778,0.51993,0.239392135,120.26322,24.1139805,0.032110789,0.129716829,3,3,0,3,1,2,1,5,2,3,3,2,1,2,3,2,3,2,4,1,1,1,2,0
ENTJ,NT,Entj 😈,0F30ijpg50ABLb5ohmtmp3,50,0.63408,0.157033708,0.67354,0.18025019,-6.81576,2.539100801,0.44,0.501426536,0.10913,0.105672606,0.14113038,0.167083126,0.178148,0.138052432,0.53052,0.231868474,127.54474,30.56014513,0.04797859,0.105706787,4,2,4,2,2,7,1,3,1,0,1,1,2,7,1,3,2,1,2,1,1,0,1,1
ENTJ,NT,ENTJ fuel,65BUPKWY6afMlz1h925xcJ,50,0.67042,0.12491811,0.64534,0.170971129,-6.58678,2.223309698,0.3,0.46291005,0.128282,0.0991688,0.17512784,0.186279185,0.180362,0.154003941,0.526068,0.18992474,122.2144,28.83412623,0.013164727,0.040348724,4,0,2,2,1,4,3,4,0,7,2,2,0,0,2,2,4,0,6,0,1,3,1,0
ENTJ,NT,entj 3w4 women,4mxMPMZY4depR7Fy3G4Qff,50,0.6261,0.145458775,0.65196,0.157529778,-6.06154,1.971499235,0.48,0.50467205,0.077408,0.067631157,0.21090758,0.224848712,0.168566,0.106453124,0.522232,0.230620152,119.60598,29.43261554,0.035074438,0.103394527,3,5,3,3,4,2,1,4,1,2,3,2,1,0,5,1,1,1,4,1,0,2,1,0
