mbti,function_pair,playlist_name,playlist_id,track_count,danceability_mean,danceability_stdev,energy_mean,energy_stdev,loudness_mean,loudness_stdev,mode_mean,mode_stdev,speechiness_mean,speechiness_stdev,acousticness_mean,acousticness_stdev,liveness_mean,liveness_stdev,valence_mean,valence_stdev,tempo_mean,tempo_stdev,instrumentalness_mean,instrumentalness_stdev,Cminor_count,CMajor_count,C#/Dbminor_count,DMajor_count,D#_EbMajor_count,Eminor_count,EMajor_count,Fminor_count,FMajor_count,F#/GbMajor_count,Gminor_count,GMajor_count,G#/Abminor_count,G#/AbMajor_count,Aminor_count,AMajor_count,A#/Bbminor_count,A#/BbMajor_count,Bminor_count,C#/DbMajor_count,F#/Gbminor_count,BMajor_count,D#_Ebminor_count,Dminor_count
INTJ,NT,Intj 🧐,1WzuaRUxekhPMBZEsszcSe,50,0.57836,0.140029991,0.65598,0.171825907,-7.07646,2.259842935,0.42,0.498569382,0.087814,0.081162339,0.22071876,0.214471419,0.1944,0.135615149,0.4808,0.212144925,123.46514,30.80197571,0.030865955,0.119783153,2,3,5,3,1,6,2,1,3,1,2,1,3,3,2,2,4,2,4,0,0,0,0,0
INTJ,NT,pov: you’re an intj ,6ocmyGGftkUZHJ0n9awpic,50,0.61596,0.165506268,0.66486,0.156679448,-6.12872,1.669141831,0.48,0.50467205,0.088132,0.087905261,0.17192451,0.209651062,0.161082,0.13754887,0.502086,0.243249381,116.27452,26.18026159,0.027025712,0.085820239,4,3,4,3,0,2,1,2,3,1,0,4,2,2,2,0,1,2,6,4,3,1,0,0
INTJ,NT,This Is Intjay,37i9dQZF1DZ06evO0zwTas,43,0.67127907,0.096193091,0.167296977,0.158304365,-14.60872093,3.371105233,0.581395349,0.499168744,0.099702326,0.070846442,0.579851163,0.283984785,0.11147907,0.013202066,0.557697674,0.205785318,98.77767442,31.20951499,0.85702328,0.191871436,0,2,2,3,0,2,1,1,1,5,1,2,1,1,1,5,1,0,5,2,1,3,3,0
INTJ,NT,INTJ,2waN9Y7YiQZJSoIjYVLUgE,50,0.6921,0.152337602,0.66356,0.15648566,-6.54258,2.794410625,0.54,0.503457434,0.086398,0.06256855,0.128614046,0.1603462,0.206846,0.153206478,0.50952,0.214845102,122.10204,27.15705995,0.079859853,0.205957394,1,1,2,4,1,3,2,3,1,1,2,4,2,3,3,2,4,2,2,3,1,3,0,0
INTJ,NT,INTJ : The Mastermind,64k1pQgRBV2rHMurg4KIEH,50,0.50298,0.147075365,0.631946,0.176177563,-6.79866,3.19449249,0.52,0.50467205,0.045908,0.025877749,0.23391658,0.258926243,0.178104,0.117029272,0.45642,0.239380756,120.81406,32.18800666,0.149675445,0.27062971,2,1,4,4,2,3,2,3,4,1,2,1,2,3,1,1,1,3,4,3,2,1,0,0
INTJ,NT,INTJ villain,1CEMQ6JrdmiLc5QXEt7UUu,25,0.64072,0.121185299,0.57836,0.142392907,-7.19996,2.631241761,0.72,0.458257569,0.12634,0.136774565,0.280016,0.262549844,0.212464,0.135703653,0.460996,0.230843238,112.50332,29.76722417,0.056516064,0.126477601,1,1,0,1,1,1,1,1,0,0,2,2,0,3,0,3,0,1,2,4,0,1,0,0
INTJ,NT,INTJ women,67gWNkJ7D5wVXs09fU9kxR,50,0.61188,0.142355353,0.65004,0.196046533,-7.2112,2.952498264,0.6,0.494871659,0.059514,0.05251593,0.20422294,0.236469885,0.205196,0.170919838,0.54858,0.240413512,126.43996,25.85701727,0.080604252,0.20305912,3,5,3,4,0,0,3,1,6,3,1,3,0,2,2,3,1,1,4,0,3,0,1,1
INTJ,NT,INTJ songs,4acQIuCN9aeFBCpr9vubVd,50,0.53,0.160857904,0.64078,0.204921417,-7.04848,3.435020876,0.52,0.50467205,0.090556,0.102880039,0.26256628,0.306495214,0.166388,0.137270448,0.375046,0.204665186,127.62784,27.98852979,0.09548199,0.224964904,2,4,2,4,0,5,0,2,5,3,0,0,4,4,3,2,3,2,0,1,0,1,1,2
INTJ,NT,intj girlies,3r7yxNLsluN3K7M2xxUcRl,50,0.54402,0.13061448,0.506864,0.206765751,-8.42154,3.63374088,0.56,0.501426536,0.071416,0.06880163,0.38887358,0.316450576,0.160838,0.093669876,0.399716,0.203640773,121.99474,29.13497476,0.033884963,0.09310638,4,7,2,3,0,2,2,2,4,0,0,0,2,2,1,5,4,2,3,3,2,0,0,0
INTJ,NT,INTJ WOMAN.,0NIbxDM2VBm0W1mq7azyN1,45,0.644066667,0.146183322,0.720022222,0.175876828,-6.698666667,2.559401874,0.444444444,0.502518908,0.080048889,0.068865467,0.143965847,0.200590974,0.200028889,0.175749404,0.423237778,0.225385998,122.5033778,28.57765602,0.209831169,0.344068256,0,1,2,1,0,5,0,1,1,3,2,1,2,7,1,1,6,1,1,3,4,1,0,1
