mbti,function_pair,playlist_name,playlist_id,track_count,danceability_mean,danceability_stdev,energy_mean,energy_stdev,loudness_mean,loudness_stdev,mode_mean,mode_stdev,speechiness_mean,speechiness_stdev,acousticness_mean,acousticness_stdev,liveness_mean,liveness_stdev,valence_mean,valence_stdev,tempo_mean,tempo_stdev,instrumentalness_mean,instrumentalness_stdev,CMajor_count,DMajor_count,D#_Ebminor_count,D#_EbMajor_count,EMajor_count,FMajor_count,F#/Gbminor_count,F#/GbMajor_count,GMajor_count,G#/AbMajor_count,Aminor_count,AMajor_count,BMajor_count,Cminor_count,C#/Dbminor_count,C#/DbMajor_count,Eminor_count,Fminor_count,Gminor_count,A#/Bbminor_count,A#/BbMajor_count,Bminor_count,Dminor_count,G#/Abminor_count
ISFJ,SJ,ISFJ 감성 플레이리스트💙,0ZRl0DyYmJure5ylPpV7A2,50,0.58312,0.136995403,0.48566,0.144742362,-8.54982,2.774372984,0.9,0.303045763,0.06469,0.048298647,0.4685,0.285005084,0.14911,0.094661121,0.398722,0.193352894,109.27498,31.16894361,0.020546596,0.136712535,16,2,1,3,3,3,2,1,1,1,2,4,11,0,0,0,0,0,0,0,0,0,0,0
ISFJ,SJ,ISFJ,4iITWfutssZR45qQ2WDHnT,50,0.5247,0.159448187,0.5411,0.259918687,-9.41688,6.035458482,0.64,0.484873221,0.049626,0.024734161,0.423719092,0.325141911,0.172712,0.097592218,0.411386,0.23852618,120.89124,34.85567783,0.157190683,0.291607271,1,5,0,0,5,2,2,1,2,5,1,7,0,1,2,1,2,3,2,3,3,2,0,0
ISFJ,SJ,ISFJ (PDB),3M27gPcsRaJMxhdAtKz6Xf,50,0.55196,0.152807063,0.51586,0.221300517,-8.02094,3.364835984,0.74,0.443087498,0.047872,0.029806951,0.4092394,0.352480348,0.20671,0.167766486,0.372836,0.205458506,120.06366,29.77074796,0.063386366,0.19587002,5,4,0,0,3,2,2,1,6,2,1,8,2,0,1,2,0,3,1,2,2,1,2,0
ISFJ,SJ,This Is IFGF Praise,37i9dQZF1DZ06evO1BWLRf,43,0.463790698,0.109620462,0.653976744,0.179400389,-6.639674419,2.118976378,0.906976744,0.293902599,0.033611628,0.008970407,0.174062928,0.250531646,0.209613953,0.183528316,0.215262791,0.144530933,135.0556977,14.5513818,0.043192374,0.151571142,7,13,0,0,5,4,0,0,5,0,1,2,3,0,2,0,0,0,0,0,0,1,0,0
ISFJ,SJ,ISFJ songs for your ISFJ characters,3DIoX6tZlw5dhBLHJrfHSh,20,0.5287,0.142403467,0.59215,0.215432313,-7.4236,3.540607358,0.85,0.366347549,0.043815,0.017938734,0.3117805,0.306231639,0.16407,0.101141996,0.44905,0.26640738,139.76735,27.79912826,0.095676924,0.230823658,2,1,0,1,1,1,1,0,1,1,0,4,2,0,0,1,0,1,0,0,2,0,1,0
ISFJ,SJ,isfj // the protector ,3ZXgVNRlimnET5ceMz7XXQ,30,0.534833333,0.146678885,0.43013,0.262372765,-10.82766667,6.301369962,0.8,0.406838102,0.05658,0.03415762,0.504945333,0.371791638,0.16128,0.125554528,0.33849,0.250433593,117.7464667,28.49863062,0.061358918,0.203873052,3,1,1,2,1,0,2,3,5,0,0,2,2,0,0,2,1,0,0,0,3,1,0,1
ISFJ,SJ,This Is IHF,37i9dQZF1DZ06evO1MlkuQ,41,0.591853659,0.098877086,0.597097561,0.130044762,-8.678,2.035377164,0.390243902,0.493864798,0.070756098,0.071104198,0.262897073,0.216827333,0.183692683,0.152876578,0.225626829,0.130308929,108.0732439,13.99705592,0.458739951,0.352076051,5,7,0,0,0,1,3,1,1,0,9,0,0,2,2,1,3,0,1,1,0,1,0,3
ISFJ,SJ,ISFJ,3tS5fVx5q0DaPbwAQ2DDTu,50,0.58058,0.130785085,0.69144,0.14074904,-6.76666,2.306927939,0.54,0.503457434,0.067934,0.061719327,0.246791052,0.275611379,0.173526,0.106774089,0.489234,0.222226092,119.24998,31.18388341,0.099503049,0.236881933,3,1,0,1,3,1,3,4,2,2,3,5,0,3,1,4,5,2,0,0,1,2,1,3
ISFJ,SJ,pov: ur an isfj,5O6UX2oYe51o2VBT804788,50,0.55374,0.139185064,0.48214,0.161162108,-8.85342,2.746463983,0.76,0.431419111,0.053548,0.050703376,0.43777746,0.317726559,0.141956,0.104635804,0.34675,0.192703123,119.18616,26.30318875,0.021384624,0.067070086,14,1,0,3,2,1,0,4,3,3,2,2,0,2,2,3,2,0,1,2,2,0,0,1
ISFJ,SJ,This Is IAMJJ,37i9dQZF1DZ06evO3n6Dza,20,0.5934,0.159196139,0.5523,0.121467388,-9.5779,1.585899044,0.3,0.470162346,0.06076,0.030734866,0.140279,0.137380154,0.21524,0.182100196,0.38925,0.153762248,115.3575,34.0134128,0.12467022,0.255703546,1,1,0,0,0,1,3,1,1,0,2,1,0,0,1,0,1,0,0,0,0,5,1,1
ISFJ,SJ,เทอคนนั้นต่อยกับกุเถอะถ้าจะมองขนาดนี้🤬🤬🤬,7rKbyQlqR201TWxB87BbjT,50,0.5782,0.115173693,0.5603,0.187629058,-8.0498,2.958615796,0.86,0.350509833,0.043084,0.024743668,0.41271906,0.31039472,0.14414,0.093895446,0.46948,0.23207821,130.41886,30.40336691,0.053059332,0.16452295,5,7,0,4,4,0,0,2,4,2,1,6,5,1,2,2,0,1,0,1,2,1,0,0
ISFJ,SJ,This Is I.F.U,37i9dQZF1DZ06evO1ttURG,50,0.696842,0.163843303,0.70286,0.175010205,-8.22468,3.466719136,0.62,0.490314351,0.057794,0.033793547,0.12953841,0.170013697,0.180468,0.152852258,0.529544,0.178670524,117.54104,11.25198238,0.191430821,0.293231588,7,0,0,0,1,3,1,1,3,6,2,0,0,1,0,10,0,5,3,6,0,0,1,0
ISFJ,SJ,ISFJ <3,3gq1eVBJ8Z4uH1MfSj7QzF,50,0.53626,0.123099397,0.531606,0.250246445,-9.49696,5.277771828,0.74,0.443087498,0.048182,0.02504316,0.39579762,0.352748881,0.202758,0.155948695,0.407638,0.217699553,128.7837,34.2100946,0.110476636,0.217319832,5,6,0,1,4,3,3,1,0,2,2,7,3,1,1,3,1,2,2,1,2,0,0,0
ISFJ,SJ,isfj side,2e7NHmgo0xiYSUouEr9lx3,50,0.52414,0.133966796,0.5232,0.19664191,-7.6153,2.514750535,0.86,0.350509833,0.042182,0.027476578,0.38873514,0.326763023,0.133402,0.076661987,0.333954,0.184557902,119.90926,30.70198683,0.09769291,0.233041836,4,7,0,0,4,7,2,2,7,3,1,0,2,0,2,3,0,0,0,1,4,0,1,0
