mbti,function_pair,playlist_name,playlist_id,track_count,danceability_mean,danceability_stdev,energy_mean,energy_stdev,loudness_mean,loudness_stdev,mode_mean,mode_stdev,speechiness_mean,speechiness_stdev,acousticness_mean,acousticness_stdev,liveness_mean,liveness_stdev,valence_mean,valence_stdev,tempo_mean,tempo_stdev,instrumentalness_mean,instrumentalness_stdev,CMajor_count,C#/DbMajor_count,DMajor_count,Eminor_count,EMajor_count,Fminor_count,FMajor_count,F#/Gbminor_count,F#/GbMajor_count,GMajor_count,G#/Abminor_count,G#/AbMajor_count,Aminor_count,AMajor_count,A#/Bbminor_count,A#/BbMajor_count,Bminor_count,Cminor_count,C#/Dbminor_count,Dminor_count,D#_Ebminor_count,D#_EbMajor_count,Gminor_count,BMajor_count
ISFP,SP,isfp's playlist.,4qPec6Eo1yqqXf6Q8VznKT,50,0.5601,0.140437836,0.67454,0.206218451,-6.73654,2.744859888,0.62,0.490314351,0.069562,0.060866384,0.162662568,0.252993514,0.204214,0.149666245,0.44938,0.223362512,123.34466,31.18205308,0.121142485,0.254694091,6,1,3,5,3,3,3,1,2,5,4,1,3,5,2,2,1,0,0,0,0,0,0,0
ISFP,SP,This Is Coral Jovem do IASP,37i9dQZF1DZ06evO0WgJWO,15,0.3366,0.135031637,0.301133333,0.126435114,-12.45433333,2.779427116,0.933333333,0.25819889,0.029853333,0.002608466,0.776533333,0.190759335,0.132873333,0.063773981,0.21662,0.147809744,102.4201333,24.50238557,0.010033961,0.034098497,6,0,3,1,1,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ISFP,SP,ISFP-INTJ playlist,00zUHU6TmCloNdYf7pLC5N,50,0.57056,0.146348502,0.76362,0.149074956,-5.3004,1.829142288,0.42,0.498569382,0.09094,0.06934522,0.126699078,0.192154942,0.19969,0.15220321,0.53672,0.174871036,130.30156,30.5428504,0.011160655,0.053721501,1,4,3,5,2,1,2,0,2,2,2,2,5,2,6,0,0,1,3,4,1,1,1,0
ISFP,SP,ISFP vibes🎨🖌️🎐🌼✨🎡🌌,6FdFbQ8QI8KO8mCwgekYY7,50,0.57462,0.163309008,0.54682,0.154776295,-7.73502,2.119201346,0.58,0.498569382,0.045584,0.039542849,0.325632,0.304808743,0.185426,0.146103078,0.42754,0.216772082,115.95642,25.11248469,0.047372377,0.156639948,3,2,2,3,3,1,4,2,4,1,4,1,1,1,1,3,2,3,2,1,0,1,1,4
ISFP,SP,isfp = main character,0ot141o2PjUPEqc1Sx6vFe,42,0.564833333,0.128404072,0.687738095,0.213863423,-6.786261905,3.403491916,0.619047619,0.491507435,0.069502381,0.062838867,0.154675676,0.254472987,0.173930952,0.132708116,0.452130952,0.245427305,124.3487381,28.6519363,0.087469446,0.207174009,4,4,1,2,3,1,4,1,1,2,0,2,3,2,3,0,1,2,0,0,1,2,2,1
ISFP,SP,isfp // the creative,4phCnknfZ5LhEYmArdUJXv,41,0.585902439,0.145437582,0.56097561,0.198607085,-8.854853659,3.558179588,0.682926829,0.471116991,0.063507317,0.065438251,0.279606415,0.277108027,0.158829268,0.101334212,0.41775122,0.204536054,119.081,25.01296037,0.038033719,0.13794994,5,2,3,1,3,1,1,2,2,5,0,0,2,2,0,3,3,0,3,0,0,0,1,2
ISFP,SP,Isfp 😋,2vGDqtqDWD0AtYNkEGwnjf,50,0.59194,0.164026928,0.60248,0.192806791,-8.02204,3.084770444,0.66,0.478518121,0.071558,0.071388735,0.18714472,0.218444595,0.159002,0.090311044,0.445338,0.230521011,117.1704,27.98235392,0.073044502,0.214770811,5,5,3,2,3,3,3,1,2,3,3,1,0,2,3,2,2,0,1,0,0,2,2,2
ISFP,SP,감성적인 ISFP일때,0AqjDOrCvaMUeCO3r54mV4,50,0.64598,0.112989523,0.5373,0.118062635,-6.58872,1.606927199,0.82,0.388087934,0.075106,0.062212471,0.550426,0.196681542,0.189678,0.124963897,0.46614,0.181831836,107.11982,33.09659849,0.001246318,0.006142792,4,1,4,1,3,1,6,1,3,6,2,4,0,1,2,4,0,0,2,0,0,3,0,2
ISFP,SP,ISFP playlist ♡,6uUl4hMRrrVYjIFic9gp4j,50,0.6332,0.126416061,0.67016,0.177254615,-5.91302,2.357529912,0.56,0.501426536,0.083066,0.070399219,0.20622584,0.276836308,0.167384,0.112649903,0.478764,0.195716703,117.7007,29.92704025,0.020415082,0.121466158,3,3,0,3,3,4,3,3,4,3,0,4,2,3,1,2,4,1,1,1,1,0,1,0
ISFP,SP,isfp,0X4RMbb53CBK2GJDPzXiXo,50,0.50528,0.140066025,0.474566,0.233960368,-9.53038,4.944053534,0.68,0.471212071,0.043566,0.025243578,0.4416046,0.395499382,0.145704,0.099676741,0.330714,0.198129347,118.9066,26.90982448,0.140263783,0.2604336,4,5,4,4,2,1,1,2,1,5,1,1,1,4,1,2,1,2,2,1,0,4,0,1
