#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"New Jeans","NewJeans",134,9A,72,2025-08-21,01:48,79,"k-pop","NewJeans 'Super Shy'",2023-07-07,81,51,0,53,0,10,-6,E Minor,4,6rdkCkjk6D12xRpdMXy0I2,USA2P2330067
2,"Get Up","NewJeans",85,7B,53,2025-08-21,00:36,70,"k-pop","NewJeans 2nd EP 'Get Up'",2023-07-21,53,63,13,56,0,10,-7,F Major,3,1wUnuiXMMvhudmzvcCtlZP,USA2P2330073
3,"Ditto","NewJeans",134,11A,64,2025-08-21,03:05,80,"k-pop","Ditto",2022-12-19,81,3,0,18,10,10,-6,F#/G♭ Minor,4,3r8RuvgbX9s7ammBn07D3W,USA2P2254487
4,"Hype Boy","NewJeans",100,9A,94,2025-08-21,02:59,78,"k-pop","NewJeans 1st EP 'New Jeans'",2022-08-01,59,27,0,78,20,20,-3,E Minor,4,0a4MMyCrzT0En247IhqZbD,USA2P2230222
5,"Hurt","NewJeans",180,3A,45,2025-08-21,02:57,73,"k-pop","NewJeans 1st EP 'New Jeans'",2022-08-01,60,73,0,57,0,10,-7,A#/B♭ Minor,4,5expoVGQPvXuwBBFuNGqBd,USA2P2230224
6,"House of Cards (Full Length Edition)","BTS",105,7A,67,2025-08-21,03:46,72,"k-pop","The Most Beautiful Moment in Life: Young Forever",2016-05-02,37,34,0,38,0,10,-4,D Minor,4,6S2gYweMmT6xygVh5q3QLa,KRA381600807
7,"Super Shy","NewJeans",150,4A,82,2025-08-21,02:34,80,"k-pop","NewJeans 'Super Shy'",2023-07-07,78,18,0,52,0,10,-6,F Minor,4,5sdQOyqq2IDhvmx2lHOpwd,USA2P2330068
8,"Supernova","aespa",120,10A,75,2025-08-21,02:58,59,"k-pop","Supernova",2024-05-13,74,1,0,37,0,0,-4,B Minor,4,58b0gBwBVjQfbbCU4xIvoy,KRA302400090
9,"Supernova Love","IVE,David Guetta",120,3A,89,2025-08-21,03:19,67,"k-pop, edm","Supernova Love",2024-11-08,66,7,0,78,0,20,-5,A#/B♭ Minor,4,5sTLGx6c7YRwnrWm6O091n,DECE72402530
10,"ASAP","NewJeans",130,5A,49,2025-08-21,02:14,70,"k-pop","NewJeans 2nd EP 'Get Up'",2023-07-21,93,47,0,37,10,10,-10,C Minor,4,5fpyAakgFOm4YTXkgfPzvV,USA2P2330074
11,"ETA","NewJeans",135,3A,75,2025-08-21,02:31,77,"k-pop","NewJeans 2nd EP 'Get Up'",2023-07-21,81,11,0,84,0,0,-6,A#/B♭ Minor,4,56v8WEnGzLByGsDAXDiv4d,USA2P2330071
12,"Magnetic","ILLIT",131,2B,67,2025-08-21,02:40,83,"k-pop","SUPER REAL ME",2024-03-25,80,26,0,69,0,0,-6,F#/G♭ Major,4,1aKvZDoLGkNMxoRYgkckZG,USA2P2413259
13,"Attention","NewJeans",105,3A,65,2025-08-21,03:00,77,"k-pop","NewJeans 1st EP 'New Jeans'",2022-08-01,81,24,0,70,0,0,-4,A#/B♭ Minor,4,2pIUpMhHL6L9Z5lnKxJJr9,USA2P2230221
14,"Beautiful Strangers","TOMORROW X TOGETHER",87,10B,58,2025-08-21,02:18,72,"k-pop","The Star Chapter: TOGETHER",2025-07-21,60,5,0,7,0,0,-5,D Major,4,6IYvOX6K6tbBmj00JRU5Rw,USA2P2529276
