#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Full of Dreams","初星学園,高木龍一,倉本千奈",110,10B,79,2024-08-05,04:48,17,"","Full of Dreams",2024-08-01,70,3,0,78,0,10,-7,D Major,4,0hDAvEcxFUctwkGk1bnIc4,JPX832004911
2,"Lun ga Pikatto Hikattara","Walkure",132,10A,85,2024-08-05,04:27,16,"anime","Ichido dakeno Koi nara / Lun ga Pikatto Hikattara",2016-05-11,67,11,0,79,0,20,-5,B Minor,4,1O7Cu7aS3aJIF42MyQMJBU,JPVI01604100
3,"サンバロハッピ〜！","ハロー、ハッピーワールド!",129,7B,97,2024-08-05,03:36,0,"","サンバロハッピ〜！",2024-05-21,71,25,0,76,0,0,-4,F Major,4,2GrJdB3edLpPCysNhb7R6L,JPR562400148
4,"Öl & Karaoke","Arvid Nero",200,10B,56,2024-08-05,03:29,28,"swedish pop","Öl & Karaoke",2024-02-23,43,45,0,58,0,30,-9,D Major,4,3n9fqv9ZdC2Zpy3oPabrtl,SE6892300017
5,"メロウ","須田景凪",145,4B,88,2025-01-17,04:09,46,"anime, j-pop, j-rock","Ghost Pop",2023-05-24,57,6,0,74,0,0,-3,G#/A♭ Major,4,7yi9GtzcszqW9qnCcwD0dg,JPWP02370140
6,"Tiny Ambition","初星学園,Go Shiina	,十王星南",145,7B,78,2025-01-17,05:26,26,"anime, ","Tiny Ambition",2024-11-16,34,23,0,31,0,10,-5,F Major,4,40jWMQgSmtf1r5M4GDvcM1,JPX832005450
7,"Hope","Tota",107,3B,76,2025-04-20,03:42,28,"j-pop","Hope",2025-04-09,78,37,0,96,0,0,-6,C♯/D♭ Major,4,6TAbxQCvmh1pufM8WZm9ze,JPPC02510873
8,"シャンランラン","miwa",135,12B,86,2025-05-02,04:04,9,"j-pop, anime","Princess",2016-06-22,63,12,0,70,0,10,-3,E Major,4,5WfSyxiLYmMfvEfH6EstH9,JPU901601522
9,"The Cute!!!","初星学園,金山秀士,藤田ことね",88,11B,92,2025-05-02,03:52,26,"","The Cute!!!",2025-04-29,53,3,0,31,0,30,-4,A Major,4,306HSNsGZm3roWCoZSU9Nd,JPX832500041
10,"GREATEST","音乃瀬奏",91,11B,94,2025-05-03,03:40,42,"","GREATEST",2025-04-21,58,3,0,56,10,40,-4,A Major,4,3vp7EiLq532iTfN7LicN94,JPV752510144
11,"夏休み","Lyrical Lily",156,10B,95,2025-05-10,04:43,12,"","Lyrical Recollection",2025-01-22,57,19,0,79,0,20,-4,D Major,4,0xjlX9f4wQRk0yR9Qr1uGj,JPR562400419
12,"コハク","夢限大みゅーたいぷ",97,10B,79,2025-05-12,03:40,0,"","コハク",2024-08-26,58,1,0,44,0,0,-6,D Major,4,7r6rRny198trBUKN6ytDw8,JPR562400255
13,"Radio Happy - GAME VERSION","大槻唯 (CV: 山下七海)",132,12B,75,2025-05-20,02:09,20,"","THE IDOLM@STER CINDERELLA MASTER 041〜050 GAME VERSION",2022-12-07,65,1,0,96,0,40,-5,E Major,4,0Wh4a90tCUaBkv3a4RUGYA,JPCO01603770
14,"イフ (feat. 花里みのり&桐谷遥&桃井愛莉&日野森雫&初音ミク)","MORE MORE JUMP!",135,12A,98,2025-05-24,03:35,44,"vocaloid, j-pop","イフ/パラソルサイダー",2023-07-19,58,17,0,91,0,0,-1,C♯/D♭ Minor,4,3O9hXP63syyiV4wTURNmil,JPX302248220
15,"Fantasy Solfege","初星学園,倉本千奈",108,11B,75,2025-06-06,03:18,15,"","Fantasy Solfege",2025-03-19,65,16,0,31,0,10,-6,A Major,3,1iUI2aetAB0J7ReHrGYSgI,JPX832005867
