#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Smells Like Teen Spirit","Nirvana",117,3B,91,2022-01-09,05:01,87,"grunge, rock","Nevermind (Remastered)",1991-09-26,50,0,0,72,0,10,-5,C♯/D♭ Major,4,4CeeEOM32jQcH3eN9Q2dGj,USGF19942501
2,"Nothing Breaks Like a Heart (feat. Miley Cyrus)","Mark Ronson,Miley Cyrus",114,6A,79,2022-01-09,03:37,72,"","Nothing Breaks Like a Heart (feat. Miley Cyrus)",2018-11-30,60,1,0,24,0,30,-6,G Minor,4,27rdGxbavYJeBphck5MZAF,GBARL1801571
3,"Blinding Lights","The Weeknd",171,3B,73,2022-01-09,03:20,90,"","After Hours",2020-03-20,51,0,0,33,0,0,-6,C♯/D♭ Major,4,0VjIjW4GlUZAMYd2vXMi3b,USUG11904206
4,"Do Me a Favour","Arctic Monkeys",180,10A,74,2022-01-09,03:29,67,"indie, garage rock","Favourite Worst Nightmare",2007-04-22,47,0,6,62,0,0,-7,B Minor,4,2BqfIlpahcebJPeu1IUTEo,GBCEL0700069
5,"All The Things She Said","t.A.T.u.",180,4A,83,2022-01-10,03:34,86,"","200 KM/H In The Wrong Lane (10th Anniversary Edition)",2002-00-00,53,4,1,38,0,10,-6,F Minor,4,4bJygwUKrRgq1stlNXcgMg,RUA110100098
6,"Arms Tonite","Mother Mother",140,12B,65,2022-01-09,03:36,1,"","O My Heart",2008-09-23,69,10,0,32,0,10,-4,E Major,4,1rRwwqteLePmi70PGaC8ah,CAL450882110
7,"Say So","Doja Cat",111,10A,67,2022-01-09,03:57,80,"","Hot Pink",2019-11-07,79,26,0,78,10,0,-5,B Minor,4,3Dv1eDb0MEgF93GpLXlucZ,USRC11903454
8,"Strawberry Fields Forever - Remastered 2009","The Beatles",98,6B,50,2022-01-10,04:07,72,"classic rock, psychedelic rock","Magical Mystery Tour (Remastered)",1967-11-27,39,34,0,29,10,0,-12,A#/B♭ Major,4,3Am0IbOxmvlSXro7N5iSfZ,GBAYE0601640
9,"Girl is a Gun","Halsey",150,11A,87,2022-01-09,02:26,45,"","If I Can’t Have Love, I Want Power",2021-08-27,64,0,0,70,0,10,-5,F#/G♭ Minor,4,5sTsbKMuBuIZoGHfoFXdwU,USUM72106126
10,"Diamonds","Rihanna",92,10A,71,2024-12-17,03:45,78,"","Unapologetic (Deluxe)",2012-12-11,56,0,0,40,0,10,-5,B Minor,4,6O20JhBJPePEkBdrB5sqRx,USUM71211793
11,"Meet Me At Our Spot","THE ANXIETY,WILLOW,Tyler Cole",95,10B,47,2022-01-10,02:42,77,"","THE ANXIETY",2020-03-13,77,2,0,40,0,0,-8,D Major,4,07MDkzWARZaLEdKxo6yArG,QMJMT2002693
12,"Pity Party","Melanie Martinez",136,11A,73,2022-01-09,03:24,71,"","Cry Baby (Deluxe Edition)",2015-08-14,72,6,0,34,0,10,-4,F#/G♭ Minor,4,3fo6DYGktjENCiagUeU9yH,USAT21501170
13,"Baby I'm Yours","Arctic Monkeys",114,10B,60,2022-01-09,02:32,69,"indie, garage rock","Leave Before The Lights Come On",2006-08-14,46,22,0,64,0,10,-9,D Major,4,0SzvmWfOhoxZVGrmvb56YL,GBCEL0600319
14,"Stargazing","The Neighbourhood",160,8B,48,2022-01-09,03:37,71,"","Chip Chrome & The Mono-Tones (Deluxe)",2020-12-11,51,0,0,37,0,10,-8,C Major,4,0VF7YLIxSQKyNiFL3X6MmN,USSM12006844
15,"Levitating","Dua Lipa",103,11A,88,2022-01-09,03:23,82,"pop","Future Nostalgia",2020-03-27,70,6,0,91,0,20,-2,F#/G♭ Minor,4,39LLxExYz6ewLAcYrzQQyP,GBAHT1901299
16,"Bad Liar","Selena Gomez",121,3B,41,2022-01-09,03:34,65,"","Bad Liar",2017-05-18,97,19,0,73,0,0,-6,C♯/D♭ Major,4,2fZQIJew3nkNe99s2PKzul,USUM71704121
17,"It Ain't Me (with Selena Gomez)","Kygo,Selena Gomez",100,8B,53,2022-01-09,03:40,82,"tropical house, ","It Ain't Me (with Selena Gomez)",2017-02-16,64,12,0,52,0,0,-7,C Major,4,3eR23VReFzcdmS7TYCrhCe,SEBGA1700015
18,"MOOO!","Doja Cat",89,9B,41,2022-01-09,04:46,0,"","MOOO!",2018-08-31,88,46,0,55,20,10,-11,G Major,4,00bWqt93aqLXqKtzZoq7Jw,USRC11803114
19,"GUY.exe","Superfruit",110,9A,73,2022-01-09,03:42,69,"","Future Friends",2017-09-15,77,3,0,89,0,10,-5,E Minor,4,3JTjLyrnevl9ASw3ayGO2P,USRC11701437
20,"Alphabet Boy","Melanie Martinez",155,8B,85,2022-01-09,04:13,66,"","Cry Baby (Deluxe Edition)",2015-08-14,65,29,0,52,0,0,-6,C Major,4,3NDPcoeno6oasqi6Hs75Ax,USAT21501937
21,"Field Trip","Melanie Martinez",92,8B,78,2022-01-09,03:00,54,"","After School EP",2020-09-25,76,29,0,81,0,0,-6,C Major,4,722CyeKpgreqBAypTv5U3T,USAT22005795
22,"Heart Attack","Demi Lovato",174,4B,79,2022-01-09,03:30,83,"","Demi",2013-01-01,50,7,0,50,10,20,-5,G#/A♭ Major,4,1V6gIisPpYqgFeWbMLI0bA,USHR11334249
23,"Training Wheels","Melanie Martinez",114,11B,48,2022-01-09,03:25,70,"","Cry Baby (Deluxe Edition)",2015-08-14,57,70,0,8,0,0,-7,A Major,4,3EGW6TGGbdk6Ys1Y3HU3lj,USAT21501938
24,"Dirty Harry (feat. Bootie Brown)","Gorillaz,Bootie Brown",192,3A,88,2022-01-09,03:50,78,"","Demon Days",2005-05-23,63,3,8,87,10,60,-7,A#/B♭ Minor,4,2bfGNzdiRa1jXZRdfssSzR,GBAYE0402431
25,"Golden","Harry Styles",140,9A,84,2022-01-09,03:28,79,"","Fine Line",2019-12-13,45,21,0,25,0,10,-5,E Minor,4,45S5WTQEGOB1VHr1Q4FuPl,USSM11912586
26,"Dynamite","BTS",114,11A,77,2022-01-09,03:19,82,"k-pop","BE",2020-11-20,75,1,0,74,10,0,-4,F#/G♭ Minor,4,5QDLhrAOJJdNAmCTJ8xMyW,QM7282022872
27,"Freak","Doja Cat",117,9B,72,2022-01-09,04:44,78,"","Freak",2020-08-07,69,10,0,37,0,10,-6,G Major,3,3aA6xB0tOilDDX17fIJ0Bl,USRC12002580
28,"Lunchbox Friends","Melanie Martinez",93,2A,57,2022-01-09,02:49,67,"","K-12",2019-09-06,70,40,0,43,0,10,-7,D#/E♭ Minor,4,6viCrMdt8zgjOygIuJMC5X,USAT21902532
29,"Copy Cat (feat. Tierra Whack)","Melanie Martinez,Tierra Whack",176,5A,45,2022-01-09,03:52,58,"alternative r&b","Copy Cat (feat. Tierra Whack)",2020-02-10,71,62,0,81,10,0,-9,C Minor,3,4AhAT2GxKdNYWc5bmdoAES,USAT22000462
30,"So High","Doja Cat",132,3A,57,2022-01-09,03:21,77,"","So High",2014-03-11,65,13,0,66,0,0,-6,A#/B♭ Minor,4,2qyhy9ndo8tTGMzXeHTisR,USRC11400475
31,"Baby, I'm Jealous (feat. Doja Cat)","Bebe Rexha,Doja Cat",98,10A,87,2022-01-09,02:55,54,"","Baby, I'm Jealous (feat. Doja Cat)",2020-10-09,74,4,0,51,0,30,-2,B Minor,4,2fTdRdN73RgIgcUZN33dvt,USWB12003890
32,"Sunflower, Vol. 6","Harry Styles",160,6A,85,2022-01-09,03:41,69,"","Fine Line",2019-12-13,57,0,0,86,0,10,-7,G Minor,4,6iYMfxznTBlcVOgRHab2W0,USSM11912593
33,"Cyber Sex","Doja Cat",131,4B,66,2022-01-09,02:45,67,"","Hot Pink",2019-11-07,92,32,0,82,0,0,-6,G#/A♭ Major,4,1ghvzmzpx2nnrbx7wtpMgo,USRC11902809
34,"Liar","Camila Cabello",98,10A,50,2022-01-09,03:27,58,"","Liar",2019-09-04,74,2,0,65,0,30,-7,B Minor,4,7LzouaWGFCy4tkXDOOnEyM,USSM11905818
