#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Into the I-LAND","I-LAND",122,3B,92,2024-03-03,03:37,63,"k-pop","Into the I-LAND",2020-06-26,52,2,0,55,0,10,-5,C♯/D♭ Major,4,18W2OWFsdGCjG7iA4iYpMw,KRA492000740
2,"BLOSSOM","ENHYPEN",140,12A,68,2024-03-03,03:56,63,"k-pop","BLOSSOM",2023-08-01,60,43,0,53,0,20,-5,C♯/D♭ Minor,4,1ITbrYluZnnVIUXE4PAq2s,JPPO02302371
3,"Always","ENHYPEN",110,9B,77,2024-03-03,03:06,51,"k-pop","Always",2022-02-21,80,5,0,73,0,10,-4,G Major,4,6bLZ6JV1mAGz4xfS1ZwOMV,JPPO02200010
4,"道","Hikaru Utada",117,4A,72,2024-03-03,03:36,66,"j-pop, j-r&b, anime","Fantome",2016-09-28,75,31,0,40,0,10,-5,F Minor,4,4nYtqZDscX8TLvR4p0ON1s,JPPO01618584
5,"ひらりとパーキー","Kaneyorimasaru",135,9A,69,2024-03-03,04:03,47,"japanese indie, j-rock, j-pop","かけがえなくなりたい",2019-10-23,50,0,0,62,0,30,-3,E Minor,4,5qz2T8QVgHyYOAyWnTfSJb,JPVI02001017
6,"シンデレラボーイ","Saucy Dog",108,11B,74,2024-03-03,03:54,27,"j-pop, japanese indie","レイジーサンデー",2021-08-25,60,7,0,52,0,20,-6,A Major,4,1Vqs0lXeJafYZz2sxnfB3V,JPJ222101667
7,"ラストシーン","PLUE",138,10B,87,2024-03-03,04:09,41,"","ラストシーン",2019-08-08,53,3,0,72,0,10,-3,D Major,4,3Bd9OEaeElPjFVdLfLa6yt,TCJPJ1943004
8,"♡人生♡","Koresawa",200,3B,69,2024-03-03,03:21,58,"j-pop","かわいくしながら待ってるね",2023-04-05,48,4,0,71,0,10,-7,C♯/D♭ Major,4,6xUSwo6S2euQqUe98Euv6m,JPCO02304230
9,"First Love","Hikaru Utada",180,9B,43,2024-03-03,04:17,72,"j-pop, j-r&b, anime","First Love",1999-03-10,44,12,0,20,0,10,-8,G Major,4,39HrUxcvKF3jtLz7fUDWXc,JPTO09901670
10,"8ミリフィルム","Akasick",131,11B,93,2024-03-03,04:30,58,"","凛々フルーツ",2016-03-16,52,1,0,53,0,0,-2,A Major,4,2bKrbzyQRDIMcF1FIsHzAU,JPWP01670006
11,"全力少年","Sukima Switch",134,10B,79,2024-03-05,04:32,66,"j-pop, anime","空創クリップ",2005-07-20,64,25,0,73,0,30,-4,D Major,4,3Ztjw8utVpcrzms1RrsJvR,JPBV00500039
12,"Bite Me","ENHYPEN",105,3B,78,2024-03-05,02:37,80,"k-pop","DARK BLOOD",2023-05-22,80,28,0,69,10,10,-5,C♯/D♭ Major,4,7mpdNiaQvygj2rHoxkzMfa,USA2P2319853
13,"I NEED U - Spotify Singles","ENHYPEN",164,4A,68,2024-03-05,03:01,58,"k-pop","I NEED U - Spotify Singles",2024-02-16,64,12,0,82,0,30,-4,F Minor,4,3MOa6IKagO2lT9n0sI8fZQ,USA2P2406302
14,"Drunk-Dazed","ENHYPEN",133,4A,87,2024-03-05,03:13,77,"k-pop","BORDER : CARNIVAL",2021-04-26,60,0,0,45,0,0,-5,F Minor,4,1wcr8DjnN59Awev8nnKpQ4,USA2P2108330
15,"Make the change","ENHYPEN",111,8B,77,2024-03-05,03:07,47,"k-pop","定め",2022-10-25,81,4,0,86,0,20,-4,C Major,4,1rFczNvTD6flYm3IUdvLth,JPPO02203363
16,"Under the skin","&TEAM",114,11A,76,2024-03-05,03:11,58,"k-pop, j-pop","First Howling : NOW",2023-11-15,43,0,0,32,0,30,-5,F#/G♭ Minor,5,5AJ1DUUrMTjNZhANmYeswc,JPPO02204385
17,"Dropkick","&TEAM",122,4B,75,2024-03-05,02:58,56,"k-pop, j-pop","First Howling : NOW",2023-11-15,73,13,0,81,0,20,-4,G#/A♭ Major,4,3epNFRifLGAHdsuLCsaVfE,JPPO02303573
18,"I LOVE...","OFFICIAL HIGE DANDISM",172,11B,71,2024-03-05,04:42,60,"j-pop, anime, j-rock","I LOVE...",2020-02-12,54,2,0,39,0,20,-5,A Major,4,6Yrkz3dWqy933CQWQc4Yah,JPPC01902006
19,"花束","back number",160,10B,71,2024-03-05,04:46,78,"j-pop, j-rock","スーパースター",2011-10-26,52,2,0,51,0,30,-4,D Major,4,3QIAwtEEDOrv0g5NKCGrXZ,JPPO01131060
20,"リッツパーティー","back number",120,1B,87,2024-03-05,03:16,61,"j-pop, j-rock","スーパースター",2011-10-26,56,0,0,44,0,0,-3,B Major,4,1FDrCBlNru2OrVXePw1BFQ,JPPO01148805
21,"幸せ","back number",74,10A,57,2024-03-05,06:37,64,"j-pop, j-rock","スーパースター",2011-10-26,49,2,0,47,0,0,-3,B Minor,4,1YVuXOCjN1GkGYqZ8RCcF3,JPPO01100260
22,"オールドファッション","back number",176,2B,80,2024-03-05,04:12,46,"j-pop, j-rock","オールドファッション",2018-11-21,38,4,0,41,0,10,-4,F#/G♭ Major,4,2kt4h2GnPcsfDoRzSiwEnY,JPPO01805085
23,"瞬き","back number",80,5B,81,2024-03-05,05:23,55,"j-pop, j-rock","瞬き",2017-12-20,22,1,0,46,0,30,-3,D#/E♭ Major,4,2pf9CBiFpkMN3kW5sM4uYO,JPPO01706320
24,"君の恋人になったら","back number",140,7B,89,2024-03-05,04:04,72,"j-pop, j-rock","ハッピーエンド",2016-11-16,42,0,0,39,0,10,-2,F Major,4,0k4KaqElLVjdR6sVHPTS6h,JPPO01621210
25,"結","Saucy Dog",77,1B,73,2024-03-05,04:25,14,"j-pop, japanese indie","結",2020-03-13,57,25,0,53,0,10,-6,B Major,4,4Js8mAXoDvL4GiUJGYCRw7,JPJ222001401
26,"君と夏フェス","SHISHAMO",178,7B,98,2024-03-06,03:44,52,"japanese indie, j-rock, j-pop","SHISHAMO BEST",2019-06-19,38,0,0,77,0,0,-3,F Major,4,0mVtmQomDom72Y7UDm1ODi,JPD001400257
27,"君の目も鼻も口も顎も眉も寝ても覚めても超素敵!!!","SHISHAMO",100,10B,78,2024-03-06,03:38,46,"japanese indie, j-rock, j-pop","君の目も鼻も口も顎も眉も寝ても覚めても超素敵!!!",2021-02-24,67,1,0,27,0,0,-4,D Major,4,5Us9nHV0bOYJI7uh3wJQFf,JPPO02004858
28,"好-じょし-","Ami Sakaguchi",153,2B,93,2024-03-06,04:04,49,"j-pop, anime","好-じょし-(Special Edition)",2017-07-26,56,9,0,66,0,10,-2,F#/G♭ Major,4,6PkHHt7ji6c3HRSbUKsDB2,JPU901701493
29,"大阪LOVER","DREAMS COME TRUE",130,9A,73,2024-03-06,04:26,66,"j-pop, kayōkyoku, city pop","大阪LOVER",2007-01-01,75,1,0,55,0,30,-5,E Minor,4,2WpgKrUoWaZHQLTgT6aZBF,JPPO00701060
