#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"大不正解","back number",145,5A,94,2024-12-13,03:31,56,"j-pop, j-rock","大不正解",2018-08-22,50,0,0,56,10,0,-2,C Minor,4,3K4060BYVvhMef8WEjDdcQ,JPPO01802714
2,"Bunny Girl","AKASAKI",160,4A,68,2024-12-13,03:37,65,"j-pop","Bunny Girl",2024-10-02,73,0,0,68,0,20,-9,F Minor,4,5skCbGGAnc7Ns18Figz54h,JPPO02404187
3,"ただ声一つ","Rokudenashi",130,3B,50,2024-12-13,02:41,72,"j-pop, anime","ただ声一つ",2021-12-22,71,90,0,58,0,20,-6,C♯/D♭ Major,4,2e1gUS6Wv8GS8ZT6FMeE1J,JPPO02104849
4,"晴る","Yorushika",102,10A,57,2024-12-15,04:30,71,"j-pop, j-rock, anime, japanese indie","晴る",2024-01-05,70,3,0,73,10,10,-6,B Minor,4,5eY7692tmgHB9dbmq6wa2M,JPPO02304150
5,"君と羊と青","RADWIMPS",164,4B,96,2024-12-15,02:42,66,"anime, j-pop, j-rock","絶体絶命",2011-03-09,41,0,0,78,10,10,-2,G#/A♭ Major,4,17A3UTMUWzCRn7I42exBhF,JPTO01100017
6,"ただ君に晴れ","Yorushika",140,7B,83,2024-12-15,03:18,73,"j-pop, j-rock, anime, japanese indie","負け犬にアンコールはいらない",2018-05-09,68,34,0,96,0,10,-3,F Major,4,3wJHCry960drNlAUGrJLmz,JPA651804024
7,"オトノケ - Otonoke","Creepy Nuts",170,3B,84,2024-12-15,03:05,75,"anime, j-pop, j-rap","オトノケ - Otonoke",2024-10-04,52,6,6,64,30,10,-7,C♯/D♭ Major,4,6KYOlIwDHbrbeBbJEtQ0Fj,JPU902402594
8,"いいから","WANIMA",88,7B,94,2024-12-15,03:16,53,"j-pop, j-rock, melodic hardcore","Are You Coming?",2015-11-04,56,0,0,83,0,0,-3,F Major,4,0CELdXx5adnnmJnJABLTlJ,JPH201500043
9,"ワタリドリ","[Alexandros]",135,11B,96,2024-12-15,04:08,67,"j-rock, j-pop, anime","ALXD",2015-06-17,51,0,0,61,0,20,-4,A Major,4,0ve9Tpz8Yw0I4eXhWsy21o,JPPO01414065
10,"ＮＩＰＰＯＮ","Sheena Ringo",173,12B,92,2024-12-15,03:53,53,"j-pop, j-rock","日出処",2014-11-05,16,0,6,33,10,20,-3,E Major,4,5fNd7sXepdTAoBbitrj1Za,JPPO01405085
11,"堕天 - Daten","Creepy Nuts",200,3B,91,2024-12-15,02:52,68,"anime, j-pop, j-rap","アンサンブル・プレイ",2022-09-07,53,2,0,75,20,30,-5,C♯/D♭ Major,4,5HPsZwo40KA3GThqBFZFac,JPU902202057
12,"死ぬな！","Kocchi no Kento",110,9A,68,2024-12-15,03:28,54,"j-pop, anime","死ぬな！",2022-12-10,80,11,0,69,0,10,-9,E Minor,4,1ID5KbsGbd0QXvWPzDO7KY,TCJPT2290794
13,"あつまれ！パーティーピーポー","Yabai T-Shirts Yasan",164,10B,95,2024-12-15,03:12,47,"melodic hardcore, j-rock, j-pop","We love Tank-top",2016-11-02,49,8,0,56,10,10,-1,D Major,4,1lf0loFiOlaRW4YqZstfyI,JPPO01620817
14,"青い春","back number",130,10A,90,2024-12-15,03:56,57,"j-pop, j-rock","blues",2012-11-21,58,13,0,34,0,30,-4,B Minor,4,2SiI8d1ogRxmN4oQw2kAsH,JPPO01220667
