#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"supernatural","Ariana Grande",76,4B,71,2025-07-16,02:43,80,"pop","eternal sunshine",2024-03-08,58,10,0,52,10,10,-7,G#/A♭ Major,4,142PiXzA84lmEw2RstFHFa,USUM72317274
2,"blue - with MINNIE","yung kai,MINNIE",97,12B,31,2025-07-16,03:33,61,"k-pop","blue (with MINNIE)",2025-04-18,73,92,0,53,0,10,-12,E Major,3,6HIngEWX8ycnLjuUfSZyah,QMRSZ2500608
3,"number one girl","ROSÉ",175,9B,38,2025-07-16,03:36,67,"k-pop","number one girl",2024-11-22,29,29,0,14,0,10,-8,G Major,3,02CrqOYzrJR8fYOffhvRZZ,USAT22409167
4,"Pasilyo","SunKissed Lola",120,10B,61,2025-07-16,04:30,75,"opm, harana, pinoy indie, p-pop, parang","Pasilyo",2022-10-28,72,42,0,41,0,10,-5,D Major,3,0uZFcsx96wzbixsULmrg8o,AUBEC2225179
5,"Don't Know What To Do","BLACKPINK",130,11A,64,2025-07-16,03:21,65,"k-pop","Kill This Love",2019-04-05,63,10,0,41,0,10,-4,F#/G♭ Minor,4,4ghGrdxwqLA6ZoCiu0u4IR,KRA401900006
6,"Handlebars (feat. Dua Lipa)","JENNIE,Dua Lipa",152,10B,86,2025-07-16,03:04,74,"k-pop, pop","Ruby",2025-03-07,51,0,0,67,0,0,-4,D Major,4,3gJAFFELdZyIM8tiwLAikg,USQX92500266
7,"toxic till the end","ROSÉ",167,9B,60,2025-07-16,02:36,81,"k-pop","rosie",2024-12-06,41,5,0,30,10,10,-6,G Major,4,1z5ebC9238uGoBgzYyvGpQ,USAT22409170
8,"BIRDS OF A FEATHER","Billie Eilish",105,10B,51,2025-07-17,03:30,94,"","HIT ME HARD AND SOFT",2024-05-17,75,20,6,44,0,10,-10,D Major,4,6dOtVTDdiauQNBQEDOtlAB,USUM72401994
9,"we can't be friends (wait for your love)","Ariana Grande",116,7B,65,2025-07-17,03:48,79,"pop","eternal sunshine",2024-03-08,65,6,0,30,0,0,-8,F Major,4,46kspZSY3aKmwQe7O77fCC,USUM72317276
10,"WHISTLE","BLACKPINK",103,1B,72,2025-07-17,03:31,73,"k-pop","SQUARE ONE",2016-08-08,82,1,0,61,10,0,-5,B Major,4,6NEoeBLQbOMw92qMeLfI40,KRA401600168
11,"Dream","LISA",160,5B,52,2025-08-14,03:43,69,"k-pop","Alter Ego",2025-02-26,60,73,0,20,0,10,-5,D#/E♭ Major,4,5fFdUV9NMDxPjgkS54My63,USRC12403314
12,"Stuck with U (with Justin Bieber)","Ariana Grande,Justin Bieber",179,4B,45,2025-09-02,03:48,82,"pop, ","Stuck with U",2020-05-08,60,22,0,54,0,30,-7,G#/A♭ Major,3,4HBZA5flZLE435QTztThqH,USUM72009644
13,"Multo","Cup of Joe",208,1B,56,2025-09-11,03:57,81,"opm, harana, p-pop, parang, pinoy indie, kundiman","Multo",2024-09-14,47,43,0,44,0,10,-8,B Major,4,4cBm8rv2B5BJWU2pDaHVbF,PHV032412915
14,"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd,JENNIE,Lily-Rose Depp",85,4B,64,2025-09-13,04:04,92,"k-pop, ","The Idol Episode 4 (Music from the HBO Original Series)",2023-06-23,26,4,0,19,0,10,-6,G#/A♭ Major,4,7CyPwkp0oE8Ro9Dd5CUDjW,USUG12303881
15,"ลามปาม (circus)","BOWKYLION,Jeff Satur",182,8B,48,2025-09-19,04:56,63,"thai pop, t-pop, thai indie pop","ลามปาม (circus)",2025-08-07,31,16,0,36,0,0,-5,C Major,3,30CRjTYAXaJf5YBsNQHIvG,THWTD2510900
16,"วิงวอน (ex-change)","BOWKYLION",130,4A,52,2025-09-19,04:11,66,"thai pop, t-pop, thai indie pop","CHERRY",2024-11-19,67,60,0,63,0,10,-7,F Minor,4,4XaJuCQuIPM4Xz8O6csrdZ,THWTD2422300
17,"bittersweet","Madison Beer",110,7B,62,2025-10-22,03:22,79,"","bittersweet",2025-10-10,63,74,0,18,0,20,-7,F Major,4,3A02hWQ2ebOFDWSbAMNnpw,USSM12503876
18,"3am","ROSÉ",150,10B,65,2025-10-28,02:34,71,"k-pop","rosie",2024-12-06,60,37,0,32,0,10,-7,D Major,4,3y4q6bBdbXsTIaPiwiiUfy,USAT22409168
19,"เพลงรัก","Three Man Down",122,9B,63,2025-10-28,04:29,56,"thai pop, t-pop, thai rock, thai indie pop","เพลงรัก",2024-10-08,54,38,0,51,0,10,-5,G Major,3,0V3sKBY7Iypaufb6RzR3Er,THG012400774
20,"ที่คั่นหนังสือ (Sometimes)","BOWKYLION,NONT TANONT",92,5B,63,2025-10-30,04:52,70,"thai pop, t-pop, thai indie pop","ที่คั่นหนังสือ (Sometimes)",2025-04-25,59,31,0,53,0,10,-6,D#/E♭ Major,4,6vn8nzgxByxZDKLmIKYAkn,THWTD2505700
21,"FaSHioN","CORTIS",77,6A,85,2025-11-14,02:54,83,"k-pop","COLOR OUTSIDE THE LINES",2025-09-08,63,1,0,25,10,30,-4,G Minor,4,4ecdsGz3Hg6TKPwQ0ZOdJz,USA2P2536189
22,"stay a little longer","ROSÉ",77,11B,48,2025-11-14,04:06,71,"k-pop","rosie",2024-12-06,57,18,0,10,0,10,-6,A Major,3,5OdI6v2L7Aez4cclpbojiZ,USAT22409174
