#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Call Me Later","ENTJ",120,6A,71,-,05:14,0,"","Calyx",2021-11-09,66,0,90,8,0,20,-10,G Minor,4,1KfuY4HotYBvvhx0nfws2y,TCAFX2108319
2,"DAWN","Prins Emanuel,Spivak",120,3A,39,-,04:11,26,"","Imogen's Lament",2026-04-24,57,31,96,55,0,0,-19,A#/B♭ Minor,4,4ABIU60hI7mUamt7wqGTGm,SEYOK2608702
3,"How You Say (Daniel Avery Remix) - mixed","Factory Floor",118,8B,62,-,04:12,41,"","Late Night Tales: Barry Can't Swim (LNT Mix)",2026-03-06,65,1,93,25,0,30,-12,C Major,4,0aMsfs2f796rfI61VxpxzU,GB5EM2502266
4,"Balearic Bliss - Original Mix","Steen Thottrup,Denver Knoesen",111,12A,51,-,05:57,37,"lounge, ","Balearic Bliss",2017-03-03,65,29,78,14,0,10,-11,C♯/D♭ Minor,4,2Qk9aR2IjRBSfllpzkjxN5,DELM41705190
5,"It's Very Sunny","Casino Versus Japan",171,6B,68,-,04:45,38,"idm, drone, ambient, downtempo","Go Hawaii",1999-01-01,73,9,61,93,0,10,-8,A#/B♭ Major,4,75xmDddQUJKQjZtjr65QGG,USCW60750302
6,"Bbydhyonchord","Aphex Twin",123,3A,45,-,02:33,46,"idm, ambient","Drukqs",2001-10-22,80,67,96,88,0,10,-10,A#/B♭ Minor,4,0lLCH4mtQQYp6ASyJqhzgN,GBBPW0100141
7,"Sunset","ENTJ",140,8A,63,-,03:59,0,"","Calyx",2021-11-09,67,24,21,86,0,0,-13,A Minor,4,5rRrnQ7Y3dGF0rgvD50X0o,TCAFX2108327
8,"Balearic Incarnation","Dølle Jølle",112,8A,66,-,06:19,41,"","Balearic Incarnation (Todd Terjes Extra Døll Mix)",2008-08-22,56,2,84,59,0,30,-10,A Minor,4,6HxN4OABi6VovLm3VigN6o,DECY60800033
9,"Stoned to Say the Least","Saint Etienne",118,6B,55,-,07:42,32,"madchester, britpop, alternative dance","Foxbase Alpha",1992-01-10,64,0,86,23,0,20,-19,A#/B♭ Major,4,76WL8eSphBzDYZdeC8gMOj,USWB19903901
10,"Futuristic Trap","Orbitz",98,8A,81,-,02:39,23,"miami bass","This is My Life",2024-09-27,77,32,94,52,0,10,-11,A Minor,4,4IM6TcmzAB1ydUOs60VfMr,QT2VB2656433
