#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"ALIEN SUPERSTAR","Beyoncé",122,3A,64,2024-09-02,03:35,69,"","RENAISSANCE",2022-07-29,55,0,0,46,10,10,-6,A#/B♭ Minor,4,1Hohk6AufHZOrrhMXZppax,USSM12206231
2,"Diva","Beyoncé",146,11A,55,2024-09-02,03:20,72,"","I AM...SASHA FIERCE",2008-11-14,88,5,1,86,30,0,-7,F#/G♭ Minor,4,5Ssv6DaKrW0HczVqx6zXdl,USSM10804755
3,"Flawless Remix (feat. Nicki Minaj)","Beyoncé,Nicki Minaj",137,4B,66,2024-09-02,03:54,63,"","BEYONCÉ [Platinum Edition]",2014-11-24,64,24,0,46,20,40,-7,G#/A♭ Major,4,0zVMzJ37VQNFUNvdxxat2E,USSM11406084
4,"Partition","Beyoncé",176,10A,44,2024-09-02,05:19,73,"","BEYONCÉ [Platinum Edition]",2014-11-24,42,3,7,17,20,30,-12,B Minor,4,5hgnY0mVcVetszbb85qeDg,USSM11307803
5,"Formation","Beyoncé",122,4A,62,2024-09-02,03:26,72,"","Lemonade",2016-04-23,90,1,0,82,20,20,-7,F Minor,4,6g0Orsxv6glTJCt4cHsRsQ,USSM11603186
6,"Are You Satisfied?","MARINA",124,8B,71,2024-09-02,03:18,71,"","The Family Jewels",2009-07-15,67,30,0,84,0,0,-5,C Major,4,6lKRMylSZMtA7EqPl0pcdI,GBFFS0900114
7,"Oh No!","MARINA",127,8B,90,2024-09-02,03:00,62,"","The Family Jewels",2009-07-15,78,6,0,96,0,20,-4,C Major,4,4umN41ggyywUcvMbZxhcHR,GBFFS0900127
8,"Ruler of Everything","Tally Hall",83,10A,79,2024-09-02,03:42,63,"","Marvin's Marvelous Mechanical Museum",2005-10-24,58,20,0,34,30,0,-8,B Minor,4,3vFZheR74pxUkzxqhXTZ2X,TCAAY1158676
9,"successful","Ariana Grande",114,5A,60,2024-09-02,03:47,66,"pop","Sweetener",2018-08-17,85,11,0,74,0,10,-5,C Minor,4,5YeHLHDdQ4nKHk81XFWhCU,USUM71808578
10,"Maneater","Nelly Furtado",133,2B,78,2024-09-02,04:18,86,"","Loose",2006-01-01,80,3,0,79,0,10,-5,F#/G♭ Major,4,4wH4dJgrsxONID6KS2tDQM,USUM70601449
11,"Bloody Mary","Lady Gaga",100,8A,63,2024-09-02,04:04,76,"art pop, pop","Born This Way (International Special Edition Version)",2011-05-23,59,1,0,44,0,10,-6,A Minor,4,53jnnqFSRGMDB9ADrNriCA,USUM71106449
12,"Brand New City","Mitski",148,4A,83,2024-09-02,02:12,68,"","Lush",2012-01-31,48,5,0,66,0,0,-6,F Minor,4,47k7FCxk7ylTwKCnJ3QTVc,USCGH1222958
13,"Money Power Glory","Lana Del Rey",137,1A,53,2024-09-02,04:30,66,"","Ultraviolence (Deluxe)",2014-01-01,35,58,0,29,0,30,-7,G#/A♭ Minor,5,7Ms58r8G6Y0r1XLtpwoGxN,GBUM71402109
14,"MONEY","LISA",140,12A,55,2024-09-02,02:48,74,"k-pop","LALISA",2021-09-10,83,16,0,40,20,10,-10,C♯/D♭ Minor,4,7hU3IHwjX150XLoTVmjD0q,KRA402100099
15,"Boss Bitch","Doja Cat",126,3A,96,2024-09-02,02:14,76,"","Boss Bitch",2020-01-23,71,13,0,57,20,20,-5,A#/B♭ Minor,4,78qd8dvwea0Gosb6Fe6j3k,USAT21907355
16,"you should see me in a crown","Billie Eilish",150,12B,53,2024-09-02,03:00,77,"","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,68,46,22,32,10,10,-10,E Major,4,3XF5xLJHOQQRbWya6hBp7d,USUM71810049
17,"Daisy","Ashnikko",122,4B,66,2024-09-02,02:26,68,"","DEMIDEVIL",2021-01-15,83,24,0,77,10,30,-6,G#/A♭ Major,4,2g1KggY9PKvsoEAOaiz4xx,GBAYE2000596
18,"COPYCAT","Billie Eilish",125,9A,39,2024-09-02,03:14,74,"","dont smile at me",2017-12-22,68,35,0,23,0,30,-11,E Minor,4,5w7wuzMzsDer96KqxafeRK,USUM71707478
19,"Rolling in the Deep","Adele",105,4B,77,2024-09-02,03:48,80,"soft pop","21",2011-01-24,73,14,0,51,0,0,-5,G#/A♭ Major,4,1c8gk2PeTE04A1pIDH9YMk,GBBKS1000335
20,"The Man","Taylor Swift",110,8B,66,2024-09-02,03:10,78,"","Lover",2019-08-23,78,8,0,63,0,0,-5,C Major,4,3RauEVgRgj1IuWdJ9fDs70,USUG11901474
21,"I Did Something Bad","Taylor Swift",83,5A,60,2024-09-02,03:58,74,"","reputation",2017-11-10,70,7,0,31,10,0,-6,C Minor,4,4svZDCRz4cJoneBpjpx8DJ,USCJY1750005
