#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Little Dark Age","MGMT",98,2B,71,2022-10-13,04:59,80,"indie","Little Dark Age",2018-02-09,71,1,0,62,0,10,-6,F#/G♭ Major,4,2Y0iGXY6m6immVb2ktbseM,USSM11707035
2,"Rhinestone Eyes","Gorillaz",93,1A,70,2022-10-13,03:20,78,"","Plastic Beach",2010-03-05,68,9,0,85,0,0,-6,G#/A♭ Minor,4,1foMv2HQwfQ2vntFf9HFeG,GBAYE1000017
3,"High Enough","K.Flay",89,8B,62,2022-10-13,03:51,62,"","Every Where Is Some Where",2017-04-07,37,3,10,51,0,10,-5,C Major,4,1D9HQactbJoUudf9B119Y5,USUM71701789
4,"Devil Town","Cavetown",100,5B,76,2022-10-13,02:59,72,"bedroom pop","Cavetown",2015-11-09,58,12,0,50,0,10,-8,D#/E♭ Major,4,0vf2eBw2inhl8y61cYQMv2,TCADM1818860
5,"Hermit the Frog","MARINA",122,8B,68,2022-10-13,03:35,66,"","The Family Jewels",2009-07-15,61,24,0,49,0,20,-5,C Major,4,4Zcz6saEkOII3PlXd9gN3o,GBFFS0900117
6,"Backstabber","Kesha",160,9B,94,2022-10-13,03:06,72,"","Animal (Expanded Edition)",2010-01-01,60,7,0,83,10,30,-2,G Major,4,4GRFzKI7jTZ3kbMfouc7bn,USRC10900741
7,"Pacify Her","Melanie Martinez",158,8A,59,2022-10-13,03:40,76,"","Cry Baby (Deluxe Edition)",2015-08-14,58,5,0,37,0,20,-6,A Minor,4,360Wr96ywrCQq4kTAJ8Pq6,USAT21501941
8,"Are You Satisfied?","MARINA",124,8B,71,2022-10-13,03:18,71,"","The Family Jewels",2009-07-15,67,30,0,84,0,0,-5,C Major,4,6lKRMylSZMtA7EqPl0pcdI,GBFFS0900114
9,"Money Power Glory","Lana Del Rey",110,1A,53,2022-10-13,04:30,0,"","Ultraviolence (Deluxe)",2014-01-01,42,60,0,30,0,30,-7,G#/A♭ Minor,4,1ZtEuqWK1KnPtWo7wHXNXm,GBUM71402109
10,"Bad Girls","M.I.A.",143,3B,91,2022-10-13,03:47,75,"","Matangi",2013-01-01,64,0,0,34,0,10,-3,C♯/D♭ Major,4,6nzXkCBOhb2mxctNihOqbb,USUG11200143
11,"All For Us - from the HBO Original Series Euphoria","Labrinth,Zendaya",71,5B,65,2022-10-13,03:12,72,"","All For Us (from the HBO Original Series Euphoria)",2019-08-04,35,2,0,17,0,30,-7,D#/E♭ Major,4,10hMM5nsZQf66ldBlgWBfG,USUG11902729
12,"Washing Machine Heart","Mitski",106,11B,82,2022-10-13,02:08,83,"","Be the Cowboy",2018-08-17,61,1,51,57,0,40,-4,A Major,4,3jjsRKEsF42ccXf8kWR3nu,USJ5G1815012
13,"Snap Out of It","Arctic Monkeys",130,4A,63,2022-10-13,03:12,0,"indie, garage rock","AM",2013-09-10,72,19,0,90,0,10,-6,F Minor,4,63otWg6eWBt3ldXFtDJiXN,GBCEL1300371
14,"My Ordinary Life","The Living Tombstone",176,8A,66,2022-10-13,03:50,74,"","My Ordinary Life",2017-11-23,68,2,35,58,0,20,-9,A Minor,4,6tMdpUXfT70TD6Eh3XfB1p,QZANL1777908
15,"She's My Collar (feat. Kali Uchis)","Gorillaz,Kali Uchis",140,1B,82,2022-10-13,03:29,80,"","Humanz (Deluxe)",2017-04-28,73,1,8,46,0,10,-6,B Major,4,3lIxtCaROdRDuTnNBDm3n2,GBAYE1700176
16,"Everybody Wants To Rule The World","Tears For Fears",112,9B,80,2022-10-13,04:11,86,"new wave, synthpop","Songs From The Big Chair (Super Deluxe Edition)",1985-02-25,65,35,0,54,0,10,-12,G Major,4,4RvWPyQ5RL0ao9LPZeSouE,GBF088590110
17,"After Dark","Mr.Kitty",140,4B,60,2023-01-20,04:17,3,"witch house, darkwave","Time",2014-08-08,58,7,41,4,0,0,-10,G#/A♭ Major,4,0zCgWGmDF0aih5qexATyBn,GBKPL1412568
18,"Without Me","Eminem",112,9B,67,2022-10-13,04:50,89,"rap, hip hop","The Eminem Show",2002-05-26,91,0,0,66,0,20,-3,G Major,4,7lQ8MOhq6IN2w8EYcFNSUk,USIR10211038
19,"Mount Everest","Labrinth",88,5A,43,2023-04-19,02:37,80,"","Imagination & the Misfit Kid",2019-11-22,49,24,7,44,20,0,-7,C Minor,4,1ZdhOMWyFR8Iv9eylMGYg2,GBHMU1800032
20,"Bubblegum Bitch","MARINA",158,5A,86,2022-10-13,02:34,81,"","Electra Heart (Deluxe)",2012-04-27,50,0,0,61,0,10,-5,C Minor,4,6IbnUaczZBT34DhaD6S18F,GBFFS1200008
21,"Oh No!","MARINA",127,8B,90,2023-01-31,03:02,73,"","The Family Jewels",2009-07-15,77,5,0,96,0,20,-4,C Major,4,4sNwdacKyi2S26WrRtNama,GBFFS0900127
22,"I Want It All","Arctic Monkeys",131,7B,85,2022-10-13,03:04,0,"indie, garage rock","AM",2013-09-10,51,0,6,38,0,0,-6,F Major,4,1bOxsHWMVCf3vAfFMZJvGi,GBCEL1300366
