#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"you should see me in a crown","Billie Eilish",150,12B,53,2023-04-29,03:00,77,"","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,68,46,22,32,10,10,-10,E Major,4,3XF5xLJHOQQRbWya6hBp7d,USUM71810049
2,"Boss Bitch","Doja Cat",126,3A,96,2023-04-29,02:14,76,"","Boss Bitch",2020-01-23,71,13,0,57,20,20,-5,A#/B♭ Minor,4,78qd8dvwea0Gosb6Fe6j3k,USAT21907355
3,"Play with Fire (feat. Yacht Money)","Sam Tinnesz,Yacht Money",75,7A,54,2023-04-29,03:00,74,"","Play with Fire (feat. Yacht Money)",2017-07-07,57,2,0,39,0,10,-6,D Minor,4,7vguMCv8uVuZLiQJ156u3Z,TCADC1794515
4,"National Anthem","Lana Del Rey",85,5A,90,2023-04-29,03:50,69,"","Born To Die - The Paradise Edition",2012-01-01,53,53,0,44,20,10,-6,C Minor,4,7cNz65PfCatRXoX7QtqM2A,GBUM71111567
5,"Are You Satisfied?","MARINA",124,8B,71,2023-04-29,03:18,56,"","The Family Jewels (Deluxe)",2010-02-15,67,30,0,84,0,0,-5,C Major,4,7loxeufSLQPImESzV0Cn30,GBFFS0900114
6,"Oh No!","MARINA",127,8B,90,2023-04-29,03:00,54,"","The Family Jewels (Deluxe)",2010-02-15,78,6,0,96,0,20,-4,C Major,4,6VjwcHNnkztQPXlnly9GD0,GBFFS0900127
7,"Bloody Mary","Lady Gaga",100,8A,63,2023-04-29,04:04,76,"art pop, pop","Born This Way (International Special Edition Version)",2011-05-23,59,1,0,44,0,10,-6,A Minor,4,53jnnqFSRGMDB9ADrNriCA,USUM71106449
8,"Look What You Made Me Do","Taylor Swift",128,8A,71,2023-04-29,03:31,79,"","reputation",2017-11-10,77,20,0,51,10,10,-6,A Minor,4,1P17dC1amhFzptugyAO7Il,USCJY1750000
9,"High Hopes","Panic! At The Disco",82,7B,90,2023-04-29,03:10,84,"emo","Pray for the Wicked",2018-06-22,58,19,0,68,0,0,-3,F Major,4,1rqqCSm0Qe4I9rUvWncaom,USAT21801174
10,"Jealous Girl","pamral",83,10A,85,2023-04-29,02:17,0,"","Jealous Girl",2023-04-17,64,14,0,70,0,20,-9,B Minor,4,49eZuuimvtJnBo1owzvsc1,QZHNA2338025
