#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Les","Childish Gambino",103,12A,67,2025-10-25,05:17,88,"","Camp",2011-11-15,54,1,0,13,0,20,-7,C♯/D♭ Minor,4,7ghKr0pCYyPPyp7t1FH8k4,USYAH1100353
2,"Heartbeat","Childish Gambino",120,12A,55,2025-10-25,04:29,85,"","Camp",2011-11-15,80,0,0,29,10,0,-7,C♯/D♭ Minor,4,5AGQSF0ytihJyt96K5vW9d,USYAH1100351
3,"Flashing Lights","Kanye West,Dwele",90,11A,63,2025-10-25,03:57,89,"rap, neo soul","Graduation",2007-09-11,64,4,0,43,0,30,-8,F#/G♭ Minor,4,5TRPicyLGbAF2LGBFbHGvO,USUM70749095
4,"Timeless (feat Playboi Carti)","The Weeknd,Playboi Carti",120,10A,78,2025-10-25,04:16,90,"rage rap","Hurry Up Tomorrow",2025-01-31,77,7,0,60,0,10,-5,B Minor,4,0FIDCNYYjNvPVimz5icugS,USUG12406536
5,"luther (with sza)","Kendrick Lamar,SZA",138,10B,57,2025-10-25,02:57,85,"hip hop, west coast hip hop, r&b","GNX",2024-11-21,71,25,0,58,10,20,-8,D Major,4,2CGNAOSuO1MEFCbBRgUzjd,USUG12408496
6,"Magnolia","Playboi Carti",163,10A,58,2025-10-25,03:01,79,"rage rap","Playboi Carti",2017-04-14,79,1,0,44,20,30,-7,B Minor,4,1e1JKLEDKP7hEQzJfNAgPl,USUM71703095
7,"Beauty And A Beat","Justin Bieber,Nicki Minaj",128,8B,84,2025-10-25,03:47,95,"","Believe",2012-01-01,60,0,0,53,0,0,-5,C Major,4,6QFCMUUq1T2Vf5sFUXcuQ7,USUM71205367
8,"Super Bass","Nicki Minaj",127,1B,86,2025-10-25,03:20,80,"","Pink Friday (Complete Edition)",2010-11-22,72,27,0,67,20,60,-4,B Major,4,3hlksXnvbKogFdPbpO9vel,USCM51000734
9,"CHIHIRO","Billie Eilish",110,9B,43,2025-10-25,05:03,87,"","HIT ME HARD AND SOFT",2024-05-17,70,14,88,52,0,0,-13,G Major,4,7BRD7x5pt8Lqa1eGYC4dzj,USUM72401988
10,"All The Stars (with SZA) - From  Black Panther: The Album ","Kendrick Lamar,SZA",97,4B,63,2025-10-25,03:52,91,"hip hop, west coast hip hop, r&b","Black Panther The Album Music From And Inspired By",2018-02-09,70,6,0,56,0,0,-5,G#/A♭ Major,4,3GCdLUSnKSMJhs4Tj6CV3s,USUM71713947
11,"Money Trees","Kendrick Lamar,Jay Rock",72,9B,53,2025-10-25,06:26,81,"hip hop, west coast hip hop, ","good kid, m.A.A.d city",2012-00-00,72,7,0,34,10,20,-7,G Major,4,2HbKqm4o0w5wEeEFXm2sD4,USUM71210785
12,"Piano Tiles","armani west",119,3B,68,2025-10-25,01:21,67,"","Mania",2025-03-28,72,10,0,57,0,20,-5,C♯/D♭ Major,4,0fk09gyOmgKeA5AB9sX9Uj,QZZ4J2502177
13,"When Will My Life Begin? - From  Tangled  / Soundtrack Version","Mandy Moore",108,12B,42,2025-10-25,02:32,70,"","Tangled",2010-01-01,67,11,0,39,0,0,-8,E Major,4,03xWMkKEbeO4SnylA53ipj,USWD11054836
14,"The Way I Are","Timbaland,Keri Hilson,D.O.E.",115,2B,81,2025-10-25,02:59,87,"","Shock Value",2007-01-01,73,18,75,77,0,30,-6,F#/G♭ Major,4,2bLqfJjuC5syrsgDsZfGmn,USUM70722806
15,"Long Way 2 Go","Cassie",105,4B,66,2025-10-25,03:40,83,"","Cassie (U.S. Version)",2006-08-07,59,6,0,68,0,30,-8,G#/A♭ Major,4,4v5kAh2wWyCSuKuhMJK8u6,USBB40610297
16,"Get Back","Britney Spears",117,4B,90,2025-10-25,03:50,64,"pop","Blackout",2007-10-25,77,34,0,70,0,10,-4,G#/A♭ Major,4,59Xb5YkZ1AFrMD19T6cKr8,USJI10700753
17,"Yummy","Ayesha Erotica",91,3A,66,2025-10-25,02:40,70,"hyperpop","Fresh Meat",2017-10-25,78,1,0,66,30,0,-12,A#/B♭ Minor,4,3TFXn86LF4e4bQC6q0SmmP,DEKB72082777
18,"Runaway","Kanye West,Pusha T",85,12A,57,2025-10-27,09:07,86,"rap, ","My Beautiful Dark Twisted Fantasy",2010-11-22,37,22,0,11,10,50,-4,C♯/D♭ Minor,4,3DK6m7It6Pw857FcQftMds,USUM71027402
19,"Murder On The Dancefloor","Sophie Ellis-Bextor",117,12A,85,2025-10-27,03:50,81,"","Read My Lips (Deluxe Version)",2002-06-06,73,0,0,89,0,30,-5,C♯/D♭ Minor,4,4tKGFmENO69tZR9ahgZu48,GBAKW0100229
