#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Money, Money, Money","ABBA",121,8A,70,2025-11-08,03:06,72,"","Arrival",1976-00-00,79,54,0,65,0,0,-7,A Minor,4,3lKN03PDeBnXZS7sDukRBt,SEAYD7601060
2,"Fame - 2016 Remaster","David Bowie",95,6B,56,2025-11-08,04:21,66,"glam rock, art rock","Young Americans (2016 Remaster)",1975-03-07,79,45,2,67,0,0,-10,A#/B♭ Major,4,1PehfITh0TTRx3LkDdV4h3,USJT11600052
3,"In My Feelings","Lana Del Rey",90,10B,67,2025-11-08,03:58,69,"","Lust For Life",2017-07-21,54,6,6,31,0,10,-6,D Major,4,269xqcgGTN9PlivhUkOLhX,GBUM71702623
4,"Obsessed","Mariah Carey",86,3A,47,2025-11-08,04:02,83,"christmas","Memoirs of an imperfect Angel (International Version)",2009-09-29,74,5,0,37,0,80,-6,A#/B♭ Minor,4,5EGPf0nqO7vEIwsOX6Er98,USUM70973055
5,"Opening Night","The Weeknd",180,9A,65,2025-11-08,01:36,64,"","Hurry Up Tomorrow",2025-01-31,41,4,10,51,10,30,-8,E Minor,4,4Msr8L0gHGDsLSBlk7pSPU,USUG12501134
6,"Narcissus","Paris Paloma",74,8A,33,2025-11-08,04:10,47,"","Narcissus",2020-09-24,27,60,0,8,0,10,-12,A Minor,4,4mnTRSc77AxJoPA9Bu2p6g,QZ93L2046756
7,"Padişahım","Paptircem",160,7B,86,2025-11-08,02:33,2,"","Padişahım",2023-04-28,63,22,0,85,0,0,-9,F Major,4,0kQKA9E7CkYTA4l3MXbQrI,QM6MZ2388938
8,"Feed the Machine","Poor Man's Poison",176,9A,45,2025-11-08,03:03,71,"southern gothic","Feed the Machine",2020-07-17,64,46,0,77,10,40,-11,E Minor,4,40wmXUgVB0N5eLK8CuOhm3,TCAEZ2046970
9,"Work","Gang Starr",93,3B,83,2025-11-08,02:57,67,"east coast hip hop, old school hip hop, hip hop, boom bap","Moment Of Truth",1998-03-31,78,3,0,82,30,0,-5,C♯/D♭ Major,4,1EiLrPd8JMTcQUr1aLEUKi,USVI29800538
10,"THANK GOD","Travis Scott",135,3A,55,2025-11-08,03:04,71,"rap","UTOPIA",2023-07-28,66,25,0,58,0,10,-7,A#/B♭ Minor,4,1PH2MDbcBAU094DlgTIND1,USSM12305005
11,"Return of the Mack","Mark Morrison",95,10B,83,2025-11-08,03:33,82,"","Return of the Mack",1996-04-22,72,1,0,61,10,10,-5,D Major,4,3jDdpx9PMlfMBS5tOBHFm9,GBAHT0200668
12,"Capital G","Nine Inch Nails",163,9B,89,2025-11-08,03:49,40,"industrial rock, industrial, industrial metal, alternative metal, nu metal","Year Zero",2007-04-17,34,3,0,68,10,0,-4,G Major,4,1CYhjCjo6dUCUn2zYRvGKa,USUM70727124
13,"LOOKATME","Jann",123,3A,48,2025-11-08,03:02,55,"","Power",2022-03-25,73,56,0,70,10,0,-9,A#/B♭ Minor,4,5QGhOS4dpiSdcwuqnWzpxE,PLB172200026
14,"6 Inch (feat. The Weeknd)","Beyoncé,The Weeknd",138,2B,64,2025-11-08,04:20,63,"","Lemonade",2016-04-23,52,4,0,32,0,10,-9,F#/G♭ Major,4,0pxNyJJiL2zZZ5GgJ4JhsQ,USSM11603179
15,"Church Outfit","Poppy",105,3B,69,2025-11-08,01:54,46,"","Zig",2023-10-27,67,5,4,16,0,50,-8,C♯/D♭ Major,4,0W3DFkqWU7O6xR3WTtBLOK,USYFZ2334301
