#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Oh No!","MARINA",127,8B,90,2022-04-06,03:02,73,"","The Family Jewels",2009-07-15,77,5,0,96,0,20,-4,C Major,4,4sNwdacKyi2S26WrRtNama,GBFFS0900127
2,"Are You Satisfied?","MARINA",124,8B,73,2022-04-06,03:21,66,"","The Family Jewels",2009-07-15,67,32,0,80,0,0,-5,C Major,4,411Hvulc0PrGQLOHljTYed,GBFFS0900114
3,"The Family Jewels","MARINA",112,7A,55,2022-04-06,04:05,55,"","The Family Jewels",2010-02-15,78,68,0,52,0,10,-5,D Minor,4,4pRfzrPuKvtqYGwOJ5F6ZZ,GBFFS0900130
4,"Look What You Made Me Do","Taylor Swift",128,8A,71,2022-04-06,03:31,79,"","reputation",2017-11-10,77,20,0,51,10,10,-6,A Minor,4,1P17dC1amhFzptugyAO7Il,USCJY1750000
5,"Maneater","Nelly Furtado",133,2B,78,2022-04-06,04:18,86,"","Loose",2006-01-01,80,3,0,79,0,10,-5,F#/G♭ Major,4,4wH4dJgrsxONID6KS2tDQM,USUM70601449
6,"Boss Bitch","Doja Cat",126,3A,96,2022-04-06,02:14,76,"","Boss Bitch",2020-01-23,71,13,0,57,20,20,-5,A#/B♭ Minor,4,78qd8dvwea0Gosb6Fe6j3k,USAT21907355
7,"Woman","Doja Cat",108,4A,76,2022-04-06,02:52,85,"","Planet Her",2021-06-25,82,9,0,88,0,10,-4,F Minor,4,6Uj1ctrBOjOas8xZXGqKk4,USRC12101532
8,"The Man","Taylor Swift",110,8B,66,2022-04-06,03:10,78,"","Lover",2019-08-23,78,8,0,63,0,0,-5,C Major,4,3RauEVgRgj1IuWdJ9fDs70,USUG11901474
9,"I Did Something Bad","Taylor Swift",83,5A,60,2022-04-06,03:58,74,"","reputation",2017-11-10,70,7,0,31,10,0,-6,C Minor,4,4svZDCRz4cJoneBpjpx8DJ,USCJY1750005
10,"Whatever It Takes","Imagine Dragons",135,3A,66,2022-04-06,03:21,84,"","Evolve",2017-06-23,67,4,0,56,0,10,-5,A#/B♭ Minor,4,6Qn5zhYkTa37e91HC1D7lb,USUM71703515
11,"Money Power Glory","Lana Del Rey",137,1A,53,2022-04-06,04:30,66,"","Ultraviolence (Deluxe)",2014-01-01,35,58,0,29,0,30,-7,G#/A♭ Minor,5,7Ms58r8G6Y0r1XLtpwoGxN,GBUM71402109
12,"Daisy","Ashnikko",122,4B,66,2022-04-06,02:26,63,"","Daisy",2020-07-09,83,24,0,77,10,30,-6,G#/A♭ Major,4,0AUvWawuP0ibk4SQ3sIZjk,GBAYE2000596
13,"Dark Horse","Katy Perry,Juicy J",132,2B,59,2022-04-06,03:35,77,"pop, crunk","PRISM (Deluxe)",2013-10-18,65,0,0,35,0,10,-6,F#/G♭ Major,4,5jrdCoLpJSvHHorevXBATy,USUM71311296
14,"Better Than Revenge","Taylor Swift",146,10A,92,2022-04-06,03:37,60,"","Speak Now",2010-10-25,52,2,0,65,0,30,-3,B Minor,4,0PWgAyoxsjwGRuFSO0fyya,USCJY1003664
15,"Easy On Me","Adele",142,7B,37,2022-04-06,03:44,78,"soft pop","Easy On Me",2021-10-14,60,58,0,13,0,10,-8,F Major,4,0gplL1WMoJ6iYaPgMCL0gX,USSM12105970
16,"Viva La Vida","Coldplay",138,4A,62,2022-04-06,04:02,75,"","Viva La Vida or Death and All His Friends",2008-06-19,49,10,0,42,0,10,-7,F Minor,4,3Fcfwhm8oRrBvBZ8KGhtea,GBAYE0800265
17,"Nightmare","Halsey",146,8A,62,2022-04-06,03:51,2,"","Nightmare",2019-05-17,61,2,0,54,0,30,-5,A Minor,4,340UVheS8z3ncW9TTUhAbc,USUM71907487
18,"Royals","Lorde",85,9B,43,2022-04-06,03:10,81,"","Pure Heroine",2013-09-27,67,12,0,34,10,10,-10,G Major,4,2dLLR6qlu5UJ5gk0dKz0h3,NZUM71200031
19,"Skyfall","Adele",76,5A,55,2022-04-06,04:46,86,"soft pop","Skyfall",2012-10-04,35,42,0,8,0,10,-7,C Minor,4,6VObnIkLVruX4UVyxWhlqm,GBBKS1200164
20,"VILLAIN","K/DA,Madison Beer,Kim Petras,League of Legends",160,4A,63,2022-04-06,03:19,7,"k-pop, ","ALL OUT",2020-11-06,65,2,0,31,0,0,-6,F Minor,4,3QSjVPObHxuAJc3E5nrjRn,QZH6S1900275
21,"Circus","Britney Spears",115,11A,73,2022-04-06,03:12,81,"pop","Circus (Deluxe Version)",2008-12-02,79,15,0,76,0,0,-5,F#/G♭ Minor,4,7jk7gqyEonmVVYahZN5zhW,USJI10801081
22,"Bitch Better Have My Money","Rihanna",103,3B,73,2022-04-06,03:39,76,"","Bitch Better Have My Money",2015-03-26,78,5,0,40,0,20,-5,C♯/D♭ Major,4,0NTMtAO2BV4tnGvw9EgBVq,QM5FT1500006
23,"Radioactive","Imagine Dragons",136,11B,78,2022-04-06,03:06,81,"","Night Visions",2012-09-04,45,10,0,24,0,60,-4,A Major,4,62yJjFtgkhUrXktIoSjgP2,USUM71201074
24,"Hall of Fame (feat. will.i.am)","The Script,will.i.am",85,6B,87,2022-04-06,03:22,83,"","#3 Deluxe Version",2012-09-10,42,7,0,63,0,10,-4,A#/B♭ Major,4,7wMq5n8mYSKlQIGECKUgTX,GBARL1201055
25,"Centuries","Fall Out Boy",176,9A,86,2022-04-06,03:48,83,"emo, pop punk","American Beauty/American Psycho",2015-01-16,39,0,0,56,0,10,-3,E Minor,4,04aAxqtGp5pv12UXAg4pkq,USUM71412644
26,"Ain't Shit","Doja Cat",124,5B,49,2022-04-06,02:54,81,"","Planet Her",2021-06-25,86,51,0,62,20,30,-5,D#/E♭ Major,4,5lAnYvAIkSDNXqfo7DyFUm,USRC12101540
