#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Who Is She ?","I Monster",153,12A,80,2022-11-24,03:33,0,"","Neveroddoreven",2005-01-27,40,7,1,11,0,0,-4,C♯/D♭ Minor,4,6AdgGDGbdRMoCVkGye11Zw,GBDKA0300194
2,"Play with Fire (feat. Yacht Money)","Sam Tinnesz,Yacht Money",75,7A,54,2022-11-24,03:00,74,"","Play with Fire (feat. Yacht Money)",2017-07-07,57,2,0,39,0,10,-6,D Minor,4,7vguMCv8uVuZLiQJ156u3Z,TCADC1794515
3,"Poker Face","Lady Gaga",119,12B,81,2022-11-24,03:57,82,"art pop, pop","The Fame",2008-01-01,85,12,0,77,0,10,-5,E Major,4,5R8dQOPq8haW94K7mgERlO,USUM70824409
4,"Little Dark Age","MGMT",98,2B,71,2022-11-24,04:59,80,"indie","Little Dark Age",2018-02-09,71,1,0,62,0,10,-6,F#/G♭ Major,4,2Y0iGXY6m6immVb2ktbseM,USSM11707035
5,"Are You Satisfied?","MARINA",124,8B,71,2022-11-24,03:18,71,"","The Family Jewels",2009-07-15,67,30,0,84,0,0,-5,C Major,4,6lKRMylSZMtA7EqPl0pcdI,GBFFS0900114
6,"Way down We Go","KALEO",82,3A,58,2022-11-24,03:39,63,"","Way down We Go",2015-08-07,59,61,0,26,0,0,-6,A#/B♭ Minor,4,7aUuoq4oMfLxaLa5GVUDHi,USAT21502122
7,"Mount Everest","Labrinth",88,5A,43,2022-11-24,02:37,80,"","Imagination & the Misfit Kid",2019-11-22,49,24,7,44,20,0,-7,C Minor,4,1ZdhOMWyFR8Iv9eylMGYg2,GBHMU1800032
8,"Everybody Wants To Rule The World","Tears For Fears",112,9B,80,2022-11-24,04:11,86,"new wave, synthpop","Songs From The Big Chair (Super Deluxe Edition)",1985-02-25,65,35,0,54,0,10,-12,G Major,4,4RvWPyQ5RL0ao9LPZeSouE,GBF088590110
9,"Money Power Glory","Lana Del Rey",110,1A,53,2022-11-24,04:30,0,"","Ultraviolence (Deluxe)",2014-01-01,42,60,0,30,0,30,-7,G#/A♭ Minor,4,1ZtEuqWK1KnPtWo7wHXNXm,GBUM71402109
10,"The Way I Am","Eminem",87,9A,87,2022-11-24,04:50,76,"rap, hip hop","The Marshall Mathers LP",2000-05-23,79,14,0,32,20,30,-3,E Minor,4,23wfXwnsPZYe5A1xXRHb3J,USIR10000589
11,"Therefore I Am","Billie Eilish",94,10B,37,2022-11-24,02:53,73,"","Happier Than Ever",2021-07-30,88,23,14,66,0,0,-8,D Major,4,20R4HfKloPKgXDqU7UKk3x,USUM72021500
12,"masquerade","siouxxie sixxsta",161,11B,79,2022-11-24,02:24,67,"hyperpop","masquerade",2021-11-11,61,0,65,61,0,20,-6,A Major,4,0RYHqnmtNRfbYxP6Dn8Vse,USAT22107451
