#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Hayloft II","Mother Mother",178,8A,87,2022-05-29,03:35,75,"","Inside (Deluxe)",2022-01-28,33,0,0,17,10,0,-5,A Minor,4,0kYMwaQWABTkFff8AZjmYI,CAW112100716
2,"Genius (feat. Sia, Diplo, and Labrinth)","Sia,Diplo,Labrinth,LSD",159,10A,62,2022-05-29,03:33,77,"moombahton, dance pop","LABRINTH, SIA & DIPLO PRESENT... LSD",2019-04-12,60,8,0,56,10,10,-5,B Minor,4,4xigPf2sigSPmuFH3qCelB,USQX91800798
3,"Supermassive Black Hole","Muse",120,9B,92,2022-05-29,03:32,84,"alternative rock, rock","Black Holes and Revelations",2006-06-28,67,5,1,78,0,0,-4,G Major,4,3lPr8ghNDBLc2uZovNyLs9,GBAHT0500593
4,"Bang Bang Bang Bang","Sohodolls",94,3A,58,2022-05-29,03:01,64,"","Ribbed Music For The Numb Generation",2007-09-24,73,52,0,37,0,10,-7,A#/B♭ Minor,4,1MPMUZopRX9DFx3HXToTKG,GBHGV0700025
5,"Bubblegum Bitch","MARINA",158,5A,86,2022-05-29,02:34,81,"","Electra Heart (Deluxe)",2012-04-27,50,0,0,61,0,10,-5,C Minor,4,6IbnUaczZBT34DhaD6S18F,GBFFS1200008
6,"Hayloft","Mother Mother",96,8A,92,2022-05-29,03:01,3,"","O My Heart",2008-09-23,53,0,0,49,0,40,-3,A Minor,4,2kS6td1yvmpNgZTt1q5pQq,CAL450882108
7,"Pumped Up Kicks","Foster The People",128,4A,71,2022-05-29,03:59,87,"","Torches",2011-05-23,73,14,12,97,0,10,-6,F Minor,4,7w87IxuO7BDcJ3YUqCyMTT,USSM11002931
8,"Killer Queen","Queen",117,6B,50,2022-05-29,03:00,52,"classic rock, rock, glam rock","Sheer Heart Attack",1974-11-08,57,34,0,60,0,0,-12,A#/B♭ Major,4,70wvmV1Dyg1xWtCYSngm4R,GBCEE9300004
9,"The Bidding","Tally Hall",175,8A,61,2022-05-29,02:40,68,"","Marvin's Marvelous Mechanical Museum",2005-10-24,54,25,0,52,20,10,-5,A Minor,4,0HBrtXJohbIW4IhPZ50GmH,TCAAY1150083
10,"Sex with a Ghost","Teddy Hyde",79,10A,33,2022-05-29,03:52,0,"","Sock-Footed",2018-04-02,48,86,0,41,0,10,-12,B Minor,4,1baoZlq32nBee9tcYbQYxV,uscgj1853748
