#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"My Ordinary Life","The Living Tombstone",176,8A,66,2022-06-07,03:50,74,"","My Ordinary Life",2017-11-23,68,2,35,58,0,20,-9,A Minor,4,6tMdpUXfT70TD6Eh3XfB1p,QZANL1777908
2,"Mad Hatter","Melanie Martinez",92,4B,69,2022-06-07,03:21,71,"","Cry Baby (Deluxe Edition)",2015-08-14,57,2,0,58,0,10,-5,G#/A♭ Major,4,5gWtkdgdyt5bZt9i6n3Kqd,USAT21501943
3,"I WANNA BE YOUR SLAVE","Måneskin",133,3B,61,2022-06-07,02:53,86,"","Teatro d'ira - Vol. I",2021-03-19,75,0,0,96,0,10,-4,C♯/D♭ Major,4,4pt5fDVTg5GhEvEtlz9dKk,ITB002100115
4,"Welcome to The Internet","Bo Burnham",95,7A,53,2022-06-07,04:35,37,"comedy","INSIDE (DELUXE)",2022-06-03,67,66,0,22,40,30,-9,D Minor,3,5L3r0tukwNUef7nPqYQTw2,USA2P2122073
5,"Without Me","Eminem",112,9B,67,2022-06-07,04:50,89,"rap, hip hop","The Eminem Show",2002-05-26,91,0,0,66,0,20,-3,G Major,4,7lQ8MOhq6IN2w8EYcFNSUk,USIR10211038
6,"My Alcoholic Friends","The Dresden Dolls",110,9A,68,2022-06-07,02:47,76,"","Yes, Virginia",2006-03-29,60,18,0,75,0,0,-4,E Minor,4,2gvmxusSOe3vNjNDjQWaso,NLA320581712
7,"Poker Face","Lady Gaga",119,12B,81,2022-06-07,03:57,86,"art pop, pop","The Fame",2008-01-01,85,12,0,77,0,10,-5,E Major,4,1QV6tiMFM6fSOKOGLMHYYg,USUM70824409
8,"Do I Wanna Know?","Arctic Monkeys",85,7B,53,2022-06-07,04:32,89,"indie, garage rock","AM",2013-09-09,55,19,0,41,0,20,-8,F Major,4,5FVd6KXrgO9B3JPmC8OPst,GBCEL1300362
9,"Toxic","Britney Spears",143,4A,84,2022-06-07,03:18,87,"pop","In The Zone",2003-11-13,77,2,3,92,10,20,-4,F Minor,4,6I9VzXrHxO9rA9A5euc8Ak,USJI10301005
10,"All Star","Smash Mouth",104,1B,87,2022-06-07,03:20,81,"","Astro Lounge",1999-06-08,73,4,0,78,0,0,-6,B Major,4,3cfOd4CMv2snFaKAnMdnvK,USIR19902220
11,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X,Jack Harlow",150,2A,70,2022-06-07,03:32,75,"","INDUSTRY BABY (feat. Jack Harlow)",2021-07-23,74,2,0,89,0,0,-7,D#/E♭ Minor,4,27NovPIUIRrOZoCHxABJwK,USSM12104539
12,"cowboy like me","Taylor Swift",128,8B,52,2022-06-07,04:35,65,"","evermore",2020-12-11,60,77,0,51,0,10,-9,C Major,4,1XjHRolIXL2M1EEOUsGGR4,USUG12004714
13,"I Can't Decide","Scissor Sisters",97,5B,81,2022-06-07,02:46,61,"","Ta-Dah",2006-01-01,69,24,0,87,0,20,-5,D#/E♭ Major,4,7f6RiVFXqUT3dWi35OznLI,GBUM70602614
14,"The Real Slim Shady","Eminem",105,4A,66,2022-06-07,04:44,86,"rap, hip hop","The Marshall Mathers LP",2000-05-23,95,3,0,76,0,0,-4,F Minor,4,3yfqSUWxFvZELEM4PmlwIR,USIR10000448
15,"#BrooklynBloodPop!","SyKo",132,12A,81,2022-06-07,02:25,2,"hyperpop","#BrooklynBloodPop!",2020-07-27,69,2,0,51,10,30,-4,C♯/D♭ Minor,4,7K9Z3yFNNLv5kwTjQYGjnu,QZK6Q2049800
16,"Teenagers","My Chemical Romance",112,12B,86,2022-06-07,02:41,83,"emo, pop punk","The Black Parade",2006-10-20,46,5,0,86,0,10,-3,E Major,4,7j31rVgGX9Q2blT92VBEA0,USRE10602912
17,"Why'd You Only Call Me When You're High?","Arctic Monkeys",92,10B,63,2022-06-07,02:41,87,"indie, garage rock","AM",2013-09-09,69,5,0,80,0,10,-6,D Major,4,086myS9r57YsLbJpU0TgK9,GBCEL1300370
18,"peace","Taylor Swift",150,7B,27,2022-06-07,03:54,64,"","folklore",2020-07-24,65,92,0,34,0,0,-13,F Major,4,7MbT4I8qGntX4fMdqMQgke,USUG12002849
19,"Crazy = Genius","Panic! At The Disco",114,10B,91,2022-06-07,03:18,63,"emo","Death of a Bachelor",2016-01-15,46,0,0,45,10,10,-4,D Major,4,6V68ItawQkQlZhYIf1S86C,USAT21503697
20,"Peek-A-Boo","Red Velvet",115,12A,90,2022-06-07,03:09,64,"k-pop","Perfect Velvet - The 2nd Album",2017-11-17,84,9,0,64,0,20,-4,C♯/D♭ Minor,4,42tFTth2jcF7iSo0RBjfJF,KRA301700600
21,"Teeth","5 Seconds of Summer",139,2A,45,2022-06-07,03:25,83,"","CALM",2020-03-27,75,4,0,43,0,0,-3,D#/E♭ Minor,4,3NxWJWftvkstyxvb1pZlFo,USUG11902528
22,"Choke","I DONT KNOW HOW BUT THEY FOUND ME",120,9A,85,2022-06-07,03:15,66,"","Choke",2018-08-24,52,0,0,58,0,30,-4,E Minor,4,37mfTcSlX60JtAvAETytGs,TCADH1774692
23,"Seven Nation Army","The White Stripes",124,9A,45,2022-06-07,03:52,86,"garage rock, blues rock, rock, alternative rock","Elephant",2003-04-01,74,0,12,28,0,30,-8,E Minor,4,3dPQuX8Gs42Y7b454ybpMR,USVT10300001
24,"The Bidding","Tally Hall",175,8A,61,2022-06-07,02:40,68,"","Marvin's Marvelous Mechanical Museum",2005-10-24,54,25,0,52,20,10,-5,A Minor,4,0HBrtXJohbIW4IhPZ50GmH,TCAAY1150083
25,"Lotta True Crime","Penelope Scott",159,4B,41,2022-06-07,03:22,65,"","Public Void",2020-09-25,50,33,6,40,20,10,-14,G#/A♭ Major,4,18jbMG8etanCMt6C5wFRDa,QZK6F2019391
