#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Hayloft","Mother Mother",96,8A,92,2025-04-25,03:01,73,"","O My Heart",2008-09-23,53,0,0,45,0,40,-3,A Minor,4,2kKkl59fY6Cic1CmhvSEZK,CAL450882108
2,"Beggin (original version)","Madcon",129,9A,80,2025-04-25,03:36,74,"norwegian hip hop","So Dark The Con Of Man",2007-12-03,72,3,0,45,0,0,-5,E Minor,4,1XyL3J7eTTKnxRZAM3LqIT,NOBLV0703011
3,"Problems","Mother Mother",104,3B,85,2025-04-25,03:27,68,"","Eureka",2011-03-15,63,1,3,53,0,10,-4,C♯/D♭ Major,4,32XPs7Frm2dQRI4BraStaX,CAL451028707
4,"The Cult of Dionysus","The Orion Experience,ORION,Linda XO",138,12A,84,2025-04-25,03:07,65,"","Cosmicandy",2006-01-01,66,1,0,80,0,0,-4,C♯/D♭ Minor,4,08KTQSs3ickNki7FFTb6fY,USCGH0714735
5,"LoveGame","Lady Gaga",105,11A,68,2025-04-25,03:36,77,"art pop, pop","The Fame",2008-01-01,89,1,0,84,0,30,-6,F#/G♭ Minor,4,0eH2eHURaXUP15D8gQlfjx,USUM70824404
6,"Gimme More","Britney Spears",113,10B,84,2025-04-25,04:11,86,"pop","Blackout",2007-10-25,79,25,0,38,0,0,-3,D Major,4,6ic8OlLUNEATToEFU3xmaH,USJI10700609
7,"Toxic","Britney Spears",143,4A,84,2025-04-25,03:18,87,"pop","In The Zone",2003-11-13,77,2,3,92,10,20,-4,F Minor,4,6I9VzXrHxO9rA9A5euc8Ak,USJI10301005
8,"Backstabber","Kesha",160,9B,94,2025-04-25,03:06,72,"","Animal (Expanded Edition)",2010-01-01,60,7,0,83,10,30,-2,G Major,4,4GRFzKI7jTZ3kbMfouc7bn,USRC10900741
9,"Crazy Girls","TOOPOOR",90,4A,66,2025-04-25,03:14,66,"","Crazy Girls",2019-02-08,66,4,0,48,0,70,-4,F Minor,4,6cSDNYoWlMxzVfJLn6H301,UKELY1800162
10,"Runway Walk (Bonus) (feat. Brevi)","Demrick",93,9B,67,2025-04-25,03:10,75,"","#HeadsUP",2014-01-07,76,2,0,54,20,20,-9,G Major,4,49G3ExbNrPDgopoEwjhEsQ,USUYG1038821
11,"Nasty Dog","Sir Mix-A-Lot",117,3A,68,2025-04-25,04:00,72,"old school hip hop","Chief Boot Knocka",1994-01-01,90,1,0,80,10,0,-10,A#/B♭ Minor,4,3ZP1AbM0rurWtqQIhTVcln,USLIC0701169
12,"Lockjaw","Sir Mix-A-Lot",128,9B,71,2025-04-25,04:19,66,"old school hip hop","Mack Daddy",1992-01-01,90,1,0,77,20,0,-10,G Major,4,78c0iFKLJQlSxYydzoirBI,USSM19100224
13,"Brown Shuga","Sir Mix-A-Lot",120,9A,93,2025-04-25,04:10,64,"old school hip hop","Chief Boot Knocka",1994-01-01,89,2,1,40,10,0,-9,E Minor,4,381mOI2NNLbPKwnsF8AjYJ,USLIC0701163
14,"Crazy In Love (feat. JAY-Z)","Beyoncé,JAŸ-Z",99,7A,77,2025-04-25,03:56,80,"hip hop, east coast hip hop, rap","Dangerously In Love",2003-06-24,65,0,0,68,20,0,-7,D Minor,4,5IVuqXILoxVWvWEPm82Jxr,USSM10305425
15,"Bang Bang Bang Bang","Sohodolls",94,3A,58,2025-04-25,03:01,64,"","Ribbed Music For The Numb Generation",2007-09-24,73,52,0,37,0,10,-7,A#/B♭ Minor,4,1MPMUZopRX9DFx3HXToTKG,GBHGV0700025
16,"Sexy And I Know It","LMFAO",130,9B,86,2025-04-25,03:19,73,"","Sorry For Party Rocking",2011-01-01,71,10,0,80,30,10,-4,G Major,4,70Vdd1gx5tn84jkAU31ASv,USUM71108090
17,"Poker Face","Lady Gaga",119,12B,81,2025-04-25,03:57,86,"art pop, pop","The Fame",2008-01-01,85,12,0,77,0,10,-5,E Major,4,1QV6tiMFM6fSOKOGLMHYYg,USUM70824409
18,"Yeah! (feat. Lil Jon & Ludacris)","USHER,Lil Jon,Ludacris",105,10B,79,2025-04-25,04:10,88,"r&b, crunk, southern hip hop","Confessions (Expanded Edition)",2004-03-23,89,2,0,58,10,0,-5,D Major,4,5rb9QrpfcKFHM1EUbSIurX,USAR10301423
19,"Let's Groove","Earth, Wind & Fire",125,10A,65,2025-04-25,05:39,83,"funk, disco","Raise!",1981-11-14,87,12,0,90,0,10,-9,B Minor,4,3koCCeSaVUyrRo3N2gHrd8,USSM18100641
20,"Smells Like Teen Spirit","Nirvana",117,3B,91,2025-04-25,05:01,87,"grunge, rock","Nevermind (Remastered)",1991-09-26,50,0,0,72,0,10,-5,C♯/D♭ Major,4,4CeeEOM32jQcH3eN9Q2dGj,USGF19942501
21,"Come As You Are","Nirvana",120,9A,82,2025-04-25,03:38,85,"grunge, rock","Nevermind (Remastered)",1991-09-26,50,0,0,54,0,0,-6,E Minor,4,2RsAajgo0g7bMCHxwH3Sk0,USGF19942503
