#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Elle ne t'aime pas","La Femme,Marlon Magnée,Saxa Goth",131,9B,70,2025-11-23,03:58,64,"french indie pop, french pop, french house","Mystère",2016-09-02,56,8,86,58,0,10,-10,G Major,4,6QEvbmv2euCQxX54gjlarO,FR9W11610758
2,"En boucle","GP Explorer,Adèle Castillon,Zamdane",135,4B,42,2025-11-23,04:06,64,"french rap, french pop, french indie pop","The Last Race",2025-10-03,39,63,0,28,0,0,-9,G#/A♭ Major,3,4frYOVaMfQ7iyvKLehnARi,FR9W12548509
3,"Le vent nous portera","Sophie Hunger",91,9A,16,2025-11-23,03:46,51,"","1983",2010-03-25,55,91,14,7,0,10,-18,E Minor,4,0D0mUGCsl0rfKi3nIROn9h,CH4931000020
4,"Motel","Ashh",93,8A,63,2025-11-23,04:01,65,"french rap","CRUISE",2015-12-24,39,22,1,10,0,10,-11,A Minor,4,5gJTFGsEWpjma28XdJbkWP,FR8PB1700130
5,"Taxi","Angèle",76,8A,31,2025-11-23,04:18,60,"french pop, variété française, french indie pop, chanson","Nonante-Cinq",2021-12-02,42,90,0,5,0,0,-12,A Minor,3,5Mp9GMJ8HODxuy5ebsRPOB,BE8HB2100020
6,"melodrama","disiz,Theodora",154,4B,67,2025-11-23,02:56,80,"french rap, shatta","melodrama",2025-09-26,70,19,0,62,10,10,-5,G#/A♭ Major,4,5Y8C6KjzBRKvcT3Aln1Bc4,FR9W12550711
7,"Gisèle - Part 4","Luidji",88,9B,31,2026-02-03,05:34,59,"french rap, french r&b","Tristesse Business : Saison 1",2019-04-26,64,75,0,19,0,10,-14,G Major,4,6ZAoS3dnU1Hha59H3Fxw6L,FR9W11829984
8,"Néons rouges / Belles chansons","Luidji",100,6B,46,2026-02-03,03:58,59,"french rap, french r&b","Tristesse Business : Saison 1",2019-04-26,56,12,1,45,10,0,-12,A#/B♭ Major,4,5caUjWecFugMA5zUep6IOJ,FR9W11820503
9,"ALEXIS","Luidji",171,3B,45,2026-02-03,03:08,56,"french rap, french r&b","Saison 00",2023-06-22,47,64,13,39,40,80,-10,C♯/D♭ Major,3,1rvtenfxsnnxGWxSOZSrc7,FR9W12320124
10,"Système","Luidji",144,10A,41,2026-02-03,03:49,63,"french rap, french r&b","Tristesse Business : Saison 1",2019-04-26,79,41,0,69,70,0,-14,B Minor,4,1XNFIJMhSR7ozrxxjc9mcd,FR9W11907124
11,"Peace, Haine, Love","Josman",140,10B,38,2026-02-03,04:01,63,"french rap","M.A.N (Black Roses & Lost Feelings)",2022-03-18,90,22,0,33,30,10,-10,D Major,3,2Xm6MU14w5N6kuOnp9nU3H,FRDCV2200780
12,"Flemme","Angèle",112,5A,67,2026-02-26,04:16,72,"french pop, variété française, french indie pop, chanson","Brol",2018-10-05,76,6,0,19,0,10,-9,C Minor,4,2TL8q8EO60b9lWeozfqYnG,BE8HB1800013
13,"Parisienne High Level","aupinard",130,8B,56,2026-03-02,02:31,54,"french r&b, bossa nova","Parisienne High Level",2024-03-01,78,22,0,26,10,10,-13,C Major,4,5OYJXif1vzHZFvFORFBpvI,FR8Y72400019
14,"Chico & Rita","FEEL",196,6A,50,2026-04-28,02:49,51,"french r&b","Chico & Rita",2024-06-14,62,75,16,44,0,0,-12,G Minor,4,2EW0Luc4X3WcBkDgub41jf,FRDCV2401510
15,"un thé?","aupinard",110,7B,73,2026-04-28,02:32,57,"french r&b, bossa nova","un thé?",2026-02-27,74,23,0,79,0,10,-8,F Major,4,0vfazLBkcqqyQHJEcdrQDP,FR8Y72600020
16,"SOLEIL","a6el",173,2B,94,2026-04-28,02:48,72,"","SOLEIL",2025-06-20,61,3,0,87,0,10,-6,F#/G♭ Major,4,6AoOzPhqx5LbtYfKBlBrEG,QZTB62526233
17,"Tu le mérites","Luidji",96,11A,33,2026-04-28,02:49,56,"french rap, french r&b","Tristesse Business : Saison 1",2019-04-26,77,51,0,60,40,10,-13,F#/G♭ Minor,4,3egdUIOSA9co3NXn3MNft2,FR9W11829983
18,"Bahia","Luidji",76,8A,41,2026-04-28,02:52,52,"french rap, french r&b","Saison 00",2023-06-22,60,26,1,28,10,0,-10,A Minor,1,3hDImmXyGj6ceuXc54vkKS,FR9W12320132
19,"Miskine","Luidji",119,10A,48,2026-04-28,03:00,57,"french rap, french r&b","Saison 00",2023-06-22,82,3,17,48,0,20,-7,B Minor,4,1oAJcJ1Wqg5lkHHTdRGOld,FR9W12320134
