#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"My Ordinary Life","The Living Tombstone",176,8A,66,2022-09-02,03:50,74,"","My Ordinary Life",2017-11-23,68,2,35,58,0,20,-9,A Minor,4,6tMdpUXfT70TD6Eh3XfB1p,QZANL1777908
2,"Happy Pills","Weathers",116,9A,89,2022-09-02,03:23,65,"","Happy Pills",2016-06-03,52,0,1,34,10,30,-5,E Minor,4,3zjjzKg16tczCMwckGKGuH,USRC11600888
3,"Do I Wanna Know?","Arctic Monkeys",85,7B,53,2022-09-02,04:32,89,"indie, garage rock","AM",2013-09-09,55,19,0,41,0,20,-8,F Major,4,5FVd6KXrgO9B3JPmC8OPst,GBCEL1300362
4,"all the good girls go to hell","Billie Eilish",185,1A,44,2022-09-02,02:48,73,"","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,73,28,14,57,30,10,-9,G#/A♭ Minor,4,6IRdLKIyS4p7XNiP8r6rsx,USUM71900766
5,"Without Me","Eminem",112,9B,67,2022-09-02,04:50,89,"rap, hip hop","The Eminem Show",2002-05-26,91,0,0,66,0,20,-3,G Major,4,7lQ8MOhq6IN2w8EYcFNSUk,USIR10211038
6,"Bloody Mary","Lady Gaga",100,8A,63,2022-09-02,04:04,76,"art pop, pop","Born This Way (International Special Edition Version)",2011-05-23,59,1,0,44,0,10,-6,A Minor,4,53jnnqFSRGMDB9ADrNriCA,USUM71106449
7,"If U Seek Amy","Britney Spears",130,9A,59,2022-09-02,03:36,76,"pop","Circus (Deluxe Version)",2008-12-02,72,2,0,54,0,0,-7,E Minor,4,2hdy9Wt9qp7M7d0U3ossu2,USJI10801329
8,"Teenagers","My Chemical Romance",112,12B,86,2022-09-02,02:41,83,"emo, pop punk","The Black Parade",2006-10-20,46,5,0,86,0,10,-3,E Major,4,7j31rVgGX9Q2blT92VBEA0,USRE10602912
9,"Choke","I DONT KNOW HOW BUT THEY FOUND ME",120,9A,85,2022-09-02,03:15,66,"","Choke",2018-08-24,52,0,0,58,0,30,-4,E Minor,4,37mfTcSlX60JtAvAETytGs,TCADH1774692
10,"Me Too","Meghan Trainor",124,10A,69,2022-09-02,03:01,76,"","Thank You (Deluxe Version)",2017-05-12,93,10,0,83,10,40,-6,B Minor,4,3KwwE4sgCzMaKWq6QBebmX,USSM11601177
11,"I Love You Like An Alcoholic","The Taxpayers",108,9A,42,2022-09-02,03:35,0,"folk punk, anti-folk"," God, Forgive These Bastards  Songs From The Forgotten Life of Henry Turner",2012-06-19,61,38,0,21,0,10,-6,E Minor,4,7u63zva845rv8tRFi9FG8a,US4ZV1200087
12,"ECHO (feat. Gumi) [dj-Jo Remix]","Crusher-P",140,2A,86,2022-09-02,03:56,41,"vocaloid","ECHO (dj-Jo Remix)",2016-02-24,67,1,0,63,10,10,-4,D#/E♭ Minor,4,4CzBTrBlUR2YO4XrXP2nNr,USE831543531
13,"しかばねの踊り","Kikuo",135,11A,83,2022-09-02,03:48,66,"vocaloid","きくおミク3",2013-09-11,70,26,0,86,0,0,-4,F#/G♭ Minor,4,6a0G8hYEyxqvEkebVLU5VK,JPE561302155
14,"Everybody Gets High","MISSIO",59,1B,56,2022-09-02,03:32,57,"","Loner",2017-05-19,43,2,0,46,20,0,-7,B Major,4,3nH3Gtm9GQVfiaYDr4AXji,USRC11700802
15,"Judas","Lady Gaga",131,3A,93,2022-09-02,04:09,84,"art pop, pop","Born This Way (International Special Edition Version)",2011-05-23,66,0,0,53,0,20,-4,A#/B♭ Minor,4,7F25roCtYi55JouckaayPC,USUM71104998
16,"The Real Slim Shady","Eminem",105,4A,66,2022-09-02,04:44,86,"rap, hip hop","The Marshall Mathers LP",2000-05-23,95,3,0,76,0,0,-4,F Minor,4,3yfqSUWxFvZELEM4PmlwIR,USIR10000448
17,"The Bidding","Tally Hall",175,8A,61,2022-09-02,02:40,68,"","Marvin's Marvelous Mechanical Museum",2005-10-24,54,25,0,52,20,10,-5,A Minor,4,0HBrtXJohbIW4IhPZ50GmH,TCAAY1150083
18,"Welcome to The Internet","Bo Burnham",95,7A,53,2022-09-02,04:35,68,"comedy","INSIDE",2021-06-10,67,66,0,22,40,30,-9,D Minor,3,3s44Qv8x974tm0ueLexMWN,USA2P2122073
19,"Happy Face","Jagwar Twin",178,11B,71,2022-09-02,02:49,0,"","Happy Face",2020-12-11,42,2,0,37,0,10,-6,A Major,4,6QNCvcs758QuBEBISL6XIV,QZNWS2055769
