#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Halls Of Illusions","Insane Clown Posse",176,8B,91,2025-01-07,04:20,59,"horrorcore, rap rock","The Great Milenko",1997-01-01,57,13,0,56,20,20,-4,C Major,4,3EA2bm1FrvW2HM1anselr1,USIR29700343
2,"Boogie Woogie Wu","Insane Clown Posse",88,9B,70,2025-01-07,04:24,65,"horrorcore, rap rock","The Great Milenko",1997-01-01,73,0,0,36,20,30,-7,G Major,4,2nKZMOEvOyTViP09HxBfXx,USIR29700347
3,"Imma Kill U","Insane Clown Posse",108,3A,94,2025-03-17,04:30,51,"horrorcore, rap rock","Bang! Pow! Boom! Blue",2009-09-01,94,26,0,75,20,20,-3,A#/B♭ Minor,4,2Bke2ZbHLzv8j5Rv16uYYx,US2X60900963
4,"Bitches","Mindless Self Indulgence",96,11B,72,2025-01-07,02:45,71,"","Frankenstein Girls Will Seem Strangely Sexy",2000-02-11,70,3,6,54,10,10,-7,A Major,4,7wwLxmUVLCfySaJ0fdyelI,USEE19900304
5,"Issues","Mindless Self Indulgence",120,9B,90,2025-01-07,03:04,54,"","If",2008-04-29,77,12,0,81,10,60,-5,G Major,4,1Ik7rAo8201vzoexBPReND,US2420809920
6,"Molly","Mindless Self Indulgence",160,4A,81,2025-01-07,01:44,0,"","Tighter",2011-04-26,68,1,1,81,20,30,-5,F Minor,4,1kTZ1aERsOBTrihsDdGFNn,US2421119806
7,"Stupid MF","Mindless Self Indulgence",152,5A,73,2025-01-07,02:24,47,"","You'll Rebel To Anything (Expanded and Remastered 2008)",2008-01-22,71,1,2,73,10,10,-5,C Minor,4,1zjPf0FrnNyiIae9N4adOb,US68L0500007
8,"Shut Me Up","Mindless Self Indulgence",174,3B,80,2025-06-09,02:48,73,"","You'll Rebel to Anything (Expanded and Remastered 2008)",2005-00-00,59,0,0,79,10,0,-4,C♯/D♭ Major,4,3oZUlZMXkj51AyYG8lGaE7,US68L0500001
9,"Seven Minutes in Heaven","Mindless Self Indulgence",115,10A,95,2025-11-16,02:13,78,"","MSI B-SIDES vol.1",2024-06-15,61,1,0,58,10,30,-4,B Minor,4,2t7B8DDBgLbMcYVMTo8vd5,QZNWX2434220
10,"Witness","Mindless Self Indulgence",146,11A,93,2025-12-23,03:16,57,"","How I Learned to Stop Giving a Shit and Love Mindless Self Indulgence",2013-05-14,56,0,2,63,0,30,-4,F#/G♭ Minor,4,5KbPCz5BwuHVVeEFjaSENq,US57M1386901
11,"Devil's Advocate","The Neighbourhood",98,10A,68,2025-01-07,03:06,71,"","Chip Chrome & The Mono-Tones",2020-09-25,66,3,14,86,0,50,-8,B Minor,4,4XfI7M5gLwEY84gYiH4RDD,USSM12003781
12,"A Little Death","The Neighbourhood",88,11A,76,2025-10-24,03:29,72,"","Thank You,",2012-12-18,53,0,0,34,0,10,-5,F#/G♭ Minor,4,0Ot6e3wYVQQ1Us9PM977jE,USSM11206332
13,"Choke","I DONT KNOW HOW BUT THEY FOUND ME",120,9A,85,2025-01-07,03:15,66,"","Choke",2018-08-24,52,0,0,58,0,30,-4,E Minor,4,37mfTcSlX60JtAvAETytGs,TCADH1774692
14,"Don't Threaten Me with a Good Time","Panic! At The Disco",184,12A,90,2025-01-07,03:33,72,"emo","Death of a Bachelor",2016-01-15,56,2,0,59,0,10,-4,C♯/D♭ Minor,4,2fh3bZ8jZhMxOcfESE9nQY,USAT21503695
15,"Crazy = Genius","Panic! At The Disco",114,10B,91,2025-04-13,03:18,63,"emo","Death of a Bachelor",2016-01-15,46,0,0,45,10,10,-4,D Major,4,6V68ItawQkQlZhYIf1S86C,USAT21503697
16,"The Greatest Show","Panic! At The Disco",77,11A,84,2025-09-08,02:54,68,"emo","The Greatest Show",2018-11-02,55,1,0,49,0,30,-5,F#/G♭ Minor,4,55PZSFcKQxXH5BOOcDA6yI,USAT21811547
17,"DARE (feat. Shaun Ryder & Roses Gabor)","Gorillaz,Shaun Ryder,Roses Gabor",120,10A,89,2025-01-07,04:04,83,"","Demon Days",2005-05-23,76,2,9,97,0,30,-6,B Minor,4,4Hff1IjRbLGeLgFgxvHflk,GBAYE0500178
18,"She's My Collar (feat. Kali Uchis)","Gorillaz,Kali Uchis",140,1B,82,2025-01-07,03:29,80,"","Humanz (Deluxe)",2017-04-28,73,1,8,46,0,10,-6,B Major,4,3lIxtCaROdRDuTnNBDm3n2,GBAYE1700176
