#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Abracadabra","Lady Gaga",126,3A,91,2025-04-17,03:43,79,"art pop, pop","Abracadabra",2025-02-03,68,1,0,63,0,20,-3,A#/B♭ Minor,4,5ZLUm9eab8y3tqQ1OhQSHI,USUM72412581
2,"Disease","Lady Gaga",101,10A,93,2025-04-17,03:49,72,"art pop, pop","MAYHEM",2025-03-07,55,4,0,41,10,50,-3,B Minor,4,0T3Hw3kPj9T2E4UoaSXmfn,USUM72407015
3,"Why'd You Only Call Me When You're High?","Arctic Monkeys",92,10B,63,2022-11-06,02:41,87,"indie, garage rock","AM",2013-09-09,69,5,0,80,0,10,-6,D Major,4,086myS9r57YsLbJpU0TgK9,GBCEL1300370
4,"Bonfire","Childish Gambino",162,3B,75,2022-11-06,03:12,3,"","Camp",2011-11-15,51,6,0,28,30,30,-6,C♯/D♭ Major,4,25ypHCQpDX2nrDFly7eZLZ,USYAH1100339
5,"Crazy = Genius","Panic! At The Disco",114,10B,91,2022-11-06,03:18,63,"emo","Death of a Bachelor",2016-01-15,46,0,0,45,10,10,-4,D Major,4,6V68ItawQkQlZhYIf1S86C,USAT21503697
6,"Let's Kill Tonight","Panic! At The Disco",186,8A,87,2022-11-06,03:33,58,"emo","Vices & Virtues",2011-03-18,46,0,0,29,10,10,-3,A Minor,4,14uvyd51Ha7FihKHlOtUig,USAT21100121
7,"Do I Wanna Know?","Arctic Monkeys",85,7B,53,2022-11-06,04:32,89,"indie, garage rock","AM",2013-09-09,55,19,0,41,0,20,-8,F Major,4,5FVd6KXrgO9B3JPmC8OPst,GBCEL1300362
8,"Absinthe","I DONT KNOW HOW BUT THEY FOUND ME",124,8A,85,2022-11-06,03:03,57,"","1981 Extended Play",2018-11-09,61,1,0,52,0,30,-5,A Minor,3,4hs2FbesB8qo6H5Berbikd,US5261823017
9,"Judas","Lady Gaga",131,3A,93,2022-11-06,04:09,84,"art pop, pop","Born This Way (International Special Edition Version)",2011-05-23,66,0,0,53,0,20,-4,A#/B♭ Minor,4,7F25roCtYi55JouckaayPC,USUM71104998
10,"my strange addiction","Billie Eilish",100,1A,31,2022-11-06,02:59,76,"","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,94,35,0,56,30,10,-11,G#/A♭ Minor,4,3Tc57t9l2O8FwQZtQOvPXK,USUM71900769
11,"R U Mine?","Arctic Monkeys",97,11A,76,2022-11-06,03:21,83,"indie, garage rock","AM",2013-09-09,29,1,0,62,0,30,-6,F#/G♭ Minor,4,2AT8iROs4FQueDv2c8q2KE,GBCEL1300363
12,"Arabella","Arctic Monkeys",180,10B,56,2022-11-06,03:27,77,"indie, garage rock","AM",2013-09-09,58,2,0,51,0,20,-7,D Major,4,7nzsY8vlnKdvGOEE0rjAXZ,GBCEL1300365
13,"Supermassive Black Hole","Muse",120,9B,92,2022-11-06,03:32,84,"alternative rock, rock","Black Holes and Revelations",2006-06-28,67,5,1,78,0,0,-4,G Major,4,3lPr8ghNDBLc2uZovNyLs9,GBAHT0500593
14,"Devil's Advocate","The Neighbourhood",98,10A,68,2022-11-06,03:06,71,"","Chip Chrome & The Mono-Tones",2020-09-25,66,3,14,86,0,50,-8,B Minor,4,4XfI7M5gLwEY84gYiH4RDD,USSM12003781
15,"Choke","I DONT KNOW HOW BUT THEY FOUND ME",120,9A,85,2022-11-06,03:15,66,"","Choke",2018-08-24,52,0,0,58,0,30,-4,E Minor,4,37mfTcSlX60JtAvAETytGs,TCADH1774692
16,"Crying Lightning","Arctic Monkeys",107,9A,89,2022-11-06,03:44,72,"indie, garage rock","Humbug",2009-08-20,50,1,0,67,0,20,-4,E Minor,4,6wVWJl64yoTzU27EI8ep20,GBCEL0900443
17,"Teeth","5 Seconds of Summer",139,2A,45,2022-11-06,03:24,68,"","13 Reasons Why (Season 3)",2019-08-23,76,5,0,43,0,10,-3,D#/E♭ Minor,4,26wLOs3ZuHJa2Ihhx6QIE6,USUG11902528
18,"parents","YUNGBLUD",82,9B,82,2022-11-06,02:51,63,"","the underrated youth",2019-10-18,62,1,0,58,0,20,-5,G Major,4,68rVGSTnCiFOET9k5Vd8Se,USUG11901522
19,"Teenagers","My Chemical Romance",112,12B,86,2022-11-10,02:41,83,"emo, pop punk","The Black Parade",2006-10-20,46,5,0,86,0,10,-3,E Major,4,7j31rVgGX9Q2blT92VBEA0,USRE10602912
20,"Mowgli's Road","MARINA",146,3A,81,2022-11-11,03:12,46,"","The Family Jewels",2009-07-15,62,1,0,66,0,30,-7,A#/B♭ Minor,4,7GSt1wQIumbnBcx3Fc6oxS,GBFFS0900113
21,"The Bidding","Tally Hall",175,8A,61,2022-11-11,02:40,68,"","Marvin's Marvelous Mechanical Museum",2005-10-24,54,25,0,52,20,10,-5,A Minor,4,0HBrtXJohbIW4IhPZ50GmH,TCAAY1150083
22,"Me and Your Mama","Childish Gambino",118,7B,44,2022-11-11,06:19,4,""," Awaken, My Love! ",2016-12-02,55,1,3,24,0,0,-12,F Major,3,4AFsRbaLKRWo3dDtjDFA2V,USYAH1600102
23,"Happy Pills","Weathers",116,9A,89,2022-11-11,03:23,65,"","Happy Pills",2016-06-03,52,0,1,34,10,30,-5,E Minor,4,3zjjzKg16tczCMwckGKGuH,USRC11600888
24,"This Is Why We Can't Have Nice Things","Taylor Swift",164,7B,79,2022-11-11,03:27,68,"","reputation",2017-11-10,57,2,0,44,10,30,-6,F Major,4,07NxDD1iKCHbAldceD7QLP,USCJY1750014
25,"bad idea","Ariana Grande",138,3B,58,2022-11-11,04:27,68,"pop","thank u, next",2019-02-08,85,3,5,57,0,10,-5,C♯/D♭ Major,4,5Il6Oe7lr5XM7A0cWbVQtr,USUM71900403
26,"Meddle About","Chase Atlantic",160,9A,80,2022-11-11,03:23,1,"","Nostalgia",2015-02-21,39,0,1,37,0,30,-6,E Minor,4,1x5gfSHfhWpMFKKqbuDe9G,GBLFP1508171
27,"CHXSE","Chase Atlantic",135,3B,65,2022-11-11,03:29,53,"","BEAUTY IN DEATH (DELUXE EDITION)",2022-05-03,77,2,0,59,20,10,-6,C♯/D♭ Major,4,4vZCkAXIcD8A050VeirCwj,US5262224712
28,"Override","KSLV Noh",111,9A,76,2022-11-11,01:54,1,"phonk, drift phonk","Override",2021-08-27,69,0,41,54,10,10,-5,E Minor,4,0KYvs7DKC7Cl5IHmwpP13f,QZMEM2187928
29,"Need to Know","Doja Cat",130,3B,61,2022-11-12,03:30,81,"","Planet Her",2021-06-25,66,30,0,19,0,0,-7,C♯/D♭ Major,4,3Vi5XqYrmQgOYBajMWSvCi,USRC12101120
30,"Pretty Boy (feat. Lil Yachty)","Joji,Lil Yachty",156,2B,78,2022-11-12,02:36,0,"","Nectar",2020-09-25,66,16,38,64,0,30,-6,F#/G♭ Major,4,0f1G5SHFoFC9lO03gHCGVS,ZZOPM2002175
31,"Brianstorm","Arctic Monkeys",165,3B,97,2022-11-20,02:52,69,"indie, garage rock","Favourite Worst Nightmare",2007-04-22,42,0,0,46,10,0,-5,C♯/D♭ Major,4,7f9I5WdyXm5q1XqnSYgQZb,GBCEL0700061
32,"Without Me","Eminem",112,9B,67,2023-01-19,04:50,89,"rap, hip hop","The Eminem Show",2002-05-26,91,0,0,66,0,20,-3,G Major,4,7lQ8MOhq6IN2w8EYcFNSUk,USIR10211038
33,"Poker Face","Lady Gaga",119,12B,81,2023-01-19,03:57,86,"art pop, pop","The Fame",2008-01-01,85,12,0,77,0,10,-5,E Major,4,1QV6tiMFM6fSOKOGLMHYYg,USUM70824409
34,"If U Seek Amy","Britney Spears",130,9A,59,2023-01-19,03:36,76,"pop","Circus (Deluxe Version)",2008-12-02,72,2,0,54,0,0,-7,E Minor,4,2hdy9Wt9qp7M7d0U3ossu2,USJI10801329
35,"Seven Nation Army","The White Stripes",124,9A,45,2023-01-19,03:52,86,"garage rock, blues rock, rock, alternative rock","Elephant",2003-04-01,74,0,12,28,0,30,-8,E Minor,4,3dPQuX8Gs42Y7b454ybpMR,USVT10300001
36,"The Real Slim Shady","Eminem",105,4A,66,2023-01-19,04:44,86,"rap, hip hop","The Marshall Mathers LP",2000-05-23,95,3,0,76,0,0,-4,F Minor,4,3yfqSUWxFvZELEM4PmlwIR,USIR10000448
37,"I Can't Decide","Scissor Sisters",97,5B,81,2023-01-19,02:46,61,"","Ta-Dah",2006-01-01,69,24,0,87,0,20,-5,D#/E♭ Major,4,7f6RiVFXqUT3dWi35OznLI,GBUM70602614
39,"Sugar Rush Ride","TOMORROW X TOGETHER",125,3A,89,2023-02-06,03:06,68,"k-pop","The Name Chapter: TEMPTATION",2023-01-27,71,1,0,83,0,10,-4,A#/B♭ Minor,4,0rhI6gvOeCKA502RdJAbfs,USA2P2243432
40,"Never Wanted To Dance","Mindless Self Indulgence",92,10B,75,2023-02-09,03:08,0,"","If",2008-04-29,57,1,0,71,10,20,-4,D Major,4,3nM1EJJ80pJGiG32WFfJxc,US2420809916
41,"Demon Days","Gorillaz",125,10B,64,2023-03-18,04:28,57,"","Demon Days",2005-05-23,50,3,23,10,0,20,-9,D Major,4,2k6hpKTyubRVOmQR11ViY3,GBAYE0500181
42,"Saturnz Barz (feat. Popcaan)","Gorillaz,Popcaan",80,11A,62,2023-03-18,03:01,63,"dancehall, soca, afrobeats, riddim, reggae","Humanz (Deluxe)",2017-04-28,38,3,0,21,10,40,-6,F#/G♭ Minor,4,7l9CE3wmEGOUYw1j4ETjnL,GBAYE1700163
