#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Heart Attack (츄)","LOONA",99,9B,86,2025-10-06,03:14,62,"k-pop","Chuu",2017-12-28,66,5,0,75,0,50,-3,G Major,4,6SSC9KZQaxBdyipKRigrFC,KRE081700034
2,"Don't Know What To Do","BLACKPINK",130,11A,64,2025-10-06,03:21,66,"k-pop","KILL THIS LOVE",2019-04-05,63,10,0,41,0,10,-4,F#/G♭ Minor,4,38SKB7UfhL6Sd6Joxex5yK,KRA401900006
3,"Chill Kill","Red Velvet",148,8B,75,2025-10-06,03:34,54,"k-pop","Chill Kill - The 3rd Album",2023-11-12,53,5,0,43,0,20,-4,C Major,4,18VlcIarBGAEAD9KVt3FmE,KRA302300431
4,"Likey","TWICE",132,9A,90,2025-10-06,03:27,68,"k-pop","Twicetagram",2017-10-30,72,41,0,44,0,10,-1,E Minor,4,0IEVKWduAaMcZepZQVr80T,US5TA1700096
5,"Hype Boy","NewJeans",100,9A,94,2025-10-06,02:59,78,"k-pop","NewJeans 1st EP 'New Jeans'",2022-08-01,59,27,0,78,20,20,-3,E Minor,4,0a4MMyCrzT0En247IhqZbD,USA2P2230222
6,"Boy With Luv (feat. Halsey)","BTS,Halsey",120,10A,86,2025-10-06,03:49,78,"k-pop, ","MAP OF THE SOUL : PERSONA",2019-04-12,65,9,0,80,0,10,-5,B Minor,4,4a9tbd947vo9K8Vti9JwcI,QM6MZ1917908
7,"GOT THE THRILLS","TWICE",122,9A,92,2025-10-06,02:53,50,"k-pop","READY TO BE",2023-03-10,71,21,0,73,10,20,-2,E Minor,4,1RVsbqAP1WFFXPiBXQYIah,US5TA2300006
8,"On The Ground","ROSÉ",189,3B,61,2025-10-06,02:48,67,"k-pop","R",2021-03-12,31,2,0,29,10,10,-7,C♯/D♭ Major,4,2pn8dNVSpYnAtlKFC8Q0DJ,KRA402100040
9,"XO (Only If You Say Yes)","ENHYPEN",97,4B,76,2025-10-06,03:08,77,"k-pop","ROMANCE : UNTOLD",2024-07-12,66,11,0,47,0,20,-7,G#/A♭ Major,4,3RkSwrsIadAvqVtMp5yhaB,USA2P2436970
10,"Cookie","NewJeans",157,8B,64,2025-10-06,03:55,75,"k-pop","NewJeans 1st EP 'New Jeans'",2022-08-01,85,6,0,66,0,0,-4,C Major,4,2DwUdMJ5uxv20EhAildreg,USA2P2230223
11,"Wrap Me In Plastic","MOMOLAND,CHROMANCE",180,4A,60,2025-10-06,03:13,59,"k-pop, ","Wrap Me In Plastic",2021-02-05,82,29,0,78,0,0,-3,F Minor,4,5mpWGq83n0sIgGRopGk5QZ,DEE862100068
12,"MOA Diary (Dubaddu Wari Wari)","TOMORROW X TOGETHER",114,12B,89,2025-10-06,03:08,57,"k-pop","The Chaos Chapter: FIGHT OR ESCAPE",2021-08-17,72,7,0,57,10,10,-5,E Major,4,3XoYQvTJK5KT0ynrq7mcCN,USA2P2119860
