#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"いつか","Saucy Dog",80,9B,51,2026-03-07,04:34,68,"j-pop, japanese indie","カントリーロード",2017-05-24,60,9,0,45,0,20,-5,G Major,4,5gjAdhfzftzFR7sriEYUCt,JPZ921704027
2,"花束","back number",160,10B,71,2026-03-07,04:46,78,"j-pop, j-rock","スーパースター",2011-10-26,52,2,0,51,0,30,-4,D Major,4,3QIAwtEEDOrv0g5NKCGrXZ,JPPO01131060
3,"ウエディング","Masanori Otoda",136,5B,47,2026-03-07,05:18,59,"j-pop","ウエディング",2022-10-25,60,35,0,45,0,0,-7,D#/E♭ Major,4,3ZtHtqqSEKd8EcggroTfZU,JPU902203865
4,"恋だろ","wacci",144,12B,55,2026-03-07,04:42,56,"j-pop, anime","恋だろ",2022-04-15,60,17,0,34,0,10,-7,E Major,4,0ir7DGXo3hxaPa82h1vrOj,JPU902201259
5,"それから","Tensions",115,3B,56,2026-03-07,05:28,38,"","それから",2021-03-31,83,54,0,81,0,30,-9,C♯/D♭ Major,4,21io128hHRHC6uehPSaiTJ,JPPO02100582
6,"MAGIC","sumika",107,7B,94,2026-03-07,03:52,48,"j-pop, anime, j-rock","Familia",2017-07-12,64,3,0,83,0,30,-3,F Major,4,3FXX451G01QO9Vq9INpIfk,JPZ921614980
7,"泣き地蔵","Vaundy",120,9B,86,2026-03-07,02:29,49,"j-pop, japanese indie, j-rock, anime","泣き地蔵",2021-10-19,64,0,0,75,0,20,-9,G Major,4,1Wb5MV3aqqFRnaGDjpRTeW,JPR652100016
8,"今更だって僕は言うかな","Saucy Dog",168,1B,63,2026-03-07,04:09,66,"j-pop, japanese indie","テイクミー",2020-09-02,38,21,0,47,0,10,-7,B Major,4,2W7JuDPQq52SXoQnZOXHU3,JPJ222001498
9,"日常革命","neguse.",158,9B,66,2026-03-07,04:32,58,"j-pop","ファンタジーな祝日を!!!",2024-02-14,39,0,0,50,0,20,-3,G Major,4,5pq0NcEaojVgiDtrB8viHX,JPP302200438
10,"ずっと好きだから","neguse.",166,12B,77,2026-03-07,04:24,53,"j-pop","ずっと好きだから",2024-06-07,47,2,0,65,0,50,-4,E Major,4,1NabPfsC4hEMd6lSEragQE,JPU902401610
11,"あぁ、もう。","Saucy Dog",112,12B,61,2026-03-07,04:44,63,"j-pop, japanese indie","サニーボトル",2022-07-06,69,32,0,65,0,10,-7,E Major,4,5HchsPAkAd6oIeTlr2TaaU,JPJ222101817
12,"バニラ","Kyanai",113,6B,61,2026-03-07,04:10,52,"j-pop","星を越えて",2023-03-15,64,3,0,51,0,20,-7,A#/B♭ Major,4,3QXc3YUmFL8mYH9HLazKmu,TCJPV2301724
13,"ベルベットの詩","back number",148,6B,71,2026-03-07,04:14,63,"j-pop, j-rock","ユーモア",2023-01-17,50,1,0,62,0,0,-4,A#/B♭ Major,4,7ELIV5p6Irk5MHsazeAFv6,JPPO02202425
14,"アイラブユー","back number",78,3B,63,2026-03-07,03:55,63,"j-pop, j-rock","ユーモア",2023-01-17,48,29,0,46,0,10,-3,C♯/D♭ Major,4,34ayWAUrQcrjlKZOJAzqke,JPPO02202786
15,"幸せの花束を","Marcy",80,5B,60,2026-03-07,04:12,52,"j-pop","Candle",2023-11-29,57,8,0,55,0,30,-6,D#/E♭ Major,4,3flTzzbrn1KHjQ8kIxHzYc,JPPO02203548
16,"未来図","Marcy",78,5B,55,2026-03-07,03:49,54,"j-pop","Memory",2022-06-01,67,18,0,65,0,0,-7,D#/E♭ Major,4,3hD6z4YbJk64kN3v3N47hr,JPPO02200963
