#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"100種生活","Crowd Lu",99,8A,40,2025-01-31,04:47,55,"mandopop, taiwanese pop, taiwanese indie, c-pop, chinese indie","100種生活",2008-05-27,72,65,0,35,0,10,-8,A Minor,4,0UBc4O6zhVuaepOq3lL91S,TWK010800003
2,"眼淚記得你 - 電影《想見你》主題曲","Shi Shi",130,9B,32,2025-01-31,04:04,58,"chinese r&b, taiwanese indie, mandopop, taiwanese pop, c-pop, chinese indie","眼淚記得你",2022-12-23,37,67,0,10,0,10,-9,G Major,4,0USeB0Tykai3QZj5YAUclG,TWA452200112
3,"我在紐約打電話給你","Waa Wei",141,7B,16,2025-01-31,03:56,54,"taiwanese indie, chinese indie, taiwanese pop, mandopop, c-pop, chinese r&b","我在紐約打電話給你",2023-11-11,70,94,0,26,0,10,-15,F Major,4,3vTnGxlxui3i9mWrAepise,TW2152300401
4,"太聰明","Cheer Chen",132,12B,20,2025-01-31,04:23,62,"taiwanese pop, mandopop, taiwanese indie, chinese indie, c-pop","吉他手",2002-08-02,69,89,0,34,0,10,-15,E Major,4,4DCB1S7G6SmH9qlDpEVIzP,TWB870211302
5,"填空","Jia Jia",120,8B,45,2025-01-31,04:05,52,"mandopop, taiwanese pop, c-pop, gufeng","忘不記",2012-12-29,59,78,0,28,0,0,-7,C Major,4,5nZHdttz8CtyjyKG4EZSwQ,TWK231205903
6,"想和你一起 (feat. 洪安妮)","Yo Lee,Anni Hung",85,7A,7,2025-01-31,03:52,20,"chinese r&b, taiwanese indie, chinese indie, taiwanese pop, mandopop, c-pop","想和你一起 (feat. 洪安妮)",2020-05-29,42,90,0,27,0,10,-19,D Minor,4,3m51Vc66fUIorBDsck4LwC,TWEL52020001
7,"好好","Anni Hung",99,5B,29,2025-01-31,03:11,34,"taiwanese indie, chinese indie, taiwanese pop, mandopop, c-pop","Present",2021-08-20,67,80,0,20,0,10,-10,D#/E♭ Major,4,2tdccUyOy1dzdpnmfc8GVY,FRX202130550
8,"我喜歡你","Anni Hung",134,3B,29,2025-01-31,04:06,41,"taiwanese indie, chinese indie, taiwanese pop, mandopop, c-pop","洪安妮 我喜歡你",2017-12-15,41,77,0,24,0,10,-11,C♯/D♭ Major,4,4L3TxI7RVYMEkECaglyhfP,TWM071700502
9,"分手後不要做朋友","Rachel Liang",128,1B,48,2025-01-31,04:17,55,"mandopop, taiwanese pop, c-pop","漫情歌",2014-01-01,59,81,0,61,0,10,-6,B Major,4,0QYWNTnsFxCBJF7Ns3xLbz,TWUM71300116
10,"小孩","罗森涛",124,3B,33,2025-01-31,03:39,60,"chinese r&b, mandopop, c-pop","为何离开",2024-09-06,86,77,0,38,0,20,-8,C♯/D♭ Major,3,6kyH1z6IdLo1GH3EcZXHMa,DGA062490726
11,"在加納共和國離婚","Firdhaus,DIOR 大穎",116,9B,38,2025-01-31,04:21,67,"mandopop, c-pop, chinese r&b, taiwanese pop","在加納共和國離婚",2023-08-14,42,86,0,24,0,10,-10,G Major,4,6GyUt7yJ0sOktc5HjvVnFh,MYLO32310010
12,"能遇見，就很不錯了","Firdhaus",116,9B,22,2025-01-31,03:48,56,"mandopop, c-pop, chinese r&b, taiwanese pop","能遇見，就很不錯了",2024-06-30,47,86,0,37,0,10,-10,G Major,4,2ASWo8MTESnHQhJhpMSPbF,MYLO32410022
13,"如果爱忘了 - Live","Silence Wang,單依純",137,3B,46,2025-01-31,04:05,2,"c-pop, mandopop, gufeng, chinese r&b","如果爱忘了 (Live)",2024-02-27,27,76,0,15,0,10,-8,C♯/D♭ Major,4,4JBZuPALOvU2PC8E7t02vY,HKG732432142
14,"誰","Yo Lee",129,3B,26,2025-02-05,04:08,46,"chinese r&b, taiwanese indie, chinese indie, taiwanese pop, mandopop, c-pop","找到我",2018-11-30,47,64,0,17,0,10,-10,C♯/D♭ Major,4,2UcgToLQiO8Lh76FQwtWbq,TWEL51818001
15,"左邊的人","陳華",122,3B,28,2025-02-18,03:36,46,"mandopop, taiwanese pop, chinese r&b, c-pop","左邊的人",2024-08-23,47,79,0,32,0,10,-9,C♯/D♭ Major,4,1n6zzsU50f2nGCvCD7UMx6,TWIK72400003
16,"擁抱","Mayday",120,8B,45,2025-03-02,04:46,45,"mandopop, taiwanese pop, c-pop, chinese rock","五月天 | 步步 | 自選作品輯 the Best of 1999-2013",2013-12-27,42,42,0,25,0,10,-8,C Major,4,4krYRz1TcFweFvmREcygeU,TWK231307402
17,"大人中","Crowd Lu",105,4A,30,2025-03-02,04:42,56,"mandopop, taiwanese pop, taiwanese indie, c-pop, chinese indie","大人中",2014-03-29,73,37,0,24,0,10,-10,F Minor,4,2JJu8J1kvXs2GbUpQVbZ47,TWK011400001
18,"妥协 - Live","张含韵,姚晓棠",139,6B,51,2025-03-02,04:10,50,"gufeng, mandopop, c-pop","天赐的声音第五季 第8期 (Live)",2024-06-14,39,79,0,29,0,10,-7,A#/B♭ Major,4,1E3kRIrBCoBkG8hH3q9sY0,HKG732429628
19,"My Dear（电视剧《难哄》重逢曲）","張洢豪",132,3B,38,2025-03-19,04:03,55,"chinese r&b, c-pop","电视剧《难哄》影视原声带·只喜欢你Love Moments",2025-02-18,45,80,0,26,0,10,-7,C♯/D♭ Major,4,3Xmq8F4nfVBd0hgJWiBush,HKG731407254
20,"我的愛沒前奏","罗森涛",185,12B,22,2025-03-28,02:59,49,"chinese r&b, mandopop, c-pop","我的愛沒前奏",2024-12-20,56,87,0,40,20,10,-12,E Major,3,7goNsmSh1wI4B7ufDWPvCZ,HKE672401570
21,"等待你那天","Lu Yun",133,6B,26,2025-04-17,04:00,44,"chinese r&b, taiwanese pop, chinese indie, mandopop, taiwanese indie, c-pop","等待你那天",2022-03-15,31,88,0,32,0,20,-10,A#/B♭ Major,3,7EXbutggsR2KP5klyOZeE0,FR2X42256163
22,"計算浪漫","艾薇 Ivy",200,9B,63,2025-05-02,03:27,39,"mandopop, c-pop, taiwanese pop, chinese r&b","計算浪漫",2025-02-14,33,63,0,33,0,10,-5,G Major,4,6RgaphGUet4wZ0K75jVxs6,TWUM72500005
23,"不愛就不愛","艾薇 Ivy",170,4A,57,2025-06-19,03:17,47,"mandopop, c-pop, taiwanese pop, chinese r&b","不愛就不愛",2024-11-02,50,23,0,12,0,10,-7,F Minor,4,28y6huBepebPPupr6F5xup,TWUM72400124
24,"第57次取消发送","菲菲公主",172,11B,48,2025-06-20,03:00,64,"chinese r&b, c-pop, mandopop","第57次取消发送",2025-02-10,49,69,0,29,0,10,-10,A Major,4,2xYrGeWUjwGvB0KMAfUFSd,FR59R2502214
25,"愚人節快樂","Crowd Lu",118,12B,31,2025-07-22,04:16,52,"mandopop, taiwanese pop, taiwanese indie, c-pop, chinese indie","愚人節快樂",2025-04-01,44,73,0,24,0,20,-10,E Major,4,2FQE7XVMDtuHjkjY0D1uwj,TWK012500001
26,"在沒有你以後 (feat. 張智成)","R-chord,Z-Chen",132,11B,76,2025-07-26,03:53,56,"mandopop, taiwanese pop, c-pop, chinese rock, chinese r&b, malaysian pop","要你知道",2016-08-26,52,29,0,52,0,10,-6,A Major,4,4mDGkFRAqaYosoyWUI7QzM,TWA531657210
27,"Nice to Meet You","Crowd Lu",202,7B,32,2025-08-02,04:42,42,"mandopop, taiwanese pop, taiwanese indie, c-pop, chinese indie","四菓冰",2010-08-13,39,85,0,37,0,10,-9,F Major,4,2380FSMCwSRI17cpvG65Xm,TWK011000035
28,"泪桥 - 磁性女声版","波艾白",140,6B,21,2025-08-16,03:14,39,"taiwanese pop, mandopop","泪桥 (磁性女声版)",2024-08-23,58,80,0,31,0,10,-12,A#/B♭ Major,4,0JI7G3QX4npcH3yyLmdurH,QZPJ32394068
29,"不應該勇敢","Soo Wincci",134,10B,45,2025-09-13,04:45,28,"taiwanese pop, mandopop, c-pop","不應該勇敢",2013-00-00,51,53,0,34,0,10,-11,D Major,4,75Be4Puc2mHiVwHSyFVFZz,TWB671303302
30,"一個人想著一個人","Pets Tseng",136,5B,44,2025-09-19,04:03,68,"mandopop, taiwanese pop, c-pop","終極一班2 (電視原聲帶)",2013-01-18,50,75,0,20,0,20,-8,D#/E♭ Major,4,3n3zzFH7zzO0gJNaw4RKSm,TWA531327602
31,"等一個人","Lin Hsin Yi",136,9B,51,2025-09-19,04:21,46,"mandopop, taiwanese pop, c-pop","等一個人咖啡電影原聲帶 搶先聽",2014-08-10,46,68,0,23,0,10,-7,G Major,4,6vqBWwomkysQIdTURnzZpP,twz871400008
32,"不過失去了一點點 - 八大《終極惡女》片尾曲","Pets Tseng",158,4B,58,2025-09-19,05:03,55,"mandopop, taiwanese pop, c-pop","我是曾沛慈",2014-12-17,48,74,0,27,0,10,-6,G#/A♭ Major,4,6HEfgS0ALir73Un4XKtYI6,TWA211429503
33,"一夜一夜一夜","Crowd Lu",130,4B,36,2025-09-28,04:07,64,"mandopop, taiwanese pop, taiwanese indie, c-pop, chinese indie","HeartBreakFast 傷心早餐店",2025-09-17,53,66,0,16,0,60,-10,G#/A♭ Major,4,3wofqqt5YJWdhLI9IFaX39,TWK012500014
34,"太陽與地球","Crowd Lu",132,9B,43,2025-09-29,04:22,71,"mandopop, taiwanese pop, taiwanese indie, c-pop, chinese indie","HeartBreakFast 傷心早餐店",2025-09-17,47,81,0,11,0,10,-8,G Major,4,0bQSWXtpau3VkNI1ZcXTQA,TWK012500019
35,"數到十","Pets Tseng",138,4B,48,2025-09-29,03:52,57,"mandopop, taiwanese pop, c-pop","下週同樣時間",2025-05-27,54,73,0,39,0,0,-8,G#/A♭ Major,4,6RN4rGtDTTx9orufM72pC4,TWD952531102
36,"不要在一起","Crowd Lu",150,3B,46,2025-10-07,03:12,53,"mandopop, taiwanese pop, taiwanese indie, c-pop, chinese indie","HeartBreakFast 傷心早餐店",2025-09-17,62,65,0,33,10,20,-9,C♯/D♭ Major,4,6HyrlHLZbpdiX9mjQiHsHm,TWK012500022
37,"想和你看五月的晚霞：夏日續章","陳華",91,3B,49,2025-11-18,02:47,53,"mandopop, taiwanese pop, chinese r&b, c-pop","想和你看五月的晚霞：夏日續章",2025-08-26,64,32,0,48,0,30,-7,C♯/D♭ Major,4,3fQoQdLwIQIppmJDqbT5Qf,TWIK72500005
38,"幾分之幾 - 電影<花甲大人轉男孩>主題曲","Crowd Lu",144,3B,34,2025-11-18,03:48,68,"mandopop, taiwanese pop, taiwanese indie, c-pop, chinese indie","幾分之幾",2018-02-02,52,64,0,43,0,10,-6,C♯/D♭ Major,4,4F7ZAsndEIJXyFzJUHNlRu,TWK011700047
39,"倫敦的愛情","Shadya Lan",126,7B,62,2025-11-18,04:22,52,"taiwanese pop, mandopop, c-pop","二號創作專輯 倫敦的愛情",2010-05-07,64,22,0,46,0,20,-5,F Major,4,7q4QI51i0qedJfEwO9CQHd,TWK331001001
40,"逆時光的浪","Bii",78,4B,48,2025-11-18,04:40,41,"mandopop, taiwanese pop, c-pop","勢在必行3-心時代 最終章",2015-09-04,50,51,0,38,0,20,-8,G#/A♭ Major,4,00V2jgXWvvwY5wWan8buzm,TWD631518202
41,"像是中了你的毒","Ginger",106,5B,76,2025-11-18,02:54,41,"chinese r&b, mandopop, c-pop, taiwanese pop","像是中了你的毒",2024-03-01,68,64,0,62,0,0,-6,D#/E♭ Major,4,3K9ZM3USNMJOLjJ2xBz6iE,TWCT52433416
