#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Miss possessive","Tate McRae",102,4B,75,2025-02-22,02:19,73,"","So Close To What",2025-02-21,78,26,0,33,0,10,-5,G#/A♭ Major,4,4Q9ExJGFgL9Jd9kmYH3nXs,USRC12403576
2,"Good For You","Selena Gomez,A$AP Rocky",89,4A,67,2022-02-16,03:41,75,"rap","Revival (Deluxe)",2015-10-09,61,18,0,23,0,0,-6,F Minor,4,5xdVqHtFS0eLuNp4Z8Wbpa,USUM71508741
3,"Girl, so confusing featuring lorde","Charli xcx,Lorde",125,10A,82,2024-12-20,03:25,62,"hyperpop, art pop, ","Girl, so confusing featuring lorde",2024-06-21,69,17,1,46,0,10,-7,B Minor,4,2YFhqZvhTpyK13gKXMKV7R,USAT22405487
4,"Who’s Afraid of Little Old Me?","Taylor Swift",120,8B,34,2024-05-03,05:34,71,"","THE TORTURED POETS DEPARTMENT",2024-04-18,61,32,0,24,0,10,-11,C Major,4,36t6frENUtCYKuZus6aYDO,USUG12401037
5,"How Does It Feel To Be Forgotten","Selena Gomez,benny blanco",124,3A,36,2025-05-19,02:41,64,"","I Said I Love You First",2025-03-21,65,36,0,22,0,10,-8,A#/B♭ Minor,4,7sFMOSnRBa6td4lZa1oiTI,USUG12408964
6,"Here","Alessia Cara",120,8B,82,2025-01-02,03:19,70,"","Know-It-All (Deluxe)",2016-03-11,38,8,0,33,10,0,-4,C Major,4,664gdARxaClFsoF5SXKOws,USUM71506251
7,"Eldest Daughter","Taylor Swift",77,9B,32,2025-10-07,04:06,77,"","The Life of a Showgirl",2025-10-03,47,81,0,32,0,10,-7,G Major,4,62HoDY1Km6lm47haFpUn9c,USUG12506440
8,"get him back!","Olivia Rodrigo",162,7B,85,2023-09-11,03:31,79,"","GUTS",2023-09-08,55,1,0,73,10,50,-6,F Major,4,2gyxAWHebV7xPYVxqoi86f,USUG12304099
9,"Actually Romantic","Taylor Swift",170,12A,43,2025-10-07,02:43,79,"","The Life of a Showgirl",2025-10-03,71,50,0,72,10,10,-8,C♯/D♭ Minor,4,2x3mwb96B6TquRqMtbxUE1,USUG12506442
10,"too hot to cry","Nessa Barrett",180,1A,69,2022-10-16,03:08,49,"","young forever",2022-10-14,33,3,0,29,30,0,-7,G#/A♭ Minor,4,3RhPFIqJ9waaB5FTg8wugv,USWB12202247
11,"Von dutch","Charli xcx",130,6B,70,2025-04-08,02:44,80,"hyperpop, art pop","BRAT",2024-06-07,71,0,0,65,0,10,-6,A#/B♭ Major,4,3Y1EvIgEVw51XtgNEgpz5c,USAT22313737
12,"obsessed","Olivia Rodrigo",120,4B,58,2024-12-20,02:50,77,"","GUTS (spilled)",2024-03-22,68,2,0,63,10,20,-5,G#/A♭ Major,4,6tNgRQ0K2NYZ0Rb9l9DzL8,USUG12305564
13,"Down Bad","Taylor Swift",160,1B,37,2024-12-20,04:21,74,"","THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY",2024-04-19,54,56,0,17,0,0,-10,B Major,4,1kbEbBdEgQdQeLXCJh28pJ,USUG12401031
14,"That’s So True","Gracie Abrams",109,3B,81,2025-03-02,02:46,90,"","The Secret of Us (Deluxe)",2024-10-18,55,21,0,37,0,10,-4,C♯/D♭ Major,4,7ne4VBA60CxGM75vw0EYad,USUG12406903
15,"Dear god","Tate McRae",98,3B,74,2025-07-20,02:51,66,"","So Close To What",2025-02-21,73,8,0,44,0,20,-5,C♯/D♭ Major,4,2ETQsbiuGm2WLOSOr2I19A,USRC12403579
16,"Feel Me","Selena Gomez",100,7A,81,2021-12-10,03:46,49,"","Feel Me",2020-02-21,71,44,0,39,0,0,-7,D Minor,4,6XXYdF6pJR1K3wKvuxmu7n,USUM71924084
17,"Don’t Smile","Sabrina Carpenter",90,3B,45,2024-12-15,03:26,81,"pop","Short n' Sweet",2024-08-23,63,45,0,33,0,10,-10,C♯/D♭ Major,4,09LrGvT9KsACH66RHYMDyR,USUM72317637
18,"Sober","Selena Gomez",92,11B,74,2022-05-10,03:14,52,"","Revival (Deluxe)",2015-10-09,57,17,0,54,0,10,-3,A Major,4,3Fb4cttE912XgIeD25rXRn,USUM71513589
19,"Sugar Talking","Sabrina Carpenter",152,7A,78,2025-08-29,03:03,81,"pop","Man’s Best Friend",2025-08-29,48,5,0,40,0,10,-5,D Minor,4,5B3GZOZYXNzWpUXQC42hxZ,USUM72504441
20,"bad idea right?","Olivia Rodrigo",130,11B,88,2023-09-11,03:04,2,"","bad idea right?",2023-08-11,63,0,0,81,10,0,-4,A Major,4,2i8f4VnnBjy0yDqH2C452a,USUG12304094
21,"It's ok I'm ok","Tate McRae",115,12A,51,2024-12-20,02:36,72,"","It's ok I'm ok",2024-09-12,75,3,0,36,0,0,-8,C♯/D♭ Minor,4,24XihnoVPWXlKJ4BgXqjVM,USRC12402692
