#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Let You Break My Heart Again","Laufey,Philharmonia Orchestra",77,10B,14,2023-01-22,04:29,80,"opera, classical, orchestral","Let You Break My Heart Again",2021-08-13,30,97,11,12,0,10,-15,D Major,4,709p9UGPAuyImWf1Z3vjRo,TCAFR2175884
2,"Valentine","Laufey",83,5B,20,2023-04-09,02:48,78,"","Everything I Know About Love",2022-08-26,47,92,0,22,0,10,-13,D#/E♭ Major,4,6cx5CvFhqN19efStehJqoW,GBKPL2280365
3,"踊り子","Vaundy",157,9B,48,2023-01-30,03:50,2,"j-pop, japanese indie, j-rock, anime","踊り子",2021-11-17,72,85,80,68,0,10,-11,G Major,4,4xk70Qur2QeRmWIzWPC63V,JPR652100061
4,"fever dream","mxmtoon",102,12B,70,2023-01-07,03:16,51,"bedroom pop, indie pop","dawn",2020-04-22,57,13,0,19,0,0,-6,E Major,4,4UCSbPweLRQNfkr5MCRooZ,GBKPL2082105
5,"Needs","Verzache",119,10A,60,2023-01-10,02:57,1,"","Needs",2018-02-14,81,19,0,86,10,40,-8,B Minor,4,0WKmVAD4VWk5EdTyCFILi4,QM42K1805517
6,"the perfect pair","beabadoobee",146,1B,66,2023-02-02,02:57,84,"bedroom pop","Beatopia",2022-07-15,63,43,12,60,0,10,-7,B Major,4,41P6Tnd8KIHqON0QIydx6a,GBK3W2202093
7,"once upon a time","One Hope",98,11A,35,2023-06-21,03:30,32,"","XXI",2023-03-01,83,15,0,35,10,30,-7,F#/G♭ Minor,4,0PULY7AIDcZ2LMjXc9oUay,QZTBB2234236
8,"OUTTA MY MIND","Monsune",87,7A,46,2023-08-28,03:46,54,"bedroom pop","OUTTA MY MIND",2019-08-30,69,7,0,86,0,10,-8,D Minor,4,7zTTDkkLkJ2iHAqq1daDCr,QM24S1923795
9,"Cherry Wine","grentperez",105,10A,56,2023-08-28,02:53,68,"","Cherry Wine",2021-09-10,74,34,0,58,0,0,-7,B Minor,4,5o5WaO9pzPhXSGIrTIYVce,GBKPL2162171
10,"(Only) About Love - Demo","grentperez",130,12A,51,2023-08-28,04:18,59,"","Demo(s) About Love",2021-08-27,71,10,12,59,0,10,-11,C♯/D♭ Minor,4,0T3pyPYtHAsxIRymAZsTkX,UKXN21997304
11,"Avocado Toast","Sexy Pigeon",120,10B,51,2023-09-26,01:58,41,"","Avocado Toast",2020-05-18,67,18,78,41,0,10,-8,D Major,4,7wi2mklBTO0PEWwqfyhHMR,GBKPL2003424
