#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Candy","BAEKHYUN",150,10A,77,2021-11-06,03:47,58,"k-pop","Delight - The 2nd Mini Album",2020-05-25,65,24,0,61,0,0,-4,B Minor,4,6kKC35sKUh2FUx4M0qAL44,KRA302000267
2,"HOME","BTS",143,6A,80,2021-11-06,03:54,1,"k-pop","MAP OF THE SOUL : PERSONA",2019-04-12,63,1,0,54,0,10,-5,G Minor,4,7lthOBXNue2IvedLRfkod8,QM6MZ1917911
3,"O.W.A.","Mega Shinnosuke",123,8B,83,2021-11-06,04:11,0,"japanese indie, j-pop, j-rock","HONNE",2019-06-05,79,1,67,93,0,10,-5,C Major,4,7HVFRFBKzySkRzVu8XBi89,JPJ221901261
4,"HARD-CORE-GEEK","Sekaiichi",120,2B,85,2021-11-06,03:15,22,"japanese indie, j-rock","Round Table",2016-03-30,73,10,0,96,0,0,-7,F#/G♭ Major,4,0TBLF33vtPZazAHwb8XTmn,JPZ921602056
5,"Lullaby","GOT7",130,8B,89,2021-11-06,03:37,0,"k-pop","Present : YOU",2018-09-17,73,1,0,71,0,10,-3,C Major,4,1aDarBap4uQgOt9k4fxWd8,US5TA1800070
6,"Zoo","Red Velvet",109,12A,91,2021-11-06,03:24,41,"k-pop","The Red Summer - Summer Mini Album",2017-07-09,67,4,0,70,10,70,-4,C♯/D♭ Minor,4,7sEwz6PjhQ1bbSSWb6IBid,KRA301700280
7,"天空パレード","Magokoro Brothers",135,12A,93,2021-11-06,03:38,4,"j-rock, kayōkyoku, j-pop, shibuya-kei","天空パレード",2020-07-08,58,0,0,87,0,10,-5,C♯/D♭ Minor,4,6zauqoo42zwKQdoD5ZJ0ug,JPTK02012260
8,"Dimple","BTS",135,4A,84,2021-11-06,03:16,0,"k-pop","Love Yourself 結 'Answer'",2018-08-24,61,14,0,65,0,20,-5,F Minor,4,0DrxFkuc1mpxdbUbssLQ4d,QM6MZ1886134
9,"Uptight (Everything's Alright)","Stevie Wonder",133,4A,65,2021-11-06,02:55,0,"motown, classic soul, soul","Up-Tight Everything's Alright",1966-05-01,61,3,0,83,0,10,-10,F Minor,4,5q5q7yDHiVkBnaivsda4TN,USMO16500487
10,"ROCK N HIPHOP","BTOB",133,3B,88,2021-11-06,03:39,20,"k-pop, k-ballad","Feel'eM",2017-03-06,78,16,0,92,0,10,-4,C♯/D♭ Major,4,2xH895EVwEOgIb5swG9LcV,KRA391700010
