#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"You're Beautiful","The Rose",92,10B,57,2023-09-20,03:55,21,"k-rock, k-pop","You're Beautiful",2023-08-25,63,59,0,33,0,0,-8,D Major,4,6Ca2C9ycBna1WXfL5cB6Gn,US39N2311107
2,"Rainy Days","V",75,8A,45,2023-09-20,02:59,64,"k-pop","Layover",2023-09-08,63,74,0,28,0,10,-8,A Minor,4,54bg1e6ABcZfpU3yzwxnPf,USA2P2339028
3,"Blue","V",128,7A,44,2023-09-20,02:29,70,"k-pop","Layover",2023-09-08,74,68,0,28,0,10,-10,D Minor,4,2UU11hvjN1JIn4iihEodNT,USA2P2339029
4,"Slow Dancing","V",156,4B,63,2023-09-20,03:07,77,"k-pop","Layover",2023-09-08,58,26,0,55,0,10,-8,G#/A♭ Major,4,5h1BN75CEh8wdSwE1xrbSe,USA2P2339031
5,"For Us","V",85,12A,34,2023-09-20,02:51,70,"k-pop","Layover",2023-09-08,56,80,1,22,0,10,-11,C♯/D♭ Minor,4,4HAOgAnILvXCbSODMoRnmD,USA2P2339032
6,"Same dream, same mind, same night","SEVENTEEN",164,10B,64,2023-09-20,04:07,57,"k-pop","SEVENTEEN 8th Mini Album 'Your Choice'",2021-06-18,50,20,0,37,0,0,-6,D Major,4,1afEbbD4hZvdA5orDq1sPj,USA2P2119797
7,"By My Side","JUNNY",179,4B,43,2023-09-20,03:26,56,"k-rap","By My Side",2020-03-11,47,67,0,38,0,0,-5,G#/A♭ Major,3,6nzCvAtyADh0wwZEVMoujK,KRA382000590
8,"Horizon","JAEHYUN",200,4A,60,2023-09-20,03:42,51,"","Horizon - NCT LAB",2023-08-08,38,10,0,55,20,20,-6,F Minor,4,2HfAb3qB9w3t9x5e7ZjX5T,KRA302300271
9,"Forever Only","JAEHYUN",180,9A,76,2023-09-20,03:16,57,"","Forever Only - SM STATION : NCT LAB",2022-08-18,60,8,0,71,10,40,-3,E Minor,4,0fN27m84ofEpWHGwJ0THYz,KRA302200146
10,"People Pt.2 (feat. IU)","Agust D,IU",89,6A,57,2023-09-20,03:33,60,"k-pop, k-rap, k-ballad","People Pt.2 (feat. IU)",2023-04-07,73,39,0,44,0,30,-5,G Minor,4,4EaQ0ouIydfeAgQUz284EF,USA2P2310695
11,"Youtiful","Stray Kids",67,6B,64,2023-09-20,03:29,63,"k-pop, noise music","5-STAR",2023-06-02,31,24,0,36,0,10,-4,A#/B♭ Major,4,5sSv2lotkWeHZ9YSTQrdbf,US5TA2300042
12,"Life Goes On","BTS",81,3B,72,2023-09-20,03:27,82,"k-pop","BE",2020-11-20,57,1,0,45,0,30,-6,C♯/D♭ Major,4,5FVbvttjEvQ8r2BgUcJgNg,QMBZ92051791
13,"Say Something To Me","KIM WOOJIN",106,10B,62,2023-09-20,03:47,28,"k-pop","The moment : 美成年, Bounce.",2023-08-30,59,60,0,23,0,10,-5,D Major,4,4gEcgur21TrGPWOu0DJXRN,KRNAR2313824
14,"N.Y.C.T","NCT U",92,10B,63,2023-09-21,03:56,33,"k-pop, noise music","N.Y.C.T - NCT LAB",2023-09-07,62,53,0,72,0,30,-5,D Major,4,4ksIFsGXezKXZX91dE6ClJ,KRA302300320
15,"Shinunoga E-Wa","Fujii Kaze",158,11A,76,2023-09-23,03:05,78,"j-pop","HELP EVER HURT NEVER",2020-05-20,60,17,0,52,0,10,-6,F#/G♭ Minor,4,0o9zmvc5f3EFApU52PPIyW,JPPO02000610
16,"Promise","Jimin",89,10B,53,2023-09-23,02:31,70,"k-pop","Promise",2018-12-31,69,83,0,74,0,20,-7,D Major,4,2RUcwyW74Sv4VracHFrKdh,QM4TW1971528
17,"Another Day","Stray Kids",95,7A,45,2023-10-16,02:46,55,"k-pop, noise music","GO LIVE",2020-06-17,85,42,0,54,10,30,-10,D Minor,4,30YeoWowzWypZNSl6WNXAR,US5TA2000041
18,"For You","LEEHI,Crush",84,9B,45,2023-10-26,03:25,56,"k-ballad, k-pop, k-rap","For You",2020-12-16,59,72,0,27,0,10,-8,G Major,4,0JL7DoEqAUcOntWmBuOSdh,KRC712000067
19,"Lonely Rhapsody","Fujii Kaze",150,4A,64,2023-11-10,04:46,46,"j-pop","LOVE ALL SERVE ALL",2022-03-23,60,12,0,69,0,10,-9,F Minor,4,2Q0LpnMDXazZk49AWEiHE2,JPPO02200425
20,"eight(Prod.&Feat. SUGA of BTS)","IU,SUGA",120,3B,87,2024-01-01,02:47,68,"k-pop, k-ballad","eight",2020-05-06,68,12,0,59,0,10,-2,C♯/D♭ Major,4,0pYacDCZuRhcrwGUA5nTBe,KRA382001418
21,"golden hour - Fujii Kaze Remix","JVKE,Fujii Kaze",94,12B,58,2024-01-03,02:39,59,"j-pop","golden hour (Fujii Kaze Remix)",2023-04-21,33,61,0,31,0,10,-5,E Major,3,6KxgptZSrQC4Vv21ZBOG7S,QM6MZ2300854
22,"NIGHT DANCER","imase",117,6A,59,2024-01-07,03:30,71,"j-pop","NIGHT DANCER",2022-08-19,91,9,0,85,0,10,-8,G Minor,4,348NF6vX0Yh22xvH0EZEro,JPPO02202918
