#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"FEELS LIKE A FEM QUEEN","Kevin Jz Prodigy",123,10A,76,2024-02-28,03:42,0,"ballroom vogue","YOUTUBE TWO",2022-11-07,87,1,0,38,30,70,-3,B Minor,4,2aEkkbc7eYkEtggSMRm5WH,QZTAY2209487
2,"Bubblegum Bitch","MARINA",158,5A,86,2024-02-28,02:34,81,"","Electra Heart (Deluxe)",2012-04-27,50,0,0,61,0,10,-5,C Minor,4,6IbnUaczZBT34DhaD6S18F,GBFFS1200008
3,"FΛSHION","Britney Manson",120,6B,64,2024-02-28,02:26,66,"","FΛSHION",2023-08-11,75,0,0,25,0,70,-7,A#/B♭ Major,4,70jiETKdlLEram2zJSHdHH,RUB862300027
4,"Wrecking Ball","Mother Mother",97,9B,80,2024-02-28,03:14,68,"","O My Heart",2008-09-23,66,19,0,28,0,30,-4,G Major,4,007JQyyu6DrGza9XX6scAN,CAL450882109
5,"Animal","Sir Chloe",83,9B,46,2024-02-28,02:40,66,"","Party Favors",2020-10-23,50,41,0,34,0,10,-6,G Major,4,2RZWiishrE4Tygv9R7zuZe,QZDA71914491
6,"Peppers (feat. Tommy Genesis)","Lana Del Rey,Tommy Genesis",157,9A,53,2024-02-28,04:08,68,"","Did you know that there's a tunnel under Ocean Blvd",2023-03-24,48,62,15,37,10,10,-12,E Minor,4,2Rlso2ZNV0PaWwUYeeBYxx,GBUM72206770
7,"Primadonna","MARINA",128,9A,69,2024-02-28,03:41,82,"","Electra Heart (Deluxe)",2012-04-27,66,9,0,43,0,0,-3,E Minor,4,4sOX1nhpKwFWPvoMMExi3q,GBFFS1200009
8,"IT GIRL","Aliyah's Interlude",125,3B,71,2024-02-28,02:41,71,"","IT GIRL",2023-09-30,97,1,0,41,20,30,-5,C♯/D♭ Major,4,5a8z2vyIDKMh5qcRG6w9wu,QZTB22388736
9,"Doin' Time","Lana Del Rey",145,6A,56,2024-02-28,03:22,79,"","Norman Fucking Rockwell!",2019-08-30,64,40,0,52,0,0,-11,G Minor,4,0Oqc0kKFsQ6MhFOLBNZIGX,GBUM71903894
10,"7 rings","Ariana Grande",140,12A,32,2024-02-28,02:58,86,"pop","thank u, next",2019-02-08,78,59,0,33,30,0,-11,C♯/D♭ Minor,4,6ocbgoVGwYJhOv1GgI9NsF,USUM71900110
11,"Lovers Rock","TV Girl",105,4A,87,2024-02-28,03:33,88,"","French Exit",2014-06-05,56,0,1,57,0,10,-5,F Minor,4,6dBUzqjtbnIa1TwYbyw5CM,USHM21438143
12,"Art Deco","Lana Del Rey",148,10A,46,2024-02-28,04:55,80,"","Honeymoon",2015-09-18,28,54,22,6,0,10,-11,B Minor,5,5jqNQZBwbZWQXPWfo0ygZF,GBUM71503925
13,"Bejeweled","Taylor Swift",164,9B,55,2024-02-28,03:14,73,"","Midnights",2022-10-21,69,6,0,44,0,0,-9,G Major,4,3qoftcUZaUOncvIYjFSPdE,USUG12205715
14,"Circus","Britney Spears",115,11A,73,2024-02-28,03:12,81,"pop","Circus (Deluxe Version)",2008-12-02,79,15,0,76,0,0,-5,F#/G♭ Minor,4,7jk7gqyEonmVVYahZN5zhW,USJI10801081
15,"Applause","Lady Gaga",140,6A,78,2024-02-28,03:32,57,"art pop, pop","Applause",2013-01-01,67,3,0,70,0,10,-4,G Minor,4,63LAR8TGAGvpfLLM8Z1weo,USUM71310271
16,"Born To Die","Lana Del Rey",86,9A,63,2024-02-28,04:45,80,"","Born To Die - The Paradise Edition",2012-01-01,43,22,0,38,0,20,-7,E Minor,4,4Ouhoi2lAhrLJKFzUqEzwl,GBUM71111120
17,"Oops!...I Did It Again","Britney Spears",95,12A,83,2024-02-28,03:31,84,"pop","Oops!... I Did It Again",2000-05-16,75,30,0,89,0,30,-5,C♯/D♭ Minor,4,6naxalmIoLFWR0siv8dnQQ,USJI10000100
