#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Closer? I Barely Even Know Her!","laseplov,ESFP",93,4B,40,-,03:03,0,"","In My Life",2021-09-17,66,89,0,58,0,0,-7,G#/A♭ Major,4,7mkvoQM4Lz8ySkFT7eFMtn,QZMEP2163614
2,"Hansel","Sodikken",118,12B,21,-,05:57,61,"","Hansel & Gretel",2021-07-06,78,83,0,49,0,0,-14,E Major,4,5yh0qRcUQOAPai7ZrvR086,QZK6N2110009
3,"Hazy Skyscraper","DEMONDICE",80,7A,70,-,04:30,41,"","Kakigori Galaxy Astronaut",2019-03-02,80,57,0,60,10,0,-6,D Minor,4,7AlRa2otq8kQGC8CzxK7rR,QZDA81903016
4,"Baby Sprunki Song","BENJIxScarlett",185,3B,73,-,02:05,20,"","All Sprunki Songs (Incredibox Sprunki)",2025-03-21,47,1,0,51,0,40,-6,C♯/D♭ Major,4,5kMGpiXBQw6N1oeA8SP0zV,QZZ7M2462274
5,"i am so lucky","alexus",77,4B,20,-,03:54,33,"","the reprogram",2025-01-03,73,98,51,97,90,10,-14,G#/A♭ Major,5,4vL8QhgVBT1pyfi3V7yPtt,QZLL92510955
6,"Two Birds - Sped Up","skyemane",176,5A,38,-,02:46,41,"","Two Birds (Sped Up)",2023-11-22,57,77,0,30,0,0,-10,C Minor,4,1uREwOFw4FzQE0Fp44hymr,QZNFJ2306270
7,"what the hell happened? - demo","ked",138,12A,24,-,02:11,31,"","what the hell happened?",2021-02-06,70,86,1,53,40,30,-18,C♯/D♭ Minor,4,24x2CvDJe8rHKvCSxv5dXr,UK6KW2100084
8,"Gretel","Sodikken",144,9B,14,-,07:08,51,"","Hansel & Gretel",2021-07-06,71,61,0,34,30,10,-14,G Major,4,3KvzwPvvL4KpxhzJgxJAYq,QZK6N2110010
9,"TOMBOY","ElizabetaMusic",115,7B,60,-,02:26,17,"","TOMBOY",2025-09-16,78,83,0,39,10,10,-3,F Major,4,3piAFpa7L8uuSkpXOr1Fo8,QZZ7X2535449
10,"below the surface (sped up)","accelerate,creamy,11:11 Music Group",126,3A,36,-,01:51,23,"lo-fi","below the surface (sped up)",2023-02-13,89,93,0,64,0,70,-6,A#/B♭ Minor,4,3hNPqFYpyHhvCje1Zl2ke6,GX8KD2374149
11,"Birdbrain","AmanoBoy",160,10B,76,-,04:18,14,"","Birdbrain",2025-07-09,77,44,0,94,10,10,-6,D Major,4,1XLQjXlfrdITJu4joO9gO1,QZZ7R2523704
12,"My Guys","MAY",90,11A,71,-,03:05,13,"hyperpop","My Guys",2023-06-18,82,66,0,65,10,10,-7,F#/G♭ Minor,4,6jpQK3noeasXUgFX2ldTuR,QZMEP2330016
13,"New Beaker","FuzzSuz",118,12B,51,-,03:01,15,"","New Beaker",2024-10-23,83,60,0,58,0,20,-9,E Major,4,0Ep7f7Nu8SLWgD9XJV2Eo6,QZWFT2410416
14,"Redmageddon","Sodikken",126,9B,30,-,05:34,49,"","Redmageddon",2021-08-28,66,55,0,54,20,10,-13,G Major,3,2gV0eGuZogiBOqxgIyOsc2,QZMEM2197231
15,"The Kids Are Coming","Tones And I",135,8A,57,-,03:24,35,"","Welcome To The Madhouse (Deluxe)",2021-07-16,75,19,0,15,30,10,-8,A Minor,4,2lpq6DxKJaDl7MFPV7asFv,AUBM01900171
16,"DEAD BEATS","Mori Calliope",75,8B,79,-,02:55,42,"anime","DEAD BEATS",2020-10-20,66,44,0,92,30,10,-6,C Major,4,3ZkYgSk8cIqOlvBlK7IV6C,JPV752003295
17,"i can't move on baby doll","Lil Barberi",120,6B,58,-,01:36,11,"","i can't move on baby doll",2026-03-25,77,93,87,56,0,10,-12,A#/B♭ Major,4,23erLS5QOKfjF4Sax5fNpV,RUB522601079
18,"7 O'Clock","Penelope Scott",170,10B,44,-,02:48,39,"","7 O'Clock",2021-07-27,56,81,19,44,10,10,-16,D Major,4,2Eh6bvihTFDwAjHBEYnbgH,QZNWP2150090
19,"Sidelined","DaNL97",90,10B,55,-,04:08,30,"","Sidelined",2026-04-07,78,9,0,20,0,40,-5,D Major,4,7peYU09smr1c5tPYO9GTdx,QZTBB2682826
20,"The Final Control Room","Alioof",160,5A,34,-,02:42,12,"","Dream SMP: The Musical (Act 1 Soundtrack)",2021-03-31,52,85,0,45,30,10,-15,C Minor,4,2RodrcltntDj7e7MSu59X8,QZES72117928
21,"Angel In My Sky","ElizabetaMusic",160,5B,71,-,03:11,13,"","Angel In My Sky",2024-09-29,78,63,0,61,0,0,-3,D#/E♭ Major,4,5OXW2gfkgsFjcGgxm2s1G5,QZWFK2454964
22,"Daisy Bell","Ibra Bittar",170,3B,32,-,03:43,13,"","Daisy Bell",2025-09-12,61,95,0,87,0,10,-10,C♯/D♭ Major,3,0fCBUmlnDiZiIWiXasJmoC,CH6542564791
23,"Our Happiest Day","KryFuZe",114,9B,50,-,03:34,16,"","Our Happiest Day",2017-10-07,82,17,0,58,0,0,-11,G Major,4,4nt7sphlaYDNjeJ6Ab1YDw,QZ9Y21716034
