#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Bubblegum Bitch","MARINA",158,5A,86,2026-02-06,02:34,81,"","Electra Heart (Deluxe)",2012-04-27,50,0,0,61,0,10,-5,C Minor,4,6IbnUaczZBT34DhaD6S18F,GBFFS1200008
2,"FΛSHION","Britney Manson",120,6B,64,2026-02-06,02:26,66,"","FΛSHION",2023-08-11,75,0,0,25,0,70,-7,A#/B♭ Major,4,70jiETKdlLEram2zJSHdHH,RUB862300027
3,"Primadonna","MARINA",128,9A,69,2026-02-06,03:41,82,"","Electra Heart (Deluxe)",2012-04-27,66,9,0,43,0,0,-3,E Minor,4,4sOX1nhpKwFWPvoMMExi3q,GBFFS1200009
4,"IT GIRL","Aliyah's Interlude",125,3B,71,2026-02-06,02:41,71,"","IT GIRL",2023-09-30,97,1,0,41,20,30,-5,C♯/D♭ Major,4,5a8z2vyIDKMh5qcRG6w9wu,QZTB22388736
5,"Circus","Britney Spears",115,11A,73,2026-02-06,03:12,81,"pop","Circus (Deluxe Version)",2008-12-02,79,15,0,76,0,0,-5,F#/G♭ Minor,4,7jk7gqyEonmVVYahZN5zhW,USJI10801081
6,"Applause","Lady Gaga",140,6A,78,2026-02-06,03:32,57,"art pop, pop","Applause",2013-01-01,67,3,0,70,0,10,-4,G Minor,4,63LAR8TGAGvpfLLM8Z1weo,USUM71310271
7,"Just Dance","Lady Gaga,Colby O'Donis",119,12A,74,2026-02-06,04:01,85,"art pop, pop, ","The Fame",2008-01-01,82,3,0,75,0,10,-5,C♯/D♭ Minor,4,1dzQoRqT5ucxXVaAhTcT0J,USUM70807646
8,"Get Into It (Yuh)","Doja Cat",92,1A,66,2026-02-06,02:18,73,"","Planet Her",2021-06-25,91,32,0,79,10,0,-6,G#/A♭ Minor,4,0W6I02J9xcqK8MtSeosEXb,USRC12101535
9,"California Gurls","Katy Perry,Snoop Dogg",125,8B,75,2026-02-06,03:54,69,"pop, g-funk, west coast hip hop, gangster rap, old school hip hop, hip hop, rap","Teenage Dream",2010-08-24,79,0,0,40,0,10,-4,C Major,4,3f7gYMirBEKuc57218BjOY,USCA21001135
10,"Cherry Bomb","NCT 127",78,11A,60,2026-02-06,03:56,62,"k-pop, noise music","NCT #127 CHERRY BOMB - The 3rd Mini Album",2017-06-14,71,0,0,80,20,0,-5,F#/G♭ Minor,4,3o8QzWsiiqTUVgBZfHgF58,KRA301700238
