#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Everybody Talks","Neon Trees",155,4B,92,2020-12-07,02:57,82,"","Picture Show",2012-01-01,47,0,0,72,0,30,-4,G#/A♭ Major,4,2iUmqdfGZcHIhS3b9E9EWq,USUM71119189
2,"Paper Rings","Taylor Swift",104,11B,72,2020-12-07,03:42,77,"","Lover",2019-08-23,81,1,0,87,0,0,-7,A Major,4,4y5bvROuBDPr5fuwXbIBZR,USUG11901478
3,"Girl Almighty","One Direction",169,11B,90,2020-12-07,03:21,64,"","FOUR (Deluxe)",2014-11-17,51,4,0,50,0,20,-4,A Major,4,5UgsZiYk1lkEobuPHmRtWm,GBHMU1400163
4,"Tiny Dancer","Elton John",145,8B,43,2020-12-07,06:17,80,"","Madman Across The Water",1971-11-05,41,38,0,28,0,10,-11,C Major,4,2TVxnKdb3tqe1nhQWwwZCO,GBAMB7100001
5,"Golden","Harry Styles",140,9A,84,2020-12-07,03:28,79,"","Fine Line",2019-12-13,45,21,0,25,0,10,-5,E Minor,4,45S5WTQEGOB1VHr1Q4FuPl,USSM11912586
6,"Tongue Tied","GROUPLOVE",113,5B,94,2020-12-07,03:38,82,"indie","Never Trust a Happy Song",2011-09-02,56,1,0,37,0,10,-6,D#/E♭ Major,4,0GO8y8jQk1PkHzS31d699N,USAT21101334
7,"Heartbreak Weather","Niall Horan",82,3B,88,2020-12-07,03:20,61,"","Heartbreak Weather",2020-03-13,59,0,0,77,0,0,-4,C♯/D♭ Major,4,3jf3c9EOFam6Q15sho0XWw,USUG12000231
8,"We Are The Champions - Live Aid","Queen",100,6A,86,2020-12-07,03:57,59,"classic rock, rock, glam rock","Bohemian Rhapsody (The Original Soundtrack)",2018-10-19,31,18,0,19,0,90,-5,G Minor,3,4XaG9IpCXklOcuau1sIrUX,GBUM71805985
9,"How to Be a Heartbreaker","MARINA",140,10A,90,2020-12-07,03:41,49,"","Electra Heart (Deluxe)",2012-04-27,69,1,0,85,0,10,-5,B Minor,4,2Ow4Pmi0VOOLvbmJ8V70qo,GBFFS1200077
10,"More Than You Know","Axwell /\ Ingrosso,Axwell,Sebastian Ingrosso",123,4A,74,2020-12-07,03:23,80,"edm","More Than You Know",2017-07-28,65,3,0,57,0,30,-5,F Minor,4,6h5PAsRni4IRlxWr6uDPTP,GBUM71701735
11,"Something Big","Shawn Mendes",112,6A,84,2020-12-07,02:41,36,"","Handwritten (Revisited)",2015-11-20,70,1,0,83,0,10,-4,G Minor,4,3oXhdrlwJwkx7T4RBIv3nr,USUM71415364
12,"Super Freak","Rick James",132,8A,79,2020-12-07,03:25,75,"funk, motown, disco","Street Songs (Deluxe Edition)",1981-04-07,84,22,0,96,0,0,-8,A Minor,4,2dCmGcEOQrMQhMMS8Vj7Ca,USMO18100048
13,"Disco","Surf Curse",173,10A,62,2020-12-07,02:32,0,"indie","Heaven Surrounds You",2019-09-13,48,3,0,78,0,10,-9,B Minor,4,644hazYIWNQq4URUn7CPnQ,QM6MZ1965210
14,"3 Nights","Dominic Fike",152,6A,52,2020-12-07,02:57,75,"","Don't Forget About Me, Demos",2018-10-16,82,22,0,88,0,10,-7,G Minor,4,1tNJrcVe6gwLEiZCtprs1u,USQX91802455
15,"I'm Still Standing","Elton John",177,2B,90,2020-12-07,03:03,86,"","Too Low For Zero",1983-05-30,51,36,12,77,10,10,-7,F#/G♭ Major,4,1jDJFeK9x3OZboIAHsY9k2,GBALX8300190
16,"Don't Stop Me Now - Remastered 2011","Queen",156,7B,87,2020-12-07,03:29,85,"classic rock, rock, glam rock","Jazz (2011 Remaster)",1978-11-10,56,5,0,61,10,70,-5,F Major,4,5T8EDUDqKcs6OSOwEsfqG7,GBUM71029610
17,"Jailhouse Rock","Elvis Presley",167,3A,54,2020-12-07,02:26,73,"rockabilly, rock and roll","Platinum - A Life In Music",1997-07-15,62,33,0,91,0,10,-10,A#/B♭ Minor,4,452KBpASS5lZLeJWX9Ixub,USRC15705223
18,"Memories (feat. Kid Cudi)","David Guetta,Kid Cudi",130,4B,90,2020-12-07,03:30,64,"edm, ","Memories (feat. Kid Cudi)",2010-02-12,55,0,0,47,20,20,-4,G#/A♭ Major,4,7KPr0YxECy4Q1k2F17Sa0Q,FRZID0900480
19,"Talk Too Much","COIN",104,12B,89,2020-12-07,03:08,66,"","How Will You Know If You Never Try",2017-04-21,60,1,0,48,0,30,-5,E Major,4,4djIFfof5TpbSGRZUpsTXq,USSM11602662
20,"You Know It","Colony House",158,5B,96,2020-12-07,03:02,57,"","Only The Lonely",2017-01-13,40,4,0,57,10,10,-3,D#/E♭ Major,4,169pWCmfvVazzcL4EXFPgL,QMTAA1600045
21,"Happily","One Direction",117,11B,89,2020-12-07,02:55,64,"","Midnight Memories (Deluxe)",2013-11-25,62,4,0,82,0,10,-5,A Major,4,5Lf9rCqReE9Ri4tZvLRLuy,GBHMU1300216
22,"Carolina","Harry Styles",122,9A,67,2020-12-07,03:09,66,"","Harry Styles",2017-05-12,62,0,0,46,0,10,-4,E Minor,4,3Dwq1oiOFys6Sxr5SslmXw,USSM11703954
23,"Sexy Bitch (feat. Akon)","David Guetta,Akon",130,10A,63,2020-12-07,03:15,2,"edm, ","One More Love",2010-11-22,81,8,0,80,0,10,-5,B Minor,4,3mQOoBONOh6vnP51eMgWnP,FRZID0900500
24,"queen of broken hearts","blackbear",97,8B,71,2020-12-13,02:51,0,"","everything means nothing",2020-08-21,72,1,0,83,0,0,-6,C Major,4,1HKl3RJInVzf5ObVnM644j,USUG12000337
25,"Lucky Strike","Maroon 5",144,10A,75,2020-12-15,03:05,64,"pop","Overexposed Track By Track",2012-01-01,67,0,0,45,0,10,-5,B Minor,4,4rpzPAbwJboZQw2p9T5T3f,USUM71204772
26,"Truth Hurts","Lizzo",158,9A,62,2021-01-10,02:53,57,"","Cuz I Love You (Deluxe)",2019-05-03,72,11,0,41,10,10,-3,E Minor,4,5qmq61DAAOUaW8AUo8xKhh,USAT21703896
27,"Arabella","Arctic Monkeys",180,10B,56,2021-01-10,03:27,1,"indie, garage rock","AM",2013-09-09,58,2,0,51,0,20,-7,D Major,4,2LdG9xtEzCho3jCr58M6cq,GBCEL1300365
28,"Kiwi","Harry Styles",147,10B,93,2021-01-10,02:56,72,"","Harry Styles",2017-05-12,38,0,0,49,0,30,-3,D Major,4,33SNO8AaciGbNaQFkxvPrW,USSM11703958
29,"Bubblegum Bitch","MARINA",158,5A,86,2021-01-10,02:34,81,"","Electra Heart (Deluxe)",2012-04-27,50,0,0,61,0,10,-5,C Minor,4,6IbnUaczZBT34DhaD6S18F,GBFFS1200008
30,"Body","Megan Thee Stallion",94,1A,73,2021-01-10,02:51,70,"","Good News",2020-11-20,91,2,0,47,20,10,-6,G#/A♭ Minor,4,0A1hoCfMLkiAgvhWkkucJa,QMCE32000683
31,"Maneater","Nelly Furtado",133,2B,78,2021-01-10,04:18,86,"","Loose",2006-01-01,80,3,0,79,0,10,-5,F#/G♭ Major,4,4wH4dJgrsxONID6KS2tDQM,USUM70601449
