#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Sexy Bitch (feat. Akon)","David Guetta,Akon",130,10A,63,2022-11-12,03:15,2,"edm, ","One More Love",2010-11-22,81,8,0,80,0,10,-5,B Minor,4,3mQOoBONOh6vnP51eMgWnP,FRZID0900500
2,"God is a woman","Ariana Grande",145,3B,66,2020-12-05,03:17,80,"pop","Sweetener",2018-08-17,60,2,0,27,0,20,-6,C♯/D♭ Major,4,5OCJzvD7sykQEKHH7qAC3C,USUM71808574
3,"Oops!...I Did It Again","Britney Spears",95,1B,83,2020-12-05,03:30,48,"pop","Greatest Hits: My Prerogative",2004-11-08,76,32,0,89,0,20,-5,B Major,4,4jUuqKRr1fB4c1RvU6syls,USJI10000100
4,"How to Be a Heartbreaker","MARINA",140,10A,90,2020-11-27,03:41,49,"","Electra Heart (Deluxe)",2012-04-27,69,1,0,85,0,10,-5,B Minor,4,2Ow4Pmi0VOOLvbmJ8V70qo,GBFFS1200077
5,"Bad Romance","Lady Gaga",119,8B,92,2020-12-05,04:54,87,"art pop, pop","The Fame Monster (Deluxe Edition)",2009-11-05,70,0,0,71,0,0,-4,C Major,4,0SiywuOBRcynK0uKGWdCnn,USUM70918596
6,"Crazy In Love (feat. JAY-Z)","Beyoncé,JAŸ-Z",99,7A,77,2020-12-05,03:56,80,"hip hop, east coast hip hop, rap","Dangerously In Love",2003-06-24,65,0,0,68,20,0,-7,D Minor,4,5IVuqXILoxVWvWEPm82Jxr,USSM10305425
7,"Umbrella","Rihanna,JAŸ-Z",174,3B,83,2020-12-05,04:35,70,"hip hop, east coast hip hop, rap","Good Girl Gone Bad: Reloaded",2007-03-31,58,1,0,55,10,0,-5,C♯/D♭ Major,4,5i66xrvSh1MjjyDd6zcwgj,USUM70736771
8,"TiK ToK","Kesha",120,7A,84,2020-12-05,03:19,86,"","Animal (Expanded Edition)",2010-01-01,76,10,0,71,10,20,-3,D Minor,4,0HPD5WQqrq7wPWR7P7Dw1i,USRC10900433
9,"Man Down","Rihanna",156,5A,90,2020-12-05,04:27,75,"","Loud",2010-11-16,47,4,0,56,10,0,-4,C Minor,4,1Bx0zEdVjkFlV27iKaePug,USUM71026642
10,"We Found Love","Rihanna,Calvin Harris",128,3B,77,2020-12-05,03:35,81,"edm","Talk That Talk",2011-11-19,74,3,0,60,0,10,-4,C♯/D♭ Major,4,0U10zFw4GlBacOy9VDGfGL,USUM71115507
11,"Don't Stop The Music","Rihanna",123,11A,67,2020-12-05,04:27,87,"","Good Girl Gone Bad: Reloaded",2008-06-02,83,3,0,55,0,0,-6,F#/G♭ Minor,4,0ByMNEPAPpOR5H69DVrTNy,USUM70734700
12,"Dangerous Woman","Ariana Grande",134,9B,62,2020-12-05,03:55,0,"pop","Dangerous Woman",2016-03-11,66,5,0,26,0,30,-5,G Major,3,6T506SFlFUVVNvnmCiVZR0,USUM71601826
