#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Unstoppable","Sia",174,11B,78,2023-10-03,03:37,80,"","This Is Acting (Deluxe Version)",2016-10-21,47,11,0,26,0,10,-5,A Major,4,1yvMUkIOTeUNtNWlWRgANS,USRC11502934
2,"Can't Hold Us (feat. Ray Dalton)","Macklemore,Ryan Lewis,Macklemore & Ryan Lewis,Ray Dalton",146,10B,92,2023-10-03,04:18,81,"","The Heist",2012-10-09,64,3,0,85,0,0,-4,D Major,4,3bidbhpOYeV4knp8AIu8Xn,GMM881200021
3,"Titanium (feat. Sia)","David Guetta,Sia",126,5A,79,2023-10-03,04:05,55,"edm, ","Nothing but the Beat 2.0",2012-09-10,60,7,15,30,10,10,-4,C Minor,4,2i1AVZAYLhrQTvzr1hu7Jt,GB28K1100036
4,"Welcome to the Black Parade","My Chemical Romance",97,10B,91,2023-10-03,05:11,82,"emo, pop punk","The Black Parade",2006-10-20,22,0,0,24,0,20,-4,D Major,4,5wQnmLuC1W7ATsArWACrgW,USRE10602613
5,"Fight Song","Rachel Platten",176,9B,71,2023-10-03,03:24,75,"","Wildfire",2016-01-01,56,5,0,33,10,10,-5,G Major,4,37f4ITSlgPX81ad2EvmVQr,USSM11500753
6,"Warriors","Imagine Dragons",78,9A,85,2023-10-03,02:51,72,"","Smoke + Mirrors (Deluxe)",2015-05-11,37,10,0,31,0,20,-6,E Minor,4,1sWeSMifj6Z6kZyI6z3bRc,USUM71414163
7,"Phoenix","League of Legends,Cailin Russo,Chrissy Costanza",168,3A,72,2023-10-03,03:17,7,"","Phoenix",2019-10-08,42,6,0,29,10,10,-7,A#/B♭ Minor,4,6zAiRKvAMlXHxEtyO4yxIO,NLRD51859891
8,"Viva La Vida","Coldplay",138,4A,62,2023-10-03,04:02,89,"","Viva La Vida or Death and All His Friends",2008-06-06,49,10,0,42,0,10,-7,F Minor,4,1mea3bSkSGXuIRvnydlB5b,GBAYE0800265
9,"Pompeii","Bastille",127,11B,72,2023-10-03,03:34,79,"","Bad Blood",2013-01-01,68,8,0,57,0,20,-6,A Major,4,6fNhZRFEkBfgW39W3wKARJ,GBAAA1200795
10,"Save Your Tears","The Weeknd",118,8B,83,2023-10-03,03:35,87,"","After Hours",2020-03-20,68,2,0,64,0,50,-5,C Major,4,5QO79kh1waicV47BqGRL3g,USUG12000658
11,"Circles","Post Malone",120,8B,76,2023-10-03,03:35,87,"","Hollywood's Bleeding",2019-09-06,70,19,0,55,0,0,-3,C Major,4,21jGcNKet2qwijlDFuPiPb,USUM71915699
12,"Ride","Twenty One Pilots",75,2B,71,2023-10-03,03:34,86,"","Blurryface",2015-05-15,65,1,0,57,0,10,-5,F#/G♭ Major,4,2Z8WuEywRWYTKe1NybPQEW,USAT21500598
13,"Time-Bomb","All Time Low",139,10A,92,2023-10-03,03:29,45,"pop punk, emo, punk","Dirty Work",2011-01-01,53,0,0,63,0,30,-4,B Minor,4,0ydyPs14G4gAp2L1fWIhpV,USUM71100512
14,"GODS","League of Legends,NewJeans",146,2A,77,2023-10-04,03:40,10,"k-pop","GODS",2023-10-04,59,1,0,49,0,20,-6,D#/E♭ Minor,4,210JJAa9nJOgNa0YNrsT5g,QZH6S1900802
15,"シルエット","KANA-BOON",91,10B,93,2023-10-04,04:00,77,"anime, j-rock, j-pop","TIME",2015-01-21,44,0,14,38,0,30,-3,D Major,4,1di1C0QI6Y92yZPYn6XYAZ,JPU901401691
16,"High Hopes","Panic! At The Disco",82,7B,90,2023-10-04,03:10,84,"emo","Pray for the Wicked",2018-06-22,58,19,0,68,0,0,-3,F Major,4,1rqqCSm0Qe4I9rUvWncaom,USAT21801174
17,"I Will Survive","Gloria Gaynor",117,8A,78,2023-10-12,04:56,78,"disco","Love Tracks",1978-11-27,77,2,0,80,0,30,-10,A Minor,4,7rIovIsXE6kMn629b7kDig,USUR10200634
18,"Bad Romance","Halestorm",124,3B,93,2023-10-17,04:08,65,"","ReAniMate: The CoVeRs eP",2011-03-22,55,1,0,68,0,30,-5,C♯/D♭ Major,4,0n3sHHfdOq6Awix3JPe3xl,USAT21100240
19,"Kids In The Dark","All Time Low",130,12A,98,2023-11-04,03:36,59,"pop punk, emo, punk","Future Hearts",2015-04-07,52,0,0,77,0,0,-3,C♯/D♭ Minor,4,50oS45iNMFp7pKIQRAWIUP,USHR21547014
20,"unravel","TK from Ling tosite sigure",135,6A,89,2023-11-06,03:58,73,"anime, j-rock, j-pop","Fantastic Magic",2014-08-27,51,5,0,33,0,10,-3,G Minor,4,1rN9QoVxw5U7TJkyaUR8C1,JPU901400608
21,"katharsis","TK from Ling tosite sigure",144,4B,83,2023-11-09,04:26,58,"anime, j-rock, j-pop","katharsis",2018-11-21,56,4,0,39,10,10,-3,G#/A♭ Major,4,7MtpXnAhLKdkXjoFaK95TB,JPU901802954
22,"more than words","Hitsujibungaku",130,2B,80,2024-01-02,04:49,64,"japanese indie, j-pop, anime, j-rock, shoegaze","12 hugs (like butterflies)",2023-12-06,57,0,0,60,0,20,-5,F#/G♭ Major,4,2kXER8pkjxDVQnlagpVJJw,JPU902303487
23,"踊り子","Vaundy",157,9B,52,2024-06-27,03:49,73,"j-pop, japanese indie, j-rock, anime","replica",2023-11-15,71,83,80,69,0,0,-10,G Major,4,1YXot2MLAG9sttepCtBRM7,JPR652100061
24,"Numb Little Bug","Em Beihold",85,1A,53,2024-07-16,02:49,71,"","Egg in the Backseat",2022-07-22,74,33,0,64,0,20,-7,G#/A♭ Minor,4,1KQc37jezhunxnOPhvdwSG,USUM72200626
25,"Thnks fr th Mmrs","Fall Out Boy",155,3A,89,2024-08-30,03:23,82,"emo, pop punk","Infinity On High",2007-01-01,46,1,0,59,0,10,-5,A#/B♭ Minor,4,3Zwu2K0Qa5sT6teCCHPShP,USUM70700326
26,"Heavy Is the Crown","Linkin Park",128,9A,93,2024-09-25,02:47,73,"nu metal, rap metal, rock, alternative metal","Heavy Is the Crown",2024-09-24,57,1,0,49,0,30,-4,E Minor,4,3fgehc497TFqKH1zBL2YNK,USWB12403466
27,"Deslocado","NAPA",76,2B,46,2025-07-31,02:59,75,"","Deslocado",2025-03-10,57,15,0,41,0,10,-8,F#/G♭ Major,4,31CsSZ9KlQmEu0JvWSkM3j,PTUM72500004
28,"青のすみか","Tatsuya Kitani",152,3B,90,2026-01-21,03:16,75,"anime, j-pop, j-rock","青のすみか",2023-07-07,48,1,0,64,10,30,-5,C♯/D♭ Major,4,12usPU2WnqgCHAW1EK2dfd,JPU902302107
