#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Can I Love ? (feat. youra & Meego)","Cosmic Boy,youra,Meego",80,4A,44,2020-06-10,03:49,0,"","Can I Love ?",2019-02-18,71,56,0,28,0,10,-4,F Minor,4,4T2cOfemKB0owJS2JOu7dF,KRB471900313
2,"lovememore.","dosii",156,5A,69,2020-06-10,03:51,0,"","dosii",2019-02-28,64,77,2,92,0,0,-8,C Minor,4,7dwqDvzzXQhieo18mxOrAv,KRMIM1902271
3,"We (OUI)","jeebanoff,sogumm",88,11B,72,2020-06-10,04:26,0,"k-rap","We (OUI)",2019-04-12,71,52,0,52,10,10,-5,A Major,4,75xxSdoiR2z8b4l8mYnV5C,KRB471900549
4,"2000/90","GIRIBOY",150,8A,93,2020-06-10,03:42,29,"k-rap","Lonely 4songs",2015-09-01,82,30,0,92,20,10,-4,A Minor,4,6T7VYAQOGEuVTPqPSXWtKA,KRA381500114
5,"내가 날 모르는 것처럼","MR MakeR",78,12B,53,2020-06-10,03:56,0,"","인기 MR반주 Vol.12",2019-11-20,59,0,87,29,0,10,-9,E Major,4,3n3U10KLGaUyhFZ1buCVvI,QZEKE1915131
6,"Swimming pool","george",150,5A,29,2020-06-10,03:29,0,"k-ballad","Swimming pool",2018-03-03,47,59,0,11,0,10,-10,C Minor,4,0KlGGlCwuBw9cPcjq7xjgf,KRNAR1802697
7,"Sometimes","oftn",85,5B,64,2020-06-10,04:13,0,"","Sometimes",2018-05-28,56,26,50,37,0,10,-9,D#/E♭ Major,4,4J0UlXgfA8oix1ZcGqTW8v,KRMIM1801394
8,"sydney, hongkong (feat. THAMA)","Kid Milli,THAMA",84,10B,56,2020-06-10,03:26,23,"k-rap","L I F E",2019-03-14,58,3,0,20,20,10,-4,D Major,4,0HvublBa6Vlo9AZCa4vdil,KRA381900696
9,"Wonder","ADOY",100,2B,74,2020-06-10,03:55,0,"","LOVE",2018-06-15,66,75,54,53,0,10,-6,F#/G♭ Major,4,0v89jw9S9NPzOPCoZnLZxE,KRA531800010
10,"Outro (Feat. GIRIBOY)","Kid Milli,GIRIBOY",148,9B,74,2020-06-10,03:31,20,"k-rap","Maiden Voyage III",2018-11-17,70,87,0,70,20,20,-1,G Major,4,5s4Ea5SOjO1MiXdFajtpVf,KRA381801937
11,"Grace","ADOY",100,12A,70,2020-06-10,04:05,44,"","CATNIP",2017-05-17,62,38,0,64,0,10,-6,C♯/D♭ Minor,4,6hpWk3kV9phxtzxbzzXmIF,KRNAR1702870
12,"Your Dog Loves You","Colde,Crush",102,11B,23,2020-06-10,04:30,0,"k-rap, k-pop, k-ballad","Your Dog Loves You",2018-03-28,67,93,0,13,0,10,-12,A Major,4,2XdyebP7KxClMOse2C5iyA,KRNAR1804612
13,"하루살이","DEAN,SULLI,Rad Museum",86,3A,49,2020-06-20,03:27,55,"k-rap, k-pop","하루살이",2018-11-09,73,57,0,53,0,20,-8,A#/B♭ Minor,4,2AA1f7utyvXpmtKsEvp5lz,KRUM71800443
14,"Love Me Harder","WOODZ",130,3A,80,2020-06-30,03:27,0,"k-rock, k-pop","EQUAL",2020-06-29,73,2,0,66,0,10,-4,A#/B♭ Minor,4,6fDFxA3j4WpfeCVihCPWSH,KRMIM2017224
15,"Jasmine","DPR LIVE",138,4B,49,2020-08-29,03:21,63,"k-rap","Jasmine",2017-10-08,60,33,0,40,10,10,-6,G#/A♭ Major,4,2IgbYlOlFpiSFYnsqB39lM,KRA381702312
16,"Control Me","Colde",172,6A,63,2021-03-31,03:26,0,"","Control Me",2019-09-05,66,81,0,74,0,10,-7,G Minor,4,2yGzZkY6OGXWgS5vpd5VuF,QM7281943091
