#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Boss Bitch","Doja Cat",126,3A,96,2021-11-11,02:14,76,"","Boss Bitch",2020-01-23,71,13,0,57,20,20,-5,A#/B♭ Minor,4,78qd8dvwea0Gosb6Fe6j3k,USAT21907355
2,"The Real Slim Shady","Eminem",105,4A,66,2021-11-11,04:44,86,"rap, hip hop","The Marshall Mathers LP",2000-05-23,95,3,0,76,0,0,-4,F Minor,4,3yfqSUWxFvZELEM4PmlwIR,USIR10000448
3,"Like a Virgin","Madonna",120,2A,80,2021-11-11,03:08,30,"","Celebration (double disc version)",2009-09-18,78,37,0,96,0,10,-3,D#/E♭ Minor,3,1iaIEmZHrjGzWUmJ9BaFr6,USWB10903604
4,"...Baby One More Time","Britney Spears",93,5A,70,2021-11-11,03:31,86,"pop","...Baby One More Time (Digital Deluxe Version)",1999-01-12,76,20,0,91,0,40,-6,C Minor,4,3MjUtNVVq3C8Fn0MP3zhXa,USJI19810404
5,"God is a woman","Ariana Grande",145,3B,66,2021-11-11,03:17,80,"pop","Sweetener",2018-08-17,60,2,0,27,0,20,-6,C♯/D♭ Major,4,5OCJzvD7sykQEKHH7qAC3C,USUM71808574
6,"Only Girl (In The World)","Rihanna",126,10A,71,2021-11-11,03:55,89,"","Loud",2010-01-01,79,11,0,64,0,0,-4,B Minor,4,2ENexcMEMsYk0rVJigVD3i,USUM71023200
7,"What’s New","Megan Thee Stallion",140,3B,87,2021-11-11,02:35,61,"","Good News",2020-11-20,93,0,0,72,30,0,-5,C♯/D♭ Major,4,3jRHehB5ulTMKfK5WaqDqc,QMCE32000684
8,"Truth Hurts","Lizzo",158,9A,62,2021-11-11,02:53,57,"","Cuz I Love You (Deluxe)",2019-05-03,72,11,0,41,10,10,-3,E Minor,4,5qmq61DAAOUaW8AUo8xKhh,USAT21703896
9,"Womanizer","Britney Spears",139,1B,70,2021-11-11,03:44,83,"pop","Circus (Deluxe Version)",2008-12-02,72,7,0,24,0,0,-5,B Major,4,4fixebDZAVToLbUCuEloa2,USJI10800838
10,"Obsessed","Mariah Carey",86,3A,47,2021-11-11,04:02,76,"christmas","Memoirs of an imperfect Angel",2009-09-29,74,5,0,37,0,80,-6,A#/B♭ Minor,4,3IcIIZMMS7UArJJPtEHXG8,USUM70973055
11,"Promiscuous","Nelly Furtado,Timbaland",114,3A,97,2021-11-11,04:02,89,"","Loose",2006-01-01,81,6,0,87,0,10,-6,A#/B♭ Minor,4,2gam98EZKrF9XuOkU13ApN,USUM70603473
12,"Gucci Flip Flops (feat. Lil Yachty)","Bhad Bhabie,Lil Yachty",160,4B,60,2021-11-11,02:31,70,"","15",2018-09-18,82,4,2,18,30,10,-7,G#/A♭ Major,4,3hv6ndi7uFT9L9wrhQCsqY,USAT21801136
13,"Ur Man","Slayyyter",143,2B,65,2021-11-11,02:24,39,"hyperpop","Slayyyter",2019-09-17,83,0,0,90,0,30,-5,F#/G♭ Major,4,6bJm2QRP0pYF8nVwF2YR4l,QZHN31940609
14,"Take Your Man","Mahogany Lox",110,8B,66,2021-11-11,01:57,47,"","Take Your Man",2019-10-18,93,41,0,34,10,0,-8,C Major,4,1CF5kzz5XDBAL24wtVyyTJ,QZHN71992267
15,"Confident","Demi Lovato",130,5B,75,2021-11-11,03:25,61,"","Confident (Deluxe Edition)",2015-10-16,59,0,0,34,0,0,-6,D#/E♭ Major,4,0Mn3amMRMoabaoTf1Publ4,USHR11536743
16,"Want U Back","Cher Lloyd",98,11B,89,2021-11-11,03:34,61,"","Sticks & Stones",2012-10-02,69,6,0,56,0,50,-3,A Major,4,6E11E0lT5Zy7yb6iT3y8DN,GBHMU1100387
17,"Feeling Myself","Nicki Minaj,Beyoncé",102,10B,70,2021-11-11,03:57,58,"","The Pinkprint (Deluxe)",2014-12-15,61,44,1,49,20,30,-5,D Major,3,5fyIGoaaKelzdyW8ELhYJZ,USCM51400377
18,"Bad Girls","M.I.A.",143,3B,91,2021-11-11,03:47,75,"","Matangi",2013-01-01,64,0,0,34,0,10,-3,C♯/D♭ Major,4,6nzXkCBOhb2mxctNihOqbb,USUG11200143
19,"break up with your girlfriend, i'm bored","Ariana Grande",170,4A,55,2021-11-11,03:10,77,"pop","thank u, next",2019-02-08,73,4,0,34,0,10,-5,F Minor,4,4kV4N9D1iKVxx1KLvtTpjS,USUM71900409
20,"Only Girl (In The World)","Rihanna",126,10A,72,2021-11-11,03:55,76,"","Loud",2010-11-16,79,13,0,61,0,0,-4,B Minor,4,0AH6WMe3OlAlUb5miXt2FQ,USUM71023200
