#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Zaferlerim","Demir Demirkan",126,7A,72,2025-06-08,04:02,49,"anatolian rock, turkish pop","2004 Istanbul",2004-01-01,70,27,0,53,0,10,-6,D Minor,4,3I0XubzyOROiSfaim3RVyf,USA561129346
2,"Bihaber","Vega",135,10A,65,2025-06-08,03:49,55,"anatolian rock","Tatlı Sert",2002-02-13,68,11,0,84,0,0,-9,B Minor,4,1fZpoShaD1NIwqadYTAfrn,TR0531303756
3,"Gitti Gider","Demir Demirkan",100,8A,84,2025-06-15,04:15,39,"anatolian rock, turkish pop","2004 Istanbul",2004-01-01,60,16,0,41,0,20,-4,A Minor,4,6XNqjkUslwWMnFQBuLwPar,USA561129339
4,"Arzuhal","Vega",153,11A,86,2025-06-15,04:23,42,"anatolian rock","Delinin Yıldızı",2017-09-22,58,21,0,85,0,0,-4,F#/G♭ Minor,4,3VZGcqlcSyhwCI32oA12Lp,TR8671700003
5,"Okyanus","Adamlar",83,3A,48,2025-06-15,03:58,47,"anatolian rock","Harekete kimse mâni olamaz.",2023-01-20,70,68,3,53,0,10,-10,A#/B♭ Minor,4,2AwFrsfrltFdaUXbju6VXl,TRA162300020
6,"İkimizden Biri","Fatma Turgut",122,11A,75,2025-06-17,03:47,67,"turkish pop","İkimizden Biri",2022-09-30,57,7,0,61,0,20,-6,F#/G♭ Minor,4,7M9KPD0b04Z1rxJNGERuAe,TR0532215124
7,"Serzenişte","Vega",192,9B,84,2025-06-19,04:50,51,"anatolian rock","Hafif Müzik",2006-03-03,54,0,0,86,10,0,-5,G Major,4,2769e3EfBMnc1wmtbu5ubo,TRA160500225
8,"Desem De İnanma","Vega",148,7A,79,2025-07-05,04:25,43,"anatolian rock","Tatlı Sert",2002-02-13,45,1,0,60,0,30,-7,D Minor,4,2dkYZzG1KmwBQ0Htpwxf20,TR0531303763
9,"Ankara","Vega",132,9A,69,2025-07-05,05:22,51,"anatolian rock","Hafif Müzik",2006-03-03,63,35,4,50,0,10,-7,E Minor,4,7IKeb4jtqRFp2x87wVkwIm,TRA160500234
10,"Yara","Kalben",111,9A,49,2025-07-06,03:33,70,"turkish pop","Sonsuza Kadar",2017-11-06,70,44,0,46,0,20,-11,E Minor,4,1IquNFg2RRH1CLRAHNVgQ9,TRBDY1702105
11,"Evet, Ne Var?","Vega",80,7A,70,2025-07-06,03:37,46,"anatolian rock","Tatlı Sert",2002-02-13,58,34,0,85,0,10,-6,D Minor,4,1l8qDHz91cv87eyqDpM6Gr,TR0531303757
12,"İz Bırakanlar Unutulmaz","Vega",120,9A,41,2025-08-03,04:05,56,"anatolian rock","Tatlı Sert",2002-02-13,57,60,0,17,0,10,-9,E Minor,4,7qdT4zHhEZXngjZRK3xwYD,TR0531303758
13,"Lafügüzaf","Gökhan Türkmen",142,3A,45,2025-08-03,03:45,62,"turkish pop","Lafügüzaf",2018-02-16,40,27,0,25,0,10,-10,A#/B♭ Minor,4,3pZDZloBhUwlKA5O6JzXXa,TRASC1800069
