#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Into It","Chase Atlantic",130,3A,57,2021-12-18,03:16,83,"","Chase Atlantic",2017-10-04,52,5,0,29,0,10,-7,A#/B♭ Minor,4,4HwDCXsMBC7SUdp2WT4MZP,USWB11602565
2,"Judas","Lady Gaga",131,3A,94,2021-12-18,04:09,78,"art pop, pop","Born This Way",2011-01-01,66,0,0,54,0,30,-4,A#/B♭ Minor,4,0QkWikH5Z3U0f79T9iuF6c,USUM71104998
3,"Bubblegum Bitch","MARINA",158,5A,86,2021-12-18,02:34,54,"","Electra Heart (Deluxe)",2012-04-27,50,0,0,61,0,10,-5,C Minor,4,0ZFBKLOZLIM16RAUb5eomN,GBFFS1200008
4,"Love Me","The 1975",97,3A,80,2021-12-18,03:42,51,"","I like it when you sleep, for you are so beautiful yet so unaware of it",2016-02-26,62,1,0,89,0,60,-3,A#/B♭ Minor,4,5hRzAbY2AAO258hL6oqsqO,GBK3W1500404
5,"Gimme More","Britney Spears",113,10B,84,2021-12-18,04:11,86,"pop","Blackout",2007-10-25,79,25,0,38,0,0,-3,D Major,4,6ic8OlLUNEATToEFU3xmaH,USJI10700609
6,"Paparazzi","Lady Gaga",115,4A,69,2021-12-18,03:28,82,"art pop, pop","The Fame",2008-01-01,76,11,0,40,0,0,-4,F Minor,4,02XnQdf7sipaKBBHixz3Zp,USUM70824408
7,"Just Dance","Lady Gaga,Colby O'Donis",119,12A,74,2021-12-18,04:01,85,"art pop, pop, ","The Fame",2008-01-01,82,3,0,75,0,10,-5,C♯/D♭ Minor,4,1dzQoRqT5ucxXVaAhTcT0J,USUM70807646
8,"Toxic","2WEI",120,4B,62,2021-12-18,03:57,1,"","Sequels",2018-09-20,40,18,44,6,0,10,-10,G#/A♭ Major,4,5zj80ti5GGOgMwXHWyqaDm,US43C1608480
9,"Confident","Demi Lovato",130,5B,75,2021-12-18,03:25,75,"","Confident",2015-01-01,59,0,0,34,0,0,-6,D#/E♭ Major,4,3DXXKDbbZKyAZfNb96ST3q,USHR11536743
10,"The Real Slim Shady","Eminem",105,4A,66,2021-12-18,04:44,86,"rap, hip hop","The Marshall Mathers LP",2000-05-23,95,3,0,76,0,0,-4,F Minor,4,3yfqSUWxFvZELEM4PmlwIR,USIR10000448
11,"Only Girl (In The World)","Rihanna",126,10A,71,2021-12-18,03:55,89,"","Loud",2010-01-01,79,11,0,64,0,0,-4,B Minor,4,2ENexcMEMsYk0rVJigVD3i,USUM71023200
12,"Promiscuous","Nelly Furtado,Timbaland",114,3A,97,2021-12-18,04:02,89,"","Loose",2006-01-01,81,6,0,87,0,10,-6,A#/B♭ Minor,4,2gam98EZKrF9XuOkU13ApN,USUM70603473
13,"How to Be a Heartbreaker","MARINA",140,10A,90,2021-12-18,03:41,49,"","Electra Heart (Deluxe)",2012-04-27,69,1,0,85,0,10,-5,B Minor,4,2Ow4Pmi0VOOLvbmJ8V70qo,GBFFS1200077
14,"Kiwi","Harry Styles",147,10B,93,2021-12-18,02:56,72,"","Harry Styles",2017-05-12,38,0,0,49,0,30,-3,D Major,4,33SNO8AaciGbNaQFkxvPrW,USSM11703958
15,"Lost in the Fire (feat. The Weeknd)","Gesaffelstein,The Weeknd",101,10B,67,2021-12-18,03:22,82,"","Hyperion",2019-03-08,66,9,0,17,0,10,-12,D Major,4,2vXKRlJBXyOcvZYTdNeckS,USQX91803314
16,"All I Need","Lloyd",126,3A,50,2021-12-18,03:58,0,"r&b","All I Need",2021-10-05,72,0,0,29,0,0,-10,A#/B♭ Minor,4,1bpdLkA2MDdMAx043uDIQM,QZ8WX2051120
17,"Crazy In Love (feat. JAY-Z)","Beyoncé,JAŸ-Z",99,7A,77,2021-12-18,03:56,80,"hip hop, east coast hip hop, rap","Dangerously In Love",2003-06-24,65,0,0,68,20,0,-7,D Minor,4,5IVuqXILoxVWvWEPm82Jxr,USSM10305425
18,"Royals","Lorde",85,9B,43,2021-12-18,03:10,81,"","Pure Heroine",2013-09-27,67,12,0,34,10,10,-10,G Major,4,2dLLR6qlu5UJ5gk0dKz0h3,NZUM71200031
19,"Rät","Penelope Scott",144,4A,45,2021-12-18,03:14,0,"","Public Void",2020-09-25,59,31,0,30,20,10,-13,F Minor,4,25z6kpmIwkCUqk2IORrJ5v,QZK6F2019397
20,"Hayloft","Mother Mother",96,8A,92,2021-12-18,03:01,3,"","O My Heart",2008-09-23,53,0,0,49,0,40,-3,A Minor,4,2kS6td1yvmpNgZTt1q5pQq,CAL450882108
21,"Me, Myself & I","G-Eazy,Bebe Rexha",112,5A,67,2021-12-18,04:11,82,"","When It's Dark Out",2015-12-04,76,2,0,39,10,10,-7,C Minor,4,40YcuQysJ0KlGQTeGUosTC,USRC11502210
22,"OHMAMI","Chase Atlantic",126,3A,72,2021-12-18,03:46,64,"","OHMAMI",2021-06-25,63,5,0,40,10,20,-6,A#/B♭ Minor,4,2zVaxB54fNngkbWs5uZnla,US5262124147
23,"Power & Control","MARINA",120,8A,90,2021-12-18,03:46,50,"","Electra Heart (Deluxe)",2012-04-27,53,1,0,48,0,10,-5,A Minor,4,2IPMpbBwyCm2V6azTZgAKj,GBFFS1200014
24,"Look What You Made Me Do","Taylor Swift",128,8A,71,2021-12-18,03:31,79,"","reputation",2017-11-10,77,20,0,51,10,10,-6,A Minor,4,1P17dC1amhFzptugyAO7Il,USCJY1750000
25,"ESCORT","Chase Atlantic",102,1B,62,2021-12-18,03:38,53,"","ESCORT",2021-10-14,56,0,0,10,0,10,-5,B Major,4,6yfScK103B2KuUHf7aZ6Tp,US5262124385
26,"What's My Name?","Rihanna,Drake",100,10B,78,2021-12-20,04:23,81,"rap","Loud",2010-01-01,69,18,0,56,0,0,-3,D Major,4,6DkXLzBQT7cwXmTyzAB1DJ,USUM71025031
27,"Killer Scene","Pale Honey",142,12B,65,2021-12-20,03:28,37,"","Some Time, Alone",2020-11-06,62,7,0,33,0,10,-8,E Major,4,4bdNEYkmvHCvwnFwZtjpgv,SE3T62002006
28,"Confident","Justin Bieber,Chance the Rapper",134,4A,56,2022-01-20,04:08,75,"","Journals",2014-05-13,74,11,0,88,10,10,-5,F Minor,4,5Isz0twJeFdduOQEFQLezv,USUM71319306
29,"it's not u it's me","Bea Miller,6LACK",151,5A,57,2022-01-20,03:14,52,"","it's not u it's me",2019-03-01,78,2,0,75,10,0,-6,C Minor,4,7cLm450e9XaPrEZTSTsfwU,USHR11939059
30,"Control","Halsey",120,9A,68,2022-01-20,03:34,71,"","BADLANDS (Deluxe)",2015-08-28,55,40,0,21,0,10,-6,E Minor,4,3SKzTIl9mW0DadTys9SFo3,USUM71507636
31,"Poker Face","Lady Gaga",119,12B,81,2022-02-12,03:57,86,"art pop, pop","The Fame",2008-01-01,85,12,0,77,0,10,-5,E Major,4,1QV6tiMFM6fSOKOGLMHYYg,USUM70824409
32,"Bloody Mary","Lady Gaga",100,8A,63,2023-01-28,04:04,76,"art pop, pop","Born This Way (International Special Edition Version)",2011-05-23,59,1,0,44,0,10,-6,A Minor,4,53jnnqFSRGMDB9ADrNriCA,USUM71106449
33,"Used To Be My Girl","The Last Shadow Puppets",109,8A,80,2023-01-28,02:55,55,"baroque pop","Everything You've Come To Expect (Deluxe Edition)",2016-12-02,59,0,16,75,0,0,-7,A Minor,4,4QzJg2N57KhY0tDVmEVIgU,GBCEL1600012
34,"One Way Or Another","Blondie",161,11A,80,2023-03-17,03:36,64,"","Best Of Blondie",1981-10-31,47,8,0,91,0,20,-12,F#/G♭ Minor,4,1gKmnrz6SzJlGMNRKBLx1V,USCH38500014
35,"How You Like That","BLACKPINK",130,1B,76,2023-04-27,03:02,76,"k-pop","THE ALBUM",2020-10-02,81,5,0,34,0,0,-5,B Major,4,4SFknyjLcyTLJFPKD2m96o,KRA402000111
