#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Bubblegum Bitch","MARINA",158,5A,86,2022-03-27,02:34,81,"","Electra Heart (Deluxe)",2012-04-27,50,0,0,61,0,10,-5,C Minor,4,6IbnUaczZBT34DhaD6S18F,GBFFS1200008
2,"Rules","Doja Cat",144,9B,72,2022-03-27,03:07,73,"","Hot Pink",2019-11-07,65,17,0,69,10,10,-5,G Major,4,1TMWcbxL5YF8rKsFHv5hAP,USRC11902867
3,"Cpr","cupcakKe",103,9B,75,2022-03-27,03:28,65,"","Queen Elizabitch",2017-03-31,81,3,0,53,10,10,-8,G Major,4,35mBYyB61qTcGGj7MXIRM1,TCACZ1762108
4,"break up with your girlfriend, i'm bored","Ariana Grande",170,4A,55,2022-03-27,03:10,77,"pop","thank u, next",2019-02-08,73,4,0,34,0,10,-5,F Minor,4,4kV4N9D1iKVxx1KLvtTpjS,USUM71900409
5,"Dangerous Woman","Ariana Grande",134,9A,60,2022-03-27,03:55,81,"pop","Dangerous Woman",2016-04-01,66,5,0,29,0,30,-5,E Minor,3,3nef5W8jTkXrOKgCu4kmq7,USUM71601826
6,"New Rules","Dua Lipa",116,8A,70,2022-03-27,03:29,80,"pop","Dua Lipa (Deluxe)",2017-06-02,76,0,0,61,0,10,-6,A Minor,4,2ekn2ttSfGqwhhate0LSR0,GBAHT1600310
7,"BOOMBAYAH","BLACKPINK",125,4A,84,2022-03-27,04:00,77,"k-pop","SQUARE ONE",2016-08-08,66,0,0,40,0,50,-3,F Minor,4,13MF2TYuyfITClL1R2ei6e,KRA401600169
8,"Streets","Doja Cat",90,1B,46,2022-03-27,03:46,85,"","Hot Pink",2019-11-07,75,21,4,19,0,30,-8,B Major,4,60ynsPSSKe6O3sfwRnIBRf,USRC11903460
9,"End Game","Taylor Swift,Ed Sheeran,Future",159,10B,59,2022-03-27,04:04,74,"soft pop, rap","reputation",2017-11-10,65,1,0,15,0,10,-6,D Major,4,2x0WlnmfG39ZuDmstl9xfX,USCJY1750004
10,"Candy Store","Jessica Keenan Wynn,Alice Lee,Elle McLemore",142,12A,53,2022-03-27,02:52,67,"musicals","Heathers: The Musical (World Premiere Cast Recording)",2014-06-10,73,59,0,78,10,10,-6,C♯/D♭ Minor,4,13Soih2NRLeDx8Unbr22mx,US6W61422223
11,"Girls","MARINA",114,8A,87,2022-03-27,03:28,55,"","The Family Jewels",2009-07-15,66,3,0,93,0,0,-5,A Minor,4,3MNeq4nPxnPK1lsGGXZeRU,GBFFS0900115
12,"Into It","Chase Atlantic",130,3A,57,2022-03-27,03:16,83,"","Chase Atlantic",2017-10-04,52,5,0,29,0,10,-7,A#/B♭ Minor,4,4HwDCXsMBC7SUdp2WT4MZP,USWB11602565
13,"You Need To Calm Down","Taylor Swift",85,10B,67,2022-03-27,02:51,77,"","Lover",2019-08-23,77,1,0,71,0,0,-6,D Major,4,6RRNNciQGZEXnqk8SQ9yv5,USUG11901470
14,"My Body's Made of Crushed Little Stars","Mitski",82,9B,75,2022-03-27,01:56,60,"","Puberty 2",2016-06-17,20,0,0,33,0,40,-8,G Major,4,00ZprREYIexO3pgJlPgPau,USJ5G1612307
15,"It's Everyday Bro","Jake Paul,Team 10",150,12A,71,2022-03-27,03:37,45,"","It's Everyday Bro",2017-05-30,79,0,0,56,20,10,-8,C♯/D♭ Minor,5,4l62h4tiuUwn7eD6hxMlVQ,USUYG1143894
16,"Death of a Bachelor","Panic! At The Disco",139,8B,54,2022-03-27,03:23,69,"emo","Death of a Bachelor",2016-01-15,46,1,0,41,0,40,-6,C Major,4,1BECwm5qkaBwlbfo4kpYx8,USAT21503696
17,"Mother's Daughter","Miley Cyrus",91,12A,87,2022-03-27,03:39,2,"","SHE IS COMING",2019-05-31,68,0,0,53,0,10,-4,C♯/D♭ Minor,4,2WyRfGeHo97VC5mP1BBSzr,USRC11901529
18,"Regular - Korean Version","NCT 127",134,8A,80,2022-03-27,03:37,48,"k-pop, noise music","NCT #127 Regular-Irregular - The 1st Album",2018-10-12,73,24,0,88,0,20,-5,A Minor,4,2lAxhE5s3x7OS9sfhsgT1F,KRA301800424
19,"Not Today","BTS",110,4B,95,2022-03-27,03:51,75,"k-pop","You Never Walk Alone",2017-02-13,59,0,0,67,10,90,-3,G#/A♭ Major,4,3wyrhwPpV8uhMMEms4vG3X,KRA381700254
20,"Old Town Road","Lil Nas X",136,3B,53,2022-03-27,01:53,75,"","7",2019-06-21,91,6,0,51,10,10,-6,C♯/D♭ Major,4,0F7FA14euOIX8KcbEturGH,USSM11901941
21,"Boy in Luv","BTS",166,8B,95,2022-03-27,03:50,73,"k-pop","Skool Luv Affair",2014-02-12,49,0,0,47,30,30,-2,C Major,4,3FnDv33WrrMtuEr7hNR3ev,KRA341404052
22,"Church","Chase Atlantic",113,4A,82,2022-03-27,03:40,73,"","Part One",2017-01-27,56,1,0,29,0,10,-5,F Minor,4,7bbYT48HWWIbL3YKmtMNzn,USWB11602566
23,"DEVILISH","Chase Atlantic",145,8A,74,2022-03-27,02:52,0,"","DON'T TRY THIS",2019-01-25,50,2,0,54,50,20,-6,A Minor,4,2yi1xYIc58dUibi3iMvqWl,QMRSZ1802757
24,"Animals","Maroon 5",190,9A,74,2022-03-27,03:51,85,"pop","V",2014-09-02,28,0,0,33,0,50,-6,E Minor,4,2bL2gyO6kBdLkNSkxXNh6x,USUM71409576
25,"Two Trucks","Lemon Demon",114,8A,39,2022-03-27,04:07,46,"","Nature Tapes",2014-11-02,76,5,0,90,0,10,-13,A Minor,4,1s5A0u1dnAeVNur5nPkCpD,TCACB1427915
26,"Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey)","Ariana Grande,Miley Cyrus,Lana Del Rey",103,3B,76,2022-03-27,03:10,67,"pop, ","Charlie's Angels (Original Motion Picture Soundtrack)",2019-11-01,64,0,0,35,0,0,-5,C♯/D♭ Major,4,6zegtH6XXd2PDPLvy1Y0n2,USUM71912501
27,"Touch You","遠野高志,加島優,矢口恭介,ジミー,百合絢斗,田村唯,明美圭一,糸目幸士郎,鹿谷樹",135,1A,96,2022-03-27,03:26,69,"anime","アニメ『ヤリチン☆ビッチ部』主題歌「Touch You」",2018-08-15,60,1,0,80,0,10,-3,G#/A♭ Minor,4,6qWEpnyU43Bcrx3vfbGuVm,JPV431800250
28,"Burning Up (Fire)","BTS",100,3A,71,2022-03-27,03:23,76,"k-pop","The Most Beautiful Moment in Life: Young Forever",2016-05-02,63,0,0,53,0,10,-3,A#/B♭ Minor,4,0aE3V0zgSD2YwkEHW42gxG,KRA381600800
29,"Animal","AURORA",128,2A,62,2022-03-27,03:35,48,"norwegian pop, art pop","A Different Kind Of Human – Step 2",2019-06-07,63,8,0,26,0,20,-6,D#/E♭ Minor,4,0iBeCjWB1PuItkjfrE1Ch1,GBUM71807807
30,"No More Dream","BTS",168,10B,86,2022-03-27,03:42,71,"k-pop","2 Cool 4 Skool",2013-06-12,44,1,0,59,40,40,-5,D Major,4,089PFeXotzDLNQz9NCk6pF,KRA341308133
31,"HOT","TWICE",120,12A,57,2022-03-27,02:57,45,"k-pop","FANCY YOU",2019-04-22,76,1,0,77,0,0,-7,C♯/D♭ Minor,4,5Tfp6aW5UTGvul246N5aS0,US5TA1900045
32,"Body Electric","Lana Del Rey",168,12A,49,2022-03-27,03:53,30,"","Born To Die - The Paradise Edition",2012-11-12,25,47,0,10,0,0,-9,C♯/D♭ Minor,3,03cCUxiLIcZj1brSJzqmPE,GBUM71205882
33,"Lotto","EXO",100,10A,87,2022-03-27,03:09,63,"k-pop","LOTTO - The 3rd Album Repackage",2016-08-18,80,6,0,70,0,10,-3,B Minor,4,6ukWoX4AHV76JdYVdKRPk8,KRA301600281
