#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Starboy","The Weeknd,Daft Punk",186,9B,59,2026-03-11,03:50,91,"french house, electronic, electro","Starboy",2016-11-25,68,14,0,49,20,10,-7,G Major,4,7MXVkk9YMctZqd1Srtv4MB,USUG11600976
2,"Mary On A Cross","Ghost",130,1B,90,2026-03-11,04:04,81,"metal, hard rock","Seven Inches of Satanic Panic",2019-09-13,46,0,0,56,0,10,-4,B Major,4,2wBnZdVWa5jVpvYRfGU7rP,USC4R1902750
3,"Habits (Stay High)","Tove Lo",110,7B,65,2026-03-11,03:29,79,"","Queen Of The Clouds",2014-09-24,73,7,0,35,0,0,-4,F Major,4,18AJRdgUoO9EYn11N7xzaT,SE3NM1300101
4,"How to Be a Heartbreaker","MARINA",140,10A,90,2026-03-11,03:41,72,"","Electra Heart (Deluxe)",2012-04-27,69,1,0,85,0,10,-5,B Minor,4,2sEk5R8ErGIFxbZ7rX6S2S,GBFFS1200077
5,"Under The Influence","Chris Brown",117,8A,56,2026-03-11,03:04,84,"r&b","Indigo (Extended)",2019-10-04,76,2,0,37,0,10,-9,A Minor,4,5IgjP7X4th6nMNDh4akUHb,USRC11902743
6,"Hey Daddy (Daddy's Home)","USHER",96,1B,70,2026-03-11,03:44,83,"r&b","Raymond v Raymond (Expanded Edition)",2010-03-30,59,0,0,35,0,10,-4,B Major,4,030OCtLMrljNhp8OWHBWW3,USLF21000011
7,"Cpr","cupcakKe",103,9B,75,2026-03-11,03:28,65,"","Queen Elizabitch",2017-03-31,81,3,0,53,10,10,-8,G Major,4,35mBYyB61qTcGGj7MXIRM1,TCACZ1762108
8,"Swim","Chase Atlantic",120,4B,54,2026-03-11,03:48,86,"","Chase Atlantic",2017-10-04,67,27,0,8,0,0,-6,G#/A♭ Major,4,3M0lSi5WW79CXQamgSBIjx,USWB11701711
9,"Dangerous Woman","Ariana Grande",134,9A,60,2026-03-11,03:55,81,"pop","Dangerous Woman",2016-04-01,66,5,0,29,0,30,-5,E Minor,3,3nef5W8jTkXrOKgCu4kmq7,USUM71601826
10,"Streets","Doja Cat",90,1B,46,2026-03-11,03:46,85,"","Hot Pink",2019-11-07,75,21,4,19,0,30,-8,B Major,4,60ynsPSSKe6O3sfwRnIBRf,USRC11903460
11,"Animals","Maroon 5",190,9A,74,2026-03-11,03:51,75,"pop","V (Asia Tour Edition)",2015-05-18,28,0,0,33,0,50,-6,E Minor,4,3h4T9Bg8OVSUYa6danHeH5,USUM71409576
12,"Into It","Chase Atlantic",130,3A,57,2026-03-11,03:16,83,"","Chase Atlantic",2017-10-04,52,5,0,29,0,10,-7,A#/B♭ Minor,4,4HwDCXsMBC7SUdp2WT4MZP,USWB11602565
13,"Backstabber","Kesha",160,9B,94,2026-03-11,03:06,72,"","Animal (Expanded Edition)",2010-01-01,60,7,0,83,10,30,-2,G Major,4,4GRFzKI7jTZ3kbMfouc7bn,USRC10900741
14,"break up with your girlfriend, i'm bored","Ariana Grande",170,4A,55,2026-03-11,03:10,77,"pop","thank u, next",2019-02-08,73,4,0,34,0,10,-5,F Minor,4,4kV4N9D1iKVxx1KLvtTpjS,USUM71900409
15,"DDU-DU DDU-DU","BLACKPINK",140,9A,86,2026-03-11,03:29,67,"k-pop","SQUARE UP",2018-06-15,67,3,0,39,0,20,-4,E Minor,4,69BIczdH6QMnFx7dsSssN8,KRA401800096
16,"You Need To Calm Down","Taylor Swift",85,10B,67,2026-03-11,02:51,77,"","Lover",2019-08-23,77,1,0,71,0,0,-6,D Major,4,6RRNNciQGZEXnqk8SQ9yv5,USUG11901470
17,"Sexy And I Know It","LMFAO",130,9B,86,2026-03-11,03:19,73,"","Sorry For Party Rocking",2011-01-01,71,10,0,80,30,10,-4,G Major,4,70Vdd1gx5tn84jkAU31ASv,USUM71108090
18,"hot girl bummer","blackbear",130,11A,56,2026-03-11,03:08,75,"","everything means nothing",2020-08-21,78,13,0,69,0,30,-7,F#/G♭ Minor,1,6jRq8gaZhMUyy5RclRPcAf,USUG11902959
19,"Woo","Rihanna",115,11B,47,2026-03-11,03:55,75,"","ANTI (Deluxe)",2016-01-28,42,5,0,19,0,30,-5,A Major,4,3HQcsqRjRdruUjkbDSgmVF,QM5FT1600117
20,"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)","Lil Wayne,Wiz Khalifa,Imagine Dragons,X Ambassadors,Logic,Ty Dolla $ign",169,8A,79,2026-03-11,04:03,79,"rap, hip hop, trap soul","Sucker for Pain (with Logic & Ty Dolla $ign feat. X Ambassadors)",2016-06-24,50,26,0,74,30,60,-4,A Minor,4,4dASQiO1Eoo3RJvt74FtXB,USAT21601893
21,"Unforgettable","French Montana,Swae Lee",98,2B,77,2026-03-11,03:53,89,"","Jungle Rules",2017-07-14,73,3,1,73,10,10,-5,F#/G♭ Major,4,3B54sVLJ402zGa6Xm4YGNe,USSM11703478
22,"bloodline","Ariana Grande",152,7A,67,2026-03-11,03:36,82,"pop","thank u, next",2019-02-08,76,8,0,64,0,20,-5,D Minor,4,2hloaUoRonYssMuqLCBLTX,USUM71900399
23,"Old Town Road (feat. Billy Ray Cyrus) - Remix","Lil Nas X,Billy Ray Cyrus",136,2B,62,2026-03-11,02:37,79,"","7",2019-06-21,88,5,0,64,10,10,-6,F#/G♭ Major,4,2YpeDb67231RjR0MgVLzsG,USSM11902498
24,"Perfect","One Direction",100,10A,82,2026-03-11,03:50,83,"","Made In The A.M. (Deluxe Edition)",2015-11-13,65,6,0,40,0,10,-5,B Minor,4,3NLnwwAQbbFKcEcV8hDItk,GBHMU1500104
25,"Lean On (feat. MØ & DJ Snake)","Major Lazer,MØ,DJ Snake",98,6A,81,2026-03-11,02:56,65,"moombahton, ","Peace Is The Mission (Extended)",2019-03-05,72,0,0,27,0,50,-3,G Minor,4,3qTT9L5f68FWVkaYqHjKpq,QMUY41500008
26,"Moves Like Jagger","Maroon 5,Christina Aguilera",128,10A,75,2026-03-11,03:22,72,"pop, ","Singles",2015-09-25,72,1,0,60,0,30,-4,B Minor,4,1r299qCKBLgUS9XJ9m1kEx,USUM71109132
27,"Die Young","Kesha",128,12A,70,2026-03-11,03:31,82,"","Warrior (Expanded Edition)",2012-11-30,71,0,0,80,0,20,-5,C♯/D♭ Minor,4,7EQGXaVSyEDsCWKmUcfpLk,USRC11201008
28,"That's What I Like","Bruno Mars",134,3B,56,2026-03-11,03:26,92,"","24K Magic",2016-11-18,85,1,0,86,0,0,-5,C♯/D♭ Major,4,0KKkJNfGyhkQ5aFogxQAPU,USAT21602948
29,"She Knows","Ne-Yo,Juicy J",140,1A,57,2026-03-11,03:34,69,"crunk","Non-Fiction (Deluxe)",2015-02-13,71,3,0,57,0,50,-6,G#/A♭ Minor,4,36lO0n3hzVK9zJONfSdmKC,USUM71413555
