#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Without Me","Eminem",112,9B,67,2025-08-24,04:50,89,"rap, hip hop","The Eminem Show",2002-05-26,91,0,0,66,0,20,-3,G Major,4,7lQ8MOhq6IN2w8EYcFNSUk,USIR10211038
2,"Slow Down","Chase Atlantic",130,6B,78,2025-08-24,03:32,80,"","Paradise - EP",2016-12-20,47,2,0,26,0,20,-5,A#/B♭ Major,4,2VyaGJJI8dOiv36F8vHZIL,AUBEC1933728
3,"Meddle About","Chase Atlantic",160,9A,80,2025-08-24,03:23,79,"","Meddle About",2014-12-25,38,0,1,37,0,30,-6,E Minor,4,5fVl28RgREvxVtGSf9OsbK,GBMA21404437
4,"SexyBack (feat. Timbaland)","Justin Timberlake,Timbaland",117,6A,58,2025-08-24,04:02,87,"","FutureSex/LoveSounds",2006-09-12,97,6,0,96,0,0,-6,G Minor,4,0O45fw2L5vsWpdsOdXwNAR,USJI10600269
5,"So What","P!nk",126,10A,87,2025-08-24,03:35,79,"","Funhouse (Expanded Edition)",2008-10-24,53,0,0,46,0,20,-3,B Minor,4,0JiY190vktuhSGN6aqJdrt,USLF20800067
6,"A Little Death","The Neighbourhood",88,11A,76,2025-08-24,03:29,72,"","Thank You,",2012-12-18,53,0,0,34,0,10,-5,F#/G♭ Minor,4,0Ot6e3wYVQQ1Us9PM977jE,USSM11206332
7,"INFERNO","Sub Urban,Bella Poarch",128,8A,61,2025-09-20,02:13,60,"","INFERNO",2021-08-13,82,8,0,64,10,0,-5,A Minor,4,7aonAWn0J0AJ47ZU9WHCXC,USWB12101521
8,"Womanizer","Britney Spears",139,1B,70,2025-08-24,03:44,83,"pop","Circus (Deluxe Version)",2008-12-02,72,7,0,24,0,0,-5,B Major,4,4fixebDZAVToLbUCuEloa2,USJI10800838
9,"Swim","Chase Atlantic",120,4B,54,2025-08-24,03:48,86,"","Chase Atlantic",2017-10-04,67,27,0,8,0,0,-6,G#/A♭ Major,4,3M0lSi5WW79CXQamgSBIjx,USWB11701711
10,"Hey Daddy (Daddy's Home)","USHER",96,1B,70,2025-08-24,03:44,83,"r&b","Raymond v Raymond (Expanded Edition)",2010-03-30,59,0,0,35,0,10,-4,B Major,4,030OCtLMrljNhp8OWHBWW3,USLF21000011
11,"HEAVEN AND BACK","Chase Atlantic",194,3A,79,2025-08-24,04:08,77,"","PHASES",2019-06-28,31,9,9,53,0,0,-6,A#/B♭ Minor,4,1JdQibdvxgcrB8Rv1KFndw,QMRSZ1900604
12,"Into It","Chase Atlantic",130,3A,57,2025-08-24,03:16,83,"","Chase Atlantic",2017-10-04,52,5,0,29,0,10,-7,A#/B♭ Minor,4,4HwDCXsMBC7SUdp2WT4MZP,USWB11602565
13,"Mary On A Cross","Ghost",130,1B,90,2025-08-24,04:04,81,"metal, hard rock","Seven Inches of Satanic Panic",2019-09-13,46,0,0,56,0,10,-4,B Major,4,2wBnZdVWa5jVpvYRfGU7rP,USC4R1902750
14,"Toxic","Britney Spears",143,4A,84,2025-08-24,03:18,87,"pop","In The Zone",2003-11-13,77,2,3,92,10,20,-4,F Minor,4,6I9VzXrHxO9rA9A5euc8Ak,USJI10301005
15,"Under The Influence","Chris Brown",117,8A,56,2025-08-24,03:04,84,"r&b","Indigo (Extended)",2019-10-04,76,2,0,37,0,10,-9,A Minor,4,5IgjP7X4th6nMNDh4akUHb,USRC11902743
16,"The Cult of Dionysus","The Orion Experience,ORION,Linda XO",138,12A,84,2025-08-24,03:07,65,"","Cosmicandy",2006-01-01,66,1,0,80,0,0,-4,C♯/D♭ Minor,4,08KTQSs3ickNki7FFTb6fY,USCGH0714735
17,"Animals","Maroon 5",190,9A,74,2025-08-24,03:51,85,"pop","V",2014-09-02,28,0,0,33,0,50,-6,E Minor,4,2bL2gyO6kBdLkNSkxXNh6x,USUM71409576
18,"Candy Store","Jessica Keenan Wynn,Alice Lee,Elle McLemore",142,12A,53,2025-08-24,02:52,67,"musicals","Heathers: The Musical (World Premiere Cast Recording)",2014-06-10,73,59,0,78,10,10,-6,C♯/D♭ Minor,4,13Soih2NRLeDx8Unbr22mx,US6W61422223
19,"Slumber Party (feat. Princess Nokia)","Ashnikko,Princess Nokia",105,10A,40,2025-08-24,02:58,73,"","DEMIDEVIL",2021-01-15,96,0,0,56,0,10,-9,B Minor,4,11ZulcYY4lowvcQm4oe3VJ,GBAYE2000706
20,"Streets","Doja Cat",90,1B,46,2025-08-24,03:46,85,"","Hot Pink",2019-11-07,75,21,4,19,0,30,-8,B Major,4,60ynsPSSKe6O3sfwRnIBRf,USRC11903460
21,"MAMMAMIA","Måneskin",142,12A,68,2025-08-24,03:06,63,"","MAMMAMIA",2021-10-08,77,0,0,79,0,10,-3,C♯/D♭ Minor,4,78SCmQ8A7KQSMdkem2SwBP,ITB002100961
22,"MILLION DOLLAR BABY","Tommy Richman",138,12A,70,2025-09-20,02:35,83,"","MILLION DOLLAR BABY",2024-04-26,85,10,0,92,0,0,-6,C♯/D♭ Minor,4,5AJ9hqTS2wcFQCELCFRO7A,QM24S2402528
23,"Die Young","Kesha",128,12A,70,2025-08-24,03:31,82,"","Warrior (Expanded Edition)",2012-11-30,71,0,0,80,0,20,-5,C♯/D♭ Minor,4,7EQGXaVSyEDsCWKmUcfpLk,USRC11201008
24,"hot girl bummer","blackbear",130,11A,56,2025-08-24,03:08,75,"","everything means nothing",2020-08-21,78,13,0,69,0,30,-7,F#/G♭ Minor,1,6jRq8gaZhMUyy5RclRPcAf,USUG11902959
25,"Venom - Music From The Motion Picture","Eminem",136,8B,79,2025-08-24,04:29,69,"rap, hip hop","Venom (Music From The Motion Picture)",2018-09-21,75,1,0,47,0,50,-5,C Major,4,3kpYJjvM8Ja6btr5hEJLWc,USUM71813345
26,"Lights Out","Mindless Self Indulgence",125,1B,89,2025-08-24,02:37,71,"","If",2008-04-29,63,2,0,70,10,10,-4,B Major,4,7L7AJb57lJH6YpnANgCDO6,US2420809918
27,"KEEP UP","Odetari",139,3A,83,2025-08-24,02:13,76,"hyperpop","KEEP UP // FROSTBITE",2024-07-17,48,2,1,51,0,10,-4,A#/B♭ Minor,4,2yR2sziCF4WEs3klW1F38d,QZZ4J2400386
28,"Pump It","Black Eyed Peas",154,12A,93,2025-08-24,03:33,85,"","Monkey Business",2005-01-01,65,1,0,74,10,70,-3,C♯/D♭ Minor,4,2ygMBIctKIAfbEBcT9065L,USIR10500407
29,"Escapism.","RAYE,070 Shake",96,10B,74,2025-08-24,04:32,75,"","Escapism.",2022-12-07,54,14,0,25,10,0,-5,D Major,4,2VOZniNxFIDl8ydLltrMNb,QMDA62217995
30,"Billie Jean","Michael Jackson",117,10A,46,2025-08-24,04:53,91,"","Thriller",1982-11-30,93,2,4,88,0,0,-10,B Minor,4,7J1uxwnxfQLu4APicE5Rnj,USSM19902991
31,"Everywhere I Go","Hollywood Undead",110,4A,83,2025-08-24,03:30,72,"rap rock, rap metal","Swan Songs",2008-09-02,82,10,0,95,0,10,-5,F Minor,4,1czaCgWLWgqp0eRIZ0BcXh,USUM70825240
32,"BOOMBAYAH","BLACKPINK",125,4A,84,2025-08-24,04:00,77,"k-pop","SQUARE ONE",2016-08-08,66,0,0,40,0,50,-3,F Minor,4,13MF2TYuyfITClL1R2ei6e,KRA401600169
33,"Tia Tamera (feat. Rico Nasty)","Doja Cat,Rico Nasty",120,8B,65,2025-08-24,03:31,73,"","Amala (Deluxe Version)",2019-03-01,82,2,0,42,10,20,-5,C Major,4,1uNePI826aqh9uC9pgbeHU,USRC11803908
34,"Uptown Funk (feat. Bruno Mars)","Mark Ronson,Bruno Mars",115,8B,61,2025-08-24,04:29,87,"","Uptown Special",2015-01-12,86,1,0,93,0,0,-7,C Major,4,32OlwWuMpZ6b0aN2RZOeMS,GBARL1401524
35,"Sexy And I Know It","LMFAO",130,9B,86,2025-08-24,03:19,73,"","Sorry For Party Rocking",2011-01-01,71,10,0,80,30,10,-4,G Major,4,70Vdd1gx5tn84jkAU31ASv,USUM71108090
36,"HEAVY LOVE","Odetari",118,3B,70,2025-08-24,02:22,69,"hyperpop","HEAVY LOVE",2025-02-05,51,0,0,12,0,10,-4,C♯/D♭ Major,4,608gR8geDwag74CiyseUsH,QZZ4J2500018
37,"Unholy (feat. Kim Petras)","Sam Smith,Kim Petras",131,10B,45,2025-08-24,02:36,74,"soft pop, ","Gloria",2023-01-27,72,1,0,22,0,30,-7,D Major,4,0NZPBYD5qbEWRs3PrGiRkT,GBUM72205415
38,"Dirty Mind","3OH!3",93,12B,86,2025-08-24,03:17,67,"","Dirty Mind",2011-12-20,64,3,0,58,20,20,-4,E Major,4,0R97k5AJy1udJI6mGV82FJ,USAT21103579
39,"Murder In My Mind","Kordhell",120,6B,97,2025-08-24,02:25,76,"phonk, drift phonk","Murder In My Mind",2022-01-21,71,1,0,57,10,10,-1,A#/B♭ Major,4,6qyS9qBy0mEk3qYaH8mPss,QM4TW2218315
40,"Hayloft","Mother Mother",96,8A,92,2025-08-24,03:01,3,"","O My Heart",2008-09-23,53,0,0,49,0,40,-3,A Minor,4,2kS6td1yvmpNgZTt1q5pQq,CAL450882108
41,"Starboy","The Weeknd,Daft Punk",186,9B,59,2025-08-24,03:50,91,"french house, electronic, electro","Starboy",2016-11-25,68,14,0,49,20,10,-7,G Major,4,7MXVkk9YMctZqd1Srtv4MB,USUG11600976
