#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Bubblegum Bitch","MARINA",158,5A,86,2022-06-07,02:34,81,"","Electra Heart (Deluxe)",2012-04-27,50,0,0,61,0,10,-5,C Minor,4,6IbnUaczZBT34DhaD6S18F,GBFFS1200008
2,"Liquid Smooth","Mitski",114,6A,34,2022-06-07,02:49,0,"","Lush",2012-01-31,36,84,0,12,0,10,-9,G Minor,3,3UChNf9rb9hJZvOcU9HCTb,uscgh1222956
3,"Hayloft","Mother Mother",96,8A,92,2022-06-07,03:01,3,"","O My Heart",2008-09-23,53,0,0,49,0,40,-3,A Minor,4,2kS6td1yvmpNgZTt1q5pQq,CAL450882108
4,"Boyfriend","Dove Cameron",180,6A,61,2022-06-07,02:33,73,"","Boyfriend",2022-02-11,35,23,0,23,0,10,-7,G Minor,3,59CfNbkERJ3NoTXDvoURjj,USQX92200693
5,"Bang Bang Bang Bang","Sohodolls",94,3A,58,2022-06-07,03:01,64,"","Ribbed Music For The Numb Generation",2007-09-24,73,52,0,37,0,10,-7,A#/B♭ Minor,4,1MPMUZopRX9DFx3HXToTKG,GBHGV0700025
6,"Cpr","cupcakKe",103,9B,75,2022-06-07,03:28,65,"","Queen Elizabitch",2017-03-31,81,3,0,53,10,10,-8,G Major,4,35mBYyB61qTcGGj7MXIRM1,TCACZ1762108
7,"break up with your girlfriend, i'm bored","Ariana Grande",170,4A,55,2022-06-07,03:10,77,"pop","thank u, next",2019-02-08,73,4,0,34,0,10,-5,F Minor,4,4kV4N9D1iKVxx1KLvtTpjS,USUM71900409
8,"Sk8er Boi","Avril Lavigne",150,8B,90,2022-06-07,03:24,13,"","Viral Summer Hits 2022",2022-05-26,49,0,0,48,0,30,-4,C Major,4,1RVpibHFj5wQJTOJb6nYbT,USAR10200229
9,"How You Like That","BLACKPINK",130,1B,76,2022-06-07,03:02,76,"k-pop","THE ALBUM",2020-10-02,81,5,0,34,0,0,-5,B Major,4,4SFknyjLcyTLJFPKD2m96o,KRA402000111
10,"Streets","Doja Cat",90,1B,46,2022-06-07,03:46,85,"","Hot Pink",2019-11-07,75,21,4,19,0,30,-8,B Major,4,60ynsPSSKe6O3sfwRnIBRf,USRC11903460
11,"TOMBOY","i-dle",124,12A,87,2022-06-07,02:54,5,"k-pop","I NEVER DIE",2022-03-14,76,1,0,65,0,0,-2,C♯/D♭ Minor,4,0IGUXY4JbK18bu9oD4mPIm,KRA392100080
12,"Material Girl","Saucy Santana",102,10B,70,2022-06-07,03:08,52,"","Imma Celebrity",2020-01-14,88,4,0,43,20,50,-7,D Major,4,6nQ1B216Liiydhgn2gar0o,QZ5FA1950664
13,"Dangerous Woman","Ariana Grande",134,9A,60,2022-06-07,03:55,81,"pop","Dangerous Woman",2016-04-01,66,5,0,29,0,30,-5,E Minor,3,3nef5W8jTkXrOKgCu4kmq7,USUM71601826
14,"Literal Legend","Ayesha Erotica",137,9B,82,2022-06-07,02:44,0,"","Fresh Meat",2017-00-00,62,2,0,77,20,10,-4,G Major,4,0o1pHcAJQm3kJ85JF9Zshc,QZPEW2229181
15,"LALISA","LISA",150,4B,65,2022-06-07,03:20,70,"k-pop","LALISA",2021-09-10,81,3,0,85,0,10,-6,G#/A♭ Major,4,7uQZVznj0uQOGC9KhV2Mg6,KRA402100098
16,"You Need To Calm Down","Taylor Swift",85,10B,67,2022-06-07,02:51,77,"","Lover",2019-08-23,77,1,0,71,0,0,-6,D Major,4,6RRNNciQGZEXnqk8SQ9yv5,USUG11901470
17,"Girls","MARINA",114,8A,87,2022-06-07,03:26,59,"","The Family Jewels",2009-07-15,67,2,0,95,0,0,-5,A Minor,4,0Q10r6aIqGqeUdl6tY8wc7,GBFFS0900115
18,"My Body's Made of Crushed Little Stars","Mitski",82,9B,75,2022-06-07,01:56,60,"","Puberty 2",2016-06-17,20,0,0,33,0,40,-8,G Major,4,00ZprREYIexO3pgJlPgPau,USJ5G1612307
19,"Pretty Savage","BLACKPINK",152,8A,56,2022-06-07,03:21,72,"k-pop","THE ALBUM",2020-10-02,70,1,0,33,0,10,-7,A Minor,4,1XnpzbOGptRwfJhZgLbmSr,KRA402000133
20,"Backstabber","Kesha",160,9B,94,2022-06-07,03:06,72,"","Animal (Expanded Edition)",2010-01-01,60,7,0,83,10,30,-2,G Major,4,4GRFzKI7jTZ3kbMfouc7bn,USRC10900741
21,"So What","LOONA",125,1B,94,2022-06-07,03:18,47,"k-pop","[#]",2020-02-05,61,10,0,53,20,20,-3,B Major,4,1ry2mTVmAJHbNLzl5qww5v,KRA382000125
22,"Bad Girls","M.I.A.",143,3B,91,2022-06-07,03:47,75,"","Matangi",2013-01-01,64,0,0,34,0,10,-3,C♯/D♭ Major,4,6nzXkCBOhb2mxctNihOqbb,USUG11200143
23,"Slumber Party (feat. Princess Nokia)","Ashnikko,Princess Nokia",105,10A,40,2022-06-07,02:58,73,"","DEMIDEVIL",2021-01-15,96,0,0,56,0,10,-9,B Minor,4,11ZulcYY4lowvcQm4oe3VJ,GBAYE2000706
24,"Savage","aespa",147,11B,88,2022-06-07,03:58,66,"k-pop","Savage - The 1st Mini Album",2021-10-05,73,12,0,67,10,20,-1,A Major,4,3dbLT62Cvs46Ju7a8gpr36,KRA302100326
25,"Two Trucks","Lemon Demon",114,8A,39,2022-06-07,04:07,46,"","Nature Tapes",2014-11-02,76,5,0,90,0,10,-13,A Minor,4,1s5A0u1dnAeVNur5nPkCpD,TCACB1427915
26,"Heartless","The Weeknd",170,3A,75,2022-06-07,03:18,79,"","After Hours",2020-03-20,54,2,0,25,10,10,-6,A#/B♭ Minor,4,6bnF93Rx87YqUBLSgjiMU8,USUG11904007
27,"1, 3, 2 (JEONGYEON, MINA, TZUYU)","TWICE",89,5A,88,2022-06-07,03:18,50,"k-pop","Formula of Love: O+T=<3",2021-11-12,66,8,0,71,0,20,-3,C Minor,4,6bS9w12VuyaqkbNKnw5zZE,US5TA2100110
28,"Candy Store","Jessica Keenan Wynn,Alice Lee,Elle McLemore",142,12A,53,2022-06-07,02:52,67,"musicals","Heathers: The Musical (World Premiere Cast Recording)",2014-06-10,73,59,0,78,10,10,-6,C♯/D♭ Minor,4,13Soih2NRLeDx8Unbr22mx,US6W61422223
29,"New Rules","TOMORROW X TOGETHER",120,10B,79,2022-06-07,02:54,57,"k-pop","The Dream Chapter: MAGIC",2019-10-21,76,2,0,39,10,30,-5,D Major,4,72rUKYfdSaMVhgUhajRvrX,USUG11903687
30,"BOOMBAYAH","BLACKPINK",125,4A,84,2022-06-07,04:00,77,"k-pop","SQUARE ONE",2016-08-08,66,0,0,40,0,50,-3,F Minor,4,13MF2TYuyfITClL1R2ei6e,KRA401600169
31,"Animals","Maroon 5",190,9A,74,2022-06-07,03:51,85,"pop","V",2014-09-02,28,0,0,33,0,50,-6,E Minor,4,2bL2gyO6kBdLkNSkxXNh6x,USUM71409576
32,"Mother's Daughter","Miley Cyrus",91,12A,87,2022-06-07,03:39,2,"","SHE IS COMING",2019-05-31,68,0,0,53,0,10,-4,C♯/D♭ Minor,4,2WyRfGeHo97VC5mP1BBSzr,USRC11901529
33,"Bad","Michael Jackson",114,4B,88,2022-06-07,04:07,68,"","Number Ones",2003-11-17,81,1,21,36,0,0,-4,G#/A♭ Major,4,3tS8q8SXxtrYSN8UgeQt6q,USSM19909065
34,"Eye of the Tiger","Survivor",109,5A,60,2022-06-07,04:05,79,"","Rocky IV",1985-00-00,82,13,0,55,0,0,-9,C Minor,4,2KH16WveTQWT6KOG9Rg6e2,USVR19600010
35,"Regular - Korean Version","NCT 127",134,8A,80,2022-06-07,03:37,48,"k-pop, noise music","NCT #127 Regular-Irregular - The 1st Album",2018-10-12,73,24,0,88,0,20,-5,A Minor,4,2lAxhE5s3x7OS9sfhsgT1F,KRA301800424
36,"Church","Chase Atlantic",113,4A,82,2022-06-07,03:40,73,"","Part One",2017-01-27,56,1,0,29,0,10,-5,F Minor,4,7bbYT48HWWIbL3YKmtMNzn,USWB11602566
37,"Moves Like Jagger","Maroon 5,Christina Aguilera",128,10A,75,2022-06-07,03:22,72,"pop, ","Singles",2015-09-25,72,1,0,60,0,30,-4,B Minor,4,1r299qCKBLgUS9XJ9m1kEx,USUM71109132
38,"Oxytocin","Billie Eilish",125,1B,60,2022-06-07,03:30,71,"","Happier Than Ever",2021-07-30,76,9,55,18,0,10,-8,B Major,4,4t2OeILB07eMGTXSUbMPEu,USUM72104675
39,"Not Today","BTS",110,4B,95,2022-06-07,03:51,75,"k-pop","You Never Walk Alone",2017-02-13,59,0,0,67,10,90,-3,G#/A♭ Major,4,3wyrhwPpV8uhMMEms4vG3X,KRA381700254
40,"Uptown Funk (feat. Bruno Mars)","Mark Ronson,Bruno Mars",115,8B,61,2022-06-07,04:29,87,"","Uptown Special",2015-01-12,86,1,0,93,0,0,-7,C Major,4,32OlwWuMpZ6b0aN2RZOeMS,GBARL1401524
41,"Easy","Stray Kids",144,11A,81,2022-06-07,03:03,62,"k-pop, noise music","GO LIVE",2020-06-17,70,0,0,39,0,40,-5,F#/G♭ Minor,4,4s9diT9GXpI7QiysMkoANG,US5TA2000038
42,"Boy in Luv","BTS",166,8B,95,2022-06-07,03:50,73,"k-pop","Skool Luv Affair",2014-02-12,49,0,0,47,30,30,-2,C Major,4,3FnDv33WrrMtuEr7hNR3ev,KRA341404052
