#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"繋いだ手から","back number",204,11B,80,2025-06-06,04:42,62,"j-pop, j-rock","ラブストーリー",2014-03-26,39,13,0,66,0,10,-2,A Major,4,3I51KkjhqwuXLcslSz0Q02,JPPO01354167
2,"メリールー","SIX LOUNGE",129,10B,77,2025-06-06,04:45,50,"anime, japanese indie, j-rock, j-pop","ジュネス",2022-10-26,35,0,0,41,0,30,-4,D Major,4,1QSqUUws87962Wq65IjDdQ,JPU902203394
3,"ストラトキャスター・シーサイド '22","Suspended 4th",158,3A,98,2025-06-06,03:47,41,"j-rock","Travel The Galaxy",2022-07-20,31,0,0,34,20,0,-4,A#/B♭ Minor,4,2kRX6bqqSWcTltduLIWo8c,JPH202200038
4,"カスミソウ","This is LAST",143,8B,82,2025-06-06,03:40,53,"j-pop","HOME",2024-03-27,48,0,0,53,0,10,-4,C Major,4,20tOgCqXKGwu4bwt9ng1JD,JPR652200114
5,"怒りをくれよ","GLIM SPANKY",160,9B,97,2025-06-06,03:28,48,"j-rock, j-pop, japanese indie","Next One",2016-07-20,46,12,3,45,10,30,0,G Major,4,2FXtYLpJKHEbtLuCDGpRrr,JPPO01617215
6,"人生遊戯","timelesz",136,8B,97,2025-06-06,03:01,55,"j-pop","Hello! We’re timelesz",2025-02-28,65,1,0,70,10,0,-4,C Major,4,6fRSNMNGMHo1DhNFCeDoZt,JPPO02304097
7,"君の恋人になったら","back number",140,7B,89,2025-06-06,04:04,72,"j-pop, j-rock","ハッピーエンド",2016-11-16,42,0,0,39,0,10,-2,F Major,4,0k4KaqElLVjdR6sVHPTS6h,JPPO01621210
8,"SISTER","back number",134,2A,76,2025-06-06,04:06,66,"j-pop, j-rock","シャンデリア",2015-12-09,57,3,0,51,0,10,-3,D#/E♭ Minor,4,1ZmiUiQn7Q2qEKLlIznoXZ,JPPO01503939
9,"アイラブユー","back number",78,3B,63,2025-06-06,03:55,63,"j-pop, j-rock","ユーモア",2023-01-17,48,29,0,46,0,10,-3,C♯/D♭ Major,4,34ayWAUrQcrjlKZOJAzqke,JPPO02202786
10,"アップルパイ","back number",123,8B,71,2025-06-06,02:40,58,"j-pop, j-rock","シャンデリア",2015-12-09,66,0,0,58,0,0,-4,C Major,4,4xNvQ8WlKXs8k8z5acCSoQ,JPPO01413049
11,"サイレン","back number",137,12B,94,2025-06-06,03:21,52,"j-pop, j-rock","シャンデリア",2015-12-09,49,0,0,51,0,10,-2,E Major,4,5RXTnTVuxElenupoxNroxb,JPPO01510426
