#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Superman","Eminem,Dina Rae",130,9A,76,2025-10-12,05:50,84,"rap, hip hop, ","The Eminem Show",2002-05-26,80,2,0,58,0,30,-3,E Minor,4,4woTEX1wYOTGDqNXuavlRC,USIR10211062
2,"Toxic","Britney Spears",143,4A,84,2025-10-12,03:18,87,"pop","In The Zone",2003-11-13,77,2,3,92,10,20,-4,F Minor,4,6I9VzXrHxO9rA9A5euc8Ak,USJI10301005
3,"Boyfriend","Dove Cameron",180,6A,61,2025-10-12,02:33,73,"","Boyfriend",2022-02-11,35,23,0,23,0,10,-7,G Minor,3,59CfNbkERJ3NoTXDvoURjj,USQX92200693
4,"Mary On A Cross","Ghost",130,1B,90,2025-10-12,04:04,81,"metal, hard rock","Seven Inches of Satanic Panic",2019-09-13,46,0,0,56,0,10,-4,B Major,4,2wBnZdVWa5jVpvYRfGU7rP,USC4R1902750
5,"Under The Influence","Chris Brown",117,8A,56,2025-10-12,03:04,84,"r&b","Indigo (Extended)",2019-10-04,76,2,0,37,0,10,-9,A Minor,4,5IgjP7X4th6nMNDh4akUHb,USRC11902743
6,"LoveGame","Lady Gaga",105,11A,68,2025-10-12,03:36,77,"art pop, pop","The Fame",2008-01-01,89,1,0,84,0,30,-6,F#/G♭ Minor,4,0eH2eHURaXUP15D8gQlfjx,USUM70824404
7,"Heartless","The Weeknd",170,3A,75,2025-10-12,03:18,79,"","After Hours",2020-03-20,54,2,0,25,10,10,-6,A#/B♭ Minor,4,6bnF93Rx87YqUBLSgjiMU8,USUG11904007
8,"Animals","Maroon 5",190,9A,74,2025-10-12,03:51,85,"pop","V",2014-09-02,28,0,0,33,0,50,-6,E Minor,4,2bL2gyO6kBdLkNSkxXNh6x,USUM71409576
9,"Starboy","The Weeknd,Daft Punk",186,9B,59,2025-10-12,03:50,91,"french house, electronic, electro","Starboy",2016-11-25,68,14,0,49,20,10,-7,G Major,4,7MXVkk9YMctZqd1Srtv4MB,USUG11600976
10,"That's What I Like","Bruno Mars",134,3B,56,2025-10-12,03:26,92,"","24K Magic",2016-11-18,85,1,0,86,0,0,-5,C♯/D♭ Major,4,0KKkJNfGyhkQ5aFogxQAPU,USAT21602948
11,"She Knows (feat. Amber Coffman & Cults)","J. Cole,Cults,Amber Coffman",118,3B,74,2025-10-12,04:56,75,"rap, dubstep, dub","Born Sinner (Deluxe Version)",2013-06-18,77,2,8,18,0,20,-10,C♯/D♭ Major,4,0Fs9cdPDhptWEDJmiCbkEW,USQX91301184
12,"Beat It","Michael Jackson",139,2A,71,2025-10-12,04:18,88,"","Thriller",1982-11-30,78,2,0,90,0,20,-9,D#/E♭ Minor,4,3BovdzfaX4jb5KFQwoPfAw,USSM19902990
13,"Bad","Michael Jackson",114,4B,88,2025-10-12,04:07,68,"","Number Ones",2003-11-17,81,1,21,36,0,0,-4,G#/A♭ Major,4,3tS8q8SXxtrYSN8UgeQt6q,USSM19909065
14,"Into It","Chase Atlantic",130,3A,57,2025-10-12,03:16,83,"","Chase Atlantic",2017-10-04,52,5,0,29,0,10,-7,A#/B♭ Minor,4,4HwDCXsMBC7SUdp2WT4MZP,USWB11602565
15,"PUNK TACTICS","Joey Valence & Brae",98,3B,97,2025-10-12,02:23,74,"","PUNK TACTICS",2023-09-08,69,2,0,51,30,0,-2,C♯/D♭ Major,4,2jQ1P0aGT4WkNyJCeoQnb9,TCAGD2268922
16,"Material Girl","Madonna",137,8B,88,2025-10-12,04:00,51,"","Celebration (double disc version)",2009-09-18,74,34,0,98,0,10,-3,C Major,4,22sLuJYcvZOSoLLRYev1s5,USWB10903617
17,"Wake Up in the Sky","Gucci Mane,Bruno Mars,Kodak Black",143,9A,58,2025-10-12,03:24,74,"southern hip hop, rap, trap, ","Wake Up in the Sky",2018-09-14,80,0,0,37,0,30,-5,E Minor,4,0QIjsbm2fh1cJ45XO9eGqq,USAT21811087
18,"I Wanna Be Yours","Arctic Monkeys",68,5A,42,2025-10-12,03:03,92,"indie, garage rock","AM",2013-09-09,46,14,2,48,0,10,-9,C Minor,4,5XeFesFbtLpXzIVDNQP22n,GBCEL1300373
19,"Doin' Time","Lana Del Rey",145,6A,56,2025-10-12,03:22,79,"","Norman Fucking Rockwell!",2019-08-30,64,40,0,52,0,0,-11,G Minor,4,0Oqc0kKFsQ6MhFOLBNZIGX,GBUM71903894
20,"Bang Bang Bang Bang","Sohodolls",94,3A,58,2025-10-12,03:01,66,"","Ribbed Music for the Numb Generation",2009-03-30,73,54,0,37,0,10,-7,A#/B♭ Minor,4,0WTCo2nNtSRCrGCiQuZO8d,GBHGV0700025
21,"Bubblegum Bitch","MARINA",158,5A,86,2025-10-12,02:34,81,"","Electra Heart (Deluxe)",2012-04-27,50,0,0,61,0,10,-5,C Minor,4,6IbnUaczZBT34DhaD6S18F,GBFFS1200008
22,"Escapism.","RAYE,070 Shake",96,10B,74,2025-10-24,04:32,5,"","Escapism. / The Thrill Is Gone.",2022-10-12,54,14,0,25,10,0,-5,D Major,4,5Z2MiIZ5I3jJvvmeWMLbOQ,QMDA62217995
23,"Unforgettable","French Montana,Swae Lee",98,2B,77,2025-10-25,03:53,89,"","Jungle Rules",2017-07-14,73,3,1,73,10,10,-5,F#/G♭ Major,4,3B54sVLJ402zGa6Xm4YGNe,USSM11703478
