#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Se Preparó","Ozuna",171,3B,82,2024-01-02,03:08,84,"reggaeton, trap latino, latin, urbano latino","Odisea",2017-08-25,74,22,0,69,0,30,-4,C♯/D♭ Major,4,1m69ELEgE6k5ZWsap40ozt,USXDR1700552
2,"HARLEY QUINN","Fuerza Regida,Marshmello",125,4A,76,2024-01-02,02:23,80,"corrido, corridos tumbados, corridos bélicos, música mexicana, banda, sierreño, sad sierreño, electro corridos, edm","Pa las Baby's Y Belikeada",2023-10-20,79,7,0,64,10,20,-5,F Minor,4,6CvTEtGagmzQvkUzzyKR9k,QZ9QQ2300781
3,"QLONA","KAROL G,Peso Pluma",170,6A,74,2024-01-02,02:52,81,"reggaeton, latin, urbano latino, corrido, corridos tumbados, corridos bélicos, música mexicana, sad sierreño, banda","MAÑANA SERÁ BONITO (BICHOTA SEASON)",2023-08-10,84,52,0,48,30,0,-7,G Minor,4,5RqSsdzTNPX1uzkmlHCFvK,USUG12305257
4,"MI EX TENÍA RAZÓN","KAROL G",160,4A,73,2024-01-02,02:34,79,"reggaeton, latin, urbano latino","MAÑANA SERÁ BONITO (BICHOTA SEASON)",2023-08-10,63,8,0,80,0,20,-5,F Minor,4,54zcJnb3tp9c5OVKREZ1Is,USUG12305253
5,"Si No Le Contesto","Plan B,Tony Dize,Zion & Lennox",95,12A,71,2024-01-02,04:28,0,"reggaeton, latin","Pina Records Present: # 1 Xclusive Urban Remixex",2011-12-20,74,8,0,59,0,80,-5,C♯/D♭ Minor,4,4ta5LNjfZ7sogRgzFpvPc8,USB271000295
6,"Na De Na","Angel Y Khriz,Gocho  El Lápiz De Platino ,John Eric",120,2B,89,2024-01-02,03:22,76,"reggaeton, ","Showtime",2008-00-00,88,18,0,68,10,10,-6,F#/G♭ Major,4,2Jz1X6ZB0gkkCVgmeVGVGp,USUM70800266
7,"Salió El Sol","Don Omar",110,9A,70,2024-01-02,05:15,82,"reggaeton, urbano latino","King Of Kings",2006-01-01,89,11,1,97,0,0,-6,E Minor,4,48NXpYRuvv9izul4oXhqS9,USUM70603099
8,"Borro Cassette","Maluma",176,4A,70,2024-01-02,03:27,86,"reggaeton, latin, urbano latino","Pretty Boy, Dirty Boy",2015-10-30,73,13,0,79,10,10,-6,F Minor,4,6DUdDIRgLqCGq1DwkNWQTN,USSD11500124
9,"Atrévete-Te-Te","Calle 13",88,11B,88,2024-01-02,03:59,77,"latin hip hop, latin alternative, reggaeton","Calle 13 (Explicit Version)",2005-00-00,83,10,0,88,10,70,-6,A Major,4,1q8NdCAQ9QUjpYiqzdd3mv,US3H30500209
10,"Danza Kuduro","Don Omar,Lucenzo",130,8B,90,2024-01-02,03:18,8,"reggaeton, urbano latino, kuduro","Fast Five (Original Motion Picture Soundtrack)",2011-01-01,70,9,0,90,0,0,-6,C Major,4,4sCSUQnWQ6HJsOMjfPicdn,USUM71020778
