#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Teenage Dream","Katy Perry",120,6B,80,2023-08-09,03:47,70,"pop","Teenage Dream",2010-08-24,72,2,0,59,0,10,-5,A#/B♭ Major,4,235LXPXfi0SmOaS9TaCh3c,USCA21001255
2,"Ours (Taylor’s Version)","Taylor Swift",160,8B,48,2023-08-09,03:55,62,"","Speak Now (Taylor's Version)",2023-07-07,54,42,0,29,0,10,-8,C Major,4,3yNJkriPzWjkkDAWHIAVUq,USUG12302087
3,"Lover","Taylor Swift",69,9B,54,2023-08-09,03:41,85,"","Lover",2019-08-23,36,49,0,45,0,10,-8,G Major,4,1dGr1c8CrMLDpV6mPbImSI,USUG11901473
4,"The Way I Loved You (Taylor’s Version)","Taylor Swift",161,7B,73,2023-08-09,04:03,77,"","Fearless (Taylor's Version)",2021-04-09,40,0,0,47,0,10,-5,F Major,4,22bPsP2jCgbLUvh82U0Z3M,USUG12100626
5,"Don’t Blame Me","Taylor Swift",136,8A,53,2023-08-09,03:56,83,"","reputation",2017-11-10,62,11,0,19,0,0,-7,A Minor,4,1R0a2iXumgCiFb7HEZ7gUE,USCJY1750006
6,"All Of The Girls You Loved Before","Taylor Swift",96,10B,47,2023-08-09,03:41,71,"","All Of The Girls You Loved Before",2019-08-23,73,71,0,40,0,10,-10,D Major,3,4P9Q0GojKVXpRTJCaL3kyy,USUG12301406
7,"Last Kiss (Taylor's Version)","Taylor Swift",80,6B,36,2023-08-09,06:09,68,"","Speak Now (Taylor's Version)",2023-07-07,56,44,0,19,0,10,-9,A#/B♭ Major,3,59KOoHFcw5XfICnO57holu,USUG12302085
8,"Clouds","Any Name's Okay",90,6B,76,2023-08-13,03:43,44,"pinoy indie, opm, harana, parang, kundiman","Clouds",2019-08-30,55,1,0,63,0,0,-5,A#/B♭ Major,4,4xy6P7NgxEzaai4WUlVDsB,GBLFP1853474
9,"Yellow","Coldplay",173,1B,66,2023-09-01,04:26,91,"","Parachutes",2000-07-10,43,0,0,28,0,20,-7,B Major,4,3AJwUDP919kvQ9QcozQPxg,GBAYE0000267
10,"This Love (Taylor’s Version)","Taylor Swift",144,12B,49,2023-09-01,04:10,69,"","This Love (Taylor’s Version)",2022-05-06,47,30,0,5,0,0,-9,E Major,4,4d1CG5ei1E2vGbvmgf5KKv,USUG12200219
11,"Kiss It Better","Rihanna",95,2A,81,2023-09-11,04:13,89,"","ANTI (Deluxe)",2016-01-28,62,27,0,88,0,0,-5,D#/E♭ Minor,4,0UHB9METy4VCXNgkcGqHqS,QM5FT1600115
12,"Late Night Talking","Harry Styles",115,6B,73,2023-09-29,02:57,79,"","Harry's House",2022-05-20,71,30,0,90,0,10,-5,A#/B♭ Major,4,1qEmFfgcLObUfQm0j1W2CK,USSM12200610
13,"Until The End Of Time (with Beyoncé)","Justin Timberlake,Beyoncé",119,10A,37,2024-03-03,05:22,65,"","FutureSex/LoveSounds Deluxe Edition",2006-09-13,56,27,0,47,0,20,-7,B Minor,4,2wZTnl0pPFr3HBcyXfOaVJ,USJI10700679
14,"Passenger Seat","Stephen Speaks",153,9B,55,2024-07-13,04:34,73,"opm, harana","No More Doubt",2001-09-04,52,75,0,77,0,30,-8,G Major,4,2PTzfXh5Ut3hjRrWGyafz6,TCACK1580381
15,"Tattoo","Jordin Sparks",168,10B,77,2025-06-12,03:53,65,"","Jordin Sparks",2007-11-19,57,43,0,55,0,10,-5,D Major,4,1oi3vkeOGXAd3qljM5o9Oe,GBCTA0700266
16,"safety net (feat. Ty Dolla $ign)","Ariana Grande,Ty Dolla $ign",162,12A,60,2026-04-06,03:28,70,"pop, trap soul","Positions",2020-10-30,55,7,0,9,0,10,-6,C♯/D♭ Minor,4,14gkWVFMwdxBMyqBw1wmIg,USUM72020432
17,"Open Arms (feat. Travis Scott)","SZA,Travis Scott",78,11B,59,2026-04-07,03:59,75,"r&b, rap","SOS",2022-12-09,67,76,1,22,10,10,-8,A Major,4,0xaFw2zDYf1rIJWl2dXiSF,USRC12204602
18,"Love Me Like You Do - From  Fifty Shades Of Grey ","Ellie Goulding",190,4B,61,2026-04-09,04:12,80,"","Delirium (Deluxe)",2015-11-06,26,25,0,28,0,10,-7,G#/A♭ Major,4,3zHq9ouUJQFQRf3cm1rRLu,GBUM71406823
19,"I'll Kill You (feat. Jhené Aiko)","Summer Walker,Jhené Aiko",104,3A,44,2026-04-11,02:59,66,"r&b","Over It",2019-10-04,68,43,0,36,10,10,-9,A#/B♭ Minor,4,7EkiMl81fUHVwpItgtzI4r,USUM71919099
20,"YES IT IS","Leon Thomas",122,4A,64,2026-04-21,03:48,72,"","MUTT",2024-09-27,76,59,0,29,10,10,-6,F Minor,4,2iksjpqL3eraxCBKqNHuqd,USUM72409197
