#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Superman","Eminem,Dina Rae",130,9A,76,2026-04-22,05:50,84,"rap, hip hop, ","The Eminem Show",2002-05-26,80,2,0,58,0,30,-3,E Minor,4,4woTEX1wYOTGDqNXuavlRC,USIR10211062
2,"Toxic","Britney Spears",143,4A,84,2026-04-22,03:18,87,"pop","In The Zone",2003-11-13,77,2,3,92,10,20,-4,F Minor,4,6I9VzXrHxO9rA9A5euc8Ak,USJI10301005
3,"I Could Be","Purpeel",165,3B,34,2026-04-22,02:00,68,"","I Could Be",2024-12-22,38,0,70,17,20,10,-10,C♯/D♭ Major,3,3nlwUAx0P7XBSHMB8raHSK,QT3EY2477854
4,"Murder In My Mind - Sped Up","Kordhell",151,10B,99,2026-04-22,01:55,53,"phonk, drift phonk","Murder In My Mind (Sped Up)",2022-05-05,60,0,6,15,40,40,-1,D Major,4,3T56drS7FjnZgGcOAHlXzx,QM6MZ2221090
5,"Mary On A Cross","Ghost",130,1B,90,2026-04-22,04:04,6,"metal, hard rock","Seven Inches Of Satanic Panic",2019-09-13,47,0,0,56,0,10,-4,B Major,4,2HZLXBOnaSRhXStMLrq9fD,USC4R1902750
6,"Hands Up","Vanessa Doll,V9P",144,3A,91,2026-04-22,03:47,54,"","Hands Up!",2024-01-18,74,2,0,82,20,20,-4,A#/B♭ Minor,4,5ul5GeSr7gsIMg9WUFUekr,GXESV2487827
7,"SexyBack (feat. Timbaland)","Justin Timberlake,Timbaland",117,6A,58,2026-04-22,04:02,87,"","FutureSex/LoveSounds",2006-09-12,97,6,0,96,0,0,-6,G Minor,4,0O45fw2L5vsWpdsOdXwNAR,USJI10600269
8,"Bad Girls","M.I.A.",143,3B,91,2026-04-22,03:47,75,"","Matangi",2013-01-01,64,0,0,34,0,10,-3,C♯/D♭ Major,4,6nzXkCBOhb2mxctNihOqbb,USUG11200143
9,"Supermassive Black Hole","Muse",120,9B,92,2026-04-22,03:32,84,"alternative rock, rock","Black Holes and Revelations",2006-06-28,67,5,1,78,0,0,-4,G Major,4,3lPr8ghNDBLc2uZovNyLs9,GBAHT0500593
10,"YOU'RE TOO SLOW","Odetari",162,10A,75,2026-04-22,01:56,59,"hyperpop","YOU'RE TOO SLOW",2023-03-29,53,0,0,32,20,20,-5,B Minor,4,5EloqweGioDEbqiGXTYWgE,QZHN52367603
11,"LoveGame","Lady Gaga",105,11A,68,2026-04-22,03:36,75,"art pop, pop","The Fame",2008-01-01,89,1,0,84,0,30,-6,F#/G♭ Minor,4,0TcJ7QWpggdSg8t0fHThHm,USUM70824404
12,"I WANNA BE YOUR SLAVE","Måneskin",133,3B,61,2026-04-22,02:53,86,"","Teatro d'ira - Vol. I",2021-03-19,75,0,0,96,0,10,-4,C♯/D♭ Major,4,4pt5fDVTg5GhEvEtlz9dKk,ITB002100115
13,"Starboy","The Weeknd,Daft Punk",186,9B,59,2026-04-22,03:50,91,"french house, electronic, electro","Starboy",2016-11-25,68,14,0,49,20,10,-7,G Major,4,7MXVkk9YMctZqd1Srtv4MB,USUG11600976
14,"THE BADDEST (BADDER) [feat. Ayesha Erotica]","Joey Valence & Brae,Ayesha Erotica",120,3B,89,2026-04-22,02:23,53,"hyperpop","THE BADDEST (BADDER) [feat. Ayesha Erotica]",2024-07-19,84,1,0,76,30,70,-1,C♯/D♭ Major,4,5tzcByvFyzRPHXrBgOaxkk,US38Y2417081
15,"MILLION DOLLAR BABY","Tommy Richman",138,12A,70,2026-04-22,02:35,83,"","MILLION DOLLAR BABY",2024-04-26,85,10,0,92,0,0,-6,C♯/D♭ Minor,4,5AJ9hqTS2wcFQCELCFRO7A,QM24S2402528
16,"Hayloft","Mother Mother",96,8A,92,2026-04-22,03:01,3,"","O My Heart",2008-09-23,53,0,0,49,0,40,-3,A Minor,4,2kS6td1yvmpNgZTt1q5pQq,CAL450882108
17,"Breakin' Dishes","Rihanna",125,1A,67,2026-04-22,03:20,86,"","Good Girl Gone Bad: Reloaded",2008-06-02,80,0,0,88,0,0,-4,G#/A♭ Minor,4,46aZJc0z1HHHSFxaIRxYSP,USUM70734702
18,"Maneater","Nelly Furtado",133,2B,78,2026-04-22,04:18,86,"","Loose",2006-01-01,80,3,0,79,0,10,-5,F#/G♭ Major,4,4wH4dJgrsxONID6KS2tDQM,USUM70601449
19,"Heartless","The Weeknd",170,3A,75,2026-04-22,03:18,79,"","After Hours",2020-03-20,54,2,0,25,10,10,-6,A#/B♭ Minor,4,6bnF93Rx87YqUBLSgjiMU8,USUG11904007
20,"Fuera Del Planeta (Remix)","Eloy,Randy Nota Loca,Zion,Jowell & Randy",95,4A,84,2026-04-24,03:42,80,"reggaeton, urbano latino","Fuera Del Planeta (Remix)",2019-03-18,79,25,0,80,0,30,-5,F Minor,4,3IAmbUs1NB8XwfhNYUXuLA,TCAES2017149
21,"Partners in Crime (feat. Ash Costello)","Set It Off,Ash Costello",190,3B,94,2026-04-24,03:31,72,"","Cinematics (Expanded Edition)",2013-06-25,38,1,0,82,0,10,-3,C♯/D♭ Major,4,4oaU0fMSg3n9kqOwmLPVhH,US3X51224501
22,"two","bbno$",128,3B,90,2026-04-24,02:15,75,"","bbno$",2025-10-17,86,1,0,92,0,30,-5,C♯/D♭ Major,4,02qqbVSYkDc6FTClN5gwH5,QM24S2405396
23,"GOSSIP (feat. Tom Morello)","Måneskin,Tom Morello",140,11B,82,2026-04-24,02:48,69,"","GOSSIP (feat. Tom Morello)",2023-01-13,71,0,0,92,0,10,-3,A Major,4,4GvPlSOKfN7aXEuGW8zKUx,ITB002200841
24,"BROKE FEIN","Bom",82,1B,67,2026-04-24,01:18,38,"","BROKE FEIN",2024-11-14,87,81,0,65,0,10,-7,B Major,4,3wfNXSXoGKbHBlZsgI7sou,QZZ782499764
25,"HYPNOTIC DATA - Slowed & Reverbed","ODECORE,Odetari",109,3B,56,2026-04-25,02:38,65,"hyperpop","XIII SORROWS (ODECORE MIX)",2023-09-18,79,3,51,23,0,10,-7,C♯/D♭ Major,4,12MHGsecu33PA1aUpsV3W0,QZVFR2301597
26,"RICHMAN","3OH!3",162,4A,81,2026-04-26,03:19,80,"","WANT",2008-07-07,59,0,0,52,30,70,-4,F Minor,4,3JfbMm4LfBmm96mkKhyG6I,USAT20802559
27,"A Little Bit Harder Now","She Wants Revenge",120,9B,75,2026-04-26,02:54,73,"darkwave, gothic rock","Up and Down",2009-09-22,77,0,0,91,0,10,-3,G Major,4,5td7LYTivVH0MXXwin8QvE,USI4R0911563
28,"if u think i'm pretty","Artemas",144,4B,62,2026-04-26,02:08,69,"","if u think i'm pretty",2023-10-24,54,54,2,46,0,40,-6,G#/A♭ Major,4,34Yl756FwYuZldE9xnshj5,QZTB92397158
29,"Shut Up And Drive","Rihanna",133,3B,83,2026-04-27,03:32,72,"","Good Girl Gone Bad",2007-01-01,73,0,13,74,0,20,-5,C♯/D♭ Major,4,4QdX6pmNnJ5cleufWQIr5D,USUM70734703
30,"KEEP FOLLOWING - Slowed & Reverbed","ODECORE,Odetari",95,3B,64,2026-04-28,02:15,54,"hyperpop","KEEP FOLLOWING (Alternate Mixes)",2025-09-09,73,16,0,48,20,10,-4,C♯/D♭ Major,4,6GGY8oEsgtSVhwXlzQ1vDy,QZZ4J2501050
31,"São Paulo (feat. Anitta)","The Weeknd,Anitta",127,4A,66,2026-04-29,05:01,85,"brazilian pop, funk pop, brazilian funk, funk carioca","Hurry Up Tomorrow",2025-01-31,54,4,0,55,0,50,-7,F Minor,4,7DY756WOLyOz2Xnhw4EFiC,USUG12405846
