#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"blue","yung kai",97,12B,32,2025-03-01,03:34,82,"","blue",2024-08-02,75,93,2,59,0,10,-12,E Major,3,3be9ACTxtcL6Zm4vJRUiPG,TLVEM2456474
2,"Scott Street","Phoebe Bridgers",135,6B,42,2025-03-01,05:05,73,"","Stranger in the Alps (Deluxe Edition)",2018-10-02,51,77,9,48,0,0,-10,A#/B♭ Major,4,21uFPefbgeR3QLVJWATlrr,USJ5G1714205
3,"I Wanna Be Yours","Arctic Monkeys",68,5A,42,2025-03-01,03:03,92,"indie, garage rock","AM",2013-09-09,46,14,2,48,0,10,-9,C Minor,4,5XeFesFbtLpXzIVDNQP22n,GBCEL1300373
4,"Ethereal","Txmy",143,2B,40,2025-03-01,02:48,1,"","Ethereal",2023-10-22,22,91,62,29,0,30,-13,F#/G♭ Major,3,7iq0IYOnYZUHrz7F4rIIq4,QMANG2217233
5,"Idea 22 - Anya Nami Remix","Gibran Alcocer,Anya Nami",135,5A,31,2025-03-01,02:29,0,"","Idea 22 (Anya Nami Remix)",2024-02-23,23,95,0,21,0,10,-11,C Minor,4,5wGyswmLznW0JynbejzquB,USWB12400753
6,"Somewhere Only We Know","Keane",172,11B,61,2025-03-01,03:55,56,"","The Best Of Keane (Deluxe Edition)",2013-01-01,44,7,0,36,0,10,-6,A Major,4,7AQAlklmptrrkBSeujkXsD,GBAAN0300664
7,"Remember That Night?","Sara Kays",124,6A,61,2025-03-01,03:47,72,"","Remember That Night?",2020-11-06,68,59,0,55,0,10,-11,G Minor,4,1nYzjrdVQ8RpF93M0jPFW7,USAT22007230
8,"BIRDS OF A FEATHER","Billie Eilish",105,10B,51,2025-03-01,03:30,94,"","HIT ME HARD AND SOFT",2024-05-17,75,20,6,44,0,10,-10,D Major,4,6dOtVTDdiauQNBQEDOtlAB,USUM72401994
9,"next door (feat. ASTN)","Amelia Moore,ASTN",102,2B,49,2025-03-01,03:28,65,"","next door (feat. ASTN)",2022-09-23,77,52,0,63,0,10,-6,F#/G♭ Major,4,08HGey7e94Ez3ZurG1IXTP,USUM72217587
10,"ONLY","LEEHI",123,7B,30,2025-03-01,04:00,77,"k-ballad, k-pop","4 ONLY",2021-09-09,54,89,0,15,0,0,-7,F Major,3,6TBJkXHPhu3EsMk1bshwuI,KRC712100039
11,"H.S.K.T. (feat. Wonstein)","LEEHI,Wonstein",114,8A,67,2025-03-01,03:24,69,"k-ballad, k-pop, k-rap","4 ONLY",2021-09-09,76,25,0,33,0,10,-6,A Minor,4,39382sUtIOwIXftX0i76do,KRC712100045
12,"End of Beginning","Djo",160,10B,45,2025-03-01,02:39,97,"","DECIDE",2022-09-16,69,4,0,91,0,0,-8,D Major,4,3qhlB30KknSejmIvZZLjOD,GBKPL2205058
13,"ceilings","Lizzy McAlpine",148,11B,32,2025-03-07,03:02,81,"","five seconds flat",2022-04-08,52,47,0,26,0,20,-12,A Major,3,2L9N0zZnd37dwF0clgxMGI,GBKPL2280163
14,"seasons","wave to earth",60,9B,27,2025-03-07,04:15,22,"","summer flows 0.02",2020-08-04,37,78,5,17,0,20,-11,G Major,4,5VBjyOQzqlPNgdRPMM6prF,KRMIM2021578
15,"UNDERSTAND","keshi",82,7B,21,2025-03-07,02:30,75,"","GABRIEL",2022-03-25,38,94,0,16,0,10,-14,F Major,3,72sfmdpuO5r8cBDgs7MqZZ,USUM72123296
16,"Glue Song","beabadoobee",114,3B,41,2025-03-09,02:15,81,"bedroom pop","Glue Song",2023-02-14,62,77,5,58,0,10,-10,C♯/D♭ Major,3,3iBgrkexCzVuPy4O9vx7Mf,GBK3W2302568
17,"BMF","SZA",128,3A,54,2025-03-20,03:00,46,"r&b","SOS Deluxe: LANA",2025-02-08,80,53,2,97,0,0,-9,A#/B♭ Minor,4,1UZx7sEX9tiay1SuGtTUgj,USRC12403898
18,"Constellations","Jade LeMac",150,3B,66,2025-04-14,03:20,78,"","Constellations",2021-08-11,56,24,0,18,0,0,-7,C♯/D♭ Major,4,32ShlHZGBYLoybP9pdb87z,TCAFR2121057
19,"LIMBO","keshi",130,4B,37,2025-04-28,03:32,73,"","GABRIEL",2022-03-25,58,88,0,8,0,10,-12,G#/A♭ Major,4,2bdVgAQgosGUJoViVDNeOV,USUM72123297
20,"Cinnamon Girl","Lana Del Rey",92,11A,34,2025-04-28,05:00,89,"","Norman Fucking Rockwell!",2019-08-30,29,81,41,14,0,10,-11,F#/G♭ Minor,5,2mdEsXPu8ZmkHRRtAdC09e,GBUM71903147
21,"we fell in love in october","girl in red",130,9B,37,2025-04-28,03:04,86,"bedroom pop","we fell in love in october / October Passed Me By",2018-11-21,57,11,18,24,0,10,-13,G Major,4,6IPwKM3fUUzlElbvKw2sKl,GBKPL1828677
22,"I Love You, I'm Sorry","Gracie Abrams",116,6B,41,2025-04-28,02:37,87,"","The Secret of Us",2024-06-21,53,66,0,34,0,10,-8,A#/B♭ Major,3,51rfRCiUSvxXlCSCfIztBy,USUG12401766
23,"That’s So True","Gracie Abrams",109,3B,81,2025-04-28,02:46,90,"","The Secret of Us (Deluxe)",2024-10-18,55,21,0,37,0,10,-4,C♯/D♭ Major,4,7ne4VBA60CxGM75vw0EYad,USUG12406903
24,"Ordinary","Alex Warren",168,10B,69,2025-04-28,03:06,92,"","You'll Be Alright, Kid (Chapter 1)",2024-09-26,37,70,0,39,0,0,-6,D Major,3,2RkZ5LkEzeHGRsmDqKwmaJ,USAT22500463
25,"Ordinary - Wedding Version","Alex Warren",159,10B,49,2025-04-28,03:06,79,"","Ordinary (Wedding Version)",2025-03-18,32,81,0,40,0,0,-7,D Major,1,4t6qMeHgbxWod2SLokiSQp,USAT22501700
26,"Saturn","SZA",89,3B,58,2025-04-28,03:06,81,"r&b","SOS Deluxe: LANA",2024-12-20,56,64,0,33,0,10,-8,C♯/D♭ Major,4,040I32EKLxQrkuxQu1pqvT,USRC12400216
27,"Snooze","SZA",143,7B,55,2025-04-28,03:21,88,"r&b","SOS",2022-12-09,56,14,0,39,10,10,-7,F Major,4,4iZ4pt7kvcaH6Yo8UoZ4s2,USRC12204591
28,"Nobody Gets Me","SZA",100,9B,28,2025-04-28,03:00,85,"r&b","SOS",2022-12-09,36,81,0,28,0,10,-8,G Major,3,5Y35SjAfXjjG0sFQ3KOxmm,USRC12204598
29,"I miss you, I’m sorry","Gracie Abrams",110,9B,46,2025-04-28,02:47,82,"","minor",2020-07-14,45,73,0,15,0,10,-6,G Major,5,4nyF5lmSziBAt7ESAUjpbx,USUG11903591
30,"No One Noticed (Extended English)","The Marías",98,9B,29,2025-04-28,04:44,75,"bedroom pop","No One Noticed (Extended)",2024-11-15,62,71,5,35,0,10,-11,G Major,4,4Q9qkdqu0qKKjaftRrAK9C,USAT22410706
31,"intro (end of the world)","Ariana Grande",85,6B,36,2025-04-28,01:32,76,"pop","eternal sunshine",2024-03-08,51,67,0,39,0,10,-9,A#/B♭ Major,4,2o1pb13quMReXZqE7jWsgq,USUM72317270
32,"supernatural","Ariana Grande",76,4B,71,2025-04-28,02:43,80,"pop","eternal sunshine",2024-03-08,58,10,0,52,10,10,-7,G#/A♭ Major,4,142PiXzA84lmEw2RstFHFa,USUM72317274
33,"eternal sunshine","Ariana Grande",160,11B,50,2025-04-28,03:30,73,"pop","eternal sunshine",2024-03-08,65,53,0,35,10,10,-7,A Major,4,3RwWW7KeVhHGayYJgUL5eZ,USUM72317272
34,"WILDFLOWER","Billie Eilish",148,11A,25,2025-04-28,04:21,92,"","HIT ME HARD AND SOFT",2024-05-17,47,61,0,13,0,10,-12,F#/G♭ Minor,4,3QaPy1KgI7nu9FJEQUgn6h,USUM72401993
35,"Daylight","Taylor Swift",150,8B,50,2025-04-28,04:53,81,"","Lover",2019-08-23,56,81,0,27,0,0,-10,C Major,4,1fzAuUVbzlhZ1lJAx9PtY6,USUG11901486
36," Slut!  (Taylor's Version) (From The Vault)","Taylor Swift",78,10B,42,2025-04-28,03:00,73,"","1989 (Taylor's Version)",2023-10-26,62,33,0,31,0,0,-13,D Major,4,71BqAINEnezjQfxE4VuJfq,USUG12306687
