#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Illusion","Carlie Hanson",142,11A,88,2023-05-14,02:49,22,"","Illusion",2022-11-04,65,10,0,60,0,10,-5,F#/G♭ Minor,4,53I38TLjBU1cHfXsBGxh6M,USWB12205961
2,"Carol Of The Bells","Lindsey Stirling",168,9A,66,2023-05-14,02:46,67,"classical crossover, christmas","Warmer In The Winter (Deluxe Edition)",2018-10-19,23,3,0,27,0,0,-6,E Minor,3,0byPyCPX9mfGMiAGVZxasq,USC4R1706214
3,"Gotta Find Where I Belong","Milo Manheim,Meg Donnelly,ZOMBIES – Cast,Disney",166,10B,52,2023-05-14,02:44,59,"","ZOMBIES 2 (Original TV Movie Soundtrack)",2020-02-14,56,69,0,64,10,10,-8,D Major,4,0Zbh5g5hEWyaofKWRIKRPM,USWD11995702
4,"anxiety (with FRND)","blackbear,FRND",98,8B,72,2023-05-14,03:11,57,"","cybersex",2017-11-27,65,3,0,62,0,10,-6,C Major,4,7AhlMDKQelsNkWvFeZvmtC,USUG11702069
5,"Are You Satisfied?","MARINA",124,8B,71,2023-05-14,03:18,71,"","The Family Jewels",2009-07-15,67,30,0,84,0,0,-5,C Major,4,6lKRMylSZMtA7EqPl0pcdI,GBFFS0900114
6,"Satisfied","Renée Elise Goldsberry,Original Broadway Cast of Hamilton",124,4A,59,2023-05-14,05:29,75,"musicals","Hamilton (Original Broadway Cast Recording)",2015-09-25,71,29,0,48,0,10,-9,F Minor,4,3dP0pLbg9OfVwssDjp9aT0,USAT21502606
7,"Stand Out Fit In","ONE OK ROCK",126,1B,84,2023-05-14,03:34,64,"j-rock, j-pop","Eye of the Storm",2019-02-15,62,2,0,32,0,10,-5,B Major,4,4zXRMjTaeflesB3Ih4eHnJ,USAT21811964
8,"Waiting On A Miracle","Stephanie Beatriz",190,12A,55,2023-05-14,02:41,67,"","Encanto (Original Motion Picture Soundtrack)",2021-11-19,48,17,0,27,0,10,-8,C♯/D♭ Minor,3,3oRW9ZGPRbLRMneQ5lwflt,USWD12112913
9,"The Family Jewels","MARINA",112,7A,55,2023-05-14,04:05,55,"","The Family Jewels",2010-02-15,78,68,0,52,0,10,-5,D Minor,4,4pRfzrPuKvtqYGwOJ5F6ZZ,GBFFS0900130
10,"Princesses Don't Cry","CARYS",75,5A,60,2023-05-14,03:32,0,"","No More",2020-06-26,63,28,0,65,0,0,-5,C Minor,4,244MTwq70sWm8tfjWmu5wY,CAX8G1700012
