#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Campfire","YUMIN",89,4B,67,-,03:18,20,"k-rap","Campfire",2021-10-06,61,53,0,48,0,10,-4,G#/A♭ Major,4,2X6hfHvjoMZPb0CSzQZnWV,QMDA62142340
2,"Fix you (1393)","Skinny Brown",126,6B,78,-,03:37,40,"k-rap","Fix you",2020-04-19,66,14,0,33,0,10,-4,A#/B♭ Major,4,6JBGlHgfH7mCo7WJJ3Bjme,QZEKE2001047
3,"새벽 (feat. 유민)","이승화,YUMIN",90,7B,78,-,02:55,15,"k-rap","SOMEBODY",2020-04-10,64,26,0,46,10,0,-5,F Major,4,7BCGe8TQ6Z3ztDxDpgse4O,QZEKE2000780
4,"Mistake (Feat. Skinny Brown)","Cloudybay,Skinny Brown",105,12B,94,-,02:40,20,"k-rap","SWIM IN THE BLUE",2021-07-07,70,16,0,65,10,30,-3,E Major,4,0KiBPk8hxPkU2Upy9ieMU9,KRB472101222
5,"My spring","104",100,6B,66,-,02:26,42,"k-ballad","My spring",2022-05-09,76,76,0,68,0,0,-4,A#/B♭ Major,4,1PuaQgY5sK2hvAoBS1u562,KSA012155127
6,"INFJ","YUMIN,Skinny Brown",98,6B,89,-,03:21,22,"k-rap","INFJ",2022-08-06,63,14,0,58,0,10,-2,A#/B♭ Major,4,1NZSqcrLqqq3iQHRXjg1Wq,QM6P42217251
7,"첫만남처럼","Cha Woo Joo,GYU HYUK",200,6B,76,-,02:42,19,"k-rap","Bloom #1",2023-08-21,53,25,0,91,0,10,-5,A#/B♭ Major,4,6QA1ZR5h4QQmr3FzmfGwv6,QMDA62377178
8,"I'm Not Fine (Feat. HOON)","Skinny Brown,HOON",192,10B,78,-,02:29,23,"k-rap","Berry Loves My Mood",2021-03-13,48,0,0,13,0,10,-7,D Major,4,4V40Ug3JDXY1GDngznAUMh,KRMIM2111120
9,"FALLIN","D.Ark,YongYong",140,8B,79,-,02:40,35,"k-rap, k-rock","END OF PUBERTY",2022-08-10,58,2,0,52,0,10,-4,C Major,4,1aIHlJ8oas4BYRz8Hgp11I,QM6MZ2279187
10,"Last Pure Luv","GYU HYUK",80,10B,66,-,03:06,12,"k-rap","Last Pure Luv",2023-01-13,53,36,0,32,0,0,-5,D Major,4,6URA9fyuaEgiVyC706jElA,QM4TW2318258
11,"사랑은 어려워","YUMIN",97,8B,65,-,03:11,22,"k-rap","Love & Youth",2023-05-30,56,53,0,60,0,10,-5,C Major,4,1E6RmpIc03WFK4u5Gx64GI,QM6P42364792
12,"Things You Always Did","V.et",96,8B,84,-,03:03,30,"","Reason Of Love",2023-07-06,59,10,0,37,0,10,-4,C Major,4,33uxPTy6p3ScchKsMonoP9,KSA012259081
13,"Until I get tired of it","Cloudybay",176,12B,77,-,02:47,19,"k-rap","Until I get tired of it",2023-12-28,44,8,0,30,10,10,-3,E Major,4,61RAeRHlKoeT7bK1PyNmMb,KRB472302720
14,"Arrow","Hash Swan,Skinny Brown",90,8B,73,-,02:47,29,"k-rap","Peridot",2019-03-29,58,14,0,52,0,30,-6,C Major,4,5Rw7Fmd6wMC4t0b67RnGnU,KRE131900036
15,"혜화","JUTO",95,2B,67,-,04:02,33,"k-rap","THE EMOTION",2023-06-24,63,19,0,67,0,10,-5,F#/G♭ Major,4,2FOPw4D0o3ft8dT4P3R7hQ,QM7282312392
16,"With Me","YUMIN,Skinny Brown",100,6B,83,-,03:04,15,"k-rap","YM",2021-05-16,73,57,0,56,0,10,-3,A#/B♭ Major,4,0J2eTmPftgJOAscnZFuohP,QM6MZ2272544
17,"Habit","Jae Woo AN,LIPNINE",180,6A,76,-,02:55,21,"k-ballad, k-rap","Intermission",2024-02-20,54,34,0,89,0,10,-4,G Minor,4,7IxgIn4YcdJjtaE9dqw1zw,KRF632400519
18,"Story of my friend (feat. Skinny Brown)","Grizzly,Skinny Brown",82,8B,57,-,03:40,33,"k-ballad, k-rap","Story of my friend (feat. Skinny Brown)",2023-06-01,70,12,0,62,0,0,-4,C Major,4,7eDvrtFJwLFfVWt63reYJZ,KRMIM2359192
19,"너에게 난 어떤 존재야","LEE BUM JUN",121,6B,78,-,02:28,28,"k-ballad","그해 여름",2023-07-29,75,25,0,53,0,0,-7,A#/B♭ Major,4,3xBiHFPEawaHQD4eDChdIR,QMDA62563928
20,"이유 - 예쁘니까 좋아하지","Azurever",88,7B,50,-,01:52,33,"k-ballad","이유 - 예쁘니까 좋아하지",2021-09-24,44,94,0,55,0,10,-5,F Major,4,7fJSIdDL1Rof5GSOzckax6,KSA012122768
21,"OVER","YUMIN",120,12B,75,-,03:18,15,"k-rap","OVER",2024-03-21,66,63,0,49,0,10,-4,E Major,4,6tXwpZ0KqMlwa9OuRociym,QM4TX2477849
22,"Titanium","Skinny Brown",167,1A,78,-,02:45,27,"k-rap","Berry Loves My Mood",2021-03-13,60,17,0,63,0,10,-6,G#/A♭ Minor,4,4dbktrBmbNpo28UbNTc5LT,KRMIM2111118
23,"good night (Feat.Skinny Brown)","BIGONE,Skinny Brown",133,12B,85,-,02:46,12,"k-rap, k-rock","NIGHT*",2021-10-23,70,0,0,46,0,10,-4,E Major,4,084cQhE6pADlPXIGsVhSmp,KSA002100991
24,"SAKURA","Austn",147,4B,46,-,02:26,16,"k-rap","SAKURA",2022-04-19,55,66,0,49,0,10,-7,G#/A♭ Major,4,79fhDI559oHJZIlbBBaHJI,KSA002101797
25,"Fight For (feat. Skinny Brown)","Yumewanaii,Skinny Brown",92,7B,77,-,02:57,22,"k-rap","Fight For (feat. Skinny Brown)",2023-05-08,76,27,0,13,20,10,-5,F Major,4,7dUycwNVi4PtRbfdDwsOhE,KSA012245909
26,"Tale","Azurever",162,4B,63,-,02:50,33,"k-ballad","Tale",2022-08-04,53,5,0,29,0,20,-5,G#/A♭ Major,4,4F4huaUlaZDkAHLvXXRWaU,KRMIM2243492
27,"Even among the falling stars","104,Taeb2",150,2B,70,-,03:41,32,"k-ballad, k-rap","Even among the falling stars",2023-06-08,59,14,0,25,0,10,-5,F#/G♭ Major,4,753TGdooKvUG0CnqaBxSWi,KRA252301147
28,"Sing Alone","Skinny Brown",85,7B,72,-,03:23,34,"k-rap","Sing Alone",2020-11-06,67,30,0,35,0,10,-7,F Major,4,1eX6ZeAYZ6Qy1djwfsbiUH,KRMIM2030680
29,"Roll The Dice (Feat. Skinny Brown)","BANGJA,Skinny Brown",176,5A,77,-,02:24,18,"k-rap","Roll The Dice (Feat. Skinny Brown)",2023-04-08,63,35,0,78,10,10,-5,C Minor,4,7n1IknSC5gDGzcnwi5A6JN,KRB472300506
30,"Dying Every Second (with. Han Yo Han)","YongYong",88,9B,82,-,03:00,35,"k-rap, k-rock","Dying Every Second",2022-02-16,55,43,0,50,0,10,-4,G Major,4,2AJR5cKkwllyXATBSRV3vf,KRA382203187
