#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Glass","nekoi",113,8A,29,2023-08-27,02:26,0,"spoken word","glass",2019-10-02,47,96,57,7,0,10,-14,A Minor,4,2ZVWZ43K5wRHNcMhqTthAz,QZAKB1910268
2,"Kou wo Oikakete - Piano Cover","sammy",78,2B,23,2023-08-27,02:02,48,"","Piano for everyday -Summer in Japan-",2021-08-12,24,98,88,32,0,10,-20,F#/G♭ Major,4,7zZomLkXDfnw8UhMvvr2HK,TCJPP2153949
3,"Hana","Just Big Hills",116,8A,24,2023-08-27,02:08,0,"lo-fi hip hop, lo-fi, lo-fi beats","When You Forgive",2018-08-10,63,33,92,36,0,0,-24,A Minor,3,1B1233i8NQ0vzb7R8UdJey,QZDA71825462
4,"Heart To Heart","Mac DeMarco",150,1A,14,2023-08-27,03:31,83,"indie, lo-fi indie","Here Comes The Cowboy",2019-05-10,90,67,35,64,10,10,-16,G#/A♭ Minor,4,7EAMXbLcL0qXmciM5SwMh2,QZG4T1900008
5,"開かれた日記帳","Seiji Kameda",140,10B,11,2023-08-27,01:58,30,"","今夜、世界からこの恋が消えても (Original Soundtrack)",2022-07-29,26,97,93,12,0,10,-16,D Major,3,7oxrjOVLT69gvgHbrRmMhx,JPZ922206333
6,"忘れたくない","Seiji Kameda",79,10B,14,2023-08-27,04:08,32,"","今夜、世界からこの恋が消えても (Original Soundtrack)",2022-07-29,16,93,90,10,0,0,-14,D Major,4,2qvRsNcc0mT8FtzvzWOZ7i,JPZ922206350
7,"Back in Time","Borrtex",160,1A,10,2023-08-27,01:25,56,"","Reflections",2019-12-15,52,99,91,28,0,0,-26,G#/A♭ Minor,4,6KVyd6WJOcjvr0HVKWfHa6,GBSMU7257299
8,"golden hour - Piano Version","Peaceful Noise",188,11B,41,2023-08-27,01:33,45,"","golden hour (Piano Version)",2022-09-01,34,98,83,31,0,10,-15,A Major,3,1lWy6DPLgrgw2GV7zdlutY,QZPJ32195471
9,"watching the stars","Øneheart",82,9A,11,2023-08-27,01:39,70,"dark ambient, ambient","watching the stars",2022-08-05,45,94,93,5,0,0,-26,E Minor,4,321PCApeQiLLrf03k83cCb,US3DF2279439
10,"No Thoughts","Xeuphoria",68,5B,4,2023-08-27,01:06,0,"","songs for nature",2022-07-26,37,99,93,27,0,10,-27,D#/E♭ Major,3,0WGVFPZixLhuMPya3CCwbp,GX4R52299846
11,"Avid","Jake Eaw",78,9A,26,2023-08-27,01:28,34,"","Spring 2021 Anime Piano, Vol. 2",2021-05-23,38,97,95,29,0,10,-20,E Minor,4,56QsUnqZRgPYygHww8mnNN,GX38U2180380
12,"Breathe Out","Marika Takeuchi",164,8A,28,2023-08-27,02:36,40,"","Breathe Out",2021-07-30,44,98,93,55,0,0,-24,A Minor,4,7BvM6gezSZfDN3WQjYjEgg,GBWMY2051070
