#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"If It Kills Me","Jason Mraz",144,9A,43,2018-01-28,04:33,39,"soft pop, acoustic pop","We Sing. We Dance. We Steal Things. (Bonus Tracks Version)",2008-05-01,63,4,0,52,0,10,-7,E Minor,4,4b3sAxlH3wN8fdfXERRGWj,USEE10800814
2,"Quiet","Jason Mraz",77,8B,41,2018-01-28,04:18,43,"soft pop, acoustic pop","YES!",2014-07-08,60,64,0,36,0,10,-11,C Major,4,75pOOR8GRCA5vTNglnJGsH,USEE11400570
3,"The Art of Detaching One's Heart","Phum Viphurit,Jenny & the Scallywags",86,5B,46,2019-06-20,04:26,34,"bedroom pop, ","Manchild",2017-02-04,52,85,0,19,0,10,-9,D#/E♭ Major,4,6MvSyEDqD6QDjhj5al6d2H,FRX201657748
4,"Hate to See Your Heart Break (feat. Joy Williams)","Paramore,Joy Williams",103,7B,74,2018-01-28,05:12,43,"pop punk, emo, ","Paramore (Deluxe Edition)",2013-04-09,55,1,0,38,0,0,-8,F Major,4,3dkF3fiPOHbaV3lPwneGKN,USAT21404959
5,"Fake Happy","Paramore",99,9B,63,2018-02-25,03:55,61,"pop punk, emo","After Laughter",2017-05-12,73,8,0,44,0,10,-6,G Major,4,6t44iU80A0h8WQ7vc4OoRj,USAT21700953
6,"Handstand","The Fontaines",125,9B,72,2018-07-17,02:59,6,"lo-fi indie","ii",2016-06-24,69,2,1,90,0,10,-6,G Major,4,6nNz9b5nmYOYDBoaR7zPp7,QM9AA1576152
7,"(One of Those) Crazy Girls","Paramore",123,2B,79,2018-08-24,03:32,64,"pop punk, emo","Paramore",2013-04-05,45,3,0,49,0,10,-4,F#/G♭ Major,4,6JmV5cyTQ934NxLY4Z0tg1,USAT21300017
8,"'93","flu",98,4A,48,2022-04-21,03:29,0,"pinoy indie, opm","'93",2019-11-22,77,19,0,57,0,10,-13,F Minor,4,0Rj6hhjCysR04264cBArd7,QMFME1915070
9,"Falling","Surfaces",40,8B,71,2018-12-07,02:46,14,"","Surf",2017-12-03,30,8,0,34,10,10,-7,C Major,4,3x31QlxZOHEXE6QaaAvvyT,TCADJ1711308
10,"linger","TALA",90,10A,19,2019-01-02,03:17,0,"pinoy indie, pinoy r&b, opm","linger",2018-06-01,63,92,0,17,0,10,-14,B Minor,4,5TkfOPzcNYtoqqKLNC5vxh,PHU011815702
11,"Best Part (feat. H.E.R.)","Daniel Caesar,H.E.R.",75,9B,36,2019-01-04,03:29,9,"r&b","Freudian",2017-08-25,52,81,0,44,0,10,-10,G Major,4,1RMJOxR6GRPsBHL8qeC2ux,CADDS1700022
12,"Favoritism","SOS",126,10A,51,2019-01-20,04:08,0,"pinoy indie, opm","Whatever That Was",2017-09-17,75,1,0,38,0,10,-8,B Minor,4,6lw0KHsCUNfD4kZ069XMKF,USDHM1719336
13,"Eye In The Sky","The Alan Parsons Project",112,10B,42,2019-02-26,04:36,56,"progressive rock, classic rock","Eye In The Sky (Expanded Edition)",1982-00-00,82,56,0,52,0,0,-13,D Major,4,39qYD4J4BKvZMQgxfXl5bv,USAR18200010
14,"Hello, Anxiety","Phum Viphurit",126,11B,50,2019-04-08,04:24,50,"bedroom pop","Hello, Anxiety",2019-03-22,84,59,55,81,0,10,-10,A Major,4,1ZseaIKt19broBzze3F8hz,FR10S1951764
15,"Japanese Denim","Daniel Caesar",124,5B,24,2019-06-11,04:30,6,"","Get You - Single",2016-10-21,71,9,0,35,0,0,-9,D#/E♭ Major,3,1boXOL0ua7N2iCOUVI1p9F,TCACR1690007
16,"Pwede Ba","Lola Amour",79,8B,33,2019-06-20,05:41,0,"opm, pinoy indie, harana, parang, p-pop, kundiman","Pwede Ba",2018-06-15,67,61,0,25,0,10,-8,C Major,4,7v8yMJuatXDEODv5mmrqSy,ushm21825004
17,"I Know You Know I Love You","落日飛車 Sunset Rollercoaster",144,12B,19,2022-04-16,02:00,0,"taiwanese indie, chinese indie, bedroom pop","BOSSA NOVA",2011-09-22,76,82,2,63,0,10,-15,E Major,4,2f4eme6Kaz3NwkqmmN40yz,TWCR71100008
18,"Lovesong (The Way) [feat. Bluets]","Charlie Burg,Bluets",113,11B,47,2022-04-16,03:59,0,"","One, Violet",2017-09-18,56,40,0,41,0,10,-8,A Major,3,4JkKXuKp2RdbE5M7L4z19Z,TCADG1794090
19,"Uncertainly","Ourselves the Elves",97,8B,33,2019-06-20,05:03,35,"pinoy indie, opm","Geography Lessons",2015-10-17,36,17,4,28,0,20,-9,C Major,4,1qyETQ5t2UG76pfqnYOZ6h,QM2PV1540816
20,"Easy","Mac Ayres",91,7B,28,2019-06-20,05:14,61,"","Drive Slow",2017-08-11,72,37,1,24,10,10,-7,F Major,4,58dSdjfEYNSxte1aNVxuNf,USUYG1128427
21,"Pahintulot","shirebound",138,8B,13,2019-08-03,04:57,74,"opm, pinoy indie, harana, parang, kundiman","For Princesses, By Thieves (O Mga Awit ng Hiraya Para sa Guni-guning Sinta)",2019-08-02,57,94,88,6,0,10,-12,C Major,4,0jByCc9MS4p34rE3o9Cdmw,FR59R1992129
22,"Kiliti","the vowels they orbit",132,8B,51,2019-10-24,05:12,34,"pinoy indie, opm, harana, kundiman, parang","Kiliti",2019-10-25,65,64,0,31,0,10,-8,C Major,4,1YhjM48dOuK3rSJcIpS889,PHS111900094
23,"Bukod-Tangi","Unique Salonga",110,11B,74,2020-02-12,03:50,0,"opm, pinoy indie, harana, kundiman, parang, p-pop","Bukod-Tangi",2019-08-16,88,23,94,81,0,0,-6,A Major,4,4VRBLAlhNLGHR4vE3l9hPI,PHV031910722
24,"I Don't Wanna Be Okay Without You","Charlie Burg",63,7B,32,2020-05-20,04:03,0,"","Live in Peter's Attic",2016-12-20,53,40,0,17,0,10,-7,F Major,4,5HKv1sFHbXgmXBih203HxT,QM38J1600016
25,"Fool Truth","Up Dharma Down",170,8B,54,2020-06-05,04:31,0,"opm, pinoy indie, pinoy alternative, harana, pinoy rock, p-pop, parang, kundiman","U D D",2019-07-21,60,49,0,58,0,0,-8,C Major,4,3ZWpktSYGGPFNfs5UWC4Uy,TCAEI1905475
26,"For The Fickle","Reese Lansangan",106,10B,2,2020-06-05,05:54,28,"pinoy indie, opm, harana","Of Sound Mind & Memory",2017-04-30,52,76,0,19,0,10,-17,D Major,4,1DHmvYl0vA22LYdfvYIsNl,SEYOK1729693
27,"Ship And The Globe","Kae Sun",104,12A,46,2020-06-05,03:18,0,"","Ship And The Globe",2012-10-16,91,0,1,34,0,0,-5,C♯/D♭ Minor,4,3ioPo7vcPPAPkNtAHxruxR,CA6E81200001
28,"Love Is Still The Answer","Jason Mraz",178,10B,46,2020-06-05,06:06,40,"soft pop, acoustic pop","Know.",2018-08-10,25,4,1,12,0,10,-7,D Major,3,6tfr6QF7ALjl7wRNCzNvJr,USAT21802790
29,"Ulap","Rob Deniel",120,12A,39,2021-02-10,06:45,0,"opm, harana, p-pop, parang, kundiman, pinoy indie","Ulap",2020-09-13,66,40,1,43,0,10,-9,C♯/D♭ Minor,4,1OrPpim6Gl4rmRrHlyUjCn,AUBEC2049216
30,"Just Like a Splendid Love Song","Orange & Lemons",118,8B,65,2021-03-09,04:39,0,"opm, pinoy rock, pinoy alternative, harana, pinoy indie, p-pop, kundiman, parang","Love in the Land of Rubber Shoes & Dirty Ice Cream (15th Anniversary Edition)",2018-06-01,58,0,0,45,0,10,-7,C Major,4,5uUlOpxGUFweZnWgwQN9H0,FR2X41851654
31,"Whatever That Was","SOS",122,7B,65,2021-03-09,04:13,0,"pinoy indie, opm","Whatever That Was",2017-09-17,66,40,0,17,0,10,-7,F Major,4,4Swojump5Ol7Y2qaUw6xb0,USDHM1719334
32,"Crying Season","Up Dharma Down",96,9B,51,2021-03-09,04:12,0,"opm, pinoy indie, pinoy alternative, harana, pinoy rock, p-pop, parang, kundiman","U D D",2019-07-21,65,18,8,49,0,0,-10,G Major,4,6QRh3ubnj7VWNDm4b3ujw1,TCAEI1905582
33,"3am","HONNE",100,6A,66,2021-03-10,03:48,43,"","Gone Are the Days (Shimokita Import)",2016-01-22,73,4,1,52,0,60,-7,G Minor,4,1WH96QFPIhxlnATR0K90KX,GBAHS1500542
34,"Real","alpha yang,Anne Chan",142,3B,49,2022-05-11,05:00,0,"pinoy indie, opm, ","Spellbound",2019-07-19,72,63,68,65,0,0,-10,C♯/D♭ Major,3,4BwuvRHxo1LvoFlWbhHeI6,SE5751863419
35,"San Francisco Street","Sun Rai",111,10B,54,2021-03-29,04:26,58,"","Pocket Music",2013-06-11,88,22,13,51,0,0,-9,D Major,4,5pjWzUc1tVcewUTdDJd6Ce,ushm21343849
36,"telepatía","Kali Uchis",84,10A,52,2021-04-04,02:40,85,"","Sin Miedo (del Amor y Otros Demonios) ∞",2020-12-04,65,11,0,55,0,20,-9,B Minor,4,6tDDoYIxWvMLTdKpjFkc1B,GBUM72005748
37,"Keep Cold","Numcha",83,10B,55,2022-02-23,03:56,45,"thai indie pop","Keep Cold",2019-11-15,64,39,0,41,0,10,-7,D Major,4,3IgTrdtmSqAWsFmXTEftOv,THMOB1907184
38,"How Can I","H 3 F",172,9B,46,2022-02-23,04:29,42,"thai indie pop, thai pop","How Can I",2019-06-23,59,76,0,51,0,20,-12,G Major,4,3Ka0IJwEvxI3ssqbF48SWZ,FR59R1944907
39,"Skin to Skin","Monica Karina,Dipha Barus",114,3B,54,2022-02-23,03:28,0,"indonesian r&b, indonesian pop, indonesian hip hop, indonesian indie","Skin to Skin",2018-08-31,88,4,0,81,0,0,-5,C♯/D♭ Major,4,0uzwUF369gO2Gui3veixZi,IDA681800063
40,"Solomon","Munimuni,Clara Benin",71,12B,20,2022-04-28,06:18,59,"opm, pinoy indie, harana, parang, kundiman","Kulayan Natin",2019-07-26,41,74,0,11,0,10,-13,E Major,4,2jHHaNZrgt506zDAKlhQr3,AUBEC1911544
41,"Desire","Hale",82,8B,30,2022-05-11,03:51,22,"opm, pinoy alternative, pinoy rock, p-pop, harana, kundiman, pinoy indie","Alon",2018-06-13,75,77,0,30,0,10,-9,C Major,4,6ACipcRoUAso3VFFyj1rWX,PHW011800402
42,"How Deep Is Your Love","Stephanie Dan",201,10B,30,2022-06-09,03:07,39,"","Love To Love Acoustic",2011-07-04,28,90,0,17,0,10,-13,D Major,4,01JrGUTMO9mt4CtpDatJKv,PHS111100076
43,"To the Bone","Pamungkas",140,6A,73,2022-06-27,05:44,5,"indonesian indie, indonesian pop","Flying Solo",2019-06-14,67,51,0,94,0,10,-7,G Minor,4,3pCt2wRdBDa2kCisIdHWgF,FR2X41995983
44,"Is This The Love That I Need?","flu",122,11A,23,2022-06-27,05:26,33,"pinoy indie, opm","Is This the Love That I Need?",2020-01-31,79,83,0,13,0,10,-13,F#/G♭ Minor,3,4Lj3U0KBeYk9qxnnu9AFmQ,QM4TW2033829
45,"Mariposa","Peach Tree Rascals",112,11B,53,2022-07-10,03:30,1,"","Mariposa",2019-08-28,68,62,0,42,0,30,-6,A Major,4,4ja2gzrNh9VNigzoXfmbwD,QZFZ21934119
46,"Wings","So!YoON!,Phum Viphurit",100,2B,49,2022-07-11,03:15,0,"bedroom pop","Wings",2020-10-20,66,17,0,54,0,0,-8,F#/G♭ Major,4,4XQnhcwRPRmGG4E6PakLMb,KRF252000117
47,"Too Good","Christian Kuria",160,4A,41,2022-07-11,04:37,61,"","Borderline",2020-01-29,69,23,0,51,10,10,-9,F Minor,4,3GP7l2bmXT6T2FNAzERwBr,TCADZ1858339
48,"Only Love Can Hurt Like This - Slowed Down Version","Paloma Faith,sped up + slowed",82,11A,85,2022-07-11,04:17,61,"","Only Love Can Hurt Like This (Slowed Down Version)",2022-02-28,55,10,0,39,0,50,-6,F#/G♭ Minor,4,48CKzGWOC65n8a8kdANJV8,GBARL2200328
49,"Alone","Martti Franca",105,11A,43,2022-07-25,04:32,0,"pinoy indie, opm, harana, parang","Alone",2018-02-16,41,46,0,34,0,30,-7,F#/G♭ Minor,3,2Stc8Hacn0Df4SieXJk76l,FR10S1840677
50,"LOVE YA!","HYUKOH",144,1B,56,2022-07-25,04:11,51,"k-rock, k-ballad","24 : How to find true love and happiness",2018-05-31,36,13,0,35,0,10,-6,B Major,4,70M62MNyEskm9on3FiDubd,KRC081800006
51,"Intentions","Charlie Burg,Daniel James,Eddie Codrington",116,4B,48,2022-07-25,03:42,0,"","One, Violet",2017-09-18,56,58,0,50,30,30,-9,G#/A♭ Major,4,6fLlIJberJNX45w4xlvRUL,TCADG1790811
52,"Okinawa","92914",148,7B,17,2022-07-25,05:48,0,"","Okinawa",2018-02-14,74,93,17,38,0,60,-18,F Major,4,1CfcKv1RLdJBWhRHAZgVdf,KRZ291803399
53,"The Most Beautiful Thing","Bruno Major",128,9B,36,2022-07-25,03:55,0,"","To Let A Good Thing Die",2020-06-05,81,54,5,42,0,10,-10,G Major,4,5unXHHcSQLGO19RuVqZB6d,GBKPL2090021
54,"Pluto","Phum Viphurit",100,8B,20,2022-07-25,04:24,40,"bedroom pop","Bangkok Balter Club",2019-09-08,62,85,0,30,0,10,-15,C Major,3,3Un9IKqqC6LEqjwKsFWrqx,FR96X1923005
55,"Koh","92914",105,9B,45,2022-07-25,04:59,0,"","Koh",2019-03-16,80,79,0,51,0,30,-10,G Major,4,17U7z9PG0iOa7YfR5pzZ6m,KRMIM1904570
56,"roses & sunflowers","Timmy Albert",85,4B,16,2022-07-25,03:28,0,"pinoy indie","roses & sunflowers",2019-05-01,56,91,0,26,0,10,-14,G#/A♭ Major,4,2qLg145VEb3ukK1mSDv181,PHU011915818
57,"Eleven","Sunday Moon",102,5A,56,2022-07-25,03:23,0,"","Eleven",2018-03-25,68,45,0,46,0,20,-7,C Minor,4,1yQ7fGXsbp2oHzlCLCKeIW,KRNAR1804377
58,"My Favourite Clothes","RINI",120,10B,34,2022-07-25,04:17,62,"","My Favourite Clothes",2018-01-06,75,48,0,29,10,0,-9,D Major,4,2ZwIO3ufWLFYxtEoam9ydu,TCADK1787762
59,"With Me","Plastic Plastic",120,8B,51,2022-07-25,03:56,34,"thai indie pop, thai pop","Stay At Home",2016-03-25,70,79,2,41,0,10,-7,C Major,4,40Pj8OVErS21yxpnH2HP2k,FR10S1696080
60,"Lover Boy (Audiotree Live Version)","Phum Viphurit",115,1B,48,2022-07-25,05:47,0,"bedroom pop","Phum Viphurit on Audiotree Live",2019-10-15,52,62,0,50,0,10,-11,B Major,4,0FUm3MjI4StRyWjSkDS3V7,QM99V1910301
61,"Twenty Something","Tandems '91",105,11B,27,2022-07-25,05:08,26,"pinoy indie, opm","Twenty Something",2019-04-15,65,84,0,18,0,20,-11,A Major,3,3oKrLC5srjU80dGXtcDx8y,QZDA61956278
62,"Rock with You","Paolo Sandejas",170,4B,33,2022-07-25,03:19,0,"pinoy indie, opm, harana","Rock with You",2018-12-14,57,65,0,18,0,10,-8,G#/A♭ Major,4,4Bt8Ly7wwutPbX1dHXhuok,PHU011815778
63,"Proof","SOS",118,7B,66,2022-07-25,03:55,28,"pinoy indie, opm","Proof",2021-11-12,76,20,0,84,0,20,-8,F Major,4,0GDMIYIj9Kp8ARkWhvePMe,FRX872126313
64,"Never Find Me","Somedaydream,SOS",123,2B,68,2022-07-26,05:14,15,"pinoy indie, opm","Holographic: Green Year",2017-05-26,58,69,0,42,0,10,-7,F#/G♭ Major,4,4SZwQOW4n0OTqyt6xUe5T1,PHUM71700057
65,"Quando, Quando, Quando","Winterplay",116,10B,24,2022-07-27,04:51,0,"","Choco Snowball",2008-01-23,64,91,0,35,0,10,-12,D Major,4,5vYKdiMqlRiDsab34kYzTu,KRA531008004
66,"How Deep Is Your Love","the bird and the bee",201,4B,30,2022-07-28,03:24,49,"","Please Clap Your Hands",2007-01-01,30,92,0,12,0,10,-12,G#/A♭ Major,4,4DDD2P6dJurAgk3IYWqK3p,USBN20700754
67,"august","Taylor Swift",90,7B,62,2022-08-02,04:21,85,"","folklore",2020-07-24,53,54,0,40,0,0,-9,F Major,4,3hUxzQpSfdDqwM3ZTFQY0K,USUG12002842
68,"Fall in love with you in every 4AM.","Friday Night Plans",117,11B,49,2022-08-04,02:56,43,"j-r&b, city pop, japanese indie","LOCATION - Los Angeles",2018-08-31,82,6,0,34,0,10,-10,A Major,4,2sXQnT404FrXeSEZkJXfKM,TCJPH1864766
69,"Velvet","Kurosuke,Kittendust",92,7B,44,2022-08-04,04:02,38,"indonesian indie, city pop, ","Velvet",2019-02-14,68,7,0,63,0,10,-9,F Major,4,3m9P9tPkZpHT1TOW8BZxQh,QZDA71908561
70,"la la la that’s how it goes","HONNE",123,1B,54,2022-08-04,03:39,50,"","no song without you",2020-07-03,79,1,88,90,0,10,-9,B Major,4,5Pw4Q2Z2NttJtISFFxe9MK,GBAHS2000606
71,"Is It The Answer","Reality Club",118,8B,71,2022-08-04,03:52,0,"indonesian indie","Is It The Answer",2017-03-04,72,45,0,46,0,10,-7,C Major,4,5dFLCZFECZMRYICtN31BMg,QMEZE1707504
