#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Frozen Heart","8Bite,Dyrox",74,2B,25,2024-06-04,03:09,52,"chinese r&b, ","Frozen Heart",2023-09-16,48,89,0,54,0,30,-13,F#/G♭ Major,3,0GRHTkx3f6VsIoSRA0DsVZ,HKG731611373
2,"Million Days","SABAI,Hoang,Claire Ridgely",145,8B,65,2024-06-04,03:28,60,"melodic bass, future bass, edm, ","Million Days",2020-02-11,51,27,0,8,0,10,-5,C Major,4,0DzPnTBSmVRKBQAmH3EomR,CA6D22000016
3,"Hard To Be Human","Anson Seabra",99,10B,28,2024-06-04,02:50,48,"","Hard To Be Human",2022-11-04,70,89,0,20,0,20,-13,D Major,3,3rhcTGF7AK0QsSzMmLVkqu,QZRP52280252
4,"Without You","Finding Hope,Holly Drummond",87,4B,24,2024-06-04,03:45,36,"chillstep","Without You",2016-01-01,48,50,41,10,0,0,-18,G#/A♭ Major,4,08a3StAjIV2J1BbbqSOyKa,GBSMU2656407
5,"If I Ever","Conor Maynard",110,8A,68,2024-06-04,03:14,44,"","If I Ever",2023-01-20,75,8,0,67,0,0,-6,A Minor,4,7bRz4TuVPUqb97BFcLPCqM,USANG2240897
6,"Only Love","七元",122,7B,40,2024-06-04,03:47,49,"","Only Love",2024-05-24,64,52,0,20,0,10,-10,F Major,4,6aat81kBU5JMCbJ00SQRaE,TCAIE2437141
7,"手植玫瑰 (电视剧《玫瑰的故事》插曲)","米卡",78,6B,36,2024-07-06,03:23,0,"c-pop, chinese r&b, mandopop","手植玫瑰",2024-06-12,45,71,0,36,0,20,-11,A#/B♭ Major,4,63JExYU0oG8Me8Vrrgacne,HKD012310203
8,"see you tomorrow","Versutus",160,11B,43,2024-06-04,03:30,0,"","see you tomorrow",2024-01-16,50,61,0,75,0,20,-8,A Major,4,35RDLqB1DOpXo0NNRKnT7V,QZFZ32443876
9,"fuzzy wuzzy","Versutus",75,2B,45,2024-06-04,02:37,0,"","fuzzy wuzzy",2022-12-26,68,58,0,58,0,20,-8,F#/G♭ Major,4,0WUJK9cIdHrIbf2pLHysy4,QZTBA2237284
10,"Until I Found You","Lysha Tey",184,10A,14,2024-06-04,02:46,0,"","The Power of Love",2022-07-27,50,87,0,25,30,10,-17,B Minor,3,221vUIteq1aoVaftvJf90V,USJ3V2138303
11,"False God","Taylor Swift",80,10A,32,2024-06-04,03:20,75,"","Lover",2019-08-23,74,74,0,35,20,10,-11,B Minor,4,5hQSXkFgbxjZo9uCwd11so,USUG11901483
12,"Woes","Tom Rosenthal",140,11B,4,2024-06-04,03:25,44,"","Woes",2018-05-11,39,98,3,19,0,10,-17,A Major,4,3zy9OMfK0yujqhPqcSIgcy,GBFFM1811901
13,"beside you","keshi",136,8B,75,2024-06-04,02:46,69,"","beside you",2021-04-23,71,46,0,85,0,10,-6,C Major,4,1Fhb9iJPufNMZSwupsXiRe,USUM72105144
14,"Fight and Fall","Voyageur",144,10A,48,2024-06-04,04:47,32,"indie folk","Fight and Fall",2021-09-24,46,85,28,24,0,0,-11,B Minor,4,6vNtXAxe6jtiAwZs4p7TDi,TCAFS2162875
15,"goodbye.","8Bite",90,1B,40,2024-06-04,02:44,40,"chinese r&b","goodbye.",2021-12-17,77,74,0,57,0,10,-10,B Major,4,1qsdjC1i2DqvjXEvgyvWDy,FRS182133866
16,"Shall We Talk.","8Bite",180,3B,57,2024-06-04,03:06,41,"chinese r&b","Shall We Talk.",2022-10-03,63,70,0,33,20,20,-8,C♯/D♭ Major,4,24cpmuIrIVybiMvGgMc0uT,HKG732341149
17,"Saturday.","8Bite",77,11B,38,2024-06-04,03:07,51,"chinese r&b","Saturday.",2023-07-25,54,63,0,53,20,30,-7,A Major,4,6tddaCSDMYlrVdVuQKJRq4,HKG732386248
