#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"I'm God","Clams Casino,Imogen Heap",142,10B,64,2025-11-17,04:37,77,"cloud rap, ","Instrumental Relics",2020-04-24,53,7,76,9,0,10,-7,D Major,4,0FVuyC9RP5MACjp4lgU3qZ,QM24S2003584
2,"'Bout It","JMSN",110,10A,32,2025-11-17,06:34,71,"","JMSN",2014-12-09,60,27,14,9,0,10,-11,B Minor,4,3414vfp4uaJNFqFFj9sUvz,TCACB1494225
3,"Doubt","Twenty One Pilots",123,7A,65,2025-11-17,03:11,80,"","Blurryface",2015-05-15,72,12,0,69,0,30,-6,D Minor,4,57yL3161hUMuw06zzzUCHi,USAT21500601
4,"Army Dreamers - 2018 Remaster","Kate Bush",143,9A,11,2025-11-17,02:59,77,"art pop, baroque pop, art rock","Never for Ever (2018 Remaster)",1980-09-07,70,74,0,34,0,0,-19,E Minor,3,135ArLV1euyyeegU9D8HVR,GBAYE1800848
5,"You Love Me","Kimya Dawson",113,9B,42,2025-11-17,02:39,69,"anti-folk, folk punk","Hidden Vagenda",2004-10-05,62,72,9,38,0,10,-13,G Major,4,4BqIT4j2xzROrC9dMlgXPT,USK110416513
6,"welcome and goodbye","Dream, Ivory",140,5A,72,2025-11-17,02:20,80,"","welcome and goodbye",2018-03-31,58,2,76,66,0,0,-5,C Minor,4,00RLNHc2jkEjUoCUlFgPVT,QM42K1745830
7,"Reflections","The Neighbourhood",114,10A,59,2025-11-17,04:04,88,"","Hard To Imagine The Neighbourhood Ever Changing",2018-11-02,65,11,5,54,0,10,-7,B Minor,4,2xql0pid3EUwW38AsywxhV,USSM11800527
8,"Fourth of July","Sufjan Stevens",120,11A,10,2025-11-17,04:39,80,"baroque pop","Carrie & Lowell",2015-03-31,44,97,33,16,0,10,-22,F#/G♭ Minor,4,5Qnrgqy1pAm9GyNQOgyVFz,US64G1509906
9,"Daddy Issues","The Neighbourhood",85,6B,52,2025-11-17,04:20,86,"","Wiped Out!",2015-10-30,59,7,15,34,0,10,-9,A#/B♭ Major,4,5E30LdtzQTGqRvNd7l6kG5,USSM11506747
10,"House Of Balloons / Glass Table Girls","The Weeknd",89,8B,51,2025-11-17,06:47,80,"","House Of Balloons (Original)",2011-03-21,66,0,0,23,0,20,-8,C Major,4,2r7BPog74oaTG5shNYiUnV,USUM72104130
11,"Chamber Of Reflection","Mac DeMarco",131,1B,56,2025-11-17,03:51,84,"indie, lo-fi indie","Salad Days",2014-04-01,54,26,91,51,0,10,-9,B Major,4,7H7NyZ3G075GqPx2evsfeb,QMMZN1300568
12,"No. 1 Party Anthem","Arctic Monkeys",115,8B,70,2025-11-17,04:03,87,"indie, garage rock","AM",2013-09-09,51,33,9,60,0,10,-6,C Major,4,5TTGoX70AFrTvuEtqHK37S,GBCEL1300367
13,"Dead To Me","Kali Uchis",119,9A,76,2025-11-17,03:19,77,"","Isolation",2018-04-06,68,43,0,43,0,10,-4,E Minor,4,6LOZws7T3jqZz78unPgFF9,GBUM71801115
14,"People You Know","Selena Gomez",150,1A,62,2025-11-17,03:14,76,"","Rare",2020-01-10,70,9,0,62,0,10,-8,G#/A♭ Minor,4,63mdJr3NMY3wReOkNE6c6W,USUM71923485
15,"jealousy, jealousy","Olivia Rodrigo",164,3A,57,2025-11-17,02:53,83,"","SOUR",2021-05-21,70,20,0,70,10,0,-6,A#/B♭ Minor,4,0MMyJUC3WNnFS1lit5pTjk,USUG12101248
16,"Two Birds","Regina Spektor",151,8B,50,2025-11-17,03:15,76,"anti-folk","Far",2009-06-19,55,80,0,45,0,10,-9,C Major,4,2n0U2OG5d6TuW5mKx7YrC0,USWB10901899
17,"Somebody That I Used To Know","Gotye,Kimbra",129,8B,50,2025-11-17,04:04,79,"","Making Mirrors",2011-01-01,86,59,0,72,0,10,-7,C Major,4,4wCmqSrbyCgxEXROQE6vtV,AUZS21100040
18,"Creep","Radiohead",92,9B,43,2025-11-17,03:58,93,"art rock, alternative rock","Pablo Honey",1993-02-22,52,1,0,10,0,10,-10,G Major,4,70LcF31zb1H0PyJoS1Sx1r,GBAYE9200070
19,"Harvey","Alex G",107,8B,40,2025-11-17,01:38,72,"","DSU",2014-09-11,50,26,0,41,0,10,-10,C Major,4,0n1lIFtz2ur3cDDWSyyFUl,GBJET1400021
20,"No Surprises","Radiohead",76,7B,39,2025-11-17,03:49,87,"art rock, alternative rock","OK Computer",1997-05-28,26,6,0,12,0,10,-11,F Major,4,10nyNJ6zNy2YVYLrcwLccB,GBAYE9700386
21,"The Cut That Always Bleeds","Conan Gray",136,8B,41,2025-11-17,03:51,83,"","Kid Krow",2020-03-20,49,59,0,25,0,0,-6,C Major,4,7wTqEW5nrMhvyEhEyTnOMd,USUM71924260
22,"Mis","Alex G",61,8B,33,2025-11-17,03:20,69,"","Rules",2012-01-15,54,80,32,11,0,10,-11,C Major,4,0lGTVZfU82bYT2uJw22Kz4,GBJET1400067
23,"Mama's Boy","Dominic Fike",79,11B,35,2025-11-17,02:35,76,"","Sunburn",2023-07-07,81,15,71,60,0,10,-8,A Major,4,0b6xZk9f96N77BfmYWnQNC,USQX92301820
24,"Genesis","Grimes",166,3A,68,2025-11-17,04:15,63,"art pop","Genesis",2012-02-20,61,8,7,23,0,20,-7,A#/B♭ Minor,4,2cyLCuYnTA0zcdxYW9O3Yk,CA21O1200002
25,"I Bet on Losing Dogs","Mitski",82,11B,49,2025-11-17,02:50,81,"","Puberty 2",2016-06-17,40,0,0,41,0,10,-10,A Major,4,2Co0IjcLTSHMtodwD4gzfg,USJ5G1612306
26,"August 10","Julie Doiron",115,9B,6,2025-11-17,02:58,78,"slowcore","Broken Girl",1996-04-01,51,4,1,35,0,0,-16,G Major,4,0yOf4dgkVq8jbB2zxVK8Zj,US38Y0310260
27,"Harvey","Alex G",107,8B,40,2025-11-17,01:39,0,"","Dsu",2014-11-09,50,26,0,41,0,10,-10,C Major,4,3dbDbEi3El1RRGWYZwNEI5,GBJET1400021
28,"anything","Adrianne Lenker",84,5B,29,2025-11-17,03:22,59,"","anything",2020-09-02,39,77,0,51,0,0,-13,D#/E♭ Major,4,2k5ODImZ9YuXJLZUaBS3Xn,GBAFL2000252
29,"Hero (Prod. by Primary)","Meego",79,7B,61,2025-11-17,03:56,66,"","Weak Hero Class 1 (Original Soundtrack)",2022-11-28,56,47,0,18,0,10,-5,F Major,4,0IOQeFJxurYc2oVmluRTSr,KRNAR2232193
30,"Freaks","Surf Curse",180,11B,94,2025-11-17,02:27,87,"indie","Freaks",2021-05-15,35,0,63,41,0,0,-10,A Major,4,7EkWXAI1wn8Ii883ecd9xr,USAT22102269
31,"Mr. Loverman","Ricky Montgomery",130,8B,53,2025-11-17,03:36,81,"","Montgomery Ricky",2016-04-01,64,25,0,49,0,20,-7,C Major,3,2IVsRhKrx8hlQBOWy4qebo,USA2P1624702
32,"Abbey","Mitski",76,1B,20,2025-11-17,02:46,70,"","Lush",2012-01-31,29,84,0,24,0,10,-9,B Major,3,1hJXpII24ReABFg8Ig6k7w,USCGH1222961
33,"First Love / Late Spring","Mitski",100,8B,55,2025-11-17,04:38,0,"","Bury Me At Makeout Creek",2014-11-11,44,0,1,10,0,20,-8,C Major,4,1Ac5BDsGUMQ3tsW2vnc52x,USA2B1511604
34,"Army Dreamers - 2018 Remaster","Kate Bush",144,9A,12,2025-11-17,02:59,66,"art pop, baroque pop, art rock","Never for Ever (2018 Remaster)",1980-09-07,70,73,0,31,0,0,-19,E Minor,3,5QYUNHT2dQwoNHorXznygN,GBAYE1800848
35,"Liquid Smooth","Mitski",76,6A,34,2025-11-17,02:49,72,"","Lush",2012-01-31,42,84,0,12,0,10,-9,G Minor,4,3XCveEutwTaDiekRkkfdp9,USCGH1222956
36,"Everybody Likes You","therapy lyxx,Therapy",145,10B,85,2025-11-17,03:24,0,"hardcore punk","Everybody Likes You",2024-06-04,69,0,68,56,0,0,-6,D Major,4,66ACaGV1PCN6hqjPN0iT8P,NL9KR2315997
37,"Let Down","Radiohead",102,11B,68,2025-11-17,04:59,89,"art rock, alternative rock","OK Computer",1997-05-28,35,0,11,14,0,10,-9,A Major,4,2fuYa3Lx06QQJAm0MjztKr,GBAYE9701374
38,"Boys Don't Cry - Single Version","The Cure",169,10A,84,2025-11-17,02:37,76,"new wave, post-punk, gothic rock, darkwave","Three Imaginary Boys (Deluxe Edition)",1979-05-11,47,0,0,69,0,10,-6,B Minor,4,4dneV7C1yDt9UtyxrQY375,USEE10413404
39,"В последний раз","Ансамбль Весёлые ребята",83,6A,53,2025-11-17,03:10,5,"","В последний раз",2008-04-30,69,29,0,87,0,0,-8,G Minor,4,710TSttlowLY1yQw9zRvi4,QZWFL2573191
40,"Where Is My Mind? - 2007 Remaster","Pixies",81,12B,44,2025-11-17,03:54,80,"alternative rock","Surfer Rosa (2007 Remaster)",1988-03-21,52,2,0,25,0,0,-14,E Major,4,7wCmS9TTVUcIhRalDYFgPy,GBAFL0700145
41,"strangers","proderics,melodybloom",134,9A,63,2025-11-17,02:15,17,"","strangers",2024-03-16,67,73,35,78,0,10,-10,E Minor,4,2QdcmNlQdW8iA4JEg29cgx,QZHN72419814
42,"I Don't Smoke","Mitski",144,3B,54,2025-11-17,03:18,68,"","Bury Me At Makeout Creek",2014-11-11,13,0,1,23,0,10,-7,C♯/D♭ Major,4,5Qk72xAbHXMzOWL6gS5Gcp,USA2B1511606
43,"WILDFLOWER","Billie Eilish",148,11A,25,2025-11-17,04:21,92,"","HIT ME HARD AND SOFT",2024-05-17,47,61,0,13,0,10,-12,F#/G♭ Minor,4,3QaPy1KgI7nu9FJEQUgn6h,USUM72401993
44,"Francis Forever","Mitski",102,10B,45,2025-11-17,02:29,74,"","Bury Me At Makeout Creek",2014-11-11,54,0,0,32,0,10,-9,D Major,4,5411TEB6tlzvuF5A4oyldr,USA2B1511605
45,"I Love You So","The Walters",76,6B,65,2025-11-17,02:40,87,"","I Love You So",2014-11-28,57,58,0,47,0,10,-5,A#/B♭ Major,4,4SqWKzw0CbA05TGszDgMlc,TCACC1438995
46,"Margaret (feat. Bleachers)","Lana Del Rey,Bleachers",104,11B,25,2025-11-17,05:39,81,"","Did you know that there's a tunnel under Ocean Blvd",2023-03-24,34,97,10,19,0,0,-13,A Major,4,1o82DwNisONAd2mu1RcGE6,GBUM72206760
