#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Black Swan","BTS",147,7A,76,2022-05-29,03:18,67,"k-pop","Black Swan",2020-01-17,72,14,0,49,0,10,-5,D Minor,4,6wH3AP7b01vpzKYRJhreMy,QM4TW2013921
2,"TT","TWICE",130,10B,85,2022-05-29,03:32,69,"k-pop","Twicecoaster: Lane 1",2016-10-24,71,5,0,40,0,40,-4,D Major,4,60jFaQV7Z4boGC4ob5B5c6,US5TA1600082
3,"0X1=LOVESONG (I Know I Love You) feat. Seori","TOMORROW X TOGETHER,Seori",105,8B,84,2022-05-29,03:22,70,"k-pop, ","The Chaos Chapter: FREEZE",2021-05-31,58,6,0,48,0,0,-5,C Major,4,1Z8TPHiKeCUyClxV6WTTIf,USA2P2108442
4,"Gone","ROSÉ",80,2B,38,2022-05-29,03:27,67,"k-pop","R",2021-03-12,65,59,0,65,0,0,-6,F#/G♭ Major,4,2dHoVW9AxJVSRebPRyV2aA,KRA402100041
5,"Spring Day","BTS",107,4B,85,2022-05-29,04:34,77,"k-pop","You Never Walk Alone",2017-02-13,54,1,0,46,0,10,-3,G#/A♭ Major,4,2j1fFjWHCI9KJSwcuYAOyF,KRA381700253
6,"STAY","BLACKPINK",88,3B,43,2022-05-29,03:50,68,"k-pop","SQUARE TWO",2016-11-01,63,55,0,34,0,10,-7,C♯/D♭ Major,4,3tP6QKbXvtrxiDI7QwKyUf,KRA401600237
7,"UP NO MORE","TWICE",120,10B,88,2022-05-29,03:34,57,"k-pop","Eyes Wide Open",2020-10-26,71,3,0,71,0,10,-3,D Major,4,1LiNP5q2thWScdvCRkJ584,US5TA2000136
8,"Can't You See Me?","TOMORROW X TOGETHER",140,8A,82,2022-05-29,03:21,60,"k-pop","The Dream Chapter: ETERNITY",2020-05-18,59,6,0,66,0,20,-3,A Minor,4,2ecGP5xUE5126x6yHa7J6E,USUG12001841
9,"Euphoria","BTS",105,10B,80,2022-05-29,03:48,75,"k-pop","Love Yourself 結 'Answer'",2018-08-24,64,39,0,57,0,0,-5,D Major,4,5YMXGBD6vcYP7IolemyLtK,QM6MZ1886130
10,"One & Only (Go Won)","LOONA",110,9A,91,2022-05-29,02:55,37,"k-pop","Go Won",2018-01-30,77,9,0,72,0,30,-4,E Minor,4,1DzpZ8HBR0MgGkZDhAdd7f,KRE081800001
11,"00:00 (Zero O’Clock)","BTS",158,3B,55,2022-05-29,04:10,70,"k-pop","MAP OF THE SOUL : 7",2020-02-21,56,8,0,20,0,10,-6,C♯/D♭ Major,4,6fqaMyg066xlukvUJWdM2T,QM4TX2001951
12,"Hope Not","BLACKPINK",110,9A,42,2022-05-29,03:11,56,"k-pop","KILL THIS LOVE",2019-04-05,56,44,0,18,0,0,-5,E Minor,4,3eZD5DZGibwxMAOaCMBg3k,KRA401900008
13,"Twenty-three","IU",123,4A,96,2022-05-29,03:14,53,"k-pop, k-ballad","CHAT-SHIRE",2015-10-23,76,2,0,97,0,0,-2,F Minor,4,3YkDslZvvMixTwgDId0aYB,KRA381500393
14,"Magic Shop","BTS",150,3B,66,2022-05-29,04:35,71,"k-pop","Love Yourself 轉 'Tear'",2018-05-18,53,10,0,28,0,0,-6,C♯/D♭ Major,4,5MTGPkmiUuud9NkA0sl2nI,QM4TX1817917
15,"LILAC","IU",115,7A,89,2022-05-29,03:34,66,"k-pop, k-ballad","IU 5th Album 'LILAC'",2021-03-25,74,9,0,75,0,20,-2,D Minor,4,5xrtzzzikpG3BLbo4q1Yul,KRA382102077
16,"Don't Wanna Cry","SEVENTEEN",100,8B,68,2022-05-29,03:23,65,"k-pop","SEVENTEEN 4th Mini Album ‘Al1’",2017-05-22,78,16,0,72,0,10,-4,C Major,4,6Upu6yjkdi0DVI8E3IBZEU,KRA381701127
17,"Lonely St.","Stray Kids",90,9B,83,2022-05-29,02:44,62,"k-pop, noise music","ODDINARY",2022-03-18,69,25,0,60,0,0,-3,G Major,4,2xo84jGkxFPrZmmBtS3Pkd,US5TA2200030
18,"BBIBBI","IU",144,9B,62,2022-05-29,03:14,63,"k-pop, k-ballad","BBIBBI",2018-10-10,84,24,0,82,30,30,-5,G Major,4,4as4XEOR03oGm1STUKl6pa,KRA381801523
19,"Stigma","BTS",136,5A,48,2022-05-29,03:36,64,"k-pop","Wings",2016-10-10,57,15,0,34,0,10,-6,C Minor,4,3LTwMQ9kkn5VVhP3jipBlR,KRA381601895
20,"Lucid Dream","aespa",98,10A,75,2022-05-29,03:30,61,"k-pop","Savage - The 1st Mini Album",2021-10-05,70,5,0,15,0,0,-4,B Minor,4,285Bh5EkbxGGE76ge8JDbH,KRA302100330
21,"Nap of a star","TOMORROW X TOGETHER",140,9B,45,2022-05-29,04:03,54,"k-pop","The Dream Chapter: STAR",2019-03-04,63,41,0,35,0,10,-9,G Major,4,3Rn10yxcNeVzm5OXug2Kwf,USUG11900598
22,"In My Dreams","Red Velvet",101,3B,54,2022-05-29,03:24,61,"k-pop","‘The ReVe Festival 2022 - Feel My Rhythm’",2022-03-21,65,22,1,18,0,0,-5,C♯/D♭ Major,3,4ubg38wkWizzLsQwLuE6rM,KRA302200062
23,"Celebrity","IU",100,11B,78,2022-05-29,03:15,56,"k-pop, k-ballad","Celebrity",2021-01-27,73,19,0,67,0,10,-3,A Major,4,4RewTiGEGoO7FWNZUmp1f4,KRA382100464
24,"MOA Diary (Dubaddu Wari Wari)","TOMORROW X TOGETHER",114,12B,89,2022-05-29,03:08,57,"k-pop","The Chaos Chapter: FIGHT OR ESCAPE",2021-08-17,72,7,0,57,10,10,-5,E Major,4,3XoYQvTJK5KT0ynrq7mcCN,USA2P2119860
25,"Rain","BTS",90,12A,85,2022-05-29,04:24,64,"k-pop","Dark & Wild",2014-08-20,70,3,0,32,10,30,-5,C♯/D♭ Minor,4,6Jr2GutTFyfvAzGA36R2Uj,KRA381208693
26,"Outro: Wings","BTS",125,10A,90,2022-05-29,03:45,69,"k-pop","You Never Walk Alone",2017-02-13,65,1,0,66,10,0,-3,B Minor,4,7kyUapJyppdjzoAWB6XS14,KRA381700255
27,"Secret Garden","OH MY GIRL",105,9B,83,2022-05-29,04:04,0,"k-pop","SECRET GARDEN",2018-01-09,60,6,0,43,0,50,-4,G Major,4,2ZVQY4mXF3eHTu1RBnBZl0,KRA381703003
28,"LOSER","BIGBANG",90,5B,69,2022-05-29,03:39,67,"k-pop","MADE",2016-12-13,64,34,0,49,10,30,-4,D#/E♭ Major,4,2vzn8usBcuNL93DnTjEK0z,KRA401500541
29,"BAD SAD AND MAD","BIBI",90,5A,56,2022-05-29,02:34,54,"k-pop, k-rap","Life is a Bi…",2021-04-28,75,55,0,64,0,0,-7,C Minor,4,0zPbUxvYRlCGwruakkXPLI,KRA382103026
30,"Trivia 轉 : Seesaw","BTS",107,4A,79,2022-05-29,04:06,68,"k-pop","Love Yourself 結 'Answer'",2018-08-24,71,18,0,67,0,10,-4,F Minor,4,0mZI1NpihIVcho2f9MmqSW,QM6MZ1886140
31,"Awake","BTS",143,5B,50,2022-05-29,03:46,61,"k-pop","Wings",2016-10-10,35,2,0,34,0,20,-7,D#/E♭ Major,4,3gxNkvcP8scSzL6mGznTn3,KRA381601899
32,"Into the New World","Girls' Generation",108,9A,89,2022-05-29,04:25,65,"k-pop","Girls' Generation",2007-11-01,71,7,0,62,0,10,-2,E Minor,4,1RTW9UthqmZwr8Od6CH4i8,KRA300802941
33,"Crystal Snow","BTS",114,5B,77,2022-05-29,05:23,66,"k-pop","FACE YOURSELF",2018-04-04,62,12,0,45,0,10,-5,D#/E♭ Major,4,6NbfFVZ01Ttvvqmcok8DxL,JPPO01706371
34,"forever rain","RM",139,9B,59,2022-05-29,04:31,0,"k-pop, k-rap","mono.",2018-10-22,39,3,0,26,0,30,-8,G Major,4,0MBLKSjisnYtP4J6KYYT1T,QM6P41828296
35,"Louder than bombs","BTS",146,5A,67,2022-05-29,03:37,70,"k-pop","MAP OF THE SOUL : 7",2020-02-21,64,4,0,48,10,0,-7,C Minor,4,4Aw8n6r2vuU0KUo1a2nftp,QM4TX2001948
36,"LOVE SCENARIO","iKON",118,9B,71,2022-05-29,03:29,71,"k-pop","Return",2018-01-25,81,33,0,75,0,20,-5,G Major,4,3d3ELsqKlQ7WA0a10Isu3l,KRA401800015
37,"Let Me Know","BTS",136,10A,83,2022-05-29,04:14,66,"k-pop","Dark & Wild",2014-08-20,61,1,0,16,0,10,-5,B Minor,4,2uqzfXB7NlBnhQd04W7HaH,KRA381208692
38,"NAVILLERA","GFRIEND",125,11A,96,2022-05-29,03:13,0,"k-pop","GFRIEND The 1st Album 'LOL'",2016-07-11,64,4,0,80,0,20,-1,F#/G♭ Minor,4,2Oi0IO8K4BEbhPUdWcjNmv,KRA381601301
39,"Through the Night","IU",79,4B,31,2022-05-29,04:13,61,"k-pop, k-ballad","Palette",2017-04-21,43,76,0,28,0,30,-7,G#/A♭ Major,4,3P3UA61WRQqwCXaoFOTENd,KRA381700868
40,"SO WHAT","STAYC",100,11B,76,2022-05-29,02:58,41,"k-pop","STAYDOM",2021-04-08,74,17,0,63,0,0,-5,A Major,4,6hC2Qn11Fzw4Ufi4XH6z2m,KRA382102365
41,"My Youth","NCT DREAM",120,3B,68,2022-05-29,03:56,57,"k-pop, noise music","Hot Sauce - The 1st Album",2021-05-10,78,56,0,58,0,10,-4,C♯/D♭ Major,4,3vG5ilGpaYA2MhVtyTORF1,KRA302100147
42,"Insomnia","YUKIKA",105,5A,80,2022-05-29,03:27,40,"city pop","timeabout,",2021-04-07,73,63,0,74,0,20,-5,C Minor,4,0AAEFC3RGirgzRFhi44Y79,KRMIM2111832
43,"Taste","Red Velvet",200,3B,72,2022-05-29,03:04,36,"k-pop","RBB - The 5th Mini Album",2018-11-30,47,9,0,88,40,0,-5,C♯/D♭ Major,4,7klUw55UuyxUyGZVsj3Hod,KRA301800539
44,"MIST","ATEEZ",128,4B,83,2022-05-29,03:19,15,"k-pop, noise music","TREASURE EP.FIN : All To Action",2019-10-08,56,8,0,34,0,10,-3,G#/A♭ Major,4,52PCrf2tqml44bWLNT58hF,KRD441900020
45,"Summer Rain","GFRIEND",104,2B,85,2022-05-29,03:20,0,"k-pop","GFRIEND The 5th Mini Album Repackage <RAINBOW>",2017-09-13,53,3,0,39,0,20,-3,F#/G♭ Major,4,5lKCWT7RgnodM91X8g7Fa6,KRA381702207
46,"Lost","BTS",85,8A,84,2022-05-29,04:01,62,"k-pop","Wings",2016-10-10,55,0,0,47,0,0,-4,A Minor,4,2So2zLatKtnIP0cy3a4Fn0,KRA381601900
47,"Fairy of Shampoo","TOMORROW X TOGETHER",105,3B,80,2022-05-29,04:27,59,"k-pop","The Dream Chapter: ETERNITY",2020-05-18,54,31,1,47,0,40,-6,C♯/D♭ Major,4,5JXpZcc3CeQaC6vAF1iaV5,USUG12001842
48,"Phobia","Stray Kids",142,3B,92,2022-05-29,03:32,48,"k-pop, noise music","IN LIFE",2020-09-14,68,5,0,55,0,0,-3,C♯/D♭ Major,4,16Xt6aWyMW5Ugb3nfsInJ3,US5TA2000109
49,"Sour Grapes","LE SSERAFIM",140,11A,80,2022-05-29,03:16,69,"k-pop","FEARLESS",2022-05-02,78,40,0,72,0,10,-6,F#/G♭ Minor,4,6wBpO4Xc4YgShnENGSFA1M,USA2P2219221
50,"Faded In My Last Song","NCT U",135,3A,83,2022-05-29,03:35,50,"k-pop, noise music","NCT RESONANCE Pt. 1 - The 2nd Album",2020-10-12,76,15,0,68,0,10,-3,A#/B♭ Minor,4,6xOfdH7XjM8ImGLXBOtdgE,KRA302000493
51,"Watermelon","JEON SOMI",92,8A,60,2022-05-29,03:02,35,"k-pop","XOXO",2021-10-29,75,10,0,56,0,10,-7,A Minor,4,1Hy0XSHNBojwZhkwCLGXQ1,KSA002100903
