#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"มนุษย์ต่างดาว","FREEHAND",106,9B,50,2024-10-13,04:37,36,"thai rock, thai pop, thai indie rock, t-pop","ท้องฟ้าจำลอง",2022-01-12,27,3,0,18,0,0,-8,G Major,4,07iP1H2BcKqGdTtC1PvJuW,FRS182138040
2,"ไม่มีอะไรที่เป็นไปไม่ได้ (Possible)","Lula,SIN",99,8B,42,2024-10-13,04:24,0,"thai pop, t-pop, thai rock","Spring",2012-11-08,56,40,0,28,0,10,-14,C Major,4,0GvKlSb8xVRkL45YucsME7,THG011200813
3,"Yours Ever","Cocktail,Q Flure",92,5B,88,2024-10-13,04:19,0,"thai rock, thai pop, t-pop","Yours Ever",2024-08-29,61,4,0,78,0,20,-5,D#/E♭ Major,4,6BN3iFjclJ4teGlmB3fFvo,THG012400361
4,"จันทร์อังคารพุธพฤหัสศุกร์เสาร์อาทิตย์ (Everyday)","Patrickananda",90,8B,44,2024-10-13,03:02,17,"thai pop, t-pop, thai hip hop","LAVNDR",2022-04-29,76,54,0,72,0,10,-9,C Major,4,3vCY0qg95iU1d9HA9wzJj8,THW092101861
5,"พิจารณา (Consider)","Musketeers,Maiyarap",136,6B,68,2024-10-13,04:06,0,"thai rock, thai pop, t-pop, thai hip hop, thai trap","พิจารณา (Consider)",2022-09-08,77,53,0,94,0,10,-6,A#/B♭ Major,4,3XCoEJvCYqTbM8bhples8N,THWTD2216600
6,"จากนี้ไปจนนิรันดร์","Ae Jirakorn",126,9B,63,2024-10-13,04:06,0,"thai pop, thai rock","ใจกลางความรู้สึกดีดี",2012-08-09,65,62,0,21,0,10,-6,G Major,4,4Sm3ufM7YPRyY1ElbMCWqZ,THG011100589
7,"อยู่บำรุง","Wan Thanakrit",125,11B,68,2024-10-13,04:06,49,"thai pop, t-pop, thai rock","Soloist Plan B",2019-06-28,71,49,0,81,0,0,-6,A Major,4,4R9rNFLO9hUZ0j7fRaPsPQ,THSPD1900241
8,"จำเลยรัก - Defendant Of Love","F.HERO,Txrbo",80,10A,75,2024-10-13,04:24,0,"thai hip hop, thai pop, luk thung, t-pop, thai trap, k-pop","จำเลยรัก (Defendant Of Love)",2020-11-17,70,56,0,78,10,0,-5,B Minor,4,0AGhwXsWpVOwjHY5yf4dtD,THWTD2014400
9,"เพลงที่เธอไม่ฟัง","Bedroom Audio",94,12B,80,2024-10-13,03:58,61,"thai rock, thai pop, t-pop","Album",2021-09-10,70,9,0,58,0,30,-6,E Major,4,6KRj0vz2JEk8Ykt1Q0KKZX,THTER2100030
10,"หากผม","pY-1",75,3B,29,2024-10-13,02:15,29,"thai hip hop, thai pop, t-pop","บทเพลงอมตะ pY-1",2024-02-27,59,85,0,73,0,10,-9,C♯/D♭ Major,4,6LJFPInlOJ4wPHopJoEO0G,FR10S2443117
